seqnum;now;rtptime;deadline;packet_len;payload_len
0;11002251000;10612211111;11112211111;10240;10228
3;11002434000;10643644444;11143644444;10240;10228
4;11002445000;10643644444;11143644444;10240;10228
2;11002517000;10612211111;11112211111;10240;10228
7;11002626000;10643644444;11143644444;10240;10228
5;11002790000;10643644444;11143644444;10240;10228
6;11002801000;10643644444;11143644444;10240;10228
9;11002810000;10643644444;11143644444;10240;10228
8;11002820000;10643644444;11143644444;10240;10228
11;11002828000;10644011111;11144011111;10240;10228
12;11003050000;10644011111;11144011111;10240;10228
15;11003056000;10685300000;11185300000;10240;10228
10;11003062000;10643655555;11143655555;10240;10228
13;11003066000;10644011111;11144011111;10240;10228
16;11003234000;10685300000;11185300000;10240;10228
14;11003261000;10685300000;11185300000;10240;10228
17;11003274000;10685300000;11185300000;10240;10228
19;11003385000;10685300000;11185300000;10240;10228
20;11003392000;10685300000;11185300000;10240;10228
18;11003500000;10685300000;11185300000;10240;10228
21;11003512000;10685311111;11185311111;10240;10228
23;11003620000;10685688888;11185688888;10240;10228
24;11003629000;10685688888;11185688888;10240;10228
22;11003778000;10685688888;11185688888;10240;10228
25;11003799000;10726955555;11226955555;10240;10228
26;11003815000;10726955555;11226955555;10240;10228
27;11003826000;10726955555;11226955555;10240;10228
29;11004022000;10726955555;11226955555;10240;10228
30;11004041000;10726955555;11226955555;10240;10228
28;11004048000;10726955555;11226955555;10240;10228
31;11004066000;10726955555;11226955555;10240;10228
32;11004074000;10726977777;11226977777;10240;10228
34;11004234000;10727300000;11227300000;10240;10228
33;11004250000;10727300000;11227300000;10240;10228
36;11004255000;10768633333;11268633333;10240;10228
35;11004390000;10727300000;11227300000;10240;10228
38;11004396000;10768633333;11268633333;10240;10228
37;11004487000;10768633333;11268633333;10240;10228
40;11004496000;10768633333;11268633333;10240;10228
39;11004618000;10768633333;11268633333;10240;10228
41;11004758000;10768633333;11268633333;10240;10228
44;11004773000;10769000000;11269000000;10240;10228
42;11004829000;10768633333;11268633333;10240;10228
43;11004835000;10768644444;11268644444;10240;10228
46;11004838000;10769000000;11269000000;10240;10228
45;11005038000;10769000000;11269000000;10240;10228
48;11005060000;10810288888;11310288888;10240;10228
47;11005084000;10810288888;11310288888;10240;10228
50;11005258000;10810288888;11310288888;10240;10228
51;11005276000;10810288888;11310288888;10240;10228
54;11005283000;10810311111;11310311111;10240;10228
49;11005297000;10810288888;11310288888;10240;10228
52;11005301000;10810288888;11310288888;10240;10228
55;11005413000;10810622222;11310622222;10240;10228
53;11005512000;10810288888;11310288888;10240;10228
56;11005522000;10810622222;11310622222;10240;10228
58;11005661000;10851966666;11351966666;10240;10228
59;11005666000;10851966666;11351966666;10240;10228
57;11005768000;10810622222;11310622222;10240;10228
60;11005778000;10851966666;11351966666;10240;10228
62;11005823000;10851966666;11351966666;10240;10228
61;11005994000;10851966666;11351966666;10240;10228
64;11006019000;10851966666;11351966666;10240;10228
65;11006027000;10851977777;11351977777;10240;10228
63;11006039000;10851966666;11351966666;10240;10228
66;11006051000;10852266666;11352266666;10240;10228
67;11006274000;10852266666;11352266666;10240;10228
68;11006293000;10852266666;11352266666;10240;10228
70;11006299000;10893633333;11393633333;10240;10228
72;11006315000;10893633333;11393633333;10240;10228
74;11006439000;10893633333;11393633333;10240;10228
75;11006451000;10893633333;11393633333;10240;10228
73;11006510000;10893633333;11393633333;10240;10228
76;11006520000;10893644444;11393644444;10240;10228
78;11014591000;10893988888;11393988888;10240;10228
77;11014913000;10893988888;11393988888;10240;10228
79;11014930000;10893988888;11393988888;10240;10228
80;11163203000;10935322222;11435322222;10240;10228
83;11163230000;10935322222;11435322222;10240;10228
84;11163376000;10935322222;11435322222;10240;10228
87;11163413000;10935333333;11435333333;10240;10228
81;11163522000;10935322222;11435322222;10240;10228
82;11163534000;10935322222;11435322222;10240;10228
86;11163547000;10935322222;11435322222;10240;10228
88;11163567000;10935644444;11435644444;10240;10228
89;11163782000;10935644444;11435644444;10240;10228
90;11163796000;10935644444;11435644444;10240;10228
91;11163826000;10976977777;11476977777;10240;10228
92;11163837000;10976977777;11476977777;10240;10228
98;11164034000;10976988888;11476988888;10240;10228
105;11164310000;11018622222;11518622222;10240;10228
100;11164402000;10977311111;11477311111;10240;10228
106;11164480000;11018622222;11518622222;10240;10228
101;11164631000;10977311111;11477311111;10240;10228
102;11164642000;11018622222;11518622222;10240;10228
103;11164654000;11018622222;11518622222;10240;10228
107;11164680000;11018622222;11518622222;10240;10228
108;11164686000;11018622222;11518622222;10240;10228
104;11164909000;11018622222;11518622222;10240;10228
110;11164951000;11018922222;11518922222;10240;10228
111;11164961000;11018922222;11518922222;10240;10228
112;11165106000;11018922222;11518922222;10240;10228
113;11165120000;11060300000;11560300000;10240;10228
114;11165335000;11060300000;11560300000;10240;10228
119;11165388000;11060300000;11560300000;10240;10228
120;11165410000;11060311111;11560311111;10240;10228
116;11165521000;11060300000;11560300000;10240;10228
117;11165529000;11060300000;11560300000;10240;10228
69;11166953000;10893633333;11393633333;10240;10228
71;11175063000;10893633333;11393633333;10240;10228
122;11181262000;11060611111;11560611111;10240;10228
124;11181457000;11102000000;11602000000;10240;10228
121;11181629000;11060611111;11560611111;10240;10228
123;11181668000;11060611111;11560611111;10240;10228
126;11181677000;11102000000;11602000000;10240;10228
128;11181688000;11102000000;11602000000;10240;10228
125;11181819000;11102000000;11602000000;10240;10228
127;11181834000;11102000000;11602000000;10240;10228
130;11181843000;11102000000;11602000000;10240;10228
129;11182069000;11102000000;11602000000;10240;10228
131;11182084000;11102055555;11602055555;10240;10228
132;11222929000;11102344444;11602344444;10240;10228
134;11223120000;11102344444;11602344444;10240;10228
136;11223130000;11143655555;11643655555;10240;10228
133;11223282000;11102344444;11602344444;10240;10228
135;11223318000;11143655555;11643655555;10240;10228
138;11223329000;11143655555;11643655555;10240;10228
140;11223603000;11143655555;11643655555;10240;10228
137;11223623000;11143655555;11643655555;10240;10228
142;11223628000;11143711111;11643711111;10240;10228
139;11223632000;11143655555;11643655555;10240;10228
141;11223755000;11143655555;11643655555;10240;10228
144;11264587000;11144033333;11644033333;10240;10228
146;11264783000;11185311111;11685311111;10240;10228
143;11264884000;11144033333;11644033333;10240;10228
145;11264901000;11144033333;11644033333;10240;10228
148;11265045000;11185311111;11685311111;10240;10228
150;11265067000;11185311111;11685311111;10240;10228
147;11265199000;11185311111;11685311111;10240;10228
149;11265235000;11185311111;11685311111;10240;10228
152;11265244000;11185311111;11685311111;10240;10228
151;11265426000;11185311111;11685311111;10240;10228
153;11265446000;11185377777;11685377777;10240;10228
154;11306262000;11185711111;11685711111;10240;10228
156;11306496000;11185711111;11685711111;10240;10228
155;11306592000;11185711111;11685711111;10240;10228
157;11306608000;11226977777;11726977777;10240;10228
158;11323652000;11226977777;11726977777;10240;10228
159;11323858000;11226977777;11726977777;10240;10228
160;11323867000;11226977777;11726977777;10240;10228
161;11324115000;11226977777;11726977777;10240;10228
164;11324303000;11227000000;11727000000;10240;10228
162;11324324000;11226977777;11726977777;10240;10228
163;11324598000;11226977777;11726977777;10240;10228
95;11325130000;10976977777;11476977777;10240;10228
85;11325256000;10935322222;11435322222;10240;10228
93;11325397000;10976977777;11476977777;10240;10228
96;11325505000;10976977777;11476977777;10240;10228
97;11325526000;10976977777;11476977777;10240;10228
94;11325578000;10976977777;11476977777;10240;10228
109;11325585000;11018633333;11518633333;10240;10228
99;11325754000;10977311111;11477311111;10240;10228
115;11341737000;11060300000;11560300000;10240;10228
118;11342335000;11060300000;11560300000;10240;10228
165;11347950000;11227300000;11727300000;10240;10228
167;11348170000;11227300000;11727300000;10240;10228
169;11348189000;11268655555;11768655555;10240;10228
166;11348270000;11227300000;11727300000;10240;10228
168;11348295000;11268655555;11768655555;10240;10228
171;11348319000;11268655555;11768655555;10240;10228
173;11348573000;11268655555;11768655555;10240;10228
175;11348583000;11268711111;11768711111;10240;10228
170;11348598000;11268655555;11768655555;10240;10228
172;11348602000;11268655555;11768655555;10240;10228
174;11348773000;11268655555;11768655555;10240;10228
177;11389621000;11269044444;11769044444;10240;10228
179;11389835000;11310322222;11810322222;10240;10228
181;11389854000;11310322222;11810322222;10240;10228
176;11389883000;11269044444;11769044444;10240;10228
178;11390185000;11269044444;11769044444;10240;10228
180;11390204000;11310322222;11810322222;10240;10228
182;11390211000;11310322222;11810322222;10240;10228
184;11390418000;11310322222;11810322222;10240;10228
187;11431251000;11310666666;11810666666;10240;10228
189;11431450000;11310666666;11810666666;10240;10228
188;11431595000;11310666666;11810666666;10240;10228
190;11431606000;11351988888;11851988888;10240;10228
191;11431688000;11351988888;11851988888;10240;10228
193;11431697000;11351988888;11851988888;10240;10228
195;11431898000;11351988888;11851988888;10240;10228
197;11431908000;11352044444;11852044444;10240;10228
192;11431924000;11351988888;11851988888;10240;10228
194;11431929000;11351988888;11851988888;10240;10228
201;11472971000;11393666666;11893666666;10240;10228
203;11473198000;11393666666;11893666666;10240;10228
205;11473222000;11393666666;11893666666;10240;10228
198;11473230000;11352322222;11852322222;10240;10228
207;11473386000;11393666666;11893666666;10240;10228
200;11473506000;11352322222;11852322222;10240;10228
202;11473517000;11393666666;11893666666;10240;10228
204;11473525000;11393666666;11893666666;10240;10228
206;11473755000;11393666666;11893666666;10240;10228
208;11473773000;11393722222;11893722222;10240;10228
209;11514611000;11394055555;11894055555;10240;10228
211;11514821000;11394055555;11894055555;10240;10228
215;11514830000;11435322222;11935322222;10240;10228
210;11514869000;11394055555;11894055555;10240;10228
217;11515044000;11435322222;11935322222;10240;10228
219;11515065000;11435366666;11935366666;10240;10228
212;11515160000;11435322222;11935322222;10240;10228
214;11515187000;11435322222;11935322222;10240;10228
216;11515208000;11435322222;11935322222;10240;10228
218;11515408000;11435322222;11935322222;10240;10228
221;11556244000;11435677777;11935677777;10240;10228
223;11556477000;11476977777;11976977777;10240;10228
225;11556502000;11476977777;11976977777;10240;10228
220;11556517000;11435677777;11935677777;10240;10228
227;11556658000;11476977777;11976977777;10240;10228
224;11556803000;11476977777;11976977777;10240;10228
226;11556825000;11476977777;11976977777;10240;10228
228;11556842000;11476977777;11976977777;10240;10228
229;11556852000;11476977777;11976977777;10240;10228
230;11557036000;11477044444;11977044444;10240;10228
183;11592371000;11310322222;11810322222;10240;10228
185;11592575000;11310322222;11810322222;10240;10228
186;11592602000;11310377777;11810377777;10240;10228
231;11597938000;11477355555;11977355555;10240;10228
233;11598165000;11477355555;11977355555;10240;10228
235;11598186000;11518655555;12018655555;10240;10228
232;11598267000;11477355555;11977355555;10240;10228
234;11598293000;11518655555;12018655555;10240;10228
237;11598316000;11518655555;12018655555;10240;10228
236;11598521000;11518655555;12018655555;10240;10228
238;11598541000;11518655555;12018655555;10240;10228
239;11598549000;11518655555;12018655555;10240;10228
241;11598561000;11518700000;12018700000;10240;10228
240;11598764000;11518655555;12018655555;10240;10228
199;11633655000;11352322222;11852322222;10240;10228
196;11634231000;11351988888;11851988888;10240;10228
243;11639614000;11519011111;12019011111;10240;10228
245;11639820000;11560322222;12060322222;10240;10228
247;11639832000;11560322222;12060322222;10240;10228
242;11639874000;11519011111;12019011111;10240;10228
249;11640026000;11560322222;12060322222;10240;10228
244;11640186000;11519011111;12019011111;10240;10228
246;11640213000;11560322222;12060322222;10240;10228
248;11640231000;11560322222;12060322222;10240;10228
251;11640238000;11560322222;12060322222;10240;10228
252;11640403000;11560377777;12060377777;10240;10228
213;11675519000;11435322222;11935322222;10240;10228
253;11681274000;11560688888;12060688888;10240;10228
255;11681504000;11560688888;12060688888;10240;10228
257;11681524000;11601988888;12101988888;10240;10228
254;11681605000;11560688888;12060688888;10240;10228
256;11681632000;11601988888;12101988888;10240;10228
259;11681654000;11601988888;12101988888;10240;10228
258;11681893000;11601988888;12101988888;10240;10228
262;11681907000;11601988888;12101988888;10240;10228
261;11681915000;11601988888;12101988888;10240;10228
263;11681923000;11602033333;12102033333;10240;10228
222;11717828000;11435677777;11935677777;10240;10228
267;11722952000;11643644444;12143644444;10240;10228
269;11723180000;11643644444;12143644444;10240;10228
271;11723205000;11643644444;12143644444;10240;10228
264;11723213000;11602322222;12102322222;10240;10228
273;11723376000;11643644444;12143644444;10240;10228
266;11723462000;11602322222;12102322222;10240;10228
268;11723483000;11643644444;12143644444;10240;10228
270;11723501000;11643644444;12143644444;10240;10228
272;11723731000;11643644444;12143644444;10240;10228
275;11764601000;11644011111;12144011111;10240;10228
277;11764775000;11644011111;12144011111;10240;10228
276;11764950000;11644011111;12144011111;10240;10228
278;11764964000;11685322222;12185322222;10240;10228
279;11764984000;11685322222;12185322222;10240;10228
285;11764998000;11685377777;12185377777;10240;10228
280;11765192000;11685322222;12185322222;10240;10228
282;11765211000;11685322222;12185322222;10240;10228
284;11765441000;11685322222;12185322222;10240;10228
287;11806250000;11685677777;12185677777;10240;10228
289;11806486000;11726977777;12226977777;10240;10228
291;11806510000;11726977777;12226977777;10240;10228
286;11806519000;11685677777;12185677777;10240;10228
293;11806663000;11726977777;12226977777;10240;10228
288;11806797000;11685677777;12185677777;10240;10228
290;11806813000;11726977777;12226977777;10240;10228
292;11806822000;11726977777;12226977777;10240;10228
294;11807043000;11726977777;12226977777;10240;10228
296;11807058000;11727033333;12227033333;10240;10228
250;11842372000;11560322222;12060322222;10240;10228
297;11847954000;11727311111;12227311111;10240;10228
299;11848167000;11727311111;12227311111;10240;10228
301;11848188000;11768655555;12268655555;10240;10228
300;11848312000;11768655555;12268655555;10240;10228
302;11848348000;11768655555;12268655555;10240;10228
303;11848357000;11768655555;12268655555;10240;10228
304;11848511000;11768655555;12268655555;10240;10228
305;11848530000;11768655555;12268655555;10240;10228
307;11848539000;11768711111;12268711111;10240;10228
265;11883969000;11602322222;12102322222;10240;10228
260;11884522000;11601988888;12101988888;10240;10228
309;11889621000;11768988888;12268988888;10240;10228
311;11889830000;11810311111;12310311111;10240;10228
313;11889841000;11810311111;12310311111;10240;10228
308;11889882000;11768988888;12268988888;10240;10228
315;11890053000;11810311111;12310311111;10240;10228
310;11890185000;11768988888;12268988888;10240;10228
312;11890210000;11810311111;12310311111;10240;10228
314;11890218000;11810311111;12310311111;10240;10228
317;11890226000;11810311111;12310311111;10240;10228
316;11890415000;11810311111;12310311111;10240;10228
318;11890425000;11810366666;12310366666;10240;10228
274;11925779000;11643700000;12143700000;10240;10228
319;11931224000;11810666666;12310666666;10240;10228
321;11931409000;11810666666;12310666666;10240;10228
320;11931557000;11810666666;12310666666;10240;10228
322;11931572000;11851988888;12351988888;10240;10228
323;11931592000;11851988888;12351988888;10240;10228
325;11931603000;11851988888;12351988888;10240;10228
324;11931826000;11851988888;12351988888;10240;10228
326;11931842000;11851988888;12351988888;10240;10228
327;11931852000;11851988888;12351988888;10240;10228
329;11931860000;11852044444;12352044444;10240;10228
328;11932055000;11851988888;12351988888;10240;10228
281;11966931000;11685322222;12185322222;10240;10228
331;11972920000;11852322222;12352322222;10240;10228
333;11973129000;11893644444;12393644444;10240;10228
332;11973269000;11852322222;12352322222;10240;10228
334;11973295000;11893644444;12393644444;10240;10228
335;11973315000;11893644444;12393644444;10240;10228
339;11973321000;11893644444;12393644444;10240;10228
336;11973517000;11893644444;12393644444;10240;10228
338;11973528000;11893644444;12393644444;10240;10228
340;11973768000;11893700000;12393700000;10240;10228
295;12008936000;11726977777;12226977777;10240;10228
298;12009341000;11727311111;12227311111;10240;10228
341;12014611000;11894022222;12394022222;10240;10228
343;12014822000;11894022222;12394022222;10240;10228
345;12014832000;11935322222;12435322222;10240;10228
342;12014956000;11894022222;12394022222;10240;10228
344;12014983000;11935322222;12435322222;10240;10228
347;12015003000;11935322222;12435322222;10240;10228
346;12015213000;11935322222;12435322222;10240;10228
348;12015223000;11935322222;12435322222;10240;10228
349;12015231000;11935322222;12435322222;10240;10228
351;12015242000;11935377777;12435377777;10240;10228
350;12015448000;11935322222;12435322222;10240;10228
306;12050877000;11768655555;12268655555;10240;10228
353;12056254000;11935666666;12435666666;10240;10228
355;12056438000;11976988888;12476988888;10240;10228
352;12056574000;11935666666;12435666666;10240;10228
354;12056589000;11935666666;12435666666;10240;10228
357;12056654000;11976988888;12476988888;10240;10228
359;12056665000;11976988888;12476988888;10240;10228
356;12056815000;11976988888;12476988888;10240;10228
358;12056832000;11976988888;12476988888;10240;10228
361;12056840000;11976988888;12476988888;10240;10228
360;12057056000;11976988888;12476988888;10240;10228
363;12097927000;11977322222;12477322222;10240;10228
365;12098115000;11977322222;12477322222;10240;10228
364;12098268000;11977322222;12477322222;10240;10228
366;12098285000;12018655555;12518655555;10240;10228
367;12098295000;12018655555;12518655555;10240;10228
369;12098303000;12018655555;12518655555;10240;10228
368;12098566000;12018655555;12518655555;10240;10228
371;12098578000;12018655555;12518655555;10240;10228
370;12098583000;12018655555;12518655555;10240;10228
373;12098587000;12018700000;12518700000;10240;10228
372;12098768000;12018655555;12518655555;10240;10228
330;12134226000;11852322222;12352322222;10240;10228
375;12139608000;12018988888;12518988888;10240;10228
377;12139810000;12060300000;12560300000;10240;10228
379;12139831000;12060300000;12560300000;10240;10228
374;12139864000;12018988888;12518988888;10240;10228
381;12140038000;12060300000;12560300000;10240;10228
376;12140167000;12018988888;12518988888;10240;10228
378;12140192000;12060300000;12560300000;10240;10228
380;12140200000;12060300000;12560300000;10240;10228
383;12140206000;12060300000;12560300000;10240;10228
382;12140405000;12060300000;12560300000;10240;10228
384;12140429000;12060355555;12560355555;10240;10228
337;12175565000;11893644444;12393644444;10240;10228
385;12181210000;12060644444;12560644444;10240;10228
387;12181469000;12060644444;12560644444;10240;10228
389;12181485000;12101988888;12601988888;10240;10228
386;12181605000;12060644444;12560644444;10240;10228
