seqnum;now;rtptime;deadline
3;13597923000;12635255555;13135255555
4;13597927000;12635255555;13135255555
5;13597928000;12635255555;13135255555
6;13597930000;12635255555;13135255555
7;13597931000;12635255555;13135255555
8;13597932000;12635255555;13135255555
9;13597933000;12635255555;13135255555
10;13897046000;12635277777;13135277777
11;13897061000;12635600000;13135600000
12;13897062000;12635600000;13135600000
13;13897063000;12635600000;13135600000
14;13937120000;12676900000;13176900000
18;13937318000;12676900000;13176900000
20;13937332000;12676900000;13176900000
21;13937621000;12676922222;13176922222
22;13937636000;12677300000;13177300000
23;13937637000;12677300000;13177300000
24;13937638000;12677300000;13177300000
25;13977961000;12718577777;13218577777
27;13978381000;12718577777;13218577777
28;13978392000;12718577777;13218577777
29;13978393000;12718577777;13218577777
30;13978394000;12718577777;13218577777
31;13978395000;12718577777;13218577777
32;13978612000;12718588888;13218588888
38;13996855000;12760244444;13260244444
39;13996857000;12760244444;13260244444
40;13996858000;12760244444;13260244444
41;13996869000;12760244444;13260244444
42;13996870000;12760244444;13260244444
43;14017481000;12760255555;13260255555
156;14017488000;13177244444;13677244444
157;14223537000;13218577777;13718577777
158;14223542000;13218577777;13718577777
159;14223542000;13218577777;13718577777
160;14223543000;13218577777;13718577777
161;14223544000;13218577777;13718577777
162;14223545000;13218577777;13718577777
163;14223546000;13218577777;13718577777
164;14223752000;13218588888;13718588888
165;14223768000;13218900000;13718900000
166;14223769000;13218900000;13718900000
167;14223770000;13218900000;13718900000
168;14257409000;13260244444;13760244444
169;14257413000;13260244444;13760244444
170;14257414000;13260244444;13760244444
171;14257415000;13260244444;13760244444
172;14257416000;13260244444;13760244444
173;14257417000;13260244444;13760244444
174;14257418000;13260244444;13760244444
175;14257631000;13260255555;13760255555
177;14257646000;13260566666;13760566666
178;14257647000;13260566666;13760566666
179;14292247000;13301911111;13801911111
180;14292250000;13301911111;13801911111
181;14292251000;13301911111;13801911111
182;14292252000;13301911111;13801911111
183;14292253000;13301911111;13801911111
184;14292254000;13301911111;13801911111
185;14292255000;13301911111;13801911111
186;14292454000;13301922222;13801922222
188;14323422000;13302211111;13802211111
189;14323423000;13302211111;13802211111
190;14323581000;13343600000;13843600000
191;14323584000;13343600000;13843600000
192;14323585000;13343600000;13843600000
193;14323586000;13343600000;13843600000
194;14323587000;13343600000;13843600000
195;14323588000;13343600000;13843600000
196;14323589000;13343600000;13843600000
197;14323714000;13343611111;13843611111
198;14323729000;13343944444;13843944444
199;14323730000;13343944444;13843944444
200;14323731000;13343944444;13843944444
201;14323742000;13385244444;13885244444
202;14323753000;13385244444;13885244444
204;14323754000;13385244444;13885244444
205;14323755000;13385244444;13885244444
206;14323756000;13385244444;13885244444
207;14323757000;13385244444;13885244444
208;14323882000;13385255555;13885255555
209;14323897000;13385533333;13885533333
210;14323898000;13385533333;13885533333
211;14323899000;13385533333;13885533333
212;14323910000;13426911111;13926911111
213;14323911000;13426911111;13926911111
215;14324364000;13426911111;13926911111
216;14324366000;13426911111;13926911111
218;14324367000;13426911111;13926911111
219;14324463000;13426933333;13926933333
220;14324465000;13427266666;13927266666
221;14324466000;13427266666;13927266666
222;14324467000;13427266666;13927266666
223;14324495000;13468577777;13968577777
224;14324496000;13468577777;13968577777
225;14324507000;13468577777;13968577777
226;14324508000;13468577777;13968577777
227;14324509000;13468577777;13968577777
228;14324510000;13468577777;13968577777
229;14324511000;13468577777;13968577777
230;14324583000;13468588888;13968588888
231;14324586000;13468900000;13968900000
232;14324586000;13468900000;13968900000
234;14324611000;13510244444;14010244444
235;14395946000;13510244444;14010244444
236;14395966000;13510244444;14010244444
237;14395972000;13510244444;14010244444
238;14395974000;13510244444;14010244444
239;14396199000;13510244444;14010244444
240;14396202000;13510244444;14010244444
241;14667082000;13510255555;14010255555
339;14667088000;13885244444;14385244444
340;14894594000;13885255555;14385255555
462;14894612000;14343855555;14843855555
463;14894614000;14343855555;14843855555
464;14894616000;14343855555;14843855555
465;15307153000;14385244444;14885244444
545;15307284000;14676933333;15176933333
546;15307288000;14676933333;15176933333
547;15307290000;14676933333;15176933333
548;15307291000;14676933333;15176933333
549;15307388000;14677000000;15177000000
550;15307403000;14677311111;15177311111
551;15307404000;14677311111;15177311111
552;15307405000;14677311111;15177311111
553;15747123000;14718577777;15218577777
630;15994100000;15010244444;15510244444
631;15994104000;15010244444;15510244444
632;15994104000;15010244444;15510244444
633;15994106000;15010244444;15510244444
634;15994106000;15010244444;15510244444
635;15994107000;15010244444;15510244444
636;15994108000;15010244444;15510244444
637;15994306000;15010255555;15510255555
638;15994321000;15010533333;15510533333
639;15994322000;15010533333;15510533333
640;15994323000;15010533333;15510533333
641;16032764000;15051911111;15551911111
697;16141113000;15260233333;15760233333
723;16141225000;15343577777;15843577777
724;16141228000;15343577777;15843577777
725;16141320000;15343600000;15843600000
726;16141335000;15343888888;15843888888
727;16141336000;15343888888;15843888888
728;16141337000;15343888888;15843888888
729;16164354000;15385244444;15885244444
730;16164358000;15385244444;15885244444
731;16164359000;15385244444;15885244444
732;16164360000;15385244444;15885244444
733;16164361000;15385244444;15885244444
734;16164361000;15385244444;15885244444
735;16164362000;15385244444;15885244444
736;16164455000;15385255555;15885255555
737;16164478000;15385522222;15885522222
738;16164479000;15385522222;15885522222
739;16164480000;15385522222;15885522222
740;16164604000;15426944444;15926944444
741;16164608000;15426944444;15926944444
742;16164608000;15426944444;15926944444
743;16164610000;15426944444;15926944444
744;16164610000;15426944444;15926944444
745;16164611000;15426944444;15926944444
746;16164612000;15426944444;15926944444
747;16164675000;15426966666;15926966666
748;16164677000;15427266666;15927266666
749;16164679000;15427266666;15927266666
750;16164680000;15427266666;15927266666
751;16455245000;15468577777;15968577777
800;16521941000;15635233333;16135233333
811;16544364000;15676900000;16176900000
812;16544368000;15676900000;16176900000
813;16544468000;15676911111;16176911111
814;16544490000;15677255555;16177255555
815;16544491000;15677255555;16177255555
816;16544492000;15677255555;16177255555
817;16566188000;15718566666;16218566666
818;16566191000;15718566666;16218566666
819;16566192000;15718566666;16218566666
820;16566193000;15718566666;16218566666
821;16566194000;15718566666;16218566666
822;16566195000;15718566666;16218566666
823;16566196000;15718566666;16218566666
824;16566303000;15718577777;16218577777
825;16566309000;15718877777;16218877777
826;16566310000;15718877777;16218877777
827;16566311000;15718877777;16218877777
828;16586884000;15760233333;16260233333
829;16586886000;15760233333;16260233333
830;16586887000;15760233333;16260233333
831;16586897000;15760233333;16260233333
832;16586898000;15760233333;16260233333
833;16586899000;15760233333;16260233333
834;16586900000;15760233333;16260233333
835;16587009000;15760244444;16260244444
836;16587014000;15760577777;16260577777
837;16587015000;15760577777;16260577777
838;16587016000;15760577777;16260577777
839;16603550000;15801933333;16301933333
840;16603553000;15801933333;16301933333
841;16603554000;15801933333;16301933333
842;16603555000;15801933333;16301933333
843;16603556000;15801933333;16301933333
844;16603557000;15801933333;16301933333
845;16603557000;15801933333;16301933333
846;16603651000;15801966666;16301966666
847;16603655000;15802266666;16302266666
848;16603675000;15802266666;16302266666
849;16603676000;15802266666;16302266666
850;16624784000;15843577777;16343577777
851;16624787000;15843577777;16343577777
852;16624788000;15843577777;16343577777
853;16624789000;15843577777;16343577777
854;16624790000;15843577777;16343577777
855;16624791000;15843577777;16343577777
857;16625374000;15843600000;16343600000
858;16625379000;15843911111;16343911111
859;16625381000;15843911111;16343911111
860;16625382000;15843911111;16343911111
861;16648687000;15885255555;16385255555
862;16648690000;15885255555;16385255555
863;16648691000;15885255555;16385255555
864;16648692000;15885255555;16385255555
865;16648693000;15885255555;16385255555
866;16648694000;15885255555;16385255555
867;16648695000;15885255555;16385255555
868;16955925000;15885266666;16385266666
905;16955931000;16051900000;16551900000
906;16955932000;16051900000;16551900000
907;16955933000;16051900000;16551900000
908;16955934000;16051900000;16551900000
909;16955935000;16051900000;16551900000
910;16955945000;16051900000;16551900000
911;16955946000;16051900000;16551900000
912;16956052000;16051911111;16551911111
913;16956056000;16052222222;16552222222
914;16956058000;16052222222;16552222222
915;16956058000;16052222222;16552222222
917;17038170000;16093566666;16593566666
918;17038173000;16093566666;16593566666
919;17038174000;16093566666;16593566666
920;17038175000;16093566666;16593566666
921;17038176000;16093566666;16593566666
922;17038177000;16093566666;16593566666
923;17038247000;16093577777;16593577777
924;17038262000;16093911111;16593911111
925;17038263000;16093911111;16593911111
926;17038264000;16093911111;16593911111
927;17038272000;16135233333;16635233333
928;17038282000;16135233333;16635233333
929;17038283000;16135233333;16635233333
930;17038284000;16135233333;16635233333
931;17038285000;16135233333;16635233333
932;17038285000;16135233333;16635233333
933;17038286000;16135233333;16635233333
935;17038290000;16135522222;16635522222
936;17038301000;16135522222;16635522222
937;17038302000;16135522222;16635522222
938;17038305000;16176911111;16676911111
939;17038306000;16176911111;16676911111
940;17038307000;16176911111;16676911111
941;17038308000;16176911111;16676911111
942;17038309000;16176911111;16676911111
943;17038310000;16176911111;16676911111
944;17038311000;16176911111;16676911111
945;17038370000;16176933333;16676933333
946;17038374000;16177255555;16677255555
947;17038376000;16177255555;16677255555
948;17038377000;16177255555;16677255555
949;17038393000;16218577777;16718577777
950;17038394000;16218577777;16718577777
951;17038395000;16218577777;16718577777
952;17038396000;16218577777;16718577777
953;17038397000;16218577777;16718577777
954;17038398000;16218577777;16718577777
955;17038409000;16218577777;16718577777
956;17038457000;16218600000;16718600000
957;17038461000;16218911111;16718911111
958;17038462000;16218911111;16718911111
959;17038463000;16218911111;16718911111
960;17064613000;16260244444;16760244444
961;17064616000;16260244444;16760244444
962;17064617000;16260244444;16760244444
963;17064618000;16260244444;16760244444
964;17064618000;16260244444;16760244444
965;17064619000;16260244444;16760244444
966;17064620000;16260244444;16760244444
967;17064730000;16260255555;16760255555
968;17064734000;16260577777;16760577777
969;17064735000;16260577777;16760577777
970;17064736000;16260577777;16760577777
971;17095118000;16301911111;16801911111
972;17095121000;16301911111;16801911111
973;17095122000;16301911111;16801911111
974;17095123000;16301911111;16801911111
975;17095123000;16301911111;16801911111
976;17095124000;16301911111;16801911111
977;17095125000;16301911111;16801911111
978;17095209000;16301922222;16801922222
979;17095213000;16302222222;16802222222
980;17095214000;16302222222;16802222222
982;17132565000;16343577777;16843577777
983;17199234000;16343577777;16843577777
984;17200203000;16343577777;16843577777
985;17200700000;16343577777;16843577777
986;17200877000;16343577777;16843577777
987;17200878000;16343577777;16843577777
988;17201270000;16343577777;16843577777
989;17472816000;16343588888;16843588888
997;17514537000;16385244444;16885244444
998;17514539000;16385244444;16885244444
999;17514540000;16385244444;16885244444
1000;17514680000;16385255555;16885255555
1001;17514685000;16385555555;16885555555
1002;17514686000;16385555555;16885555555
1003;17514687000;16385555555;16885555555
1004;17554522000;16426911111;16926911111
1005;17554525000;16426911111;16926911111
1006;17554526000;16426911111;16926911111
1007;17554527000;16426911111;16926911111
1008;17554528000;16426911111;16926911111
1009;17554529000;16426911111;16926911111
1010;17554530000;16426911111;16926911111
1011;17554639000;16426922222;16926922222
1012;17554644000;16427233333;16927233333
1013;17554645000;16427233333;16927233333
1014;17554646000;16427233333;16927233333
1015;17595381000;16468566666;16968566666
1016;17595384000;16468566666;16968566666
1017;17595385000;16468566666;16968566666
1018;17595395000;16468566666;16968566666
1019;17595396000;16468566666;16968566666
1020;17595397000;16468566666;16968566666
1021;17595397000;16468566666;16968566666
1022;17644787000;16468577777;16968577777
1068;17644794000;16635511111;17135511111
1069;17644795000;16635511111;17135511111
1070;17797690000;16676911111;17176911111
1116;17812773000;16843577777;17343577777
1117;17812777000;16843577777;17343577777
1118;17812778000;16843577777;17343577777
1119;17812779000;16843577777;17343577777
1120;17812780000;16843577777;17343577777
1121;17812889000;16843588888;17343588888
1122;17812895000;16843877777;17343877777
1123;17812896000;16843877777;17343877777
1124;17812897000;16843877777;17343877777
1125;17824293000;16885233333;17385233333
1127;18002419000;16885233333;17385233333
1128;18002421000;16885233333;17385233333
1129;18002422000;16885233333;17385233333
1130;18002424000;16885233333;17385233333
1131;18002425000;16885233333;17385233333
1133;18002531000;16885544444;17385544444
1135;18002533000;16885544444;17385544444
1136;18002552000;16926900000;17426900000
1137;18002554000;16926900000;17426900000
1138;18002555000;16926900000;17426900000
1139;18002556000;16926900000;17426900000
1140;18002557000;16926900000;17426900000
1141;18002568000;16926900000;17426900000
1143;18002648000;16926911111;17426911111
1144;18002667000;16927211111;17427211111
1145;18002668000;16927211111;17427211111
1146;18002669000;16927211111;17427211111
1147;18002688000;16968577777;17468577777
1148;18002689000;16968577777;17468577777
1149;18002690000;16968577777;17468577777
1150;18002691000;16968577777;17468577777
1151;18002692000;16968577777;17468577777
1152;18002708000;16968577777;17468577777
1153;18002710000;16968577777;17468577777
1154;18218459000;16968588888;17468588888
1239;18218468000;17301900000;17801900000
