seqnum;now;rtptime;deadline;packet_len;payload_len
0;10487665000;10198255555;10698255555;10240;10228
3;10487770000;10228988888;10728988888;10240;10228
4;10487801000;10228988888;10728988888;10240;10228
7;10487805000;10228988888;10728988888;10240;10228
1;10487810000;10198255555;10698255555;10240;10228
2;10487951000;10198255555;10698255555;10240;10228
5;10488264000;10228988888;10728988888;10240;10228
6;10488272000;10228988888;10728988888;10240;10228
8;10607978000;10228988888;10728988888;10240;10228
9;10607996000;10228988888;10728988888;10240;10228
10;10608000000;10229000000;10729000000;10240;10228
11;10608005000;10229355555;10729355555;10240;10228
12;10608013000;10229355555;10729355555;10240;10228
13;10608016000;10229355555;10729355555;10240;10228
14;10608020000;10270633333;10770633333;10240;10228
15;10608024000;10270633333;10770633333;10240;10228
17;10608218000;10270633333;10770633333;10240;10228
18;10608426000;10270633333;10770633333;10240;10228
19;10608622000;10270633333;10770633333;10240;10228
20;10608641000;10270633333;10770633333;10240;10228
21;10608827000;10270644444;10770644444;10240;10228
22;10608836000;10271022222;10771022222;10240;10228
23;10608993000;10271022222;10771022222;10240;10228
24;10728277000;10271022222;10771022222;10240;10228
25;10728298000;10312300000;10812300000;10240;10228
26;10728303000;10312300000;10812300000;10240;10228
27;10728307000;10312300000;10812300000;10240;10228
28;10728312000;10312300000;10812300000;10240;10228
29;10728315000;10312300000;10812300000;10240;10228
30;10728320000;10312300000;10812300000;10240;10228
31;10728325000;10312300000;10812300000;10240;10228
32;10728337000;10312311111;10812311111;10240;10228
33;10728343000;10312633333;10812633333;10240;10228
34;10728347000;10312633333;10812633333;10240;10228
35;10728352000;10312633333;10812633333;10240;10228
36;10728356000;10353966666;10853966666;10240;10228
37;10728361000;10353966666;10853966666;10240;10228
38;10728371000;10353966666;10853966666;10240;10228
39;10728376000;10353966666;10853966666;10240;10228
40;10728669000;10353966666;10853966666;10240;10228
41;10728881000;10353966666;10853966666;10240;10228
16;10728892000;10270633333;10770633333;10240;10228
42;10729265000;10353966666;10853966666;10240;10228
43;10729469000;10353977777;10853977777;10240;10228
44;10729489000;10354311111;10854311111;10240;10228
45;10848612000;10354311111;10854311111;10240;10228
46;10848622000;10354311111;10854311111;10240;10228
47;10848628000;10395633333;10895633333;10240;10228
48;10848635000;10395633333;10895633333;10240;10228
49;10848639000;10395633333;10895633333;10240;10228
50;10848643000;10395633333;10895633333;10240;10228
51;10848647000;10395633333;10895633333;10240;10228
52;10848651000;10395633333;10895633333;10240;10228
53;10848655000;10395633333;10895633333;10240;10228
54;10848662000;10395644444;10895644444;10240;10228
55;10848666000;10395955555;10895955555;10240;10228
56;10848669000;10395955555;10895955555;10240;10228
57;10848781000;10395955555;10895955555;10240;10228
58;10848792000;10437300000;10937300000;10240;10228
59;10848797000;10437300000;10937300000;10240;10228
60;10848802000;10437300000;10937300000;10240;10228
61;10848807000;10437300000;10937300000;10240;10228
62;10848812000;10437300000;10937300000;10240;10228
63;10848816000;10437300000;10937300000;10240;10228
64;10848821000;10437300000;10937300000;10240;10228
65;10848824000;10437311111;10937311111;10240;10228
66;10848831000;10437600000;10937600000;10240;10228
67;10848835000;10437600000;10937600000;10240;10228
76;10849065000;10478977777;10978977777;10240;10228
68;10849204000;10437600000;10937600000;10240;10228
69;10849217000;10478966666;10978966666;10240;10228
70;10849221000;10478966666;10978966666;10240;10228
71;10849237000;10478966666;10978966666;10240;10228
72;10849241000;10478966666;10978966666;10240;10228
73;10849246000;10478966666;10978966666;10240;10228
74;10849250000;10478966666;10978966666;10240;10228
75;10849255000;10478966666;10978966666;10240;10228
80;10849260000;10520633333;11020633333;10240;10228
81;10849265000;10520633333;11020633333;10240;10228
77;10849273000;10479322222;10979322222;10240;10228
78;10849457000;10479322222;10979322222;10240;10228
79;10849477000;10479322222;10979322222;10240;10228
82;10849707000;10520633333;11020633333;10240;10228
83;10879427000;10520633333;11020633333;10240;10228
84;10969343000;10520633333;11020633333;10240;10228
85;10969356000;10520633333;11020633333;10240;10228
86;10969361000;10520633333;11020633333;10240;10228
87;10969364000;10520644444;11020644444;10240;10228
88;10969370000;10520955555;11020955555;10240;10228
89;10969373000;10520955555;11020955555;10240;10228
90;10969378000;10520955555;11020955555;10240;10228
91;10969382000;10562300000;11062300000;10240;10228
92;10969388000;10562300000;11062300000;10240;10228
93;10969392000;10562300000;11062300000;10240;10228
94;10969400000;10562300000;11062300000;10240;10228
95;10969404000;10562300000;11062300000;10240;10228
96;10969414000;10562300000;11062300000;10240;10228
97;10969419000;10562300000;11062300000;10240;10228
98;10969423000;10562311111;11062311111;10240;10228
99;10969427000;10562600000;11062600000;10240;10228
100;10969433000;10562600000;11062600000;10240;10228
101;10969436000;10562600000;11062600000;10240;10228
102;10969441000;10603966666;11103966666;10240;10228
103;10969446000;10603966666;11103966666;10240;10228
104;10969454000;10603966666;11103966666;10240;10228
105;10969459000;10603966666;11103966666;10240;10228
106;10969466000;10603966666;11103966666;10240;10228
107;10969471000;10603966666;11103966666;10240;10228
108;10969477000;10603966666;11103966666;10240;10228
109;10969583000;10603977777;11103977777;10240;10228
110;10969594000;10604233333;11104233333;10240;10228
111;10969598000;10604233333;11104233333;10240;10228
112;10969602000;10604233333;11104233333;10240;10228
113;10969606000;10645622222;11145622222;10240;10228
114;10969622000;10645622222;11145622222;10240;10228
115;10969626000;10645622222;11145622222;10240;10228
116;10969632000;10645622222;11145622222;10240;10228
117;10969635000;10645622222;11145622222;10240;10228
118;10969644000;10645622222;11145622222;10240;10228
119;10969657000;10645622222;11145622222;10240;10228
120;10969661000;10645633333;11145633333;10240;10228
121;10969665000;10645966666;11145966666;10240;10228
122;10969671000;10645966666;11145966666;10240;10228
123;10969674000;10645966666;11145966666;10240;10228
124;10969679000;10687300000;11187300000;10240;10228
125;10969682000;10687300000;11187300000;10240;10228
126;10969694000;10687300000;11187300000;10240;10228
127;10969698000;10687300000;11187300000;10240;10228
128;10969705000;10687300000;11187300000;10240;10228
129;10969709000;10687300000;11187300000;10240;10228
131;10969712000;10687311111;11187311111;10240;10228
130;10969839000;10687300000;11187300000;10240;10228
133;10969870000;10687600000;11187600000;10240;10228
134;10969876000;10687600000;11187600000;10240;10228
135;10969882000;10728988888;11228988888;10240;10228
136;10969889000;10728988888;11228988888;10240;10228
137;10969904000;10728988888;11228988888;10240;10228
138;10969911000;10728988888;11228988888;10240;10228
139;10969925000;10728988888;11228988888;10240;10228
140;10969931000;10728988888;11228988888;10240;10228
141;10969935000;10728988888;11228988888;10240;10228
142;10969939000;10729000000;11229000000;10240;10228
143;10969943000;10729344444;11229344444;10240;10228
144;10969948000;10729344444;11229344444;10240;10228
145;10970105000;10729344444;11229344444;10240;10228
146;10970320000;10770633333;11270633333;10240;10228
147;10996355000;10770633333;11270633333;10240;10228
148;11026878000;10770633333;11270633333;10240;10228
149;11089874000;10770633333;11270633333;10240;10228
150;11089885000;10770633333;11270633333;10240;10228
151;11089890000;10770633333;11270633333;10240;10228
152;11089894000;10770633333;11270633333;10240;10228
153;11089898000;10770644444;11270644444;10240;10228
154;11089902000;10770955555;11270955555;10240;10228
155;11089906000;10770955555;11270955555;10240;10228
156;11089910000;10770955555;11270955555;10240;10228
157;11089916000;10812300000;11312300000;10240;10228
158;11089924000;10812300000;11312300000;10240;10228
159;11089932000;10812300000;11312300000;10240;10228
160;11089946000;10812300000;11312300000;10240;10228
161;11089951000;10812300000;11312300000;10240;10228
162;11089957000;10812300000;11312300000;10240;10228
163;11089962000;10812300000;11312300000;10240;10228
164;11089965000;10812311111;11312311111;10240;10228
165;11089971000;10812600000;11312600000;10240;10228
166;11089974000;10812600000;11312600000;10240;10228
167;11089978000;10812600000;11312600000;10240;10228
168;11089986000;10853955555;11353955555;10240;10228
169;11089992000;10853955555;11353955555;10240;10228
170;11090003000;10853955555;11353955555;10240;10228
171;11090008000;10853955555;11353955555;10240;10228
172;11090013000;10853955555;11353955555;10240;10228
173;11090113000;10853955555;11353955555;10240;10228
174;11090148000;10853955555;11353955555;10240;10228
175;11090153000;10853977777;11353977777;10240;10228
176;11090159000;10854300000;11354300000;10240;10228
177;11090163000;10854300000;11354300000;10240;10228
