seqnum;now;rtptime;deadline;packet_len;payload_len
0;8394262000;8304200000;8804200000;10240;10228
3;8394319000;8335655555;8835655555;10240;10228
4;8394332000;8335655555;8835655555;10240;10228
1;8394428000;8304200000;8804200000;10240;10228
2;8394618000;8304200000;8804200000;10240;10228
5;8394819000;8335655555;8835655555;10240;10228
6;8394830000;8335655555;8835655555;10240;10228
8;8434577000;8335655555;8835655555;10240;10228
9;8434595000;8335655555;8835655555;10240;10228
10;8434603000;8335677777;8835677777;10240;10228
11;8434609000;8336000000;8836000000;10240;10228
12;8434613000;8336000000;8836000000;10240;10228
13;8434630000;8336000000;8836000000;10240;10228
14;8434893000;8377311111;8877311111;10240;10228
15;8435079000;8377311111;8877311111;10240;10228
16;8435305000;8377311111;8877311111;10240;10228
17;8435510000;8377311111;8877311111;10240;10228
18;8435524000;8377311111;8877311111;10240;10228
20;8435702000;8377311111;8877311111;10240;10228
21;8474871000;8377322222;8877322222;10240;10228
22;8474888000;8377711111;8877711111;10240;10228
23;8474893000;8377711111;8877711111;10240;10228
24;8474909000;8377711111;8877711111;10240;10228
25;8474914000;8418977777;8918977777;10240;10228
7;8475064000;8335655555;8835655555;10240;10228
26;8475363000;8418977777;8918977777;10240;10228
28;8475544000;8418977777;8918977777;10240;10228
29;8475742000;8418977777;8918977777;10240;10228
30;8475936000;8418977777;8918977777;10240;10228
31;8476155000;8418977777;8918977777;10240;10228
32;8476169000;8418988888;8918988888;10240;10228
33;8481027000;8419355555;8919355555;10240;10228
34;8481225000;8419355555;8919355555;10240;10228
35;8481238000;8419355555;8919355555;10240;10228
36;8515224000;8460666666;8960666666;10240;10228
37;8515238000;8460666666;8960666666;10240;10228
38;8515244000;8460666666;8960666666;10240;10228
39;8515249000;8460666666;8960666666;10240;10228
40;8515253000;8460666666;8960666666;10240;10228
41;8515257000;8460666666;8960666666;10240;10228
42;8515476000;8460666666;8960666666;10240;10228
43;8515665000;8460677777;8960677777;10240;10228
19;8516187000;8377311111;8877311111;10240;10228
27;8516594000;8418977777;8918977777;10240;10228
44;8555544000;8461011111;8961011111;10240;10228
46;8555560000;8461011111;8961011111;10240;10228
47;8555565000;8502311111;9002311111;10240;10228
48;8555572000;8502311111;9002311111;10240;10228
49;8555577000;8502311111;9002311111;10240;10228
50;8555581000;8502311111;9002311111;10240;10228
51;8555584000;8502311111;9002311111;10240;10228
45;8555702000;8461011111;8961011111;10240;10228
52;8555890000;8502311111;9002311111;10240;10228
53;8556172000;8502311111;9002311111;10240;10228
54;8556523000;8502322222;9002322222;10240;10228
56;8564333000;8502633333;9002633333;10240;10228
57;8595836000;8502633333;9002633333;10240;10228
58;8595850000;8544000000;9044000000;10240;10228
59;8595855000;8544000000;9044000000;10240;10228
60;8595859000;8544000000;9044000000;10240;10228
