seqnum;now;rtptime;deadline
0;10754854000;10032566666;10532566666
1;10754858000;10032566666;10532566666
2;10754859000;10032566666;10532566666
3;10784090000;10063877777;10563877777
4;10784099000;10063877777;10563877777
5;10784100000;10063877777;10563877777
6;10784102000;10063877777;10563877777
7;10784103000;10063877777;10563877777
8;10784105000;10063877777;10563877777
9;10784107000;10063877777;10563877777
10;10784263000;10063900000;10563900000
11;10784269000;10064233333;10564233333
12;10784270000;10064233333;10564233333
13;10784272000;10064233333;10564233333
14;10825764000;10105533333;10605533333
15;10825768000;10105533333;10605533333
16;10825769000;10105533333;10605533333
17;10825771000;10105533333;10605533333
18;10825772000;10105533333;10605533333
19;10825773000;10105533333;10605533333
20;10825774000;10105533333;10605533333
21;10825906000;10105544444;10605544444
22;10825912000;10105933333;10605933333
23;10825913000;10105933333;10605933333
24;10825914000;10105933333;10605933333
25;10867188000;10147200000;10647200000
26;10867192000;10147200000;10647200000
27;10867194000;10147200000;10647200000
28;10867195000;10147200000;10647200000
29;10867196000;10147200000;10647200000
30;10867197000;10147200000;10647200000
31;10867198000;10147200000;10647200000
32;10867328000;10147211111;10647211111
33;10867334000;10147555555;10647555555
34;10867335000;10147555555;10647555555
35;10867336000;10147555555;10647555555
36;10908430000;10188866666;10688866666
37;10908434000;10188866666;10688866666
38;10908435000;10188866666;10688866666
39;10908446000;10188866666;10688866666
40;10908447000;10188866666;10688866666
41;10908448000;10188866666;10688866666
42;10908449000;10188866666;10688866666
43;10908544000;10188888888;10688888888
44;10908549000;10189233333;10689233333
45;10908551000;10189233333;10689233333
46;10908552000;10189233333;10689233333
47;10948994000;10230533333;10730533333
48;10948997000;10230533333;10730533333
49;10948999000;10230533333;10730533333
50;10949000000;10230533333;10730533333
51;10949001000;10230533333;10730533333
52;10949002000;10230533333;10730533333
53;10949003000;10230533333;10730533333
54;10949113000;10230544444;10730544444
55;10949119000;10230866666;10730866666
56;10949120000;10230866666;10730866666
57;10949121000;10230866666;10730866666
58;10988923000;10272200000;10772200000
59;10988926000;10272200000;10772200000
60;10988928000;10272200000;10772200000
61;10988929000;10272200000;10772200000
62;10988930000;10272200000;10772200000
63;10988931000;10272200000;10772200000
64;10988932000;10272200000;10772200000
65;10989033000;10272211111;10772211111
66;10989038000;10272511111;10772511111
67;10989039000;10272511111;10772511111
68;10989040000;10272511111;10772511111
69;11026833000;10313866666;10813866666
70;11026837000;10313866666;10813866666
71;11026838000;10313866666;10813866666
72;11026839000;10313866666;10813866666
73;11026840000;10313866666;10813866666
74;11026841000;10313866666;10813866666
75;11026843000;10313866666;10813866666
76;11026949000;10313877777;10813877777
77;11026954000;10314222222;10814222222
78;11026956000;10314222222;10814222222
79;11026957000;10314222222;10814222222
80;11066293000;10355533333;10855533333
81;11066297000;10355533333;10855533333
82;11066298000;10355533333;10855533333
83;11066299000;10355533333;10855533333
84;11066300000;10355533333;10855533333
85;11066301000;10355533333;10855533333
86;11066302000;10355533333;10855533333
87;11518595000;10355544444;10855544444
88;11518614000;10355866666;10855866666
89;11518615000;10355866666;10855866666
90;11518616000;10355866666;10855866666
91;11557911000;10397200000;10897200000
101;11557999000;10397533333;10897533333
102;11597794000;10438866666;10938866666
103;11597798000;10438866666;10938866666
104;11597800000;10438866666;10938866666
105;11597801000;10438866666;10938866666
106;11597802000;10438866666;10938866666
107;11597803000;10438866666;10938866666
108;11597804000;10438866666;10938866666
109;11597927000;10438877777;10938877777
110;11597933000;10439177777;10939177777
111;11597934000;10439177777;10939177777
112;11597935000;10439177777;10939177777
113;11633292000;10480522222;10980522222
114;11633311000;10480522222;10980522222
115;11633312000;10480522222;10980522222
116;11633314000;10480522222;10980522222
117;11633315000;10480522222;10980522222
118;11633316000;10480522222;10980522222
119;11633317000;10480522222;10980522222
120;11633432000;10480533333;10980533333
121;11633438000;10480855555;10980855555
122;11633439000;10480855555;10980855555
123;11633440000;10480855555;10980855555
124;11662147000;10522200000;11022200000
145;11667718000;10564188888;11064188888
146;11704662000;10605522222;11105522222
147;11704666000;10605522222;11105522222
148;11704667000;10605522222;11105522222
149;11704668000;10605522222;11105522222
150;11704669000;10605522222;11105522222
151;11704670000;10605522222;11105522222
152;11704672000;10605522222;11105522222
153;11704804000;10605544444;11105544444
154;11704810000;10605866666;11105866666
155;11704811000;10605866666;11105866666
156;11704812000;10605866666;11105866666
157;11725458000;10647222222;11147222222
158;11725463000;10647222222;11147222222
159;11725464000;10647222222;11147222222
160;11725466000;10647222222;11147222222
161;11725467000;10647222222;11147222222
162;11725468000;10647222222;11147222222
163;11725469000;10647222222;11147222222
164;11725574000;10647244444;11147244444
165;11725580000;10647588888;11147588888
166;11725582000;10647588888;11147588888
167;11725583000;10647588888;11147588888
168;11760421000;10688855555;11188855555
169;11760426000;10688855555;11188855555
