seqnum;now;rtptime;deadline
1;13767539000;12965411111;13465411111
2;13767542000;12965411111;13465411111
3;13796783000;12996622222;13496622222
4;13796799000;12996622222;13496622222
5;13796800000;12996622222;13496622222
6;13796803000;12996622222;13496622222
7;13796804000;12996622222;13496622222
8;13796806000;12996622222;13496622222
9;13796807000;12996622222;13496622222
10;13797024000;12996644444;13496644444
11;13797039000;12996966666;13496966666
12;13797041000;12996966666;13496966666
13;13797048000;12996966666;13496966666
14;13838230000;13038277777;13538277777
15;13838233000;13038277777;13538277777
16;13838243000;13038277777;13538277777
17;13838245000;13038277777;13538277777
18;13838246000;13038277777;13538277777
19;13838247000;13038277777;13538277777
20;13838248000;13038277777;13538277777
21;13838395000;13038288888;13538288888
22;13838398000;13038666666;13538666666
23;13838399000;13038666666;13538666666
24;13838400000;13038666666;13538666666
25;13879984000;13079944444;13579944444
26;13879987000;13079944444;13579944444
27;13879988000;13079944444;13579944444
28;13879989000;13079944444;13579944444
29;13879990000;13079944444;13579944444
30;13879991000;13079944444;13579944444
31;13879992000;13079944444;13579944444
32;13880169000;13079955555;13579955555
33;13880174000;13080300000;13580300000
34;13880175000;13080300000;13580300000
35;13880176000;13080300000;13580300000
36;13921274000;13121611111;13621611111
37;13921277000;13121611111;13621611111
38;13921278000;13121611111;13621611111
39;13921279000;13121611111;13621611111
40;13921280000;13121611111;13621611111
41;13921281000;13121611111;13621611111
42;13921282000;13121611111;13621611111
43;13921429000;13121622222;13621622222
44;13921432000;13121977777;13621977777
45;13921433000;13121977777;13621977777
46;13921434000;13121977777;13621977777
47;13962157000;13163277777;13663277777
48;13962159000;13163277777;13663277777
49;13962160000;13163277777;13663277777
50;13962161000;13163277777;13663277777
51;13962162000;13163277777;13663277777
52;13962163000;13163277777;13663277777
53;13962164000;13163277777;13663277777
54;13962306000;13163288888;13663288888
55;13962308000;13163600000;13663600000
56;13962309000;13163600000;13663600000
57;13962310000;13163600000;13663600000
58;14002980000;13204944444;13704944444
59;14002983000;13204944444;13704944444
60;14002984000;13204944444;13704944444
61;14002985000;13204944444;13704944444
62;14002986000;13204944444;13704944444
63;14002987000;13204944444;13704944444
64;14002988000;13204944444;13704944444
65;14003175000;13204955555;13704955555
66;14003177000;13205255555;13705255555
67;14003178000;13205255555;13705255555
68;14003179000;13205255555;13705255555
69;14041419000;13246611111;13746611111
70;14041422000;13246611111;13746611111
71;14041423000;13246611111;13746611111
72;14041424000;13246611111;13746611111
73;14041425000;13246611111;13746611111
74;14041426000;13246611111;13746611111
75;14041427000;13246611111;13746611111
76;14043272000;13246633333;13746633333
77;14043287000;13246955555;13746955555
78;14043289000;13246955555;13746955555
79;14043290000;13246955555;13746955555
80;14081934000;13288277777;13788277777
81;14081938000;13288277777;13788277777
84;14082769000;13288277777;13788277777
85;14082780000;13288277777;13788277777
86;14082781000;13288277777;13788277777
87;14082990000;13288288888;13788288888
88;14083005000;13288600000;13788600000
89;14083007000;13288600000;13788600000
90;14083008000;13288600000;13788600000
91;14117152000;13329944444;13829944444
92;14117156000;13329944444;13829944444
93;14117157000;13329944444;13829944444
94;14117158000;13329944444;13829944444
95;14117159000;13329944444;13829944444
96;14117160000;13329944444;13829944444
97;14117160000;13329944444;13829944444
98;14121583000;13329955555;13829955555
99;14121599000;13330277777;13830277777
100;14121600000;13330277777;13830277777
101;14121601000;13330277777;13830277777
102;14161004000;13371622222;13871622222
123;14197247000;13413600000;13913600000
132;14237388000;13455255555;13955255555
133;14237392000;13455255555;13955255555
134;14237393000;13455255555;13955255555
135;14276751000;13496611111;13996611111
136;14276768000;13496611111;13996611111
137;14276769000;13496611111;13996611111
138;14276770000;13496611111;13996611111
139;14276771000;13496611111;13996611111
141;14276773000;13496611111;13996611111
142;14276980000;13496622222;13996622222
143;14276996000;13496900000;13996900000
144;14276997000;13496900000;13996900000
145;14276998000;13496900000;13996900000
146;14316243000;13538277777;14038277777
147;14316246000;13538277777;14038277777
148;14316248000;13538277777;14038277777
149;14316249000;13538277777;14038277777
150;14316250000;13538277777;14038277777
151;14316251000;13538277777;14038277777
152;14316252000;13538277777;14038277777
153;14316425000;13538288888;14038288888
154;14316430000;13538611111;14038611111
155;14316431000;13538611111;14038611111
156;14316432000;13538611111;14038611111
157;14355511000;13579944444;14079944444
209;14516979000;13746900000;14246900000
274;14722502000;13996633333;14496633333
328;14722511000;14204933333;14704933333
329;14786559000;14204944444;14704944444
340;14836219000;14246622222;14746622222
362;14892208000;14329944444;14829944444
374;14892221000;14371888888;14871888888
375;14892222000;14371888888;14871888888
376;14892233000;14371888888;14871888888
377;14923811000;14413300000;14913300000
387;14923937000;14413600000;14913600000
388;14952103000;14454977777;14954977777
389;14952107000;14454977777;14954977777
390;14952109000;14454977777;14954977777
391;14952112000;14454977777;14954977777
392;14952114000;14454977777;14954977777
393;14952116000;14454977777;14954977777
394;14952118000;14454977777;14954977777
395;14952363000;14455000000;14955000000
396;14952371000;14455311111;14955311111
397;14952383000;14455311111;14955311111
398;14952385000;14455311111;14955311111
399;14988200000;14496600000;14996600000
400;14988204000;14496600000;14996600000
401;14988205000;14496600000;14996600000
402;14988206000;14496600000;14996600000
403;14988208000;14496600000;14996600000
404;14988209000;14496600000;14996600000
405;14988210000;14496600000;14996600000
406;14988349000;14496611111;14996611111
407;14988352000;14496877777;14996877777
408;14988353000;14496877777;14996877777
409;14988355000;14496877777;14996877777
410;15029372000;14538266666;15038266666
411;15029376000;14538266666;15038266666
412;15029377000;14538266666;15038266666
413;15029379000;14538266666;15038266666
414;15029380000;14538266666;15038266666
415;15029382000;14538266666;15038266666
416;15029383000;14538266666;15038266666
417;15029583000;14538288888;15038288888
418;15029598000;14538588888;15038588888
419;15029600000;14538588888;15038588888
420;15029601000;14538588888;15038588888
421;15070451000;14579977777;15079977777
422;15070455000;14579977777;15079977777
423;15070456000;14579977777;15079977777
424;15070457000;14579977777;15079977777
425;15070458000;14579977777;15079977777
426;15070460000;14579977777;15079977777
427;15070461000;14579977777;15079977777
428;15070661000;14580022222;15080022222
429;15070676000;14580355555;15080355555
430;15070677000;14580355555;15080355555
431;15070679000;14580355555;15080355555
432;15112105000;14621633333;15121633333
433;15112109000;14621633333;15121633333
434;15112110000;14621633333;15121633333
435;15112111000;14621633333;15121633333
436;15112113000;14621633333;15121633333
437;15112114000;14621633333;15121633333
438;15112115000;14621633333;15121633333
439;15112315000;14621688888;15121688888
440;15112321000;14621988888;15121988888
441;15112323000;14621988888;15121988888
442;15112324000;14621988888;15121988888
443;15153712000;14663288888;15163288888
444;15153716000;14663288888;15163288888
