seqnum;now;rtptime;deadline;packet_len;payload_len
0;15759667000;15269700000;15769700000;10240;10228
1;15759708000;15269700000;15769700000;10240;10228
2;15759804000;15269700000;15769700000;10240;10228
3;15759829000;15301033333;15801033333;10240;10228
0;15759835000;15269700000;15769700000;10240;10228
1;15759995000;15269700000;15769700000;10240;10228
2;15760210000;15269700000;15769700000;10240;10228
3;15760227000;15301033333;15801033333;10240;10228
4;15960013000;15301033333;15801033333;10240;10228
5;15960031000;15301033333;15801033333;10240;10228
6;15960036000;15301033333;15801033333;10240;10228
7;15960040000;15301033333;15801033333;10240;10228
8;15960061000;15301033333;15801033333;10240;10228
9;15960066000;15301033333;15801033333;10240;10228
4;15960166000;15301033333;15801033333;10240;10228
5;15960378000;15301033333;15801033333;10240;10228
6;15960399000;15301033333;15801033333;10240;10228
7;15989770000;15301033333;15801033333;10240;10228
8;15989969000;15301033333;15801033333;10240;10228
10;16160297000;15301055555;15801055555;10240;10228
11;16160308000;15301422222;15801422222;10240;10228
12;16160314000;15301422222;15801422222;10240;10228
13;16160318000;15301422222;15801422222;10240;10228
14;16160322000;15342700000;15842700000;10240;10228
15;16160335000;15342700000;15842700000;10240;10228
16;16160340000;15342700000;15842700000;10240;10228
17;16160348000;15342700000;15842700000;10240;10228
9;16160526000;15301033333;15801033333;10240;10228
10;16160702000;15301055555;15801055555;10240;10228
11;16160723000;15301422222;15801422222;10240;10228
12;16160911000;15301422222;15801422222;10240;10228
13;16160922000;15301422222;15801422222;10240;10228
18;16360572000;15342700000;15842700000;10240;10228
19;16360596000;15342700000;15842700000;10240;10228
20;16360604000;15342700000;15842700000;10240;10228
21;16360611000;15342711111;15842711111;10240;10228
22;16360622000;15343100000;15843100000;10240;10228
23;16360626000;15343100000;15843100000;10240;10228
24;16360630000;15343100000;15843100000;10240;10228
25;16360635000;15384366666;15884366666;10240;10228
17;16361191000;15342700000;15842700000;10240;10228
18;16361401000;15342700000;15842700000;10240;10228
19;16361410000;15342700000;15842700000;10240;10228
20;16361605000;15342700000;15842700000;10240;10228
21;16361614000;15342711111;15842711111;10240;10228
26;16560944000;15384366666;15884366666;10240;10228
27;16560962000;15384366666;15884366666;10240;10228
28;16560969000;15384366666;15884366666;10240;10228
29;16560973000;15384366666;15884366666;10240;10228
30;16560979000;15384366666;15884366666;10240;10228
31;16560983000;15384366666;15884366666;10240;10228
32;16560987000;15384377777;15884377777;10240;10228
33;16560992000;15384711111;15884711111;10240;10228
34;16560996000;15384711111;15884711111;10240;10228
35;16561172000;15384711111;15884711111;10240;10228
36;16561193000;15426022222;15926022222;10240;10228
25;16561503000;15384366666;15884366666;10240;10228
26;16561682000;15384366666;15884366666;10240;10228
27;16561703000;15384366666;15884366666;10240;10228
28;16561891000;15384366666;15884366666;10240;10228
29;16561903000;15384366666;15884366666;10240;10228
37;16761230000;15426022222;15926022222;10240;10228
38;16761242000;15426022222;15926022222;10240;10228
39;16761251000;15426022222;15926022222;10240;10228
40;16761255000;15426022222;15926022222;10240;10228
41;16761265000;15426022222;15926022222;10240;10228
42;16761270000;15426022222;15926022222;10240;10228
43;16761274000;15426044444;15926044444;10240;10228
44;16761575000;15426400000;15926400000;10240;10228
45;16761588000;15426400000;15926400000;10240;10228
46;16761593000;15426400000;15926400000;10240;10228
47;16761608000;15467700000;15967700000;10240;10228
48;16761613000;15467700000;15967700000;10240;10228
49;16761621000;15467700000;15967700000;10240;10228
50;16761625000;15467700000;15967700000;10240;10228
36;16762249000;15426022222;15926022222;10240;10228
37;16762270000;15426022222;15926022222;10240;10228
38;16762454000;15426022222;15926022222;10240;10228
39;16762475000;15426022222;15926022222;10240;10228
40;16762653000;15426022222;15926022222;10240;10228
51;16961531000;15467700000;15967700000;10240;10228
52;16961564000;15467700000;15967700000;10240;10228
53;16961570000;15467700000;15967700000;10240;10228
54;16961585000;15467711111;15967711111;10240;10228
55;16961591000;15468033333;15968033333;10240;10228
56;16961597000;15468033333;15968033333;10240;10228
57;16961602000;15468033333;15968033333;10240;10228
58;16961606000;15509366666;16009366666;10240;10228
59;16961786000;15509366666;16009366666;10240;10228
60;16961797000;15509366666;16009366666;10240;10228
61;16961801000;15509366666;16009366666;10240;10228
62;16961815000;15509366666;16009366666;10240;10228
63;16961821000;15509366666;16009366666;10240;10228
64;16961826000;15509366666;16009366666;10240;10228
65;16961833000;15509377777;16009377777;10240;10228
66;16961917000;15509677777;16009677777;10240;10228
67;16961931000;15509677777;16009677777;10240;10228
68;16961937000;15509677777;16009677777;10240;10228
69;16961941000;15551033333;16051033333;10240;10228
70;16961946000;15551033333;16051033333;10240;10228
50;16962765000;15467700000;15967700000;10240;10228
51;16962952000;15467700000;15967700000;10240;10228
52;16963150000;15467700000;15967700000;10240;10228
53;16963169000;15467700000;15967700000;10240;10228
54;16963371000;15467711111;15967711111;10240;10228
71;17161848000;15551033333;16051033333;10240;10228
72;17161878000;15551033333;16051033333;10240;10228
73;17161884000;15551033333;16051033333;10240;10228
74;17161894000;15551033333;16051033333;10240;10228
75;17161899000;15551033333;16051033333;10240;10228
76;17161905000;15551044444;16051044444;10240;10228
77;17161910000;15551400000;16051400000;10240;10228
78;17161915000;15551400000;16051400000;10240;10228
79;17161919000;15551400000;16051400000;10240;10228
80;17161923000;15592711111;16092711111;10240;10228
81;17162002000;15592711111;16092711111;10240;10228
82;17162023000;15592711111;16092711111;10240;10228
83;17162028000;15592711111;16092711111;10240;10228
84;17162035000;15592711111;16092711111;10240;10228
85;17162039000;15592711111;16092711111;10240;10228
86;17162052000;15592711111;16092711111;10240;10228
87;17162084000;15592733333;16092733333;10240;10228
88;17162099000;15593100000;16093100000;10240;10228
89;17162103000;15593100000;16093100000;10240;10228
90;17162118000;15593100000;16093100000;10240;10228
91;17162123000;15634366666;16134366666;10240;10228
92;17162134000;15634366666;16134366666;10240;10228
93;17162153000;15634366666;16134366666;10240;10228
94;17162169000;15634366666;16134366666;10240;10228
95;17162173000;15634366666;16134366666;10240;10228
96;17162181000;15634366666;16134366666;10240;10228
97;17162187000;15634366666;16134366666;10240;10228
98;17162201000;15634388888;16134388888;10240;10228
99;17162209000;15634677777;16134677777;10240;10228
100;17162214000;15634677777;16134677777;10240;10228
70;17163846000;15551033333;16051033333;10240;10228
71;17164116000;15551033333;16051033333;10240;10228
72;17164149000;15551033333;16051033333;10240;10228
73;17164155000;15551033333;16051033333;10240;10228
74;17164281000;15551033333;16051033333;10240;10228
101;17362112000;15634677777;16134677777;10240;10228
102;17362140000;15676022222;16176022222;10240;10228
103;17362145000;15676022222;16176022222;10240;10228
104;17362151000;15676022222;16176022222;10240;10228
105;17362155000;15676022222;16176022222;10240;10228
106;17362162000;15676022222;16176022222;10240;10228
107;17362167000;15676022222;16176022222;10240;10228
108;17362180000;15676022222;16176022222;10240;10228
109;17362184000;15676044444;16176044444;10240;10228
110;17362204000;15676322222;16176322222;10240;10228
111;17362209000;15676322222;16176322222;10240;10228
112;17362213000;15676322222;16176322222;10240;10228
113;17362220000;15717700000;16217700000;10240;10228
114;17362226000;15717700000;16217700000;10240;10228
115;17362276000;15717700000;16217700000;10240;10228
116;17362288000;15717700000;16217700000;10240;10228
117;17362295000;15717700000;16217700000;10240;10228
118;17362312000;15717700000;16217700000;10240;10228
119;17362321000;15717700000;16217700000;10240;10228
120;17362332000;15717711111;16217711111;10240;10228
121;17362364000;15718022222;16218022222;10240;10228
122;17362375000;15718022222;16218022222;10240;10228
123;17362383000;15718022222;16218022222;10240;10228
124;17362390000;15759366666;16259366666;10240;10228
125;17362397000;15759366666;16259366666;10240;10228
126;17362404000;15759366666;16259366666;10240;10228
127;17362417000;15759366666;16259366666;10240;10228
128;17362422000;15759366666;16259366666;10240;10228
129;17362430000;15759366666;16259366666;10240;10228
130;17362473000;15759366666;16259366666;10240;10228
131;17362482000;15759377777;16259377777;10240;10228
132;17362493000;15759722222;16259722222;10240;10228
133;17362505000;15759722222;16259722222;10240;10228
134;17362515000;15759722222;16259722222;10240;10228
135;17362529000;15801011111;16301011111;10240;10228
136;17362538000;15801011111;16301011111;10240;10228
137;17362552000;15801011111;16301011111;10240;10228
138;17362564000;15801011111;16301011111;10240;10228
139;17362577000;15801011111;16301011111;10240;10228
140;17362590000;15801011111;16301011111;10240;10228
141;17362603000;15801011111;16301011111;10240;10228
142;17362617000;15801033333;16301033333;10240;10228
143;17362629000;15801344444;16301344444;10240;10228
100;17365134000;15634677777;16134677777;10240;10228
101;17365322000;15634677777;16134677777;10240;10228
102;17365525000;15676022222;16176022222;10240;10228
103;17365539000;15676022222;16176022222;10240;10228
104;17365764000;15676022222;16176022222;10240;10228
144;17562361000;15801344444;16301344444;10240;10228
145;17562381000;15801344444;16301344444;10240;10228
146;17562385000;15842688888;16342688888;10240;10228
147;17562395000;15842688888;16342688888;10240;10228
148;17562402000;15842688888;16342688888;10240;10228
149;17562414000;15842688888;16342688888;10240;10228
150;17562427000;15842688888;16342688888;10240;10228
151;17562435000;15842688888;16342688888;10240;10228
152;17562440000;15842688888;16342688888;10240;10228
153;17562447000;15842700000;16342700000;10240;10228
154;17562455000;15843033333;16343033333;10240;10228
155;17562475000;15843033333;16343033333;10240;10228
