seqnum;now;rtptime;deadline;packet_len;payload_len
0;10163946000;9873577777;10373577777;10240;10228
1;10164076000;9873577777;10373577777;10240;10228
2;10164102000;9873577777;10373577777;10240;10228
3;10164106000;9905077777;10405077777;10240;10228
4;10284300000;9905077777;10405077777;10240;10228
5;10284316000;9905077777;10405077777;10240;10228
6;10284329000;9905077777;10405077777;10240;10228
7;10284332000;9905077777;10405077777;10240;10228
8;10284336000;9905077777;10405077777;10240;10228
9;10284343000;9905077777;10405077777;10240;10228
10;10311489000;9905100000;10405100000;10240;10228
11;10311510000;9905444444;10405444444;10240;10228
12;10404654000;9905444444;10405444444;10240;10228
13;10404686000;9905444444;10405444444;10240;10228
14;10404703000;9946744444;10446744444;10240;10228
15;10404710000;9946744444;10446744444;10240;10228
16;10404713000;9946744444;10446744444;10240;10228
17;10404718000;9946744444;10446744444;10240;10228
18;10404722000;9946744444;10446744444;10240;10228
19;10404726000;9946744444;10446744444;10240;10228
20;10404730000;9946744444;10446744444;10240;10228
21;10404925000;9946755555;10446755555;10240;10228
22;10404938000;9947144444;10447144444;10240;10228
23;10404942000;9947144444;10447144444;10240;10228
24;10431814000;9947144444;10447144444;10240;10228
25;10431834000;9988400000;10488400000;10240;10228
26;10458909000;9988400000;10488400000;10240;10228
27;10458929000;9988400000;10488400000;10240;10228
28;10525010000;9988400000;10488400000;10240;10228
29;10525030000;9988400000;10488400000;10240;10228
30;10525036000;9988400000;10488400000;10240;10228
31;10525050000;9988400000;10488400000;10240;10228
32;10525056000;9988411111;10488411111;10240;10228
33;10525073000;9988733333;10488733333;10240;10228
34;10525077000;9988733333;10488733333;10240;10228
35;10525081000;9988733333;10488733333;10240;10228
36;10525098000;10030066666;10530066666;10240;10228
37;10525298000;10030066666;10530066666;10240;10228
38;10525309000;10030066666;10530066666;10240;10228
39;10525313000;10030066666;10530066666;10240;10228
40;10525318000;10030066666;10530066666;10240;10228
41;10525323000;10030066666;10530066666;10240;10228
42;10525327000;10030066666;10530066666;10240;10228
43;10525331000;10030077777;10530077777;10240;10228
44;10525336000;10030433333;10530433333;10240;10228
