seqnum;now;rtptime;deadline
0;10568203000;10076866666;10576866666
1;10568208000;10076866666;10576866666
2;10568209000;10076866666;10576866666
3;10598715000;10108277777;10608277777
4;10598726000;10108277777;10608277777
5;10598728000;10108277777;10608277777
6;10598730000;10108277777;10608277777
7;10598741000;10108277777;10608277777
8;10598744000;10108277777;10608277777
9;10598746000;10108277777;10608277777
10;10598982000;10108300000;10608300000
11;10598997000;10108633333;10608633333
12;10607666000;10108633333;10608633333
13;10607675000;10108633333;10608633333
14;10640343000;10149944444;10649944444
15;10640346000;10149944444;10649944444
16;10640347000;10149944444;10649944444
17;10640348000;10149944444;10649944444
18;10640349000;10149944444;10649944444
19;10640350000;10149944444;10649944444
20;10640351000;10149944444;10649944444
21;10640552000;10149955555;10649955555
22;10640567000;10150344444;10650344444
23;10640568000;10150344444;10650344444
24;10640569000;10150344444;10650344444
25;10681836000;10191611111;10691611111
26;10681839000;10191611111;10691611111
27;10681850000;10191611111;10691611111
28;10727964000;10191611111;10691611111
29;10727968000;10191611111;10691611111
30;10727971000;10191611111;10691611111
31;10727977000;10191611111;10691611111
32;10929173000;10191622222;10691622222
64;10929189000;10316611111;10816611111
65;11053134000;10316622222;10816622222
138;11053141000;10608277777;11108277777
139;11053143000;10608277777;11108277777
140;11053144000;10608277777;11108277777
141;11053145000;10608277777;11108277777
142;11296023000;10608288888;11108288888
252;11384014000;11024955555;11524955555
274;11397871000;11108311111;11608311111
275;11397877000;11108577777;11608577777
276;11397878000;11108577777;11608577777
277;11397879000;11108577777;11608577777
278;11424992000;11149966666;11649966666
286;11425165000;11150388888;11650388888
287;11425169000;11150388888;11650388888
288;11425170000;11150388888;11650388888
289;11458739000;11191633333;11691633333
290;11458743000;11191633333;11691633333
291;11458745000;11191633333;11691633333
292;11458746000;11191633333;11691633333
293;11458747000;11191633333;11691633333
294;11458748000;11191633333;11691633333
295;11458749000;11191633333;11691633333
296;11458958000;11191688888;11691688888
297;11458974000;11191966666;11691966666
298;11458975000;11191966666;11691966666
299;11458977000;11191966666;11691966666
300;11496538000;11233300000;11733300000
301;11496542000;11233300000;11733300000
302;11496543000;11233300000;11733300000
303;11496544000;11233300000;11733300000
304;11496545000;11233300000;11733300000
305;11496546000;11233300000;11733300000
306;11496548000;11233300000;11733300000
307;11496744000;11233344444;11733344444
308;11496750000;11233611111;11733611111
309;11496751000;11233611111;11733611111
310;11496752000;11233611111;11733611111
311;11536492000;11274966666;11774966666
312;11536495000;11274966666;11774966666
313;11536497000;11274966666;11774966666
314;11536498000;11274966666;11774966666
315;11536500000;11274966666;11774966666
316;11536501000;11274966666;11774966666
317;11536502000;11274966666;11774966666
318;11536709000;11275011111;11775011111
319;11536724000;11275344444;11775344444
320;11536726000;11275344444;11775344444
321;11536727000;11275344444;11775344444
322;11577510000;11316633333;11816633333
323;11577514000;11316633333;11816633333
324;11577515000;11316633333;11816633333
325;11577516000;11316633333;11816633333
326;11577518000;11316633333;11816633333
327;11577519000;11316633333;11816633333
328;11577520000;11316633333;11816633333
329;11577720000;11316677777;11816677777
330;11577726000;11316966666;11816966666
331;11577727000;11316966666;11816966666
332;11577728000;11316966666;11816966666
333;11618904000;11358300000;11858300000
334;11618907000;11358300000;11858300000
335;11618908000;11358300000;11858300000
336;11618909000;11358300000;11858300000
337;11618910000;11358300000;11858300000
338;11618911000;11358300000;11858300000
339;11618913000;11358300000;11858300000
340;11619108000;11358344444;11858344444
341;11619124000;11358633333;11858633333
342;11619125000;11358633333;11858633333
343;11619143000;11358633333;11858633333
344;11660524000;11399966666;11899966666
345;11660528000;11399966666;11899966666
346;11660529000;11399966666;11899966666
347;11660530000;11399966666;11899966666
348;11660530000;11399966666;11899966666
349;11660531000;11399966666;11899966666
350;11660532000;11399966666;11899966666
351;11660713000;11400011111;11900011111
352;11660726000;11400344444;11900344444
353;11660727000;11400344444;11900344444
354;11660728000;11400344444;11900344444
355;11702149000;11441633333;11941633333
356;11702152000;11441633333;11941633333
357;11702153000;11441633333;11941633333
358;11702154000;11441633333;11941633333
359;11702155000;11441633333;11941633333
360;11702156000;11441633333;11941633333
361;11702157000;11441633333;11941633333
362;11702363000;11441677777;11941677777
363;11702379000;11441955555;11941955555
364;11702380000;11441955555;11941955555
365;11702381000;11441955555;11941955555
366;11743811000;11483300000;11983300000
367;11743814000;11483300000;11983300000
368;11743815000;11483300000;11983300000
369;11743816000;11483300000;11983300000
370;11743817000;11483300000;11983300000
371;11743818000;11483300000;11983300000
372;11743819000;11483300000;11983300000
373;11744017000;11483344444;11983344444
374;11744032000;11483600000;11983600000
375;11744034000;11483600000;11983600000
376;11744035000;11483600000;11983600000
377;11785502000;11524966666;12024966666
378;11785507000;11524966666;12024966666
379;11785509000;11524966666;12024966666
380;11785510000;11524966666;12024966666
381;11785512000;11524966666;12024966666
382;11785513000;11524966666;12024966666
383;11785515000;11524966666;12024966666
384;11785770000;11525011111;12025011111
385;11785786000;11525333333;12025333333
386;11785787000;11525333333;12025333333
387;11785789000;11525333333;12025333333
388;11827182000;11566633333;12066633333
389;11827190000;11566633333;12066633333
390;11827192000;11566633333;12066633333
391;11827203000;11566633333;12066633333
392;11827204000;11566633333;12066633333
393;11827206000;11566633333;12066633333
394;11827208000;11566633333;12066633333
395;11827428000;11566688888;12066688888
396;11827444000;11566977777;12066977777
397;11827446000;11566977777;12066977777
398;11827447000;11566977777;12066977777
399;11868846000;11608300000;12108300000
400;11868853000;11608300000;12108300000
401;11868855000;11608300000;12108300000
402;11868856000;11608300000;12108300000
403;11868867000;11608300000;12108300000
404;11868868000;11608300000;12108300000
405;11868869000;11608300000;12108300000
406;11869093000;11608344444;12108344444
407;11869109000;11608622222;12108622222
408;11869110000;11608622222;12108622222
409;11869111000;11608622222;12108622222
410;11910520000;11649966666;12149966666
411;11910526000;11649966666;12149966666
412;11910528000;11649966666;12149966666
413;11910539000;11649966666;12149966666
414;11910541000;11649966666;12149966666
415;11910542000;11649966666;12149966666
416;11910544000;11649966666;12149966666
417;11910754000;11650011111;12150011111
418;11910770000;11650344444;12150344444
419;11910771000;11650344444;12150344444
420;11910773000;11650344444;12150344444
421;11952190000;11691633333;12191633333
422;11952196000;11691633333;12191633333
423;11952198000;11691633333;12191633333
424;11952209000;11691633333;12191633333
425;11952210000;11691633333;12191633333
426;11952211000;11691633333;12191633333
427;11952213000;11691633333;12191633333
428;11952423000;11691677777;12191677777
429;11952439000;11691988888;12191988888
430;11952440000;11691988888;12191988888
431;11952442000;11691988888;12191988888
432;11993854000;11733300000;12233300000
433;11993860000;11733300000;12233300000
434;11993861000;11733300000;12233300000
435;11993864000;11733300000;12233300000
436;11993874000;11733300000;12233300000
437;11993876000;11733300000;12233300000
438;11993877000;11733300000;12233300000
439;11994097000;11733344444;12233344444
440;11994113000;11733633333;12233633333
441;11994114000;11733633333;12233633333
442;11994116000;11733633333;12233633333
443;12035491000;11774966666;12274966666
444;12035495000;11774966666;12274966666
445;12035496000;11774966666;12274966666
446;12035512000;11774966666;12274966666
447;12035514000;11774966666;12274966666
448;12035515000;11774966666;12274966666
449;12035516000;11774966666;12274966666
450;12035683000;11775011111;12275011111
451;12035699000;11775322222;12275322222
452;12035701000;11775322222;12275322222
453;12035702000;11775322222;12275322222
454;12077137000;11816633333;12316633333
455;12077140000;11816633333;12316633333
456;12077142000;11816633333;12316633333
457;12077143000;11816633333;12316633333
458;12077145000;11816633333;12316633333
459;12077146000;11816633333;12316633333
460;12077148000;11816633333;12316633333
461;12077356000;11816677777;12316677777
462;12077372000;11816944444;12316944444
463;12077373000;11816944444;12316944444
464;12077375000;11816944444;12316944444
465;12118828000;11858300000;12358300000
466;12118832000;11858300000;12358300000
467;12118833000;11858300000;12358300000
468;12118834000;11858300000;12358300000
469;12118835000;11858300000;12358300000
470;12118837000;11858300000;12358300000
471;12118838000;11858300000;12358300000
472;12119038000;11858344444;12358344444
473;12119061000;11858622222;12358622222
474;12119062000;11858622222;12358622222
475;12119064000;11858622222;12358622222
476;12160469000;11899966666;12399966666
477;12160473000;11899966666;12399966666
478;12160474000;11899966666;12399966666
479;12160475000;11899966666;12399966666
480;12160477000;11899966666;12399966666
481;12160478000;11899966666;12399966666
482;12160479000;11899966666;12399966666
483;12160676000;11900011111;12400011111
484;12160692000;11900366666;12400366666
485;12160693000;11900366666;12400366666
486;12160694000;11900366666;12400366666
487;12202140000;11941633333;12441633333
488;12202144000;11941633333;12441633333
489;12202145000;11941633333;12441633333
490;12202146000;11941633333;12441633333
491;12202148000;11941633333;12441633333
492;12202149000;11941633333;12441633333
493;12202150000;11941633333;12441633333
494;12207247000;11941677777;12441677777
495;12207254000;11941966666;12441966666
496;12207255000;11941966666;12441966666
497;12207269000;11941966666;12441966666
498;12243727000;11983300000;12483300000
499;12243731000;11983300000;12483300000
500;12243732000;11983300000;12483300000
501;12243734000;11983300000;12483300000
502;12243735000;11983300000;12483300000
503;12243736000;11983300000;12483300000
504;12243737000;11983300000;12483300000
505;12243861000;11983344444;12483344444
506;12243867000;11983611111;12483611111
507;12243869000;11983611111;12483611111
508;12243870000;11983611111;12483611111
509;12285429000;12024966666;12524966666
510;12285432000;12024966666;12524966666
511;12285433000;12024966666;12524966666
512;12285434000;12024966666;12524966666
513;12285436000;12024966666;12524966666
514;12285437000;12024966666;12524966666
515;12285439000;12024966666;12524966666
516;12285543000;12025011111;12525011111
517;12285548000;12025344444;12525344444
518;12285550000;12025344444;12525344444
519;12285551000;12025344444;12525344444
520;12327119000;12066633333;12566633333
521;12327123000;12066633333;12566633333
522;12327124000;12066633333;12566633333
523;12327126000;12066633333;12566633333
524;12327127000;12066633333;12566633333
525;12327128000;12066633333;12566633333
526;12327129000;12066633333;12566633333
527;12327252000;12066677777;12566677777
528;12327258000;12066966666;12566966666
529;12327259000;12066966666;12566966666
530;12327261000;12066966666;12566966666
531;12368761000;12108300000;12608300000
532;12368765000;12108300000;12608300000
533;12368766000;12108300000;12608300000
534;12368767000;12108300000;12608300000
535;12368768000;12108300000;12608300000
536;12368769000;12108300000;12608300000
537;12368770000;12108300000;12608300000
538;12368893000;12108344444;12608344444
539;12368898000;12108655555;12608655555
540;12368899000;12108655555;12608655555
541;12368900000;12108655555;12608655555
542;12410405000;12149944444;12649944444
543;12410409000;12149944444;12649944444
544;12410410000;12149944444;12649944444
545;12410411000;12149944444;12649944444
546;12410412000;12149944444;12649944444
547;12410413000;12149944444;12649944444
548;12410423000;12149944444;12649944444
549;12410528000;12149955555;12649955555
550;12410533000;12150288888;12650288888
551;12410534000;12150288888;12650288888
552;12410535000;12150288888;12650288888
553;12452050000;12191611111;12691611111
554;12452052000;12191611111;12691611111
555;12452053000;12191611111;12691611111
556;12452054000;12191611111;12691611111
557;12452055000;12191611111;12691611111
558;12452056000;12191611111;12691611111
559;12452057000;12191611111;12691611111
560;12452174000;12191622222;12691622222
561;12452179000;12191888888;12691888888
562;12452180000;12191888888;12691888888
563;12452181000;12191888888;12691888888
564;12493766000;12233277777;12733277777
565;12493770000;12233277777;12733277777
566;12493772000;12233277777;12733277777
567;12493774000;12233277777;12733277777
568;12493775000;12233277777;12733277777
569;12493776000;12233277777;12733277777
570;12493777000;12233277777;12733277777
571;12493913000;12233288888;12733288888
572;12493918000;12233555555;12733555555
573;12493920000;12233555555;12733555555
574;12493921000;12233555555;12733555555
575;12535406000;12274944444;12774944444
576;12535409000;12274944444;12774944444
577;12535410000;12274944444;12774944444
578;12535411000;12274944444;12774944444
579;12535413000;12274944444;12774944444
580;12535414000;12274944444;12774944444
581;12535415000;12274944444;12774944444
582;12535537000;12274955555;12774955555
583;12535542000;12275266666;12775266666
584;12535543000;12275266666;12775266666
585;12535544000;12275266666;12775266666
586;12577085000;12316611111;12816611111
587;12577088000;12316611111;12816611111
588;12577089000;12316611111;12816611111
589;12577090000;12316611111;12816611111
590;12577091000;12316611111;12816611111
591;12577092000;12316611111;12816611111
592;12577093000;12316611111;12816611111
593;12577215000;12316622222;12816622222
594;12577220000;12316922222;12816922222
595;12577221000;12316922222;12816922222
596;12577222000;12316922222;12816922222
