seqnum;now;rtptime;deadline
1;2636359000;2552688888;3052688888
3;2676419000;2584211111;3084211111
4;2676429000;2584211111;3084211111
5;2676432000;2584211111;3084211111
6;2676434000;2584211111;3084211111
7;2676437000;2584211111;3084211111
8;2676439000;2584211111;3084211111
9;2676440000;2584211111;3084211111
10;2676608000;2584222222;3084222222
11;2676614000;2584555555;3084555555
12;2676616000;2584555555;3084555555
13;2676618000;2584555555;3084555555
14;2718067000;2625866666;3125866666
15;2718077000;2625866666;3125866666
16;2718079000;2625866666;3125866666
17;2718091000;2625866666;3125866666
18;2718093000;2625866666;3125866666
19;2718094000;2625866666;3125866666
20;2718096000;2625866666;3125866666
21;2718222000;2625877777;3125877777
22;2718228000;2626266666;3126266666
23;2718230000;2626266666;3126266666
24;2718232000;2626266666;3126266666
25;2759621000;2667555555;3167555555
26;2759631000;2667555555;3167555555
27;2759633000;2667555555;3167555555
28;2759634000;2667555555;3167555555
29;2759645000;2667555555;3167555555
30;2759647000;2667555555;3167555555
31;2759648000;2667555555;3167555555
32;2759753000;2667566666;3167566666
33;2759759000;2667933333;3167933333
34;2759761000;2667933333;3167933333
35;2759762000;2667933333;3167933333
36;2800900000;2709166666;3209166666
37;2800908000;2709166666;3209166666
38;2800910000;2709166666;3209166666
39;2800912000;2709166666;3209166666
40;2800913000;2709166666;3209166666
41;2800916000;2709166666;3209166666
42;2800917000;2709166666;3209166666
43;2801087000;2709177777;3209177777
44;2801093000;2709500000;3209500000
45;2801096000;2709500000;3209500000
46;2801097000;2709500000;3209500000
47;2842059000;2750866666;3250866666
48;2842067000;2750866666;3250866666
49;2842069000;2750866666;3250866666
50;2842070000;2750866666;3250866666
51;2842072000;2750866666;3250866666
52;2842073000;2750866666;3250866666
53;2842084000;2750866666;3250866666
54;2842187000;2750877777;3250877777
55;2842193000;2751188888;3251188888
56;2842195000;2751188888;3251188888
57;2842196000;2751188888;3251188888
58;2882811000;2792533333;3292533333
59;2882815000;2792533333;3292533333
60;2882816000;2792533333;3292533333
61;2882817000;2792533333;3292533333
62;2882819000;2792533333;3292533333
63;2882820000;2792533333;3292533333
64;2882822000;2792533333;3292533333
65;2882933000;2792544444;3292544444
66;2882939000;2792822222;3292822222
67;2882940000;2792822222;3292822222
68;2882941000;2792822222;3292822222
69;2927670000;2834200000;3334200000
70;2927677000;2834200000;3334200000
71;2927679000;2834200000;3334200000
72;2927680000;2834200000;3334200000
73;2927682000;2834200000;3334200000
74;2927683000;2834200000;3334200000
