seqnum;now;rtptime;deadline
1;4665428000;4581755555;5081755555
3;4705453000;4613277777;5113277777
4;4705461000;4613277777;5113277777
5;4705464000;4613277777;5113277777
6;4705465000;4613277777;5113277777
8;4705468000;4613277777;5113277777
9;4705469000;4613277777;5113277777
10;4705642000;4613288888;5113288888
11;4705664000;4613622222;5113622222
12;4705666000;4613622222;5113622222
14;4747148000;4654922222;5154922222
15;4747153000;4654922222;5154922222
16;4747155000;4654922222;5154922222
17;4747156000;4654922222;5154922222
18;4747158000;4654922222;5154922222
19;4747159000;4654922222;5154922222
20;4747161000;4654922222;5154922222
21;4747225000;4654944444;5154944444
22;4747231000;4655322222;5155322222
23;4747233000;4655322222;5155322222
24;4747234000;4655322222;5155322222
25;4788656000;4696600000;5196600000
26;4788664000;4696600000;5196600000
27;4788666000;4696600000;5196600000
28;4788667000;4696600000;5196600000
29;4788669000;4696600000;5196600000
30;4788682000;4696600000;5196600000
31;4788683000;4696600000;5196600000
32;4788755000;4696600000;5196600000
33;4788773000;4696922222;5196922222
34;4788774000;4696922222;5196922222
35;4788776000;4696922222;5196922222
36;4830082000;4738255555;5238255555
37;4830090000;4738255555;5238255555
38;4830092000;4738255555;5238255555
42;4830094000;4738255555;5238255555
43;4830262000;4738277777;5238277777
44;4830278000;4738588888;5238588888
45;4830280000;4738588888;5238588888
46;4830282000;4738588888;5238588888
47;4871199000;4779944444;5279944444
48;4871206000;4779944444;5279944444
49;4871209000;4779944444;5279944444
50;4871210000;4779944444;5279944444
51;4871212000;4779944444;5279944444
52;4871214000;4779944444;5279944444
53;4871215000;4779944444;5279944444
54;4871381000;4779955555;5279955555
55;4871396000;4780322222;5280322222
56;4871398000;4780322222;5280322222
57;4871399000;4780322222;5280322222
58;4911949000;4821566666;5321566666
59;4911956000;4821566666;5321566666
60;4911958000;4821566666;5321566666
61;4911959000;4821566666;5321566666
62;4911961000;4821566666;5321566666
66;4912039000;4821855555;5321855555
