seqnum;now;rtptime;deadline;packet_len;payload_len
0;5757788000;5685811111;6185811111;1398;1386
1;5757808000;5685811111;6185811111;1400;1388
2;5757878000;5685811111;6185811111;1398;1386
3;5757894000;5717344444;6217344444;1400;1388
4;5757900000;5717344444;6217344444;1400;1388
5;5757903000;5717344444;6217344444;1398;1386
6;5757909000;5717344444;6217344444;1400;1388
7;5757912000;5717344444;6217344444;1398;1386
8;5757917000;5717344444;6217344444;1400;1388
9;5757921000;5717344444;6217344444;1400;1388
10;5757924000;5717355555;6217355555;982;970
11;5799337000;5717677777;6217677777;1398;1386
12;5799364000;5717677777;6217677777;1400;1388
13;5799368000;5717677777;6217677777;1398;1386
14;5799372000;5759000000;6259000000;1400;1388
15;5799377000;5759000000;6259000000;1400;1388
16;5799386000;5759000000;6259000000;1398;1386
17;5799401000;5759000000;6259000000;1400;1388
18;5799406000;5759000000;6259000000;1398;1386
19;5799410000;5759000000;6259000000;1400;1388
20;5799413000;5759000000;6259000000;1400;1388
21;5799418000;5759011111;6259011111;982;970
22;5841027000;5759400000;6259400000;1398;1386
23;5841058000;5759400000;6259400000;1400;1388
24;5841072000;5759400000;6259400000;1398;1386
25;5841076000;5800666666;6300666666;1400;1388
26;5841079000;5800666666;6300666666;1400;1388
27;5841082000;5800666666;6300666666;1398;1386
28;5841085000;5800666666;6300666666;1400;1388
29;5841089000;5800666666;6300666666;1398;1386
30;5841091000;5800666666;6300666666;1400;1388
31;5841102000;5800666666;6300666666;1400;1388
32;5841105000;5800677777;6300677777;982;970
33;5882686000;5801011111;6301011111;1398;1386
34;5882700000;5801011111;6301011111;1400;1388
35;5882704000;5801011111;6301011111;1398;1386
36;5882708000;5842355555;6342355555;1400;1388
37;5882712000;5842355555;6342355555;1400;1388
38;5882716000;5842355555;6342355555;1398;1386
39;5882720000;5842355555;6342355555;1400;1388
40;5882723000;5842355555;6342355555;1398;1386
41;5882726000;5842355555;6342355555;1400;1388
42;5882735000;5842355555;6342355555;1400;1388
43;5882739000;5842366666;6342366666;982;970
44;5924358000;5842744444;6342744444;1398;1386
45;5924373000;5842744444;6342744444;1400;1388
46;5924377000;5842744444;6342744444;1398;1386
47;5924380000;5884000000;6384000000;1400;1388
48;5924384000;5884000000;6384000000;1400;1388
49;5924387000;5884000000;6384000000;1398;1386
50;5924390000;5884000000;6384000000;1400;1388
51;5924394000;5884000000;6384000000;1398;1386
52;5924397000;5884000000;6384000000;1400;1388
53;5924401000;5884000000;6384000000;1400;1388
54;5924404000;5884011111;6384011111;982;970
55;5965983000;5884322222;6384322222;1398;1386
56;5965998000;5884322222;6384322222;1400;1388
57;5966002000;5884322222;6384322222;1398;1386
58;5966006000;5925666666;6425666666;1400;1388
59;5966009000;5925666666;6425666666;1400;1388
60;5966013000;5925666666;6425666666;1398;1386
61;5966017000;5925666666;6425666666;1400;1388
62;5966020000;5925666666;6425666666;1398;1386
63;5966024000;5925666666;6425666666;1400;1388
64;5966027000;5925666666;6425666666;1400;1388
65;5966031000;5925677777;6425677777;982;970
66;6007692000;5925966666;6425966666;1398;1386
67;6007707000;5925966666;6425966666;1400;1388
68;6007710000;5925966666;6425966666;1398;1386
69;6007714000;5967333333;6467333333;1400;1388
70;6007718000;5967333333;6467333333;1400;1388
71;6007722000;5967333333;6467333333;1398;1386
72;6007725000;5967333333;6467333333;1400;1388
73;6007728000;5967333333;6467333333;1398;1386
74;6007731000;5967333333;6467333333;1400;1388
75;6007735000;5967333333;6467333333;1400;1388
76;6007738000;5967344444;6467344444;982;970
77;6049312000;5967666666;6467666666;1398;1386
