seqnum;now;rtptime;deadline;packet_len;payload_len
0;3344700000;3308088888;3808088888;1398;1386
1;3344734000;3308088888;3808088888;1400;1388
2;3344844000;3308088888;3808088888;1398;1386
3;3344851000;3339444444;3839444444;1400;1388
4;3344856000;3339444444;3839444444;1400;1388
5;3344859000;3339444444;3839444444;1398;1386
6;3344864000;3339444444;3839444444;1400;1388
7;3344867000;3339444444;3839444444;1398;1386
8;3344871000;3339444444;3839444444;1400;1388
9;3344874000;3339444444;3839444444;1400;1388
10;3344879000;3339455555;3839455555;982;970
11;3386268000;3339766666;3839766666;1398;1386
12;3386300000;3339766666;3839766666;1400;1388
13;3386305000;3339766666;3839766666;1398;1386
14;3386308000;3381088888;3881088888;1400;1388
15;3386313000;3381088888;3881088888;1400;1388
16;3386331000;3381088888;3881088888;1398;1386
17;3386336000;3381088888;3881088888;1400;1388
18;3386341000;3381088888;3881088888;1398;1386
19;3386345000;3381088888;3881088888;1400;1388
20;3386348000;3381088888;3881088888;1400;1388
21;3386353000;3381100000;3881100000;982;970
22;3428180000;3381488888;3881488888;1398;1386
23;3428226000;3381488888;3881488888;1400;1388
24;3428232000;3381488888;3881488888;1398;1386
25;3428237000;3422755555;3922755555;1400;1388
26;3428241000;3422755555;3922755555;1400;1388
27;3428251000;3422755555;3922755555;1398;1386
28;3428257000;3422755555;3922755555;1400;1388
29;3428264000;3422755555;3922755555;1398;1386
30;3428270000;3422755555;3922755555;1400;1388
31;3428290000;3422755555;3922755555;1400;1388
32;3428295000;3422766666;3922766666;982;970
33;3469630000;3423088888;3923088888;1398;1386
34;3469647000;3423088888;3923088888;1400;1388
35;3469650000;3423088888;3923088888;1398;1386
36;3469654000;3464422222;3964422222;1400;1388
37;3469658000;3464422222;3964422222;1400;1388
38;3469661000;3464422222;3964422222;1398;1386
39;3469665000;3464422222;3964422222;1400;1388
40;3469668000;3464422222;3964422222;1398;1386
41;3469671000;3464422222;3964422222;1400;1388
42;3469674000;3464422222;3964422222;1400;1388
43;3469682000;3464433333;3964433333;982;970
44;3511435000;3464755555;3964755555;1398;1386
45;3511451000;3464755555;3964755555;1400;1388
46;3511462000;3464755555;3964755555;1398;1386
47;3511465000;3506088888;4006088888;1400;1388
48;3511471000;3506088888;4006088888;1400;1388
49;3511477000;3506088888;4006088888;1398;1386
50;3511481000;3506088888;4006088888;1400;1388
51;3511496000;3506088888;4006088888;1398;1386
52;3511500000;3506088888;4006088888;1400;1388
53;3511504000;3506088888;4006088888;1400;1388
54;3511508000;3506100000;4006100000;982;970
55;3553106000;3506411111;4006411111;1398;1386
56;3553119000;3506411111;4006411111;1400;1388
57;3553123000;3506411111;4006411111;1398;1386
59;3553126000;3547755555;4047755555;1400;1388
62;3553144000;3547755555;4047755555;1398;1386
63;3553149000;3547755555;4047755555;1400;1388
64;3553153000;3547755555;4047755555;1400;1388
65;3553162000;3547766666;4047766666;982;970
66;3594739000;3548044444;4048044444;1398;1386
67;3594751000;3548044444;4048044444;1400;1388
68;3594755000;3548044444;4048044444;1398;1386
69;3594758000;3589422222;4089422222;1400;1388
70;3594762000;3589422222;4089422222;1400;1388
71;3594765000;3589422222;4089422222;1398;1386
72;3594768000;3589422222;4089422222;1400;1388
73;3594771000;3589422222;4089422222;1398;1386
75;3594775000;3589422222;4089422222;1400;1388
76;3594779000;3589433333;4089433333;982;970
77;3636421000;3589755555;4089755555;1398;1386
78;3636430000;3589755555;4089755555;1400;1388
80;3636433000;3631088888;4131088888;1400;1388
81;3636437000;3631088888;4131088888;1400;1388
82;3636440000;3631088888;4131088888;1398;1386
83;3636443000;3631088888;4131088888;1400;1388
84;3636446000;3631088888;4131088888;1398;1386
85;3636450000;3631088888;4131088888;1400;1388
86;3636453000;3631088888;4131088888;1400;1388
87;3636456000;3631100000;4131100000;982;970
88;3678083000;3631411111;4131411111;1398;1386
89;3678097000;3631411111;4131411111;1400;1388
90;3678101000;3631411111;4131411111;1398;1386
91;3678104000;3672755555;4172755555;1400;1388
92;3678108000;3672755555;4172755555;1400;1388
93;3678112000;3672755555;4172755555;1398;1386
94;3678141000;3672755555;4172755555;1400;1388
96;3678145000;3672755555;4172755555;1400;1388
98;3678149000;3672766666;4172766666;982;970
99;3719747000;3673077777;4173077777;1398;1386
100;3719757000;3673077777;4173077777;1400;1388
101;3719760000;3673077777;4173077777;1398;1386
102;3719764000;3714422222;4214422222;1400;1388
103;3719767000;3714422222;4214422222;1400;1388
104;3719771000;3714422222;4214422222;1398;1386
105;3719774000;3714422222;4214422222;1400;1388
107;3719777000;3714422222;4214422222;1400;1388
108;3719781000;3714422222;4214422222;1400;1388
109;3719784000;3714433333;4214433333;982;970
110;3761414000;3714700000;4214700000;1398;1386
111;3761422000;3714700000;4214700000;1400;1388
112;3761426000;3714700000;4214700000;1398;1386
113;3761430000;3756088888;4256088888;1400;1388
114;3761433000;3756088888;4256088888;1400;1388
115;3761436000;3756088888;4256088888;1398;1386
116;3761439000;3756088888;4256088888;1400;1388
117;3761443000;3756088888;4256088888;1398;1386
118;3761446000;3756088888;4256088888;1400;1388
119;3761449000;3756088888;4256088888;1400;1388
120;3761452000;3756100000;4256100000;982;970
121;3803083000;3756400000;4256400000;1398;1386
122;3803097000;3756400000;4256400000;1400;1388
123;3803101000;3756400000;4256400000;1398;1386
124;3803104000;3797755555;4297755555;1400;1388
125;3803108000;3797755555;4297755555;1400;1388
126;3803111000;3797755555;4297755555;1398;1386
127;3803114000;3797755555;4297755555;1400;1388
128;3803117000;3797755555;4297755555;1398;1386
129;3803120000;3797755555;4297755555;1400;1388
130;3803124000;3797755555;4297755555;1400;1388
131;3803128000;3797766666;4297766666;982;970
132;3844761000;3798044444;4298044444;1398;1386
134;3844771000;3798044444;4298044444;1398;1386
135;3844788000;3839422222;4339422222;1400;1388
136;3844792000;3839422222;4339422222;1400;1388
137;3844796000;3839422222;4339422222;1398;1386
138;3844805000;3839422222;4339422222;1400;1388
139;3844808000;3839422222;4339422222;1398;1386
140;3844812000;3839422222;4339422222;1400;1388
141;3844815000;3839422222;4339422222;1400;1388
142;3844827000;3839433333;4339433333;982;970
143;3886390000;3839688888;4339688888;1398;1386
144;3886398000;3839688888;4339688888;1400;1388
145;3886402000;3839688888;4339688888;1398;1386
146;3886405000;3881088888;4381088888;1400;1388
147;3886408000;3881088888;4381088888;1400;1388
149;3886411000;3881088888;4381088888;1400;1388
150;3886417000;3881088888;4381088888;1398;1386
151;3886430000;3881088888;4381088888;1400;1388
152;3886434000;3881088888;4381088888;1400;1388
154;3928068000;3881411111;4381411111;1398;1386
155;3928075000;3881411111;4381411111;1400;1388
156;3928078000;3881411111;4381411111;1398;1386
157;3928081000;3922755555;4422755555;1400;1388
158;3928084000;3922755555;4422755555;1400;1388
159;3928087000;3922755555;4422755555;1398;1386
160;3928090000;3922755555;4422755555;1400;1388
161;3928093000;3922755555;4422755555;1398;1386
162;3928096000;3922755555;4422755555;1400;1388
163;3928099000;3922755555;4422755555;1400;1388
164;3928102000;3922766666;4422766666;982;970
165;3969734000;3923055555;4423055555;1398;1386
166;3969740000;3923055555;4423055555;1400;1388
167;3969744000;3923055555;4423055555;1398;1386
168;3969747000;3964422222;4464422222;1400;1388
169;3969751000;3964422222;4464422222;1400;1388
170;3969754000;3964422222;4464422222;1398;1386
171;3969757000;3964422222;4464422222;1400;1388
172;3969760000;3964422222;4464422222;1398;1386
174;3969763000;3964422222;4464422222;1400;1388
175;3969768000;3964433333;4464433333;982;970
176;4011400000;3964733333;4464733333;1398;1386
177;4011406000;3964733333;4464733333;1400;1388
178;4011410000;3964733333;4464733333;1398;1386
179;4011413000;4006088888;4506088888;1400;1388
180;4011416000;4006088888;4506088888;1400;1388
181;4011419000;4006088888;4506088888;1398;1386
182;4011422000;4006088888;4506088888;1400;1388
183;4011425000;4006088888;4506088888;1398;1386
184;4011428000;4006088888;4506088888;1400;1388
185;4011432000;4006088888;4506088888;1400;1388
