seqnum;now;rtptime;deadline
1;11108654000;10271100000;10771100000
12;11455854000;10302000000;10802000000
160;11623427000;10884933333;11384933333
204;11623453000;11051611111;11551611111
205;11623465000;11051611111;11551611111
206;11623468000;11051611111;11551611111
207;11623470000;11051611111;11551611111
208;11641869000;11051622222;11551622222
221;11641887000;11093600000;11593600000
222;11641890000;11093600000;11593600000
223;11642014000;11134933333;11634933333
224;11642018000;11134933333;11634933333
225;11642019000;11134933333;11634933333
226;11642020000;11134933333;11634933333
227;11642022000;11134933333;11634933333
228;11642024000;11134933333;11634933333
229;11642025000;11134933333;11634933333
230;11642580000;11134944444;11634944444
231;11642587000;11135233333;11635233333
232;11642589000;11135233333;11635233333
233;11642590000;11135233333;11635233333
234;11681112000;11176600000;11676600000
241;11699212000;11176611111;11676611111
242;11699220000;11176888888;11676888888
243;11699221000;11176888888;11676888888
244;11699223000;11176888888;11676888888
245;11739961000;11218277777;11718277777
246;11739971000;11218277777;11718277777
247;11739973000;11218277777;11718277777
248;11739974000;11218277777;11718277777
249;11739976000;11218277777;11718277777
250;11739978000;11218277777;11718277777
251;11739979000;11218277777;11718277777
252;11740266000;11218288888;11718288888
253;11740283000;11218600000;11718600000
254;11740285000;11218600000;11718600000
255;11740286000;11218600000;11718600000
256;11749638000;11259977777;11759977777
257;11749643000;11259977777;11759977777
258;11749645000;11259977777;11759977777
259;11749646000;11259977777;11759977777
260;11749648000;11259977777;11759977777
261;11749649000;11259977777;11759977777
262;11749650000;11259977777;11759977777
263;11757509000;11260033333;11760033333
264;11757533000;11260311111;11760311111
265;11757535000;11260311111;11760311111
266;11757537000;11260311111;11760311111
267;11790702000;11301633333;11801633333
268;11790710000;11301633333;11801633333
269;11790712000;11301633333;11801633333
270;11790714000;11301633333;11801633333
271;11790716000;11301633333;11801633333
272;11790717000;11301633333;11801633333
274;11791525000;11301644444;11801644444
275;11791542000;11301911111;11801911111
276;11830244000;11301911111;11801911111
277;11830256000;11301911111;11801911111
279;12169615000;11343277777;11843277777
362;12497691000;11634944444;12134944444
448;12497709000;11968300000;12468300000
449;12497711000;11968300000;12468300000
450;12497933000;11968355555;12468355555
451;12497950000;11968666666;12468666666
452;12497952000;11968666666;12468666666
453;12497953000;11968666666;12468666666
454;12519445000;12009966666;12509966666
455;12519449000;12009966666;12509966666
456;12519451000;12009966666;12509966666
457;12519452000;12009966666;12509966666
458;12519454000;12009966666;12509966666
459;12519455000;12009966666;12509966666
460;12519457000;12009966666;12509966666
461;12519626000;12010022222;12510022222
462;12519629000;12010288888;12510288888
463;12519631000;12010288888;12510288888
464;12519632000;12010288888;12510288888
465;12550354000;12051633333;12551633333
466;12550358000;12051633333;12551633333
467;12550359000;12051633333;12551633333
468;12550360000;12051633333;12551633333
469;12550362000;12051633333;12551633333
470;12550363000;12051633333;12551633333
471;12550365000;12051633333;12551633333
473;12550479000;12051966666;12551966666
475;12550483000;12051966666;12551966666
476;12586915000;12093300000;12593300000
477;12586919000;12093300000;12593300000
478;12586920000;12093300000;12593300000
479;12586921000;12093300000;12593300000
480;12586922000;12093300000;12593300000
481;12586923000;12093300000;12593300000
482;12586924000;12093300000;12593300000
483;12957895000;12093344444;12593344444
566;12957900000;12426633333;12926633333
567;12957901000;12426633333;12926633333
568;12957902000;12426633333;12926633333
569;12957903000;12426633333;12926633333
570;12957904000;12426633333;12926633333
571;12974041000;12426688888;12926688888
584;12974065000;12468688888;12968688888
585;12974066000;12468688888;12968688888
586;13012771000;12509966666;13009966666
587;13012775000;12509966666;13009966666
588;13012787000;12509966666;13009966666
589;13012789000;12509966666;13009966666
590;13012791000;12509966666;13009966666
591;13012792000;12509966666;13009966666
592;13012794000;12509966666;13009966666
593;13019424000;12510022222;13010022222
597;13019429000;12551633333;13051633333
598;13019430000;12551633333;13051633333
