seqnum;now;rtptime;deadline;packet_len;payload_len
0;15348315000;11707088888;12207088888;10240;10228
1;15348455000;11707088888;12207088888;10240;10228
2;15348655000;11707088888;12207088888;10240;10228
3;15348665000;11738111111;12238111111;10240;10228
4;15348874000;11738111111;12238111111;10240;10228
5;15348886000;11738111111;12238111111;10240;10228
6;15349061000;11738111111;12238111111;10240;10228
7;15349264000;11738111111;12238111111;10240;10228
8;15349274000;11738111111;12238111111;10240;10228
9;15349480000;11738111111;12238111111;10240;10228
10;15349491000;11738133333;12238133333;10240;10228
11;15349684000;11738455555;12238455555;10240;10228
12;15349699000;11738455555;12238455555;10240;10228
13;15349888000;11738455555;12238455555;10240;10228
14;15349900000;11779777777;12279777777;10240;10228
15;15350102000;11779777777;12279777777;10240;10228
16;15350280000;11779777777;12279777777;10240;10228
17;15350301000;11779777777;12279777777;10240;10228
18;15350484000;11779777777;12279777777;10240;10228
19;15350496000;11779777777;12279777777;10240;10228
20;15350688000;11779777777;12279777777;10240;10228
21;15350705000;11779788888;12279788888;10240;10228
22;15350890000;11780200000;12280200000;10240;10228
23;15351152000;11780200000;12280200000;10240;10228
24;15351164000;11780200000;12280200000;10240;10228
25;15351302000;11821444444;12321444444;10240;10228
26;15351324000;11821444444;12321444444;10240;10228
27;15351524000;11821444444;12321444444;10240;10228
28;15351533000;11821444444;12321444444;10240;10228
29;15351708000;11821444444;12321444444;10240;10228
30;15351910000;11821444444;12321444444;10240;10228
31;15351920000;11821444444;12321444444;10240;10228
32;15352140000;11821455555;12321455555;10240;10228
33;15352146000;11821800000;12321800000;10240;10228
34;15352331000;11821800000;12321800000;10240;10228
35;15352348000;11821800000;12321800000;10240;10228
36;15352547000;11863111111;12363111111;10240;10228
37;15352569000;11863111111;12363111111;10240;10228
38;15352740000;11863111111;12363111111;10240;10228
39;15352931000;11863111111;12363111111;10240;10228
40;15352944000;11863111111;12363111111;10240;10228
41;15353151000;11863111111;12363111111;10240;10228
42;15353169000;11863111111;12363111111;10240;10228
43;15353357000;11863122222;12363122222;10240;10228
44;15353366000;11863477777;12363477777;10240;10228
45;15353553000;11863477777;12363477777;10240;10228
46;15353778000;11863477777;12363477777;10240;10228
47;15353790000;11904777777;12404777777;10240;10228
48;15353975000;11904777777;12404777777;10240;10228
49;15353984000;11904777777;12404777777;10240;10228
50;15354206000;11904777777;12404777777;10240;10228
51;15354220000;11904777777;12404777777;10240;10228
52;15354392000;11904777777;12404777777;10240;10228
53;15354593000;11904777777;12404777777;10240;10228
54;15354604000;11904788888;12404788888;10240;10228
55;15354779000;11905100000;12405100000;10240;10228
56;15354788000;11905100000;12405100000;10240;10228
57;15354982000;11905100000;12405100000;10240;10228
58;15354989000;11946444444;12446444444;10240;10228
59;15355188000;11946444444;12446444444;10240;10228
60;15355395000;11946444444;12446444444;10240;10228
61;15355402000;11946444444;12446444444;10240;10228
62;15355599000;11946444444;12446444444;10240;10228
63;15355606000;11946444444;12446444444;10240;10228
64;15355804000;11946444444;12446444444;10240;10228
65;15355811000;11946455555;12446455555;10240;10228
66;15356003000;11946755555;12446755555;10240;10228
67;15356009000;11946755555;12446755555;10240;10228
68;15356207000;11946755555;12446755555;10240;10228
69;15356413000;11988111111;12488111111;10240;10228
70;15356418000;11988111111;12488111111;10240;10228
71;15356617000;11988111111;12488111111;10240;10228
72;15356625000;11988111111;12488111111;10240;10228
73;15356838000;11988111111;12488111111;10240;10228
74;15356847000;11988111111;12488111111;10240;10228
75;15357040000;11988111111;12488111111;10240;10228
76;15357056000;11988122222;12488122222;10240;10228
77;15357245000;11988455555;12488455555;10240;10228
78;15357451000;11988455555;12488455555;10240;10228
79;15588991000;11988455555;12488455555;10240;10228
80;15589161000;12029777777;12529777777;10240;10228
81;15589356000;12029777777;12529777777;10240;10228
82;15589378000;12029777777;12529777777;10240;10228
83;15589566000;12029777777;12529777777;10240;10228
84;15589579000;12029777777;12529777777;10240;10228
85;15589756000;12029777777;12529777777;10240;10228
86;15589776000;12029777777;12529777777;10240;10228
87;15589960000;12029788888;12529788888;10240;10228
88;15589972000;12030100000;12530100000;10240;10228
89;15590173000;12030100000;12530100000;10240;10228
90;15590383000;12030100000;12530100000;10240;10228
91;15590392000;12071455555;12571455555;10240;10228
92;15590587000;12071455555;12571455555;10240;10228
93;15590596000;12071455555;12571455555;10240;10228
94;15590781000;12071455555;12571455555;10240;10228
95;15590969000;12071455555;12571455555;10240;10228
96;15590984000;12071455555;12571455555;10240;10228
97;15591189000;12071455555;12571455555;10240;10228
98;15591209000;12071477777;12571477777;10240;10228
99;15591386000;12071855555;12571855555;10240;10228
100;15591392000;12071855555;12571855555;10240;10228
101;15591590000;12071855555;12571855555;10240;10228
102;15591597000;12113111111;12613111111;10240;10228
103;15591803000;12113111111;12613111111;10240;10228
104;15592024000;12113111111;12613111111;10240;10228
105;15592035000;12113111111;12613111111;10240;10228
106;15592209000;12113111111;12613111111;10240;10228
107;15592215000;12113111111;12613111111;10240;10228
108;15592410000;12113111111;12613111111;10240;10228
109;15592415000;12113122222;12613122222;10240;10228
110;15592631000;12113411111;12613411111;10240;10228
111;15592643000;12113411111;12613411111;10240;10228
112;15592811000;12113411111;12613411111;10240;10228
113;15593022000;12154777777;12654777777;10240;10228
114;15593033000;12154777777;12654777777;10240;10228
115;15593250000;12154777777;12654777777;10240;10228
116;15593260000;12154777777;12654777777;10240;10228
117;15593456000;12154777777;12654777777;10240;10228
118;15593647000;12154777777;12654777777;10240;10228
119;15593668000;12154777777;12654777777;10240;10228
120;15593851000;12154788888;12654788888;10240;10228
121;15593864000;12155100000;12655100000;10240;10228
122;15594031000;12155100000;12655100000;10240;10228
123;15594037000;12155100000;12655100000;10240;10228
124;15594256000;12196444444;12696444444;10240;10228
125;15594262000;12196444444;12696444444;10240;10228
126;15594459000;12196444444;12696444444;10240;10228
127;15594663000;12196444444;12696444444;10240;10228
128;15594684000;12196444444;12696444444;10240;10228
129;15594850000;12196444444;12696444444;10240;10228
130;15594856000;12196444444;12696444444;10240;10228
131;15595056000;12196455555;12696455555;10240;10228
132;15595078000;12196755555;12696755555;10240;10228
133;15595275000;12196755555;12696755555;10240;10228
134;15595481000;12196755555;12696755555;10240;10228
135;15595486000;12238111111;12738111111;10240;10228
136;15595686000;12238111111;12738111111;10240;10228
137;15595693000;12238111111;12738111111;10240;10228
138;15595873000;12238111111;12738111111;10240;10228
139;15596114000;12238111111;12738111111;10240;10228
140;15596119000;12238111111;12738111111;10240;10228
141;15596302000;12238111111;12738111111;10240;10228
142;15596307000;12238122222;12738122222;10240;10228
143;15596506000;12238400000;12738400000;10240;10228
144;15596510000;12238400000;12738400000;10240;10228
145;15596710000;12238400000;12738400000;10240;10228
146;15596715000;12279777777;12779777777;10240;10228
147;15596897000;12279777777;12779777777;10240;10228
148;15597146000;12279777777;12779777777;10240;10228
149;15597151000;12279777777;12779777777;10240;10228
150;15597323000;12279777777;12779777777;10240;10228
151;15597329000;12279777777;12779777777;10240;10228
152;15597529000;12279777777;12779777777;10240;10228
153;15597534000;12279788888;12779788888;10240;10228
154;15597734000;12280100000;12780100000;10240;10228
155;15597739000;12280100000;12780100000;10240;10228
156;15597921000;12280100000;12780100000;10240;10228
157;15598148000;12321444444;12821444444;10240;10228
158;15598155000;12321444444;12821444444;10240;10228
