seqnum;now;rtptime;deadline
2;11696385000;8368522222;8868522222
3;12198746000;8399633333;8899633333
878;13273652000;11691255555;12191255555
1158;13860959000;12774600000;13274600000
1319;14276198000;13357988888;13857988888
1429;14599437000;13774655555;14274655555
1506;14839064000;14066322222;14566322222
1572;15050219000;14316322222;14816322222
1627;15231787000;14524666666;15024666666
1672;15231814000;14691666666;15191666666
1673;15231818000;14691666666;15191666666
1674;15231819000;14691666666;15191666666
1675;15415635000;14732933333;15232933333
1726;15564720000;14899655555;15399655555
1759;15677329000;15024666666;15524666666
1792;15791100000;15149655555;15649655555
1825;15905613000;15274655555;15774655555
1858;16020882000;15399655555;15899655555
1880;16097933000;15483011111;15983011111
1902;16175428000;15566322222;16066322222
1924;16253201000;15649655555;16149655555
1946;16331242000;15732988888;16232988888
1968;16409570000;15816322222;16316322222
1990;16488075000;15899655555;16399655555
2012;16566841000;15982988888;16482988888
2034;16645828000;16066322222;16566322222
2045;16685171000;16107988888;16607988888
2056;16724813000;16149655555;16649655555
2067;16764555000;16191322222;16691322222
2078;16804180000;16232988888;16732988888
2089;16843946000;16274655555;16774655555
2100;16883749000;16316322222;16816322222
2111;16923501000;16357988888;16857988888
2122;16963487000;16399655555;16899655555
2133;17003425000;16441322222;16941322222
2144;17043407000;16483011111;16983011111
2155;17083420000;16524633333;17024633333
2166;17123491000;16566322222;17066322222
2177;17163567000;16607988888;17107988888
2188;17203693000;16649655555;17149655555
2199;17243855000;16691322222;17191322222
2210;17284062000;16732988888;17232988888
2221;17324295000;16774655555;17274655555
2232;17364566000;16816322222;17316322222
2243;17404870000;16857988888;17357988888
2254;17445248000;16899655555;17399655555
2265;17485573000;16941322222;17441322222
2276;17525973000;16982988888;17482988888
2287;17581494000;17024655555;17524655555
2298;17607690000;17066322222;17566322222
2307;17607716000;17107933333;17607933333
2308;17607719000;17107933333;17607933333
2309;17647427000;17107988888;17607988888
2312;17647444000;17108277777;17608277777
2313;17687863000;17149600000;17649600000
2321;17687987000;17149955555;17649955555
2322;17687991000;17149955555;17649955555
2323;17687992000;17149955555;17649955555
2324;17728404000;17191277777;17691277777
2332;17728516000;17191677777;17691677777
2333;17728520000;17191677777;17691677777
2334;17728521000;17191677777;17691677777
2335;17768964000;17232933333;17732933333
2343;17769069000;17233300000;17733300000
2344;17769082000;17233300000;17733300000
2345;17769083000;17233300000;17733300000
2346;17809559000;17274600000;17774600000
2354;17809672000;17274944444;17774944444
2355;17809676000;17274944444;17774944444
2356;17809677000;17274944444;17774944444
2357;17850113000;17316266666;17816266666
2365;17850191000;17316677777;17816677777
2366;17850193000;17316677777;17816677777
2367;17850194000;17316677777;17816677777
2368;17890789000;17357966666;17857966666
2376;17890866000;17358311111;17858311111
2377;17890868000;17358311111;17858311111
2378;17890869000;17358311111;17858311111
2379;17931510000;17399600000;17899600000
2387;17931623000;17399944444;17899944444
2388;17931627000;17399944444;17899944444
2389;17931628000;17399944444;17899944444
2390;17982277000;17441266666;17941266666
2402;18012943000;17482933333;17982933333
2409;18013068000;17483277777;17983277777
2410;18013072000;17483277777;17983277777
2411;18013073000;17483277777;17983277777
2412;18053654000;17524600000;18024600000
2420;18053767000;17524944444;18024944444
2421;18053771000;17524944444;18024944444
2422;18053772000;17524944444;18024944444
2423;18116692000;17566266666;18066266666
2441;18139041000;17607988888;18107988888
2442;18139063000;17608300000;18108300000
2443;18139064000;17608300000;18108300000
2444;18139066000;17608300000;18108300000
2445;18175984000;17649633333;18149633333
2453;18176127000;17649988888;18149988888
2454;18176131000;17649988888;18149988888
2455;18176133000;17649988888;18149988888
2456;18273888000;17691277777;18191277777
2478;18356448000;17774611111;18274611111
2496;18356694000;17816322222;18316322222
2498;18356701000;17816666666;18316666666
2499;18356703000;17816666666;18316666666
2500;18380282000;17857955555;18357955555
2508;18380404000;17858366666;18358366666
2509;18380408000;17858366666;18358366666
2510;18380410000;17858366666;18358366666
2511;18421287000;17899644444;18399644444
2519;18421401000;17900144444;18400144444
2520;18421405000;17900144444;18400144444
2521;18421406000;17900144444;18400144444
2522;18462210000;17941300000;18441300000
2530;18462323000;17941777777;18441777777
2531;18462327000;17941777777;18441777777
2532;18462328000;17941777777;18441777777
2533;18503152000;17982955555;18482955555
2541;18503328000;17983355555;18483355555
2542;18503331000;17983355555;18483355555
2543;18503333000;17983355555;18483355555
2544;18544129000;18024611111;18524611111
2552;18544241000;18024977777;18524977777
2553;18544245000;18024977777;18524977777
2554;18544247000;18024977777;18524977777
2555;18585113000;18066277777;18566277777
2563;18585226000;18066655555;18566655555
2564;18585230000;18066655555;18566655555
2565;18585231000;18066655555;18566655555
2566;18626117000;18107944444;18607944444
2574;18626231000;18108288888;18608288888
2575;18626234000;18108288888;18608288888
2576;18626236000;18108288888;18608288888
2577;18667122000;18149600000;18649600000
2585;18667235000;18149944444;18649944444
2586;18667239000;18149944444;18649944444
2587;18667240000;18149944444;18649944444
2588;18708192000;18191300000;18691300000
2596;18708306000;18191711111;18691711111
2597;18708309000;18191711111;18691711111
2598;18708310000;18191711111;18691711111
2599;18749245000;18232955555;18732955555
2607;18749362000;18233355555;18733355555
2608;18749366000;18233355555;18733355555
2609;18749367000;18233355555;18733355555
2610;18796875000;18274611111;18774611111
2618;18797000000;18274977777;18774977777
2619;18797003000;18274977777;18774977777
2620;18797004000;18274977777;18774977777
2621;18831360000;18316277777;18816277777
2629;18831482000;18316688888;18816688888
2630;18831486000;18316688888;18816688888
2631;18831487000;18316688888;18816688888
2632;18872453000;18357933333;18857933333
2640;18872566000;18358266666;18858266666
2641;18872570000;18358266666;18858266666
2642;18872572000;18358266666;18858266666
2643;18913572000;18399611111;18899611111
2651;18913685000;18399966666;18899966666
2652;18913688000;18399966666;18899966666
2653;18913690000;18399966666;18899966666
2654;18954679000;18441266666;18941266666
2662;18954791000;18441644444;18941644444
2663;18954795000;18441644444;18941644444
2664;18954796000;18441644444;18941644444
2665;18995835000;18482966666;18982966666
2673;18995952000;18483288888;18983288888
2674;18995955000;18483288888;18983288888
2675;18995957000;18483288888;18983288888
2676;19036957000;18524600000;19024600000
2684;19037062000;18524922222;19024922222
2685;19037075000;18524922222;19024922222
2686;19037076000;18524922222;19024922222
2687;19078124000;18566266666;19066266666
2695;19078237000;18566644444;19066644444
2696;19078241000;18566644444;19066644444
2697;19078242000;18566644444;19066644444
2698;19119322000;18607977777;19107977777
2706;19119438000;18608322222;19108322222
2707;19119442000;18608322222;19108322222
2708;19119443000;18608322222;19108322222
2709;19160472000;18649600000;19149600000
2717;19160584000;18649944444;19149944444
2718;19160588000;18649944444;19149944444
2719;19160590000;18649944444;19149944444
2720;19201703000;18691266666;19191266666
2728;19201840000;18691644444;19191644444
2729;19201843000;18691644444;19191644444
2730;19201845000;18691644444;19191644444
2731;19242872000;18732944444;19232944444
2739;19242989000;18733277777;19233277777
2740;19242993000;18733277777;19233277777
2741;19242994000;18733277777;19233277777
2742;19284099000;18774600000;19274600000
2750;19284212000;18774900000;19274900000
2751;19284216000;18774900000;19274900000
2752;19284217000;18774900000;19274900000
2753;19325264000;18816277777;19316277777
2761;19325387000;18816666666;19316666666
2762;19325391000;18816666666;19316666666
2763;19325409000;18816666666;19316666666
2764;19366528000;18857933333;19357933333
2772;19366646000;18858277777;19358277777
2773;19366649000;18858277777;19358277777
2774;19366651000;18858277777;19358277777
2775;19407846000;18899666666;19399666666
2783;19407953000;18900088888;19400088888
2784;19407955000;18900088888;19400088888
2785;19407957000;18900088888;19400088888
2786;19449063000;18941311111;19441311111
2794;19449169000;18941744444;19441744444
2795;19449170000;18941744444;19441744444
