seqnum;now;rtptime;deadline;packet_len;payload_len
0;12886933000;9545122222;10045122222;10240;10228
0;12887083000;9545122222;10045122222;10240;10228
1;12887282000;9545122222;10045122222;10240;10228
1;12887292000;9545122222;10045122222;10240;10228
2;12887486000;9545122222;10045122222;10240;10228
2;12887500000;9545122222;10045122222;10240;10228
3;12887683000;9576433333;10076433333;10240;10228
3;12887694000;9576433333;10076433333;10240;10228
4;12887886000;9576433333;10076433333;10240;10228
4;12888083000;9576433333;10076433333;10240;10228
5;12888091000;9576433333;10076433333;10240;10228
5;12888305000;9576433333;10076433333;10240;10228
6;12888320000;9576433333;10076433333;10240;10228
6;12888510000;9576433333;10076433333;10240;10228
7;12888705000;9576433333;10076433333;10240;10228
7;12888713000;9576433333;10076433333;10240;10228
8;12888912000;9576433333;10076433333;10240;10228
8;12888920000;9576433333;10076433333;10240;10228
9;12889126000;9576433333;10076433333;10240;10228
9;12889134000;9576433333;10076433333;10240;10228
10;12889321000;9576455555;10076455555;10240;10228
10;12889331000;9576455555;10076455555;10240;10228
11;12889526000;9576811111;10076811111;10240;10228
11;12889536000;9576811111;10076811111;10240;10228
12;12889727000;9576811111;10076811111;10240;10228
12;12889932000;9576811111;10076811111;10240;10228
13;12889941000;9576811111;10076811111;10240;10228
13;12890148000;9576811111;10076811111;10240;10228
14;12890157000;9618088888;10118088888;10240;10228
14;12890356000;9618088888;10118088888;10240;10228
15;12890551000;9618088888;10118088888;10240;10228
15;12890571000;9618088888;10118088888;10240;10228
16;12890755000;9618088888;10118088888;10240;10228
16;12890763000;9618088888;10118088888;10240;10228
17;12890943000;9618088888;10118088888;10240;10228
17;12890952000;9618088888;10118088888;10240;10228
18;12891163000;9618088888;10118088888;10240;10228
18;12891368000;9618088888;10118088888;10240;10228
19;12891377000;9618088888;10118088888;10240;10228
19;12891584000;9618088888;10118088888;10240;10228
20;12891601000;9618088888;10118088888;10240;10228
20;12891779000;9618088888;10118088888;10240;10228
21;12891787000;9618111111;10118111111;10240;10228
21;12891966000;9618111111;10118111111;10240;10228
22;12891977000;9618533333;10118533333;10240;10228
22;12892189000;9618533333;10118533333;10240;10228
23;12892200000;9618533333;10118533333;10240;10228
23;12892395000;9618533333;10118533333;10240;10228
24;12892599000;9618533333;10118533333;10240;10228
24;12892606000;9618533333;10118533333;10240;10228
25;12892802000;9659755555;10159755555;10240;10228
25;12892810000;9659755555;10159755555;10240;10228
26;12892989000;9659755555;10159755555;10240;10228
26;12893213000;9659755555;10159755555;10240;10228
27;12893221000;9659755555;10159755555;10240;10228
27;12893418000;9659755555;10159755555;10240;10228
28;12893425000;9659755555;10159755555;10240;10228
28;12893623000;9659755555;10159755555;10240;10228
29;12893630000;9659755555;10159755555;10240;10228
29;12893826000;9659755555;10159755555;10240;10228
30;12894014000;9659755555;10159755555;10240;10228
30;12894024000;9659755555;10159755555;10240;10228
31;12894240000;9659755555;10159755555;10240;10228
31;12894248000;9659755555;10159755555;10240;10228
32;12894439000;9659777777;10159777777;10240;10228
32;12894450000;9659777777;10159777777;10240;10228
33;12894645000;9660111111;10160111111;10240;10228
33;12894653000;9660111111;10160111111;10240;10228
34;12894850000;9660111111;10160111111;10240;10228
34;12895038000;9660111111;10160111111;10240;10228
35;12895074000;9660111111;10160111111;10240;10228
35;12895244000;9660111111;10160111111;10240;10228
36;12895252000;9701422222;10201422222;10240;10228
36;12895466000;9701422222;10201422222;10240;10228
37;12895474000;9701422222;10201422222;10240;10228
37;12895671000;9701422222;10201422222;10240;10228
38;12895873000;9701422222;10201422222;10240;10228
38;12895882000;9701422222;10201422222;10240;10228
39;12896087000;9701422222;10201422222;10240;10228
39;13007580000;9701422222;10201422222;10240;10228
40;13007740000;9701422222;10201422222;10240;10228
40;13007934000;9701422222;10201422222;10240;10228
41;13007962000;9701422222;10201422222;10240;10228
41;13008143000;9701422222;10201422222;10240;10228
42;13008151000;9701422222;10201422222;10240;10228
42;13008347000;9701422222;10201422222;10240;10228
43;13008356000;9701444444;10201444444;10240;10228
43;13008552000;9701444444;10201444444;10240;10228
44;13008563000;9701788888;10201788888;10240;10228
44;13008746000;9701788888;10201788888;10240;10228
45;13008951000;9701788888;10201788888;10240;10228
45;13008959000;9701788888;10201788888;10240;10228
46;13009166000;9701788888;10201788888;10240;10228
46;13009175000;9701788888;10201788888;10240;10228
47;13009362000;9743088888;10243088888;10240;10228
47;13009565000;9743088888;10243088888;10240;10228
48;13009574000;9743088888;10243088888;10240;10228
48;13009771000;9743088888;10243088888;10240;10228
49;13009780000;9743088888;10243088888;10240;10228
49;13009975000;9743088888;10243088888;10240;10228
50;13009984000;9743088888;10243088888;10240;10228
50;13010180000;9743088888;10243088888;10240;10228
51;13010384000;9743088888;10243088888;10240;10228
51;13010392000;9743088888;10243088888;10240;10228
52;13010589000;9743088888;10243088888;10240;10228
52;13010599000;9743088888;10243088888;10240;10228
53;13010793000;9743088888;10243088888;10240;10228
53;13010984000;9743088888;10243088888;10240;10228
54;13010991000;9743111111;10243111111;10240;10228
54;13010998000;9743111111;10243111111;10240;10228
55;13011205000;9743433333;10243433333;10240;10228
55;13011409000;9743433333;10243433333;10240;10228
56;13011416000;9743433333;10243433333;10240;10228
56;13011614000;9743433333;10243433333;10240;10228
57;13011621000;9743433333;10243433333;10240;10228
57;13011817000;9743433333;10243433333;10240;10228
58;13012006000;9784755555;10284755555;10240;10228
58;13012014000;9784755555;10284755555;10240;10228
59;13012230000;9784755555;10284755555;10240;10228
59;13012238000;9784755555;10284755555;10240;10228
60;13012437000;9784755555;10284755555;10240;10228
60;13012444000;9784755555;10284755555;10240;10228
61;13012638000;9784755555;10284755555;10240;10228
61;13012842000;9784755555;10284755555;10240;10228
62;13012853000;9784755555;10284755555;10240;10228
62;13013031000;9784755555;10284755555;10240;10228
63;13013039000;9784755555;10284755555;10240;10228
63;13013251000;9784755555;10284755555;10240;10228
64;13013454000;9784755555;10284755555;10240;10228
64;13013462000;9784755555;10284755555;10240;10228
65;13013664000;9784777777;10284777777;10240;10228
65;13013671000;9784777777;10284777777;10240;10228
66;13013866000;9785077777;10285077777;10240;10228
66;13013874000;9785077777;10285077777;10240;10228
67;13014060000;9785077777;10285077777;10240;10228
67;13014068000;9785077777;10285077777;10240;10228
68;13014305000;9785077777;10285077777;10240;10228
68;13014322000;9785077777;10285077777;10240;10228
69;13014479000;9826422222;10326422222;10240;10228
69;13014685000;9826422222;10326422222;10240;10228
70;13014692000;9826422222;10326422222;10240;10228
70;13014890000;9826422222;10326422222;10240;10228
71;13014898000;9826422222;10326422222;10240;10228
71;13015082000;9826422222;10326422222;10240;10228
72;13015302000;9826422222;10326422222;10240;10228
72;13015309000;9826422222;10326422222;10240;10228
73;13015506000;9826422222;10326422222;10240;10228
