seqnum;now;rtptime;deadline
1;12890505000;9545122222;10045122222
2;12890508000;9545122222;10045122222
3;13047427000;9576433333;10076433333
58;13169547000;9784755555;10284755555
102;13648902000;9951422222;10451422222
256;13769585000;10534755555;11034755555
297;13876648000;10660044444;11160044444
333;14002151000;10826422222;11326422222
372;14083176000;10951422222;11451422222
377;14107453000;10993088888;11493088888
410;14169090000;11118088888;11618088888
414;14169107000;11118088888;11618088888
415;14169110000;11118088888;11618088888
416;14169111000;11118088888;11618088888
417;14169309000;11118111111;11618111111
418;14169318000;11118422222;11618422222
419;14169320000;11118422222;11618422222
420;14169321000;11118422222;11618422222
421;14193485000;11159755555;11659755555
422;14193504000;11159755555;11659755555
423;14193507000;11159755555;11659755555
424;14193509000;11159755555;11659755555
425;14193511000;11159755555;11659755555
426;14193512000;11159755555;11659755555
427;14193515000;11159755555;11659755555
428;14193844000;11159777777;11659777777
429;14193868000;11160077777;11660077777
430;14193870000;11160077777;11660077777
431;14193871000;11160077777;11660077777
432;14223150000;11201422222;11701422222
449;14252596000;11243088888;11743088888
454;14277996000;11284755555;11784755555
455;14278013000;11284755555;11784755555
456;14278015000;11284755555;11784755555
457;14278017000;11284755555;11784755555
458;14278018000;11284755555;11784755555
459;14278020000;11284755555;11784755555
460;14278021000;11284755555;11784755555
461;14278240000;11284777777;11784777777
462;14278245000;11285044444;11785044444
463;14278247000;11285044444;11785044444
464;14278248000;11285044444;11785044444
465;14306404000;11326422222;11826422222
466;14306412000;11326422222;11826422222
467;14306414000;11326422222;11826422222
468;14306416000;11326422222;11826422222
469;14306417000;11326422222;11826422222
470;14306419000;11326422222;11826422222
471;14306420000;11326422222;11826422222
472;14306651000;11326444444;11826444444
473;14306668000;11326733333;11826733333
474;14329530000;11326733333;11826733333
475;14334312000;11326733333;11826733333
476;14385109000;11368088888;11868088888
491;14426743000;11409755555;11909755555
496;14426881000;11410066666;11910066666
497;14426885000;11410066666;11910066666
498;14468196000;11451422222;11951422222
531;14589777000;11576422222;12076422222
566;14698976000;11701422222;12201422222
580;14731719000;11743088888;12243088888
608;14813131000;11868100000;12368100000
612;14813135000;11868100000;12368100000
613;14813137000;11868100000;12368100000
614;14813138000;11868100000;12368100000
615;14813351000;11868133333;12368133333
616;14813366000;11868444444;12368444444
617;14813368000;11868444444;12368444444
618;14813369000;11868444444;12368444444
619;14836610000;11909755555;12409755555
644;14886998000;11993088888;12493088888
652;14914580000;12034755555;12534755555
653;14914583000;12034755555;12534755555
654;14914584000;12034755555;12534755555
655;14914585000;12034755555;12534755555
656;14914587000;12034755555;12534755555
657;14914587000;12034755555;12534755555
658;14914588000;12034755555;12534755555
659;14914789000;12034777777;12534777777
