seqnum;now;rtptime;deadline
1;13079565000;9836555555;10336555555
2;13079569000;9836555555;10336555555
3;13169759000;9867566666;10367566666
135;13671404000;10367544444;10867544444
606;13866557000;12117855555;12617855555
769;14371899000;12742555555;13242555555
1165;15222554000;14242600000;14742600000
1385;15721088000;15075911111;15575911111
1517;16077826000;15575933333;16075933333
1616;16372743000;15950933333;16450933333
1693;16612979000;16242588888;16742588888
1748;16789427000;16450933333;16950933333
1803;16969695000;16659244444;17159244444
1847;17116117000;16825911111;17325911111
1880;17227069000;16950911111;17450911111
1913;17339189000;17075911111;17575911111
1946;17452226000;17200911111;17700911111
1979;17566124000;17325911111;17825911111
2001;17642234000;17409244444;17909244444
2023;17718892000;17492588888;17992588888
2045;17795861000;17575911111;18075911111
2067;17874515000;17659244444;18159244444
2089;17950721000;17742588888;18242588888
2109;17950746000;17825900000;18325900000
2110;17950749000;17825900000;18325900000
2111;18028700000;17825944444;18325944444
2122;18067266000;17867588888;18367588888
2133;18106386000;17909244444;18409244444
2144;18145586000;17950911111;18450911111
2155;18184793000;17992588888;18492588888
2166;18224049000;18034244444;18534244444
2177;18263372000;18075911111;18575911111
2188;18302756000;18117588888;18617588888
2199;18342189000;18159277777;18659277777
2210;18381691000;18200911111;18700911111
2221;18421178000;18242588888;18742588888
2232;18460750000;18284244444;18784244444
2243;18500417000;18325944444;18825944444
2254;18540077000;18367588888;18867588888
2265;18579825000;18409244444;18909244444
2276;18619584000;18450911111;18950911111
2287;18659459000;18492588888;18992588888
2298;18699329000;18534244444;19034244444
2299;18699348000;18534577777;19034577777
2300;18699350000;18534577777;19034577777
2301;18699352000;18534577777;19034577777
2302;18739166000;18575866666;19075866666
2310;18739284000;18576200000;19076200000
2311;18739288000;18576200000;19076200000
2312;18739289000;18576200000;19076200000
2313;18779157000;18617544444;19117544444
2321;18779344000;18617877777;19117877777
2322;18779347000;18617877777;19117877777
2323;18779348000;18617877777;19117877777
2324;18819136000;18659200000;19159200000
2332;18819249000;18659622222;19159622222
2333;18819252000;18659622222;19159622222
2334;18819253000;18659622222;19159622222
2335;18859144000;18700866666;19200866666
2343;18859258000;18701233333;19201233333
2344;18859261000;18701233333;19201233333
2345;18859262000;18701233333;19201233333
2346;18899208000;18742544444;19242544444
2354;18899321000;18742888888;19242888888
2355;18899324000;18742888888;19242888888
2356;18899325000;18742888888;19242888888
2357;18939318000;18784200000;19284200000
2365;18939432000;18784600000;19284600000
2366;18939435000;18784600000;19284600000
2367;18939436000;18784600000;19284600000
2368;18979489000;18825911111;19325911111
2376;18979601000;18826377777;19326377777
2377;18979605000;18826377777;19326377777
2378;18979606000;18826377777;19326377777
2379;19019681000;18867588888;19367588888
2387;19019795000;18867933333;19367933333
2388;19019798000;18867933333;19367933333
2389;19019799000;18867933333;19367933333
2390;19059913000;18909244444;19409244444
2398;19060037000;18909744444;19409744444
2399;19060058000;18909744444;19409744444
2400;19060061000;18909744444;19409744444
2401;19100205000;18950888888;19450888888
2409;19100360000;18951244444;19451244444
2410;19100369000;18951244444;19451244444
2411;19100372000;18951244444;19451244444
2412;19185020000;18992544444;19492544444
2430;19185259000;19034244444;19534244444
2431;19185264000;19034577777;19534577777
2432;19185266000;19034577777;19534577777
2433;19185268000;19034577777;19534577777
2434;19220992000;19075866666;19575866666
2442;19221079000;19076211111;19576211111
2443;19221082000;19076211111;19576211111
2444;19221083000;19076211111;19576211111
2445;19261425000;19117544444;19617544444
2453;19261539000;19117900000;19617900000
2454;19261542000;19117900000;19617900000
2455;19261543000;19117900000;19617900000
2456;19301823000;19159200000;19659200000
2464;19301956000;19159577777;19659577777
2465;19301959000;19159577777;19659577777
2466;19301961000;19159577777;19659577777
2467;19342279000;19200866666;19700866666
2475;19342392000;19201200000;19701200000
2476;19342396000;19201200000;19701200000
2477;19342397000;19201200000;19701200000
2478;19382760000;19242544444;19742544444
2486;19382873000;19242866666;19742866666
2487;19382877000;19242866666;19742866666
2488;19382878000;19242866666;19742866666
2489;19423234000;19284200000;19784200000
2497;19423362000;19284577777;19784577777
2498;19423365000;19284577777;19784577777
2499;19423366000;19284577777;19784577777
2500;19463747000;19325866666;19825866666
2508;19463863000;19326211111;19826211111
2509;19463876000;19326211111;19826211111
2510;19463877000;19326211111;19826211111
2511;19504316000;19367544444;19867544444
2519;19504429000;19367877777;19867877777
2520;19504433000;19367877777;19867877777
2521;19504434000;19367877777;19867877777
2522;19544899000;19409200000;19909200000
2530;19545016000;19409588888;19909588888
2531;19545019000;19409588888;19909588888
2532;19545020000;19409588888;19909588888
2533;19585512000;19450888888;19950888888
2541;19585606000;19451244444;19951244444
2542;19585610000;19451244444;19951244444
2543;19585611000;19451244444;19951244444
2544;19626156000;19492555555;19992555555
2552;19626273000;19492955555;19992955555
2553;19626276000;19492955555;19992955555
2554;19626277000;19492955555;19992955555
2555;19666772000;19534200000;20034200000
2563;19666885000;19534577777;20034577777
2564;19666889000;19534577777;20034577777
2565;19666890000;19534577777;20034577777
2566;19707468000;19575866666;20075866666
2574;19707581000;19576233333;20076233333
2575;19707585000;19576233333;20076233333
2576;19707586000;19576233333;20076233333
2577;19748216000;19617600000;20117600000
2585;19748332000;19617944444;20117944444
2586;19748336000;19617944444;20117944444
2587;19748337000;19617944444;20117944444
2588;19788880000;19659200000;20159200000
2596;19788993000;19659588888;20159588888
2597;19788997000;19659588888;20159588888
2598;19788998000;19659588888;20159588888
2599;19829671000;19700866666;20200866666
2607;19829784000;19701211111;20201211111
2608;19829788000;19701211111;20201211111
2609;19829789000;19701211111;20201211111
2610;19876984000;19742544444;20242544444
2618;19877107000;19742866666;20242866666
2619;19877110000;19742866666;20242866666
2620;19877113000;19742866666;20242866666
2621;19911196000;19784200000;20284200000
2629;19911310000;19784588888;20284588888
2630;19911314000;19784588888;20284588888
2631;19911315000;19784588888;20284588888
2632;19952015000;19825866666;20325866666
2640;19952153000;19826188888;20326188888
2641;19952157000;19826188888;20326188888
2642;19952158000;19826188888;20326188888
2643;19992926000;19867600000;20367600000
2651;19993041000;19868033333;20368033333
2652;19993068000;19868033333;20368033333
2653;19993069000;19868033333;20368033333
2654;20033760000;19909233333;20409233333
2657;20033782000;19909233333;20409233333
2659;20033784000;19909233333;20409233333
2660;20033785000;19909233333;20409233333
2661;20034036000;19909300000;20409300000
2664;20034059000;19909755555;20409755555
2665;20074577000;19950888888;20450888888
2666;20074581000;19950888888;20450888888
2667;20074582000;19950888888;20450888888
2668;20074583000;19950888888;20450888888
2669;20074583000;19950888888;20450888888
2670;20074584000;19950888888;20450888888
2671;20074585000;19950888888;20450888888
2672;20074844000;19950944444;20450944444
2673;20074860000;19951222222;20451222222
2674;20074861000;19951222222;20451222222
2675;20074862000;19951222222;20451222222
2676;20115384000;19992544444;20492544444
2677;20115387000;19992544444;20492544444
2678;20115388000;19992544444;20492544444
2679;20115389000;19992544444;20492544444
2680;20115390000;19992544444;20492544444
2681;20115391000;19992544444;20492544444
2682;20115392000;19992544444;20492544444
2683;20115552000;19992588888;20492588888
2684;20115554000;19992855555;20492855555
2685;20115555000;19992855555;20492855555
2686;20115556000;19992855555;20492855555
2687;20156317000;20034222222;20534222222
2688;20156329000;20034222222;20534222222
2689;20156330000;20034222222;20534222222
2690;20156340000;20034222222;20534222222
2691;20156341000;20034222222;20534222222
2692;20156342000;20034222222;20534222222
2693;20156343000;20034222222;20534222222
2694;20156547000;20034266666;20534266666
2695;20156562000;20034600000;20534600000
2696;20156564000;20034600000;20534600000
2697;20156565000;20034600000;20534600000
2698;20197306000;20075888888;20575888888
2699;20197309000;20075888888;20575888888
2700;20197310000;20075888888;20575888888
2701;20197311000;20075888888;20575888888
2702;20197312000;20075888888;20575888888
2703;20197313000;20075888888;20575888888
2704;20197314000;20075888888;20575888888
2705;20197514000;20075933333;20575933333
2706;20197530000;20076222222;20576222222
2707;20197531000;20076222222;20576222222
2708;20197532000;20076222222;20576222222
2709;20238252000;20117566666;20617566666
2710;20238256000;20117566666;20617566666
2711;20238257000;20117566666;20617566666
2712;20238258000;20117566666;20617566666
2713;20238259000;20117566666;20617566666
2714;20238260000;20117566666;20617566666
2715;20238261000;20117566666;20617566666
2716;20238467000;20117611111;20617611111
2717;20238482000;20117900000;20617900000
2718;20238484000;20117900000;20617900000
2719;20238485000;20117900000;20617900000
2720;20279297000;20159211111;20659211111
2721;20279308000;20159211111;20659211111
2722;20279320000;20159211111;20659211111
2723;20279321000;20159211111;20659211111
2724;20279323000;20159211111;20659211111
2725;20279325000;20159211111;20659211111
2726;20279326000;20159211111;20659211111
2727;20279589000;20159255555;20659255555
2728;20279605000;20159566666;20659566666
2729;20279606000;20159566666;20659566666
2730;20279607000;20159566666;20659566666
2731;20320170000;20200866666;20700866666
2732;20320173000;20200866666;20700866666
2733;20320175000;20200866666;20700866666
2734;20320176000;20200866666;20700866666
2735;20320177000;20200866666;20700866666
2736;20320179000;20200866666;20700866666
2737;20320180000;20200866666;20700866666
2738;20320382000;20200911111;20700911111
2739;20320397000;20201200000;20701200000
2740;20320398000;20201200000;20701200000
2741;20320399000;20201200000;20701200000
2742;20361118000;20242544444;20742544444
2743;20361120000;20242544444;20742544444
2744;20361122000;20242544444;20742544444
2745;20361123000;20242544444;20742544444
2746;20361124000;20242544444;20742544444
2747;20361125000;20242544444;20742544444
2748;20361126000;20242544444;20742544444
2749;20361275000;20242588888;20742588888
2750;20361277000;20242844444;20742844444
2751;20361278000;20242844444;20742844444
2752;20361279000;20242844444;20742844444
2753;20402110000;20284200000;20784200000
2754;20402112000;20284200000;20784200000
2755;20402113000;20284200000;20784200000
2756;20402114000;20284200000;20784200000
2757;20402115000;20284200000;20784200000
2758;20402116000;20284200000;20784200000
2759;20402117000;20284200000;20784200000
2760;20402259000;20284244444;20784244444
2761;20402262000;20284555555;20784555555
2762;20402263000;20284555555;20784555555
2763;20402264000;20284555555;20784555555
2764;20443187000;20325866666;20825866666
2765;20443191000;20325866666;20825866666
2766;20443192000;20325866666;20825866666
2767;20443193000;20325866666;20825866666
2768;20443194000;20325866666;20825866666
2769;20443195000;20325866666;20825866666
2770;20443196000;20325866666;20825866666
2771;20443397000;20325911111;20825911111
2772;20443402000;20326200000;20826200000
2773;20443404000;20326200000;20826200000
2774;20443405000;20326200000;20826200000
2775;20484233000;20367544444;20867544444
2776;20484235000;20367544444;20867544444
2777;20484236000;20367544444;20867544444
2778;20484237000;20367544444;20867544444
2779;20484247000;20367544444;20867544444
2780;20484248000;20367544444;20867544444
2781;20484249000;20367544444;20867544444
2782;20484462000;20367588888;20867588888
2783;20484465000;20367866666;20867866666
2784;20484466000;20367866666;20867866666
2785;20484467000;20367866666;20867866666
2786;20525228000;20409200000;20909200000
2787;20525230000;20409200000;20909200000
2788;20525250000;20409200000;20909200000
2789;20525251000;20409200000;20909200000
2790;20525252000;20409200000;20909200000
2791;20525253000;20409200000;20909200000
2792;20525254000;20409200000;20909200000
2793;20525368000;20409244444;20909244444
2794;20525370000;20409600000;20909600000
2795;20525371000;20409600000;20909600000
2796;20525372000;20409600000;20909600000
2797;20566327000;20450866666;20950866666
2798;20566339000;20450866666;20950866666
2799;20566340000;20450866666;20950866666
2800;20566341000;20450866666;20950866666
2801;20566342000;20450866666;20950866666
2802;20566343000;20450866666;20950866666
2803;20566344000;20450866666;20950866666
2804;20566510000;20450911111;20950911111
2805;20566513000;20451200000;20951200000
2806;20566514000;20451200000;20951200000
2807;20566515000;20451200000;20951200000
2808;20607479000;20492544444;20992544444
2809;20607483000;20492544444;20992544444
2810;20607484000;20492544444;20992544444
2811;20607485000;20492544444;20992544444
2812;20607486000;20492544444;20992544444
2813;20607487000;20492544444;20992544444
2814;20607488000;20492544444;20992544444
2815;20607695000;20492588888;20992588888
2816;20607711000;20492888888;20992888888
2817;20607712000;20492888888;20992888888
2818;20607713000;20492888888;20992888888
2819;20648550000;20534200000;21034200000
2820;20648554000;20534200000;21034200000
2821;20648555000;20534200000;21034200000
2822;20648556000;20534200000;21034200000
2823;20648557000;20534200000;21034200000
2824;20648558000;20534200000;21034200000
2825;20648559000;20534200000;21034200000
2826;20648759000;20534244444;21034244444
2827;20648774000;20534555555;21034555555
2828;20648776000;20534555555;21034555555
2829;20648776000;20534555555;21034555555
2830;20689675000;20575866666;21075866666
2831;20689678000;20575866666;21075866666
2832;20689679000;20575866666;21075866666
