seqnum;now;rtptime;deadline;packet_len;payload_len
0;12096179000;8754911111;9254911111;10240;10228
1;12096370000;8754911111;9254911111;10240;10228
2;12096569000;8754911111;9254911111;10240;10228
3;12096589000;8786255555;9286255555;10240;10228
4;12096765000;8786255555;9286255555;10240;10228
5;12096785000;8786255555;9286255555;10240;10228
6;12096970000;8786255555;9286255555;10240;10228
7;12096982000;8786255555;9286255555;10240;10228
8;12097174000;8786255555;9286255555;10240;10228
9;12097377000;8786255555;9286255555;10240;10228
10;12097396000;8786277777;9286277777;10240;10228
11;12097603000;8786600000;9286600000;10240;10228
12;12097625000;8786600000;9286600000;10240;10228
13;12097817000;8786600000;9286600000;10240;10228
14;12097837000;8827933333;9327933333;10240;10228
15;12098019000;8827933333;9327933333;10240;10228
16;12098208000;8827933333;9327933333;10240;10228
17;12098229000;8827933333;9327933333;10240;10228
18;12098417000;8827933333;9327933333;10240;10228
19;12098425000;8827933333;9327933333;10240;10228
20;12098610000;8827933333;9327933333;10240;10228
21;12098629000;8827944444;9327944444;10240;10228
22;12098813000;8828333333;9328333333;10240;10228
23;12098825000;8828333333;9328333333;10240;10228
24;12098992000;8828333333;9328333333;10240;10228
25;12099222000;8869588888;9369588888;10240;10228
26;12099230000;8869588888;9369588888;10240;10228
27;12099419000;8869588888;9369588888;10240;10228
28;12099425000;8869588888;9369588888;10240;10228
29;12099626000;8869588888;9369588888;10240;10228
30;12099830000;8869588888;9369588888;10240;10228
31;12099835000;8869588888;9369588888;10240;10228
32;12100017000;8869600000;9369600000;10240;10228
33;12100022000;8869922222;9369922222;10240;10228
34;12100236000;8869922222;9369922222;10240;10228
35;12100242000;8869922222;9369922222;10240;10228
36;12100442000;8911255555;9411255555;10240;10228
37;12100451000;8911255555;9411255555;10240;10228
38;12100631000;8911255555;9411255555;10240;10228
39;12100837000;8911255555;9411255555;10240;10228
40;12100845000;8911255555;9411255555;10240;10228
41;12101041000;8911255555;9411255555;10240;10228
42;12101061000;8911255555;9411255555;10240;10228
43;12101246000;8911266666;9411266666;10240;10228
44;12101251000;8911622222;9411622222;10240;10228
45;12101455000;8911622222;9411622222;10240;10228
46;12101463000;8911622222;9411622222;10240;10228
47;12101655000;8952911111;9452911111;10240;10228
48;12101860000;8952911111;9452911111;10240;10228
49;12101869000;8952911111;9452911111;10240;10228
50;12102052000;8952911111;9452911111;10240;10228
51;12102059000;8952911111;9452911111;10240;10228
52;12102269000;8952911111;9452911111;10240;10228
53;12102490000;8952911111;9452911111;10240;10228
54;12102499000;8952933333;9452933333;10240;10228
55;12102679000;8953233333;9453233333;10240;10228
56;12102686000;8953233333;9453233333;10240;10228
57;12102884000;8953233333;9453233333;10240;10228
58;12102894000;8994588888;9494588888;10240;10228
59;12103117000;8994588888;9494588888;10240;10228
60;12103294000;8994588888;9494588888;10240;10228
61;12103299000;8994588888;9494588888;10240;10228
62;12103498000;8994588888;9494588888;10240;10228
63;12103503000;8994588888;9494588888;10240;10228
64;12103703000;8994588888;9494588888;10240;10228
65;12103713000;8994600000;9494600000;10240;10228
66;12103908000;8994888888;9494888888;10240;10228
67;12103914000;8994888888;9494888888;10240;10228
68;12104128000;8994888888;9494888888;10240;10228
69;12104318000;9036244444;9536244444;10240;10228
70;12104323000;9036244444;9536244444;10240;10228
71;12104523000;9036244444;9536244444;10240;10228
72;12104528000;9036244444;9536244444;10240;10228
73;12104728000;9036244444;9536244444;10240;10228
74;12104732000;9036244444;9536244444;10240;10228
75;12104933000;9036244444;9536244444;10240;10228
76;12104942000;9036266666;9536266666;10240;10228
77;12105145000;9036600000;9536600000;10240;10228
78;12105342000;9036600000;9536600000;10240;10228
79;12216853000;9036600000;9536600000;10240;10228
80;12217013000;9077911111;9577911111;10240;10228
81;12217221000;9077911111;9577911111;10240;10228
82;12217243000;9077911111;9577911111;10240;10228
83;12217425000;9077911111;9577911111;10240;10228
84;12217448000;9077911111;9577911111;10240;10228
85;12217630000;9077911111;9577911111;10240;10228
86;12217825000;9077911111;9577911111;10240;10228
87;12217846000;9077933333;9577933333;10240;10228
88;12218031000;9078244444;9578244444;10240;10228
89;12218051000;9078244444;9578244444;10240;10228
