seqnum;now;rtptime;deadline
2;10436822000;10262755555;10762755555
3;10733109000;10294111111;10794111111
76;10733304000;10544100000;11044100000
77;10733313000;10544422222;11044422222
78;10733316000;10544422222;11044422222
79;10733318000;10544422222;11044422222
80;10762888000;10585744444;11085744444
81;10762910000;10585744444;11085744444
82;10762912000;10585744444;11085744444
83;10762915000;10585744444;11085744444
84;10762918000;10585744444;11085744444
85;10762920000;10585744444;11085744444
86;10762922000;10585744444;11085744444
87;10763059000;10585766666;11085766666
88;10763065000;10586077777;11086077777
89;10763067000;10586077777;11086077777
90;10763069000;10586077777;11086077777
91;10810715000;10627422222;11127422222
92;10810723000;10627422222;11127422222
93;10810726000;10627422222;11127422222
94;10810728000;10627422222;11127422222
95;10810730000;10627422222;11127422222
96;10810732000;10627422222;11127422222
97;10810734000;10627422222;11127422222
98;10810959000;10627444444;11127444444
99;10810969000;10627766666;11127766666
100;10810971000;10627766666;11127766666
101;10810974000;10627766666;11127766666
102;10878429000;10669088888;11169088888
110;10878567000;10669377777;11169377777
111;10878572000;10669377777;11169377777
112;10878574000;10669377777;11169377777
113;10880548000;10710755555;11210755555
114;10880553000;10710755555;11210755555
115;10880555000;10710755555;11210755555
116;10880557000;10710755555;11210755555
117;10880559000;10710755555;11210755555
118;10880560000;10710755555;11210755555
119;10880562000;10710755555;11210755555
120;10880735000;10710777777;11210777777
121;10880743000;10711066666;11211066666
122;10880745000;10711066666;11211066666
123;10880746000;10711066666;11211066666
124;10919689000;10752422222;11252422222
125;10919701000;10752422222;11252422222
126;10919703000;10752422222;11252422222
127;10919705000;10752422222;11252422222
128;10919707000;10752422222;11252422222
129;10919710000;10752422222;11252422222
130;10919712000;10752422222;11252422222
131;10919981000;10752444444;11252444444
132;10920000000;10752733333;11252733333
133;10920003000;10752733333;11252733333
134;10920005000;10752733333;11252733333
135;10958596000;10794100000;11294100000
136;10958606000;10794100000;11294100000
137;10958609000;10794100000;11294100000
138;10958611000;10794100000;11294100000
139;10958613000;10794100000;11294100000
140;10958614000;10794100000;11294100000
141;10958616000;10794100000;11294100000
142;10958870000;10794111111;11294111111
143;10958888000;10794400000;11294400000
144;10958890000;10794400000;11294400000
145;10958892000;10794400000;11294400000
146;10997556000;10835744444;11335744444
147;10997568000;10835744444;11335744444
148;10997571000;10835744444;11335744444
149;10997573000;10835744444;11335744444
150;10997576000;10835744444;11335744444
151;10997578000;10835744444;11335744444
152;10997579000;10835744444;11335744444
153;10997841000;10835766666;11335766666
154;10997861000;10836077777;11336077777
155;10997863000;10836077777;11336077777
156;10997866000;10836077777;11336077777
157;11036758000;10877411111;11377411111
158;11036771000;10877411111;11377411111
159;11036773000;10877411111;11377411111
160;11036775000;10877411111;11377411111
161;11036777000;10877411111;11377411111
162;11036779000;10877411111;11377411111
163;11036782000;10877411111;11377411111
164;11036988000;10877433333;11377433333
165;11036998000;10877744444;11377744444
166;11037001000;10877744444;11377744444
167;11037003000;10877744444;11377744444
168;11080725000;10919077777;11419077777
169;11080736000;10919077777;11419077777
170;11080738000;10919077777;11419077777
171;11080740000;10919077777;11419077777
172;11080742000;10919077777;11419077777
173;11080744000;10919077777;11419077777
174;11080746000;10919077777;11419077777
175;11081015000;10919100000;11419100000
176;11081034000;10919411111;11419411111
177;11081036000;10919411111;11419411111
178;11081038000;10919411111;11419411111
179;11116218000;10960744444;11460744444
180;11116238000;10960744444;11460744444
181;11116241000;10960744444;11460744444
182;11116243000;10960744444;11460744444
183;11116244000;10960744444;11460744444
184;11116280000;10960744444;11460744444
185;11116282000;10960744444;11460744444
186;11116481000;10960766666;11460766666
187;11116490000;10961055555;11461055555
188;11116492000;10961055555;11461055555
189;11116494000;10961055555;11461055555
190;11156464000;11002411111;11502411111
191;11156470000;11002411111;11502411111
192;11156472000;11002411111;11502411111
193;11156474000;11002411111;11502411111
194;11156475000;11002411111;11502411111
195;11156477000;11002411111;11502411111
196;11156478000;11002411111;11502411111
197;11156637000;11002433333;11502433333
198;11156641000;11002711111;11502711111
199;11156643000;11002711111;11502711111
200;11156644000;11002711111;11502711111
201;11197021000;11044077777;11544077777
202;11197024000;11044077777;11544077777
203;11197026000;11044077777;11544077777
204;11197027000;11044077777;11544077777
205;11197028000;11044077777;11544077777
206;11197030000;11044077777;11544077777
207;11197031000;11044077777;11544077777
208;11197165000;11044100000;11544100000
209;11197168000;11044366666;11544366666
210;11197169000;11044366666;11544366666
211;11197171000;11044366666;11544366666
212;11237941000;11085744444;11585744444
213;11237948000;11085744444;11585744444
214;11237950000;11085744444;11585744444
215;11237952000;11085744444;11585744444
216;11237954000;11085744444;11585744444
217;11237956000;11085744444;11585744444
218;11237957000;11085744444;11585744444
219;11238134000;11085766666;11585766666
220;11238139000;11086088888;11586088888
221;11238141000;11086088888;11586088888
222;11238143000;11086088888;11586088888
223;11279012000;11127411111;11627411111
224;11279014000;11127411111;11627411111
225;11279016000;11127411111;11627411111
226;11279017000;11127411111;11627411111
227;11279018000;11127411111;11627411111
228;11279020000;11127411111;11627411111
229;11279031000;11127411111;11627411111
230;11279177000;11127433333;11627433333
231;11279180000;11127733333;11627733333
232;11279181000;11127733333;11627733333
233;11279182000;11127733333;11627733333
234;11320372000;11169077777;11669077777
235;11320374000;11169077777;11669077777
236;11320375000;11169077777;11669077777
237;11320376000;11169077777;11669077777
238;11320377000;11169077777;11669077777
239;11320379000;11169077777;11669077777
240;11320380000;11169077777;11669077777
241;11320524000;11169100000;11669100000
242;11320526000;11169388888;11669388888
243;11320527000;11169388888;11669388888
244;11320528000;11169388888;11669388888
245;11361843000;11210744444;11710744444
246;11361845000;11210744444;11710744444
247;11361846000;11210744444;11710744444
248;11361847000;11210744444;11710744444
249;11361848000;11210744444;11710744444
250;11361850000;11210744444;11710744444
251;11361851000;11210744444;11710744444
252;11361995000;11210766666;11710766666
253;11361997000;11211077777;11711077777
254;11361999000;11211077777;11711077777
255;11362000000;11211077777;11711077777
256;11403418000;11252411111;11752411111
257;11403420000;11252411111;11752411111
258;11403422000;11252411111;11752411111
259;11403423000;11252411111;11752411111
260;11403424000;11252411111;11752411111
261;11403425000;11252411111;11752411111
262;11403426000;11252411111;11752411111
263;11403569000;11252433333;11752433333
264;11403571000;11252722222;11752722222
