seqnum;now;rtptime;deadline;packet_len;payload_len
0;8282707000;8231155555;8731155555;1398;1386
1;8282793000;8231155555;8731155555;1400;1388
2;8282996000;8231155555;8731155555;1398;1386
3;8283003000;8262277777;8762277777;1400;1388
4;8283221000;8262277777;8762277777;1400;1388
5;8283230000;8262277777;8762277777;1398;1386
6;8283401000;8262277777;8762277777;1400;1388
7;8283415000;8262277777;8762277777;1398;1386
8;8283597000;8262277777;8762277777;1400;1388
9;8283799000;8262277777;8762277777;1400;1388
10;8283803000;8262300000;8762300000;982;970
11;8324320000;8262622222;8762622222;1398;1386
12;8324482000;8262622222;8762622222;1400;1388
13;8324682000;8262622222;8762622222;1398;1386
14;8324691000;8303933333;8803933333;1400;1388
15;8324887000;8303933333;8803933333;1400;1388
16;8324903000;8303933333;8803933333;1398;1386
17;8325089000;8303933333;8803933333;1400;1388
18;8325109000;8303933333;8803933333;1398;1386
19;8325294000;8303933333;8803933333;1400;1388
20;8325504000;8303933333;8803933333;1400;1388
21;8325512000;8303955555;8803955555;982;970
22;8365960000;8304344444;8804344444;1398;1386
23;8366124000;8304344444;8804344444;1400;1388
24;8366331000;8304344444;8804344444;1398;1386
25;8366348000;8345588888;8845588888;1400;1388
26;8366535000;8345588888;8845588888;1400;1388
27;8366546000;8345588888;8845588888;1398;1386
28;8366740000;8345588888;8845588888;1400;1388
29;8366750000;8345588888;8845588888;1398;1386
30;8366944000;8345588888;8845588888;1400;1388
31;8367149000;8345588888;8845588888;1400;1388
32;8367159000;8345611111;8845611111;982;970
33;8407637000;8345944444;8845944444;1398;1386
34;8407800000;8345944444;8845944444;1400;1388
35;8408005000;8345944444;8845944444;1398;1386
36;8408015000;8387266666;8887266666;1400;1388
37;8408210000;8387266666;8887266666;1400;1388
38;8408219000;8387266666;8887266666;1398;1386
39;8408415000;8387266666;8887266666;1400;1388
40;8408425000;8387266666;8887266666;1398;1386
41;8408618000;8387266666;8887266666;1400;1388
42;8408824000;8387266666;8887266666;1400;1388
43;8408834000;8387288888;8887288888;982;970
44;8449294000;8387633333;8887633333;1398;1386
45;8449461000;8387633333;8887633333;1400;1388
46;8449667000;8387633333;8887633333;1398;1386
47;8449678000;8428922222;8928922222;1400;1388
48;8449871000;8428922222;8928922222;1400;1388
49;8449881000;8428922222;8928922222;1398;1386
50;8450075000;8428922222;8928922222;1400;1388
51;8450085000;8428922222;8928922222;1398;1386
52;8450279000;8428922222;8928922222;1400;1388
53;8450485000;8428922222;8928922222;1400;1388
54;8450494000;8428944444;8928944444;982;970
55;8490961000;8429255555;8929255555;1398;1386
56;8491123000;8429255555;8929255555;1400;1388
57;8491329000;8429255555;8929255555;1398;1386
58;8491338000;8470600000;8970600000;1400;1388
59;8491534000;8470600000;8970600000;1400;1388
60;8491543000;8470600000;8970600000;1398;1386
61;8491738000;8470600000;8970600000;1400;1388
62;8491754000;8470600000;8970600000;1398;1386
63;8491941000;8470600000;8970600000;1400;1388
64;8492148000;8470600000;8970600000;1400;1388
65;8492157000;8470611111;8970611111;982;970
66;8532631000;8470900000;8970900000;1398;1386
67;8532795000;8470900000;8970900000;1400;1388
68;8533001000;8470900000;8970900000;1398;1386
69;8533011000;8512277777;9012277777;1400;1388
70;8533206000;8512277777;9012277777;1400;1388
71;8533216000;8512277777;9012277777;1398;1386
72;8533411000;8512277777;9012277777;1400;1388
73;8533421000;8512277777;9012277777;1398;1386
74;8533614000;8512277777;9012277777;1400;1388
75;8533821000;8512277777;9012277777;1400;1388
76;8533830000;8512300000;9012300000;982;970
