seqnum;now;rtptime;deadline
2;11650580000;10820211111;11320211111
26;12126787000;10934688888;11434688888
125;12126988000;11309688888;11809688888
126;12126995000;11309688888;11809688888
127;12127001000;11309688888;11809688888
128;12127003000;11309688888;11809688888
129;12127007000;11309688888;11809688888
130;12127010000;11309688888;11809688888
131;12127160000;11309700000;11809700000
132;12127168000;11309988888;11809988888
133;12127171000;11309988888;11809988888
134;12127182000;11309988888;11809988888
135;12127199000;11351355555;11851355555
136;12127212000;11351355555;11851355555
137;12127214000;11351355555;11851355555
138;12127217000;11351355555;11851355555
139;12127219000;11351355555;11851355555
140;12127222000;11351355555;11851355555
141;12127224000;11351355555;11851355555
142;12127300000;11351366666;11851366666
143;12127306000;11351655555;11851655555
144;12127309000;11351655555;11851655555
145;12127312000;11351655555;11851655555
146;12177744000;11393022222;11893022222
221;12388377000;11643400000;12143400000
295;12649610000;11934677777;12434677777
377;12904796000;12268022222;12768022222
454;13112319000;12559688888;13059688888
506;13218894000;12726633333;13226633333
510;13236701000;12768022222;13268022222
513;13236706000;12768022222;13268022222
514;13236708000;12768022222;13268022222
517;13236817000;12768333333;13268333333
518;13236822000;12768333333;13268333333
521;13261218000;12809700000;13309700000
522;13261222000;12809700000;13309700000
525;13261223000;12809700000;13309700000
526;13261224000;12809700000;13309700000
527;13261350000;12809711111;13309711111
528;13261366000;12810000000;13310000000
531;13275277000;12851355555;13351355555
532;13275281000;12851355555;13351355555
535;13275282000;12851355555;13351355555
536;13275283000;12851355555;13351355555
539;13275294000;12851655555;13351655555
540;13275296000;12851655555;13351655555
543;13294124000;12893011111;13393011111
545;13294127000;12893011111;13393011111
550;13294138000;12893344444;13393344444
553;13309185000;12934677777;13434677777
556;13333899000;12934677777;13434677777
557;13334060000;12934677777;13434677777
559;13334312000;12934677777;13434677777
560;13384733000;12934688888;13434688888
591;13508652000;13059677777;13559677777
592;13508654000;13059677777;13559677777
593;13508857000;13059688888;13559688888
594;13508873000;13059977777;13559977777
599;13548512000;13101355555;13601355555
600;13548515000;13101355555;13601355555
601;13548516000;13101355555;13601355555
602;13548517000;13101355555;13601355555
619;13626742000;13184677777;13684677777
654;13825763000;13309688888;13809688888
674;13825779000;13393022222;13893022222
676;13825791000;13393022222;13893022222
678;13825792000;13393022222;13893022222
680;13825794000;13393022222;13893022222
681;13848154000;13393033333;13893033333
688;13848162000;13434688888;13934688888
689;13848163000;13434688888;13934688888
692;13888543000;13434700000;13934700000
693;13888550000;13434988888;13934988888
696;13910794000;13476355555;13976355555
697;13910802000;13476355555;13976355555
700;13910805000;13476355555;13976355555
701;13910807000;13476355555;13976355555
705;13910826000;13476666666;13976666666
706;13910838000;13476666666;13976666666
707;13961981000;13518044444;14018044444
712;13961991000;13518044444;14018044444
713;13961993000;13518044444;14018044444
714;13962253000;13518055555;14018055555
716;13962271000;13518344444;14018344444
720;14013563000;13559688888;14059688888
722;14013570000;13559688888;14059688888
723;14013572000;13559688888;14059688888
724;14013574000;13559688888;14059688888
726;14013590000;13559977777;14059977777
730;14036144000;13601355555;14101355555
731;14036149000;13601355555;14101355555
732;14036151000;13601355555;14101355555
733;14036152000;13601355555;14101355555
735;14036154000;13601355555;14101355555
736;14036283000;13601366666;14101366666
738;14036299000;13601655555;14101655555
743;14087795000;13643022222;14143022222
793;14297578000;13809988888;14309988888
795;14297612000;13851355555;14351355555
797;14297616000;13851355555;14351355555
799;14297618000;13851355555;14351355555
800;14297630000;13851355555;14351355555
801;14297663000;13851355555;14351355555
802;14297790000;13851366666;14351366666
803;14297796000;13851655555;14351655555
805;14297798000;13851655555;14351655555
806;14297819000;13893022222;14393022222
808;14297821000;13893022222;14393022222
809;14297824000;13893022222;14393022222
810;14297825000;13893022222;14393022222
811;14297826000;13893022222;14393022222
812;14297828000;13893022222;14393022222
815;14297835000;13893344444;14393344444
816;14297836000;13893344444;14393344444
829;14387878000;13976355555;14476355555
865;14537630000;14101366666;14601366666
867;14537632000;14101366666;14601366666
868;14537740000;14101377777;14601377777
869;14537743000;14101700000;14601700000
870;14537744000;14101700000;14601700000
873;14547851000;14143033333;14643033333
916;14671749000;14309688888;14809688888
926;14778229000;14309988888;14809988888
928;14778248000;14351355555;14851355555
929;14778249000;14351355555;14851355555
930;14778250000;14351355555;14851355555
931;14778251000;14351355555;14851355555
932;14778252000;14351355555;14851355555
933;14778253000;14351355555;14851355555
934;14778361000;14351366666;14851366666
935;14778363000;14351655555;14851655555
936;14778365000;14351655555;14851655555
937;14778367000;14351655555;14851655555
938;14778387000;14393022222;14893022222
940;14778402000;14393022222;14893022222
943;14778405000;14393022222;14893022222
944;14778407000;14393022222;14893022222
945;14778516000;14393033333;14893033333
947;14778519000;14393344444;14893344444
949;14778537000;14434722222;14934722222
951;14778539000;14434722222;14934722222
952;14778541000;14434722222;14934722222
955;14778543000;14434722222;14934722222
956;14778647000;14434733333;14934733333
958;14778650000;14435044444;14935044444
960;14778656000;14476377777;14976377777
962;14778657000;14476377777;14976377777
964;14778658000;14476377777;14976377777
965;14778669000;14476377777;14976377777
969;14827775000;14476733333;14976733333
985;14910596000;14559688888;15059688888
989;14910799000;14559700000;15059700000
992;14910815000;14559977777;15059977777
1012;14993241000;14643344444;15143344444
1014;14993245000;14643344444;15143344444
1021;15051520000;14684711111;15184711111
1050;15136429000;14809711111;15309711111
1053;15258756000;14809711111;15309711111
1055;15259005000;14809722222;15309722222
1059;15259022000;14851344444;15351344444
1060;15259023000;14851344444;15351344444
1061;15259024000;14851344444;15351344444
1062;15259026000;14851344444;15351344444
1063;15259027000;14851344444;15351344444
1064;15259029000;14851344444;15351344444
1065;15259030000;14851344444;15351344444
1066;15259158000;14851355555;15351355555
1068;15259163000;14851644444;15351644444
1069;15259164000;14851644444;15351644444
1070;15259183000;14893011111;15393011111
1071;15259184000;14893011111;15393011111
1072;15259185000;14893011111;15393011111
1073;15259186000;14893011111;15393011111
1076;15259188000;14893011111;15393011111
1077;15259319000;14893022222;15393022222
1080;15259335000;14893344444;15393344444
1083;15308729000;14934688888;15434688888
1118;15450942000;15059688888;15559688888
1128;15473757000;15101355555;15601355555
1129;15473767000;15101355555;15601355555
1130;15473769000;15101355555;15601355555
1131;15473770000;15101355555;15601355555
1132;15473989000;15101366666;15601366666
1134;15473998000;15101655555;15601655555
1138;15524880000;15143033333;15643033333
1163;15584371000;15226366666;15726366666
1165;15740203000;15226377777;15726377777
1167;15740219000;15226666666;15726666666
1172;15740236000;15268011111;15768011111
1173;15740239000;15268011111;15768011111
1174;15740241000;15268011111;15768011111
1175;15740243000;15268011111;15768011111
1186;15740254000;15309688888;15809688888
1188;15740265000;15309977777;15809977777
1191;15740273000;15351355555;15851355555
1194;15740275000;15351355555;15851355555
1196;15740276000;15351355555;15851355555
1198;15740395000;15351377777;15851377777
1199;15740402000;15351655555;15851655555
1201;15740413000;15351655555;15851655555
