seqnum;now;rtptime;deadline;packet_len;payload_len
0;17531801000;13740311111;14240311111;10240;10228
1;17531965000;13740311111;14240311111;10240;10228
2;17532161000;13740311111;14240311111;10240;10228
3;17532171000;13771666666;14271666666;10240;10228
4;17532365000;13771666666;14271666666;10240;10228
5;17532375000;13771666666;14271666666;10240;10228
6;17532570000;13771666666;14271666666;10240;10228
7;17532589000;13771666666;14271666666;10240;10228
8;17532775000;13771666666;14271666666;10240;10228
9;17532974000;13771666666;14271666666;10240;10228
10;17532983000;13771688888;14271688888;10240;10228
11;17533187000;13772011111;14272011111;10240;10228
12;17533208000;13772011111;14272011111;10240;10228
13;17533389000;13772011111;14272011111;10240;10228
14;17533409000;13813333333;14313333333;10240;10228
15;17533595000;13813333333;14313333333;10240;10228
16;17533790000;13813333333;14313333333;10240;10228
17;17533801000;13813333333;14313333333;10240;10228
18;17533981000;13813333333;14313333333;10240;10228
19;17533993000;13813333333;14313333333;10240;10228
20;17534200000;13813333333;14313333333;10240;10228
21;17534219000;13813344444;14313344444;10240;10228
22;17534404000;13813733333;14313733333;10240;10228
23;17534426000;13813733333;14313733333;10240;10228
24;17534617000;13813733333;14313733333;10240;10228
25;17534814000;13855000000;14355000000;10240;10228
26;17534824000;13855000000;14355000000;10240;10228
27;17535003000;13855000000;14355000000;10240;10228
28;17535015000;13855000000;14355000000;10240;10228
29;17535237000;13855000000;14355000000;10240;10228
30;17535434000;13855000000;14355000000;10240;10228
31;17535453000;13855000000;14355000000;10240;10228
32;17535457000;13855011111;14355011111;10240;10228
33;17535645000;13855344444;14355344444;10240;10228
34;17535839000;13855344444;14355344444;10240;10228
35;17535849000;13855344444;14355344444;10240;10228
36;17536028000;13896666666;14396666666;10240;10228
37;17536039000;13896666666;14396666666;10240;10228
38;17536260000;13896666666;14396666666;10240;10228
39;17536429000;13896666666;14396666666;10240;10228
40;17536437000;13896666666;14396666666;10240;10228
41;17536659000;13896666666;14396666666;10240;10228
42;17536678000;13896666666;14396666666;10240;10228
43;17536863000;13896677777;14396677777;10240;10228
44;17536873000;13897011111;14397011111;10240;10228
45;17537064000;13897011111;14397011111;10240;10228
46;17537272000;13897011111;14397011111;10240;10228
47;17537293000;13938333333;14438333333;10240;10228
48;17537475000;13938333333;14438333333;10240;10228
49;17537496000;13938333333;14438333333;10240;10228
50;17537680000;13938333333;14438333333;10240;10228
51;17537701000;13938333333;14438333333;10240;10228
52;17537886000;13938333333;14438333333;10240;10228
53;17538105000;13938333333;14438333333;10240;10228
54;17538116000;13938344444;14438344444;10240;10228
55;17538296000;13938666666;14438666666;10240;10228
56;17538318000;13938666666;14438666666;10240;10228
57;17538500000;13938666666;14438666666;10240;10228
58;17538521000;13980000000;14480000000;10240;10228
59;17538705000;13980000000;14480000000;10240;10228
60;17538726000;13980000000;14480000000;10240;10228
61;17538917000;13980000000;14480000000;10240;10228
62;17539112000;13980000000;14480000000;10240;10228
63;17539133000;13980000000;14480000000;10240;10228
64;17539319000;13980000000;14480000000;10240;10228
65;17539339000;13980011111;14480011111;10240;10228
66;17539524000;13980300000;14480300000;10240;10228
67;17539545000;13980300000;14480300000;10240;10228
68;17539738000;13980300000;14480300000;10240;10228
69;17539935000;14021666666;14521666666;10240;10228
70;17539945000;14021666666;14521666666;10240;10228
71;17540150000;14021666666;14521666666;10240;10228
72;17540159000;14021666666;14521666666;10240;10228
73;17540357000;14021666666;14521666666;10240;10228
74;17540366000;14021666666;14521666666;10240;10228
75;17540549000;14021666666;14521666666;10240;10228
