seqnum;now;rtptime;deadline
2;16145526000;12051911111;12551911111
3;16298520000;12082911111;12582911111
253;16613266000;12999888888;13499888888
468;16858251000;13832900000;14332900000
879;17898396000;15374577777;15874577777
1311;17898405000;17000055555;17500055555
1312;18731534000;17041233333;17541233333
1549;18731680000;17916255555;18416255555
1550;18731822000;17916288888;18416288888
1551;18731839000;17916688888;18416688888
1552;18731840000;17916688888;18416688888
1553;18731841000;17916688888;18416688888
1554;18731854000;17957900000;18457900000
1555;18731855000;17957900000;18457900000
1556;18731867000;17957900000;18457900000
1557;18731868000;17957900000;18457900000
1558;18731870000;17957900000;18457900000
1559;18731871000;17957900000;18457900000
1560;18731872000;17957900000;18457900000
1561;18731999000;17957911111;18457911111
1562;18732015000;17958200000;18458200000
1563;18732016000;17958200000;18458200000
1564;18732018000;17958200000;18458200000
1565;18732029000;17999555555;18499555555
1566;18732031000;17999555555;18499555555
1567;18732049000;17999555555;18499555555
1568;18732051000;17999555555;18499555555
1569;18732052000;17999555555;18499555555
1570;18732054000;17999555555;18499555555
1571;18732055000;17999555555;18499555555
1572;18732174000;17999566666;18499566666
1573;18732189000;17999900000;18499900000
1574;18732190000;17999900000;18499900000
1575;18732192000;17999900000;18499900000
1576;18732208000;18041233333;18541233333
1577;18732220000;18041233333;18541233333
1578;18732221000;18041233333;18541233333
1579;18732223000;18041233333;18541233333
1580;18732224000;18041233333;18541233333
1581;18732226000;18041233333;18541233333
1582;18732227000;18041233333;18541233333
1583;18732349000;18041244444;18541244444
1584;18732365000;18041633333;18541633333
1585;18732366000;18041633333;18541633333
1586;18732368000;18041633333;18541633333
1587;18732379000;18082900000;18582900000
1588;18732380000;18082900000;18582900000
1589;18732392000;18082900000;18582900000
1590;18732393000;18082900000;18582900000
1591;18732395000;18082900000;18582900000
1592;18732396000;18082900000;18582900000
1593;18732397000;18082900000;18582900000
1594;18732519000;18082922222;18582922222
1595;18732535000;18083244444;18583244444
1596;18732536000;18083244444;18583244444
1597;18732537000;18083244444;18583244444
1598;18760284000;18124566666;18624566666
1599;18760297000;18124566666;18624566666
1600;18760299000;18124566666;18624566666
1601;18760301000;18124566666;18624566666
1602;18760303000;18124566666;18624566666
1603;18760305000;18124566666;18624566666
1604;18760307000;18124566666;18624566666
1605;18760491000;18124577777;18624577777
1606;18760496000;18124900000;18624900000
1607;18760497000;18124900000;18624900000
1608;18760500000;18124900000;18624900000
1609;18801971000;18166233333;18666233333
1610;18801976000;18166233333;18666233333
1611;18801978000;18166233333;18666233333
1612;18801979000;18166233333;18666233333
1613;18801980000;18166233333;18666233333
1614;18801982000;18166233333;18666233333
1615;18801983000;18166233333;18666233333
1616;18802147000;18166244444;18666244444
1617;18802163000;18166544444;18666544444
1618;18802164000;18166544444;18666544444
1619;18802165000;18166544444;18666544444
1620;18843592000;18207888888;18707888888
1621;18843596000;18207888888;18707888888
1622;18843597000;18207888888;18707888888
1623;18843599000;18207888888;18707888888
1624;18843600000;18207888888;18707888888
1625;18843601000;18207888888;18707888888
1626;18843602000;18207888888;18707888888
1627;18843805000;18207911111;18707911111
1628;18843820000;18208188888;18708188888
1629;18843822000;18208188888;18708188888
1630;18843823000;18208188888;18708188888
1631;18885263000;18249566666;18749566666
1632;18885267000;18249566666;18749566666
1633;18885268000;18249566666;18749566666
1634;18885269000;18249566666;18749566666
1635;18885271000;18249566666;18749566666
1636;18885272000;18249566666;18749566666
1637;18885273000;18249566666;18749566666
1638;18885476000;18249577777;18749577777
1639;18885482000;18249888888;18749888888
1640;18885483000;18249888888;18749888888
1641;18885485000;18249888888;18749888888
1642;18926906000;18291211111;18791211111
1643;18926910000;18291211111;18791211111
1644;18926911000;18291211111;18791211111
1645;18926912000;18291211111;18791211111
1646;18926913000;18291211111;18791211111
1647;18926915000;18291211111;18791211111
1648;18926916000;18291211111;18791211111
1649;18927146000;18291233333;18791233333
1650;18927161000;18291544444;18791544444
1651;18927162000;18291544444;18791544444
1652;18927163000;18291544444;18791544444
1653;18968583000;18332888888;18832888888
1654;18968586000;18332888888;18832888888
1655;18968587000;18332888888;18832888888
1656;18968588000;18332888888;18832888888
1657;18968589000;18332888888;18832888888
1658;18968590000;18332888888;18832888888
1659;18968591000;18332888888;18832888888
1660;18968792000;18332900000;18832900000
1661;18968808000;18333211111;18833211111
1662;18968809000;18333211111;18833211111
1663;18968810000;18333211111;18833211111
1664;19010303000;18374566666;18874566666
1665;19010307000;18374566666;18874566666
1666;19010309000;18374566666;18874566666
1667;19010310000;18374566666;18874566666
1668;19010311000;18374566666;18874566666
1669;19010312000;18374566666;18874566666
1670;19010313000;18374566666;18874566666
1671;19010516000;18374577777;18874577777
1672;19010531000;18374888888;18874888888
1673;19010532000;18374888888;18874888888
1674;19010533000;18374888888;18874888888
1675;19051919000;18416233333;18916233333
1676;19051923000;18416233333;18916233333
1677;19051924000;18416233333;18916233333
1678;19051925000;18416233333;18916233333
