seqnum;now;rtptime;deadline;packet_len;payload_len
0;12290169000;8948488888;9448488888;10240;10228
1;12290334000;8948488888;9448488888;10240;10228
2;12290531000;8948488888;9448488888;10240;10228
3;12290550000;8979900000;9479900000;10240;10228
4;12290727000;8979900000;9479900000;10240;10228
5;12290748000;8979900000;9479900000;10240;10228
6;12290931000;8979900000;9479900000;10240;10228
7;12290941000;8979900000;9479900000;10240;10228
8;12291147000;8979900000;9479900000;10240;10228
9;12291351000;8979900000;9479900000;10240;10228
10;12291370000;8979922222;9479922222;10240;10228
11;12291558000;8980266666;9480266666;10240;10228
12;12291570000;8980266666;9480266666;10240;10228
13;12291750000;8980266666;9480266666;10240;10228
14;12291771000;9021555555;9521555555;10240;10228
15;12291954000;9021555555;9521555555;10240;10228
16;12292167000;9021555555;9521555555;10240;10228
17;12292187000;9021555555;9521555555;10240;10228
18;12292376000;9021555555;9521555555;10240;10228
19;12292395000;9021555555;9521555555;10240;10228
20;12292573000;9021555555;9521555555;10240;10228
21;12292591000;9021566666;9521566666;10240;10228
22;12292764000;9021955555;9521955555;10240;10228
23;12292770000;9021955555;9521955555;10240;10228
24;12292968000;9021955555;9521955555;10240;10228
25;12293169000;9063222222;9563222222;10240;10228
26;12293175000;9063222222;9563222222;10240;10228
27;12293394000;9063222222;9563222222;10240;10228
28;12293411000;9063222222;9563222222;10240;10228
29;12293606000;9063222222;9563222222;10240;10228
30;12293800000;9063222222;9563222222;10240;10228
31;12293809000;9063222222;9563222222;10240;10228
32;12293978000;9063233333;9563233333;10240;10228
33;12293984000;9063566666;9563566666;10240;10228
34;12294199000;9063566666;9563566666;10240;10228
35;12294204000;9063566666;9563566666;10240;10228
36;12294425000;9104888888;9604888888;10240;10228
37;12294434000;9104888888;9604888888;10240;10228
38;12294629000;9104888888;9604888888;10240;10228
39;12294821000;9104888888;9604888888;10240;10228
40;12294832000;9104888888;9604888888;10240;10228
41;12295013000;9104888888;9604888888;10240;10228
42;12295024000;9104888888;9604888888;10240;10228
43;12295230000;9104900000;9604900000;10240;10228
44;12295251000;9105233333;9605233333;10240;10228
45;12295436000;9105233333;9605233333;10240;10228
46;12295456000;9105233333;9605233333;10240;10228
47;12295653000;9146555555;9646555555;10240;10228
48;12295845000;9146555555;9646555555;10240;10228
49;12295856000;9146555555;9646555555;10240;10228
