seqnum;now;rtptime;deadline
1;7346365000;7062177777;7562177777
3;7427962000;7093633333;7593633333
25;7510689000;7177011111;7677011111
47;7589175000;7260444444;7760444444
69;7658607000;7343688888;7843688888
91;7716785000;7427011111;7927011111
102;7745114000;7468644444;7968644444
113;7774013000;7510322222;8010322222
124;7805463000;7552033333;8052033333
125;7805471000;7552033333;8052033333
126;7805472000;7552033333;8052033333
127;7805474000;7552033333;8052033333
128;7805475000;7552033333;8052033333
129;7805477000;7552033333;8052033333
130;7805478000;7552033333;8052033333
131;7805694000;7552166666;8052166666
132;7805710000;7552455555;8052455555
133;7805711000;7552455555;8052455555
134;7805712000;7552455555;8052455555
135;7836194000;7593755555;8093755555
136;7836198000;7593755555;8093755555
137;7836199000;7593755555;8093755555
138;7836200000;7593755555;8093755555
139;7836201000;7593755555;8093755555
140;7836202000;7593755555;8093755555
141;7836203000;7593755555;8093755555
142;7836407000;7593833333;8093833333
143;7836423000;7594144444;8094144444
144;7836424000;7594144444;8094144444
145;7836425000;7594144444;8094144444
146;7871408000;7635288888;8135288888
147;7871412000;7635288888;8135288888
148;7871414000;7635288888;8135288888
149;7871415000;7635288888;8135288888
150;7871416000;7635288888;8135288888
151;7871417000;7635288888;8135288888
152;7871418000;7635288888;8135288888
153;7871622000;7635422222;8135422222
154;7871629000;7635744444;8135744444
155;7871631000;7635744444;8135744444
156;7871632000;7635744444;8135744444
157;7908326000;7676977777;8176977777
158;7908330000;7676977777;8176977777
159;7908331000;7676977777;8176977777
160;7908332000;7676977777;8176977777
161;7908333000;7676977777;8176977777
162;7908335000;7676977777;8176977777
163;7908336000;7676977777;8176977777
164;7908488000;7677066666;8177066666
165;7908503000;7677366666;8177366666
166;7908506000;7677366666;8177366666
167;7908507000;7677366666;8177366666
168;7946750000;7718622222;8218622222
169;7946753000;7718622222;8218622222
170;7946754000;7718622222;8218622222
171;7946755000;7718622222;8218622222
172;7946756000;7718622222;8218622222
173;7946757000;7718622222;8218622222
174;7946758000;7718622222;8218622222
175;7946888000;7718711111;8218711111
176;7946902000;7719088888;8219088888
177;7946904000;7719088888;8219088888
178;7946905000;7719088888;8219088888
179;7986449000;7760333333;8260333333
180;7986453000;7760333333;8260333333
181;7986454000;7760333333;8260333333
182;7986455000;7760333333;8260333333
183;7986456000;7760333333;8260333333
184;7986457000;7760333333;8260333333
185;7986458000;7760333333;8260333333
186;7986585000;7760411111;8260411111
187;7986591000;7760711111;8260711111
188;7986592000;7760711111;8260711111
189;7986593000;7760711111;8260711111
190;8026556000;7802000000;8302000000
191;8026559000;7802000000;8302000000
192;8026560000;7802000000;8302000000
193;8026561000;7802000000;8302000000
194;8026562000;7802000000;8302000000
195;8026563000;7802000000;8302000000
196;8026564000;7802000000;8302000000
197;8026713000;7802077777;8302077777
198;8026728000;7802366666;8302366666
199;8026730000;7802366666;8302366666
200;8026731000;7802366666;8302366666
201;8067926000;7843733333;8343733333
202;8067929000;7843733333;8343733333
