seqnum;now;rtptime;deadline;packet_len;payload_len
0;9218900000;8795333333;9295333333;10240;10228
1;9218991000;8795333333;9295333333;10240;10228
2;9219017000;8795333333;9295333333;10240;10228
3;9219022000;8826644444;9326644444;10240;10228
4;9219027000;8826644444;9326644444;10240;10228
5;9219031000;8826644444;9326644444;10240;10228
6;9219038000;8826644444;9326644444;10240;10228
7;9219043000;8826644444;9326644444;10240;10228
8;9219163000;8826644444;9326644444;10240;10228
9;9219179000;8826644444;9326644444;10240;10228
10;9219184000;8826666666;9326666666;10240;10228
11;9219189000;8827022222;9327022222;10240;10228
12;9219195000;8827022222;9327022222;10240;10228
13;9219200000;8827022222;9327022222;10240;10228
14;9219203000;8868277777;9368277777;10240;10228
15;9219207000;8868277777;9368277777;10240;10228
16;9219217000;8868277777;9368277777;10240;10228
17;9219224000;8868277777;9368277777;10240;10228
18;9219238000;8868277777;9368277777;10240;10228
19;9219244000;8868277777;9368277777;10240;10228
20;9219251000;8868277777;9368277777;10240;10228
21;9219257000;8868300000;9368300000;10240;10228
22;9219264000;8868677777;9368677777;10240;10228
23;9219270000;8868677777;9368677777;10240;10228
24;9219279000;8868677777;9368677777;10240;10228
25;9219287000;8909966666;9409966666;10240;10228
26;9219300000;8909966666;9409966666;10240;10228
27;9219311000;8909966666;9409966666;10240;10228
28;9219318000;8909966666;9409966666;10240;10228
29;9219326000;8909966666;9409966666;10240;10228
30;9219332000;8909966666;9409966666;10240;10228
31;9219344000;8909966666;9409966666;10240;10228
32;9219354000;8909977777;9409977777;10240;10228
33;9219364000;8910300000;9410300000;10240;10228
34;9219371000;8910300000;9410300000;10240;10228
35;9219377000;8910300000;9410300000;10240;10228
36;9219387000;8951633333;9451633333;10240;10228
37;9219393000;8951633333;9451633333;10240;10228
38;9219410000;8951633333;9451633333;10240;10228
39;9219414000;8951633333;9451633333;10240;10228
40;9219538000;8951633333;9451633333;10240;10228
41;9219553000;8951633333;9451633333;10240;10228
42;9219562000;8951633333;9451633333;10240;10228
43;9219579000;8951644444;9451644444;10240;10228
44;9219584000;8952000000;9452000000;10240;10228
45;9219590000;8952000000;9452000000;10240;10228
46;9219594000;8952000000;9452000000;10240;10228
47;9219600000;8993300000;9493300000;10240;10228
48;9219606000;8993300000;9493300000;10240;10228
49;9219612000;8993300000;9493300000;10240;10228
50;9219617000;8993300000;9493300000;10240;10228
51;9219622000;8993300000;9493300000;10240;10228
52;9219627000;8993300000;9493300000;10240;10228
53;9219633000;8993300000;9493300000;10240;10228
54;9219640000;8993311111;9493311111;10240;10228
55;9228805000;8993622222;9493622222;10240;10228
56;9228818000;8993622222;9493622222;10240;10228
57;9228823000;8993622222;9493622222;10240;10228
58;9228828000;9034988888;9534988888;10240;10228
59;9228832000;9034988888;9534988888;10240;10228
60;9228837000;9034988888;9534988888;10240;10228
61;9228841000;9034988888;9534988888;10240;10228
62;9228854000;9034988888;9534988888;10240;10228
63;9228860000;9034988888;9534988888;10240;10228
64;9228879000;9034988888;9534988888;10240;10228
65;9228883000;9035033333;9535033333;10240;10228
66;9270477000;9035333333;9535333333;10240;10228
67;9270535000;9035333333;9535333333;10240;10228
68;9270540000;9035333333;9535333333;10240;10228
69;9270545000;9076633333;9576633333;10240;10228
70;9270549000;9076633333;9576633333;10240;10228
71;9270554000;9076633333;9576633333;10240;10228
72;9270558000;9076633333;9576633333;10240;10228
73;9270564000;9076633333;9576633333;10240;10228
74;9270567000;9076633333;9576633333;10240;10228
75;9270572000;9076633333;9576633333;10240;10228
76;9270576000;9076677777;9576677777;10240;10228
77;9312143000;9077055555;9577055555;10240;10228
78;9312160000;9077055555;9577055555;10240;10228
79;9312165000;9077055555;9577055555;10240;10228
80;9312170000;9118300000;9618300000;10240;10228
81;9312174000;9118300000;9618300000;10240;10228
82;9312179000;9118300000;9618300000;10240;10228
83;9312183000;9118300000;9618300000;10240;10228
84;9312190000;9118300000;9618300000;10240;10228
85;9312213000;9118300000;9618300000;10240;10228
86;9312219000;9118300000;9618300000;10240;10228
87;9312223000;9118344444;9618344444;10240;10228
88;9353840000;9118666666;9618666666;10240;10228
89;9353858000;9118666666;9618666666;10240;10228
90;9353863000;9118666666;9618666666;10240;10228
91;9353869000;9159966666;9659966666;10240;10228
92;9353873000;9159966666;9659966666;10240;10228
93;9353877000;9159966666;9659966666;10240;10228
94;9353881000;9159966666;9659966666;10240;10228
95;9353887000;9159966666;9659966666;10240;10228
96;9353900000;9159966666;9659966666;10240;10228
97;9353905000;9159966666;9659966666;10240;10228
98;9353909000;9160011111;9660011111;10240;10228
99;9395472000;9160322222;9660322222;10240;10228
100;9395513000;9160322222;9660322222;10240;10228
101;9395532000;9160322222;9660322222;10240;10228
102;9395536000;9201644444;9701644444;10240;10228
103;9395541000;9201644444;9701644444;10240;10228
104;9395548000;9201644444;9701644444;10240;10228
105;9395551000;9201644444;9701644444;10240;10228
