seqnum;now;rtptime;deadline
3;10495470000;9822288888;10322288888
16;10618667000;9863944444;10363944444
57;10738840000;9989266666;10489266666
135;10906865000;10322266666;10822266666
208;10916789000;10572288888;11072288888
209;10916796000;10572555555;11072555555
210;10916797000;10572555555;11072555555
211;10916799000;10572555555;11072555555
212;10936746000;10613966666;11113966666
216;10936752000;10613966666;11113966666
217;10936753000;10613966666;11113966666
218;10936754000;10613966666;11113966666
219;10936901000;10614011111;11114011111
220;10936916000;10614322222;11114322222
221;10936918000;10614322222;11114322222
222;10936919000;10614322222;11114322222
223;10961679000;10655622222;11155622222
224;10961682000;10655622222;11155622222
225;10961684000;10655622222;11155622222
226;10961685000;10655622222;11155622222
227;10961686000;10655622222;11155622222
228;10961687000;10655622222;11155622222
229;10961688000;10655622222;11155622222
230;10961845000;10655677777;11155677777
231;10961860000;10656000000;11156000000
232;10961861000;10656000000;11156000000
233;10961862000;10656000000;11156000000
234;10993138000;10697277777;11197277777
235;10993141000;10697277777;11197277777
236;10993142000;10697277777;11197277777
237;10993143000;10697277777;11197277777
238;10993144000;10697277777;11197277777
239;10993145000;10697277777;11197277777
240;10993146000;10697277777;11197277777
241;10993292000;10697322222;11197322222
242;10993308000;10697588888;11197588888
243;10993309000;10697588888;11197588888
244;10993310000;10697588888;11197588888
245;11028998000;10738922222;11238922222
246;11029002000;10738922222;11238922222
247;11029003000;10738922222;11238922222
248;11029004000;10738922222;11238922222
249;11029005000;10738922222;11238922222
250;11029006000;10738922222;11238922222
251;11029007000;10738922222;11238922222
252;11029134000;10738944444;11238944444
253;11029149000;10739255555;11239255555
254;11029150000;10739255555;11239255555
255;11029151000;10739255555;11239255555
256;11067629000;10780622222;11280622222
257;11067641000;10780622222;11280622222
258;11067642000;10780622222;11280622222
259;11067643000;10780622222;11280622222
260;11067644000;10780622222;11280622222
261;11067645000;10780622222;11280622222
262;11067646000;10780622222;11280622222
263;11067790000;10780677777;11280677777
264;11067805000;10780966666;11280966666
265;11067806000;10780966666;11280966666
266;11067807000;10780966666;11280966666
267;11107806000;10822288888;11322288888
268;11107809000;10822288888;11322288888
269;11107810000;10822288888;11322288888
270;11107812000;10822288888;11322288888
271;11107812000;10822288888;11322288888
272;11107814000;10822288888;11322288888
273;11107815000;10822288888;11322288888
274;11107943000;10822333333;11322333333
275;11107958000;10822611111;11322611111
276;11107960000;10822611111;11322611111
277;11107961000;10822611111;11322611111
278;11148794000;10863955555;11363955555
279;11148797000;10863955555;11363955555
280;11148798000;10863955555;11363955555
281;11148800000;10863955555;11363955555
282;11148801000;10863955555;11363955555
283;11148802000;10863955555;11363955555
284;11148803000;10863955555;11363955555
285;11148930000;10864011111;11364011111
286;11148945000;10864311111;11364311111
287;11148946000;10864311111;11364311111
288;11148948000;10864311111;11364311111
289;11190180000;10905622222;11405622222
290;11190183000;10905622222;11405622222
291;11190184000;10905622222;11405622222
292;11190185000;10905622222;11405622222
293;11190186000;10905622222;11405622222
294;11190187000;10905622222;11405622222
295;11190188000;10905622222;11405622222
296;11190326000;10905677777;11405677777
297;11190331000;10905988888;11405988888
298;11190332000;10905988888;11405988888
299;11190333000;10905988888;11405988888
300;11231728000;10947277777;11447277777
301;11231732000;10947277777;11447277777
302;11231733000;10947277777;11447277777
303;11231734000;10947277777;11447277777
304;11231735000;10947277777;11447277777
305;11231736000;10947277777;11447277777
306;11231737000;10947277777;11447277777
307;11231884000;10947333333;11447333333
308;11231899000;10947600000;11447600000
309;11231922000;10947600000;11447600000
310;11231923000;10947600000;11447600000
311;11273359000;10988966666;11488966666
312;11273362000;10988966666;11488966666
313;11273363000;10988966666;11488966666
314;11273364000;10988966666;11488966666
315;11273365000;10988966666;11488966666
316;11273366000;10988966666;11488966666
317;11273367000;10988966666;11488966666
318;11273534000;10989022222;11489022222
319;11273539000;10989333333;11489333333
320;11273540000;10989333333;11489333333
321;11273541000;10989333333;11489333333
322;11314993000;11030611111;11530611111
323;11315004000;11030611111;11530611111
324;11315005000;11030611111;11530611111
325;11315006000;11030611111;11530611111
326;11315007000;11030611111;11530611111
327;11315008000;11030611111;11530611111
328;11315009000;11030611111;11530611111
329;11315143000;11030666666;11530666666
330;11315148000;11030977777;11530977777
331;11315149000;11030977777;11530977777
332;11315150000;11030977777;11530977777
333;11356650000;11072288888;11572288888
334;11356662000;11072288888;11572288888
335;11356663000;11072288888;11572288888
336;11356664000;11072288888;11572288888
337;11356665000;11072288888;11572288888
338;11356666000;11072288888;11572288888
339;11356667000;11072288888;11572288888
340;11356811000;11072333333;11572333333
341;11356826000;11072622222;11572622222
342;11356827000;11072622222;11572622222
343;11356828000;11072622222;11572622222
344;11398333000;11113955555;11613955555
345;11398345000;11113955555;11613955555
346;11398346000;11113955555;11613955555
347;11398346000;11113955555;11613955555
348;11398347000;11113955555;11613955555
349;11398348000;11113955555;11613955555
350;11398349000;11113955555;11613955555
351;11398496000;11114011111;11614011111
352;11398511000;11114311111;11614311111
353;11398513000;11114311111;11614311111
354;11398515000;11114311111;11614311111
355;11440000000;11155611111;11655611111
356;11440004000;11155611111;11655611111
357;11440005000;11155611111;11655611111
358;11440006000;11155611111;11655611111
359;11440006000;11155611111;11655611111
360;11440007000;11155611111;11655611111
361;11440008000;11155611111;11655611111
362;11440128000;11155666666;11655666666
363;11440133000;11155955555;11655955555
364;11440135000;11155955555;11655955555
365;11440136000;11155955555;11655955555
366;11481668000;11197277777;11697277777
367;11481672000;11197277777;11697277777
368;11481673000;11197277777;11697277777
369;11481674000;11197277777;11697277777
370;11481675000;11197277777;11697277777
371;11481676000;11197277777;11697277777
372;11481677000;11197277777;11697277777
373;11481806000;11197333333;11697333333
374;11481821000;11197588888;11697588888
375;11481822000;11197588888;11697588888
376;11481823000;11197588888;11697588888
377;11523346000;11238955555;11738955555
378;11523350000;11238955555;11738955555
379;11523351000;11238955555;11738955555
380;11523351000;11238955555;11738955555
381;11523352000;11238955555;11738955555
382;11523353000;11238955555;11738955555
383;11523354000;11238955555;11738955555
384;11523458000;11239000000;11739000000
385;11523463000;11239300000;11739300000
386;11523464000;11239300000;11739300000
387;11523465000;11239300000;11739300000
388;11565024000;11280633333;11780633333
389;11565028000;11280633333;11780633333
390;11565029000;11280633333;11780633333
391;11565030000;11280633333;11780633333
392;11565031000;11280633333;11780633333
393;11565032000;11280633333;11780633333
394;11565033000;11280633333;11780633333
395;11565181000;11280688888;11780688888
396;11565196000;11281022222;11781022222
397;11565198000;11281022222;11781022222
398;11565199000;11281022222;11781022222
399;11606671000;11322288888;11822288888
400;11606675000;11322288888;11822288888
401;11606676000;11322288888;11822288888
402;11606677000;11322288888;11822288888
403;11606678000;11322288888;11822288888
404;11606679000;11322288888;11822288888
405;11606680000;11322288888;11822288888
406;11606798000;11322333333;11822333333
407;11606803000;11322622222;11822622222
408;11606805000;11322622222;11822622222
409;11606806000;11322622222;11822622222
410;11648400000;11363955555;11863955555
411;11648404000;11363955555;11863955555
412;11648412000;11363955555;11863955555
413;11648413000;11363955555;11863955555
414;11648415000;11363955555;11863955555
415;11648416000;11363955555;11863955555
416;11648417000;11363955555;11863955555
417;11648621000;11364011111;11864011111
418;11648636000;11364311111;11864311111
419;11648637000;11364311111;11864311111
420;11648638000;11364311111;11864311111
421;11690055000;11405611111;11905611111
422;11690059000;11405611111;11905611111
423;11690060000;11405611111;11905611111
424;11690061000;11405611111;11905611111
425;11690062000;11405611111;11905611111
426;11690063000;11405611111;11905611111
427;11690064000;11405611111;11905611111
428;11690261000;11405666666;11905666666
429;11690276000;11405977777;11905977777
430;11690277000;11405977777;11905977777
431;11690278000;11405977777;11905977777
432;11731723000;11447277777;11947277777
433;11731726000;11447277777;11947277777
434;11731727000;11447277777;11947277777
435;11731728000;11447277777;11947277777
436;11731729000;11447277777;11947277777
437;11731730000;11447277777;11947277777
438;11731731000;11447277777;11947277777
439;11731928000;11447333333;11947333333
440;11731935000;11447622222;11947622222
441;11731936000;11447622222;11947622222
442;11731937000;11447622222;11947622222
443;11773377000;11488955555;11988955555
444;11773381000;11488955555;11988955555
445;11773382000;11488955555;11988955555
446;11773383000;11488955555;11988955555
447;11773383000;11488955555;11988955555
448;11773384000;11488955555;11988955555
449;11773385000;11488955555;11988955555
450;11773605000;11489011111;11989011111
451;11773611000;11489300000;11989300000
452;11773612000;11489300000;11989300000
453;11773613000;11489300000;11989300000
454;11815032000;11530611111;12030611111
455;11815036000;11530611111;12030611111
456;11815037000;11530611111;12030611111
457;11815038000;11530611111;12030611111
458;11815039000;11530611111;12030611111
459;11815040000;11530611111;12030611111
460;11815041000;11530611111;12030611111
461;11815237000;11530666666;12030666666
462;11815244000;11530944444;12030944444
463;11815245000;11530944444;12030944444
464;11815246000;11530944444;12030944444
465;11858872000;11572277777;12072277777
466;11858888000;11572277777;12072277777
467;11858890000;11572277777;12072277777
468;11858892000;11572277777;12072277777
469;11858893000;11572277777;12072277777
470;11858894000;11572277777;12072277777
471;11858895000;11572277777;12072277777
472;11859131000;11572333333;12072333333
473;11859137000;11572611111;12072611111
474;11859138000;11572611111;12072611111
475;11859139000;11572611111;12072611111
476;11898445000;11613966666;12113966666
477;11898459000;11613966666;12113966666
478;11898461000;11613966666;12113966666
479;11898462000;11613966666;12113966666
480;11898464000;11613966666;12113966666
481;11898466000;11613966666;12113966666
482;11898467000;11613966666;12113966666
483;11898674000;11614011111;12114011111
484;11898690000;11614322222;12114322222
485;11898691000;11614322222;12114322222
486;11898692000;11614322222;12114322222
487;11940123000;11655611111;12155611111
488;11940130000;11655611111;12155611111
489;11940132000;11655611111;12155611111
490;11940134000;11655611111;12155611111
491;11940135000;11655611111;12155611111
492;11940137000;11655611111;12155611111
493;11940139000;11655611111;12155611111
494;11940371000;11655666666;12155666666
495;11940388000;11655966666;12155966666
496;11940390000;11655966666;12155966666
497;11940391000;11655966666;12155966666
