seqnum;now;rtptime;deadline;packet_len;payload_len
0;8780764000;8535388888;9035388888;1398;1386
1;8780885000;8535388888;9035388888;1400;1388
2;8780899000;8535388888;9035388888;1398;1386
3;8781096000;8566977777;9066977777;1400;1388
4;8781292000;8566977777;9066977777;1400;1388
5;8781302000;8566977777;9066977777;1398;1386
6;8781498000;8566977777;9066977777;1400;1388
7;8781523000;8566977777;9066977777;1398;1386
8;8781675000;8566977777;9066977777;1400;1388
9;8781904000;8566977777;9066977777;1400;1388
10;8781912000;8567000000;9067000000;982;970
11;8822332000;8567322222;9067322222;1398;1386
12;8822494000;8567322222;9067322222;1400;1388
13;8822684000;8567322222;9067322222;1398;1386
14;8822687000;8608600000;9108600000;1400;1388
15;8822887000;8608600000;9108600000;1400;1388
16;8822895000;8608600000;9108600000;1398;1386
17;8823097000;8608600000;9108600000;1400;1388
18;8823114000;8608600000;9108600000;1398;1386
19;8823312000;8608600000;9108600000;1400;1388
20;8823554000;8608600000;9108600000;1400;1388
21;8823576000;8608622222;9108622222;982;970
22;8863969000;8609011111;9109011111;1398;1386
23;8864194000;8609011111;9109011111;1400;1388
24;8864206000;8609011111;9109011111;1398;1386
25;8864389000;8650266666;9150266666;1400;1388
26;8864598000;8650266666;9150266666;1400;1388
27;8864606000;8650266666;9150266666;1398;1386
28;8864796000;8650266666;9150266666;1400;1388
29;8864804000;8650266666;9150266666;1398;1386
30;8865010000;8650266666;9150266666;1400;1388
31;8865018000;8650266666;9150266666;1400;1388
32;8865211000;8650288888;9150288888;982;970
33;8905636000;8650622222;9150622222;1398;1386
34;8905814000;8650622222;9150622222;1400;1388
35;8906023000;8650622222;9150622222;1398;1386
36;8906044000;8691911111;9191911111;1400;1388
37;8906224000;8691911111;9191911111;1400;1388
38;8906234000;8691911111;9191911111;1398;1386
39;8906433000;8691911111;9191911111;1400;1388
40;8906442000;8691911111;9191911111;1398;1386
41;8906637000;8691911111;9191911111;1400;1388
42;8906645000;8691911111;9191911111;1400;1388
43;8906840000;8691933333;9191933333;982;970
