seqnum;now;rtptime;deadline
1;9008237000;8720922222;9220922222
3;9047745000;8752422222;9252422222
4;9047762000;8752422222;9252422222
5;9047765000;8752422222;9252422222
6;9047766000;8752422222;9252422222
7;9047768000;8752422222;9252422222
8;9047770000;8752422222;9252422222
9;9047771000;8752422222;9252422222
10;9048006000;8752444444;9252444444
11;9048022000;8752766666;9252766666
12;9048024000;8752766666;9252766666
13;9048025000;8752766666;9252766666
14;9089344000;8794066666;9294066666
15;9089351000;8794066666;9294066666
16;9089353000;8794066666;9294066666
17;9089355000;8794066666;9294066666
18;9089356000;8794066666;9294066666
19;9089358000;8794066666;9294066666
20;9089359000;8794066666;9294066666
21;9091077000;8794088888;9294088888
22;9091087000;8794466666;9294466666
23;9091090000;8794466666;9294466666
24;9091091000;8794466666;9294466666
25;9130897000;8835733333;9335733333
26;9130902000;8835733333;9335733333
27;9130904000;8835733333;9335733333
28;9130905000;8835733333;9335733333
29;9130907000;8835733333;9335733333
30;9130918000;8835733333;9335733333
31;9130919000;8835733333;9335733333
32;9131128000;8835755555;9335755555
33;9131131000;8836088888;9336088888
34;9131133000;8836088888;9336088888
35;9131134000;8836088888;9336088888
36;9172259000;8877400000;9377400000
37;9172265000;8877400000;9377400000
38;9172266000;8877400000;9377400000
39;9172268000;8877400000;9377400000
40;9172269000;8877400000;9377400000
41;9172271000;8877400000;9377400000
42;9172273000;8877400000;9377400000
43;9172497000;8877422222;9377422222
44;9172501000;8877755555;9377755555
45;9172503000;8877755555;9377755555
46;9172504000;8877755555;9377755555
47;9213307000;8919055555;9419055555
48;9213312000;8919055555;9419055555
49;9213313000;8919055555;9419055555
50;9213315000;8919055555;9419055555
51;9213316000;8919055555;9419055555
52;9213318000;8919055555;9419055555
53;9213319000;8919055555;9419055555
54;9213514000;8919077777;9419077777
55;9213517000;8919400000;9419400000
56;9213519000;8919400000;9419400000
57;9213520000;8919400000;9419400000
58;9254136000;8960722222;9460722222
59;9254149000;8960722222;9460722222
60;9254150000;8960722222;9460722222
61;9254152000;8960722222;9460722222
62;9254153000;8960722222;9460722222
63;9254154000;8960722222;9460722222
64;9254156000;8960722222;9460722222
65;9254363000;8960744444;9460744444
66;9254366000;8961055555;9461055555
67;9254367000;8961055555;9461055555
68;9254368000;8961055555;9461055555
69;9294516000;9002388888;9502388888
70;9294522000;9002388888;9502388888
71;9294523000;9002388888;9502388888
72;9294525000;9002388888;9502388888
73;9294526000;9002388888;9502388888
74;9294528000;9002388888;9502388888
75;9294529000;9002388888;9502388888
76;9294708000;9002411111;9502411111
77;9294711000;9002744444;9502744444
78;9294712000;9002744444;9502744444
79;9294713000;9002744444;9502744444
80;9334361000;9044055555;9544055555
81;9334373000;9044055555;9544055555
82;9334375000;9044055555;9544055555
83;9334376000;9044055555;9544055555
84;9334378000;9044055555;9544055555
85;9334379000;9044055555;9544055555
86;9334380000;9044055555;9544055555
87;9334597000;9044077777;9544077777
88;9334600000;9044388888;9544388888
89;9334601000;9044388888;9544388888
90;9334603000;9044388888;9544388888
91;9373882000;9085722222;9585722222
92;9373895000;9085722222;9585722222
93;9373896000;9085722222;9585722222
94;9373897000;9085722222;9585722222
95;9373898000;9085722222;9585722222
96;9373899000;9085722222;9585722222
97;9373900000;9085722222;9585722222
98;9374109000;9085744444;9585744444
99;9374112000;9086066666;9586066666
100;9374113000;9086066666;9586066666
101;9374115000;9086066666;9586066666
102;9413082000;9127400000;9627400000
103;9413085000;9127400000;9627400000
104;9413086000;9127400000;9627400000
105;9413087000;9127400000;9627400000
106;9413089000;9127400000;9627400000
107;9413090000;9127400000;9627400000
108;9413091000;9127400000;9627400000
109;9413299000;9127422222;9627422222
110;9413302000;9127688888;9627688888
111;9413303000;9127688888;9627688888
112;9413304000;9127688888;9627688888
113;9452115000;9169066666;9669066666
114;9452118000;9169066666;9669066666
115;9452129000;9169066666;9669066666
116;9452130000;9169066666;9669066666
117;9452131000;9169066666;9669066666
118;9452132000;9169066666;9669066666
119;9452134000;9169066666;9669066666
120;9452339000;9169088888;9669088888
121;9452342000;9169377777;9669377777
122;9452344000;9169377777;9669377777
123;9452345000;9169377777;9669377777
124;9490960000;9210722222;9710722222
125;9490963000;9210722222;9710722222
126;9490964000;9210722222;9710722222
127;9490965000;9210722222;9710722222
128;9490967000;9210722222;9710722222
