seqnum;now;rtptime;deadline;packet_len;payload_len
0;11560958000;11408644444;11908644444;1398;1386
1;11560987000;11408644444;11908644444;1400;1388
2;11561041000;11408644444;11908644444;1398;1386
3;11561320000;11440211111;11940211111;1400;1388
4;11561331000;11440211111;11940211111;1400;1388
5;11561336000;11440211111;11940211111;1398;1386
6;11561606000;11440211111;11940211111;1400;1388
7;11561625000;11440211111;11940211111;1398;1386
8;11561826000;11440211111;11940211111;1400;1388
9;11561845000;11440211111;11940211111;1400;1388
10;11562065000;11440222222;11940222222;982;970
11;11602534000;11440544444;11940544444;1398;1386
12;11602565000;11440544444;11940544444;1400;1388
13;11602752000;11440544444;11940544444;1398;1386
14;11602761000;11481855555;11981855555;1400;1388
15;11603007000;11481855555;11981855555;1400;1388
16;11603030000;11481855555;11981855555;1398;1386
17;11603251000;11481855555;11981855555;1400;1388
18;11603263000;11481855555;11981855555;1398;1386
19;11603503000;11481855555;11981855555;1400;1388
20;11603519000;11481855555;11981855555;1400;1388
21;11603527000;11481866666;11981866666;982;970
22;11644198000;11482244444;11982244444;1398;1386
23;11644210000;11482244444;11982244444;1400;1388
24;11644415000;11482244444;11982244444;1398;1386
25;11644423000;11523533333;12023533333;1400;1388
26;11644665000;11523533333;12023533333;1400;1388
27;11644674000;11523533333;12023533333;1398;1386
28;11644916000;11523533333;12023533333;1400;1388
29;11644924000;11523533333;12023533333;1398;1386
30;11645143000;11523533333;12023533333;1400;1388
31;11645148000;11523533333;12023533333;1400;1388
32;11645416000;11523544444;12023544444;982;970
33;11685841000;11523866666;12023866666;1398;1386
34;11685858000;11523866666;12023866666;1400;1388
35;11686069000;11523866666;12023866666;1398;1386
36;11686079000;11565188888;12065188888;1400;1388
37;11686320000;11565188888;12065188888;1400;1388
38;11686329000;11565188888;12065188888;1398;1386
39;11686573000;11565188888;12065188888;1400;1388
40;11686581000;11565188888;12065188888;1398;1386
41;11686825000;11565188888;12065188888;1400;1388
42;11686838000;11565188888;12065188888;1400;1388
43;11686843000;11565200000;12065200000;982;970
44;11727467000;11565555555;12065555555;1398;1386
45;11727480000;11565555555;12065555555;1400;1388
46;11727703000;11565555555;12065555555;1398;1386
47;11727711000;11606855555;12106855555;1400;1388
48;11727953000;11606855555;12106855555;1400;1388
49;11727961000;11606855555;12106855555;1398;1386
50;11728204000;11606855555;12106855555;1400;1388
51;11728213000;11606855555;12106855555;1398;1386
52;11728454000;11606855555;12106855555;1400;1388
53;11728463000;11606855555;12106855555;1400;1388
54;11728704000;11606866666;12106866666;982;970
55;11769155000;11607177777;12107177777;1398;1386
56;11769169000;11607177777;12107177777;1400;1388
57;11769393000;11607177777;12107177777;1398;1386
58;11769401000;11648522222;12148522222;1400;1388
59;11769643000;11648522222;12148522222;1400;1388
60;11769651000;11648522222;12148522222;1398;1386
61;11769893000;11648522222;12148522222;1400;1388
62;11769901000;11648522222;12148522222;1398;1386
63;11770144000;11648522222;12148522222;1400;1388
64;11770153000;11648522222;12148522222;1400;1388
65;11770392000;11648544444;12148544444;982;970
66;11810845000;11648822222;12148822222;1398;1386
67;11810856000;11648822222;12148822222;1400;1388
68;11811079000;11648822222;12148822222;1398;1386
69;11811087000;11690200000;12190200000;1400;1388
70;11811328000;11690200000;12190200000;1400;1388
71;11811336000;11690200000;12190200000;1398;1386
72;11811584000;11690200000;12190200000;1400;1388
73;11811592000;11690200000;12190200000;1398;1386
74;11811837000;11690200000;12190200000;1400;1388
75;11811845000;11690200000;12190200000;1400;1388
76;11811849000;11690211111;12190211111;982;970
77;11852481000;11690544444;12190544444;1398;1386
78;11852490000;11690544444;12190544444;1400;1388
79;11852735000;11690544444;12190544444;1398;1386
80;11852743000;11731855555;12231855555;1400;1388
81;11852980000;11731855555;12231855555;1400;1388
82;11852988000;11731855555;12231855555;1398;1386
83;11853237000;11731855555;12231855555;1400;1388
84;11853268000;11731855555;12231855555;1398;1386
85;11853481000;11731855555;12231855555;1400;1388
