seqnum;now;rtptime;deadline;packet_len;payload_len
0;7982393000;7850988888;8350988888;10240;10228
1;7982518000;7850988888;8350988888;10240;10228
0;7982636000;7850988888;8350988888;10240;10228
2;7982741000;7850988888;8350988888;10240;10228
3;7982760000;7882288888;8382288888;10240;10228
1;7982887000;7850988888;8350988888;10240;10228
2;7982897000;7850988888;8350988888;10240;10228
3;7982909000;7882288888;8382288888;10240;10228
4;7982914000;7882288888;8382288888;10240;10228
5;7982922000;7882288888;8382288888;10240;10228
4;7983129000;7882288888;8382288888;10240;10228
6;7983135000;7882288888;8382288888;10240;10228
7;7983143000;7882288888;8382288888;10240;10228
5;7983150000;7882288888;8382288888;10240;10228
8;7983323000;7882288888;8382288888;10240;10228
6;7983383000;7882288888;8382288888;10240;10228
7;7983390000;7882288888;8382288888;10240;10228
9;7983523000;7882288888;8382288888;10240;10228
10;7983531000;7882322222;8382322222;10240;10228
8;7983651000;7882288888;8382288888;10240;10228
9;7983658000;7882288888;8382288888;10240;10228
11;7983750000;7882666666;8382666666;10240;10228
12;7983759000;7882666666;8382666666;10240;10228
10;7983886000;7882322222;8382322222;10240;10228
11;7983892000;7882666666;8382666666;10240;10228
13;7983947000;7882666666;8382666666;10240;10228
14;7983956000;7923955555;8423955555;10240;10228
12;7984115000;7882666666;8382666666;10240;10228
13;7984126000;7882666666;8382666666;10240;10228
15;7984133000;7923955555;8423955555;10240;10228
16;7984334000;7923955555;8423955555;10240;10228
17;7984344000;7923955555;8423955555;10240;10228
14;7984373000;7923955555;8423955555;10240;10228
15;7984382000;7923955555;8423955555;10240;10228
18;7984551000;7923955555;8423955555;10240;10228
19;7984571000;7923955555;8423955555;10240;10228
16;7984661000;7923955555;8423955555;10240;10228
17;7984674000;7923955555;8423955555;10240;10228
18;7984680000;7923955555;8423955555;10240;10228
20;7984780000;7923955555;8423955555;10240;10228
21;7984785000;7923977777;8423977777;10240;10228
19;7984904000;7923955555;8423955555;10240;10228
20;7984910000;7923955555;8423955555;10240;10228
21;7985160000;7923977777;8423977777;10240;10228
22;7985869000;7924355555;8424355555;10240;10228
23;7986003000;7924355555;8424355555;10240;10228
22;7986132000;7924355555;8424355555;10240;10228
24;7986246000;7924355555;8424355555;10240;10228
25;7986252000;7965688888;8465688888;10240;10228
23;7986385000;7924355555;8424355555;10240;10228
24;7986391000;7924355555;8424355555;10240;10228
26;7986410000;7965688888;8465688888;10240;10228
27;7986415000;7965688888;8465688888;10240;10228
28;7986641000;7965688888;8465688888;10240;10228
29;7986647000;7965688888;8465688888;10240;10228
25;7986651000;7965688888;8465688888;10240;10228
26;7986662000;7965688888;8465688888;10240;10228
27;7986667000;7965688888;8465688888;10240;10228
30;7986859000;7965688888;8465688888;10240;10228
28;7986877000;7965688888;8465688888;10240;10228
29;7986884000;7965688888;8465688888;10240;10228
31;7987058000;7965688888;8465688888;10240;10228
32;7987065000;7965766666;8465766666;10240;10228
30;7987163000;7965688888;8465688888;10240;10228
31;7987170000;7965688888;8465688888;10240;10228
32;7987417000;7965766666;8465766666;10240;10228
33;8027568000;7966111111;8466111111;10240;10228
34;8027735000;7966111111;8466111111;10240;10228
33;8027862000;7966111111;8466111111;10240;10228
34;8027870000;7966111111;8466111111;10240;10228
35;8027907000;7966111111;8466111111;10240;10228
36;8027926000;8007411111;8507411111;10240;10228
35;8028106000;7966111111;8466111111;10240;10228
36;8028115000;8007411111;8507411111;10240;10228
37;8028120000;8007411111;8507411111;10240;10228
38;8028131000;8007411111;8507411111;10240;10228
39;8028346000;8007411111;8507411111;10240;10228
37;8028353000;8007411111;8507411111;10240;10228
40;8028358000;8007411111;8507411111;10240;10228
38;8028367000;8007411111;8507411111;10240;10228
41;8028544000;8007411111;8507411111;10240;10228
39;8028611000;8007411111;8507411111;10240;10228
40;8028618000;8007411111;8507411111;10240;10228
42;8028758000;8007411111;8507411111;10240;10228
43;8028766000;8007500000;8507500000;10240;10228
41;8028880000;8007411111;8507411111;10240;10228
42;8028903000;8007411111;8507411111;10240;10228
43;8029126000;8007500000;8507500000;10240;10228
44;8069139000;8007888888;8507888888;10240;10228
45;8069332000;8007888888;8507888888;10240;10228
46;8069352000;8007888888;8507888888;10240;10228
44;8069461000;8007888888;8507888888;10240;10228
45;8069473000;8007888888;8507888888;10240;10228
47;8069478000;8048955555;8548955555;10240;10228
46;8069733000;8007888888;8507888888;10240;10228
48;8069760000;8048955555;8548955555;10240;10228
49;8069766000;8048955555;8548955555;10240;10228
47;8069770000;8048955555;8548955555;10240;10228
48;8069947000;8048955555;8548955555;10240;10228
50;8069959000;8048955555;8548955555;10240;10228
51;8069963000;8048955555;8548955555;10240;10228
49;8069978000;8048955555;8548955555;10240;10228
52;8070150000;8048955555;8548955555;10240;10228
50;8070162000;8048955555;8548955555;10240;10228
