seqnum;now;rtptime;deadline
1;17022822000;16382444444;16882444444
2;17022825000;16382444444;16882444444
3;17053966000;16413800000;16913800000
4;17053975000;16413800000;16913800000
5;17053976000;16413800000;16913800000
6;17053978000;16413800000;16913800000
7;17053979000;16413800000;16913800000
8;17212782000;16413800000;16913800000
9;17212930000;16413800000;16913800000
10;17263205000;16413822222;16913822222
11;17263212000;16414133333;16914133333
12;17263213000;16414133333;16914133333
13;17263214000;16414133333;16914133333
14;17304823000;16455455555;16955455555
15;17304827000;16455455555;16955455555
16;17304828000;16455455555;16955455555
17;17304828000;16455455555;16955455555
18;17304829000;16455455555;16955455555
19;17304830000;16455455555;16955455555
24;17503728000;16455844444;16955844444
25;17544945000;16497122222;16997122222
26;17544949000;16497122222;16997122222
27;17544950000;16497122222;16997122222
28;17544951000;16497122222;16997122222
29;17544952000;16497122222;16997122222
30;17544953000;16497122222;16997122222
31;17544954000;16497122222;16997122222
32;17545054000;16497133333;16997133333
33;17545059000;16497466666;16997466666
34;17545060000;16497466666;16997466666
35;17545061000;16497466666;16997466666
36;17586435000;16538788888;17038788888
37;17586439000;16538788888;17038788888
38;17586440000;16538788888;17038788888
39;17586441000;16538788888;17038788888
40;17586442000;16538788888;17038788888
41;17586443000;16538788888;17038788888
42;17693364000;16538788888;17038788888
43;17743857000;16538800000;17038800000
55;17743863000;16580777777;17080777777
56;17743865000;16580777777;17080777777
57;17743865000;16580777777;17080777777
58;17827130000;16622122222;17122122222
59;17827134000;16622122222;17122122222
60;17827135000;16622122222;17122122222
61;17827136000;16622122222;17122122222
62;17827137000;16622122222;17122122222
65;17827491000;16622133333;17122133333
66;17827497000;16622433333;17122433333
67;17827499000;16622433333;17122433333
68;17827500000;16622433333;17122433333
71;17867901000;16663788888;17163788888
72;17867913000;16663788888;17163788888
73;17867914000;16663788888;17163788888
74;17867915000;16663788888;17163788888
75;17867916000;16663788888;17163788888
76;17867978000;16663800000;17163800000
77;17867983000;16664122222;17164122222
78;17867984000;16664122222;17164122222
79;17867985000;16664122222;17164122222
80;17983970000;16705455555;17205455555
113;18108293000;16830455555;17330455555
116;18108296000;16830455555;17330455555
117;18108297000;16830455555;17330455555
118;18108298000;16830455555;17330455555
119;18108299000;16830455555;17330455555
120;18108414000;16830466666;17330466666
121;18108419000;16830766666;17330766666
122;18108420000;16830766666;17330766666
123;18108421000;16830766666;17330766666
124;18142140000;16872133333;17372133333
125;18142143000;16872133333;17372133333
126;18142144000;16872133333;17372133333
127;18142145000;16872133333;17372133333
128;18142146000;16872133333;17372133333
129;18142147000;16872133333;17372133333
130;18142148000;16872133333;17372133333
131;18147468000;16872155555;17372155555
