seqnum;now;rtptime;deadline;packet_len;payload_len
0;4026219000;3936766666;4436766666;10240;10228
3;4026245000;3967733333;4467733333;10240;10228
4;4026304000;3967733333;4467733333;10240;10228
7;4026309000;3967733333;4467733333;10240;10228
1;4026334000;3936766666;4436766666;10240;10228
2;4026549000;3936766666;4436766666;10240;10228
5;4026560000;3967733333;4467733333;10240;10228
6;4026756000;3967733333;4467733333;10240;10228
8;4066586000;3967733333;4467733333;10240;10228
9;4066600000;3967733333;4467733333;10240;10228
10;4066608000;3967755555;4467755555;10240;10228
11;4066613000;3968111111;4468111111;10240;10228
12;4066631000;3968111111;4468111111;10240;10228
13;4066635000;3968111111;4468111111;10240;10228
14;4066638000;4009388888;4509388888;10240;10228
15;4066642000;4009388888;4509388888;10240;10228
16;4066712000;4009388888;4509388888;10240;10228
17;4066944000;4009388888;4509388888;10240;10228
18;4066954000;4009388888;4509388888;10240;10228
19;4067152000;4009388888;4509388888;10240;10228
20;4067328000;4009388888;4509388888;10240;10228
21;4067337000;4009400000;4509400000;10240;10228
22;4071465000;4009788888;4509788888;10240;10228
23;4071600000;4009788888;4509788888;10240;10228
24;4107112000;4009788888;4509788888;10240;10228
25;4107135000;4051077777;4551077777;10240;10228
26;4107142000;4051077777;4551077777;10240;10228
27;4107147000;4051077777;4551077777;10240;10228
28;4107162000;4051077777;4551077777;10240;10228
29;4107166000;4051077777;4551077777;10240;10228
30;4107170000;4051077777;4551077777;10240;10228
31;4107174000;4051077777;4551077777;10240;10228
32;4107178000;4051088888;4551088888;10240;10228
33;4113141000;4051444444;4551444444;10240;10228
35;4113153000;4051444444;4551444444;10240;10228
37;4113172000;4092744444;4592744444;10240;10228
39;4113177000;4092744444;4592744444;10240;10228
34;4113192000;4051444444;4551444444;10240;10228
36;4113333000;4092744444;4592744444;10240;10228
38;4113363000;4092744444;4592744444;10240;10228
40;4113547000;4092744444;4592744444;10240;10228
41;4113734000;4092744444;4592744444;10240;10228
42;4113756000;4092744444;4592744444;10240;10228
43;4113935000;4092788888;4592788888;10240;10228
45;4154605000;4093155555;4593155555;10240;10228
47;4154644000;4134388888;4634388888;10240;10228
49;4154666000;4134388888;4634388888;10240;10228
51;4154670000;4134388888;4634388888;10240;10228
53;4154692000;4134388888;4634388888;10240;10228
44;4154787000;4093155555;4593155555;10240;10228
46;4154933000;4093155555;4593155555;10240;10228
48;4155152000;4134388888;4634388888;10240;10228
50;4155185000;4134388888;4634388888;10240;10228
52;4155390000;4134388888;4634388888;10240;10228
54;4155417000;4134433333;4634433333;10240;10228
55;4196224000;4134744444;4634744444;10240;10228
57;4196240000;4134744444;4634744444;10240;10228
59;4196263000;4176044444;4676044444;10240;10228
61;4196267000;4176044444;4676044444;10240;10228
63;4196283000;4176044444;4676044444;10240;10228
65;4196287000;4176088888;4676088888;10240;10228
56;4196403000;4134744444;4634744444;10240;10228
58;4196614000;4176044444;4676044444;10240;10228
60;4196641000;4176044444;4676044444;10240;10228
62;4196819000;4176044444;4676044444;10240;10228
64;4197024000;4176044444;4676044444;10240;10228
67;4237966000;4176411111;4676411111;10240;10228
69;4237997000;4217744444;4717744444;10240;10228
71;4238003000;4217744444;4717744444;10240;10228
73;4238008000;4217744444;4717744444;10240;10228
75;4238013000;4217744444;4717744444;10240;10228
66;4238122000;4176411111;4676411111;10240;10228
68;4238301000;4176411111;4676411111;10240;10228
70;4238506000;4217744444;4717744444;10240;10228
72;4238544000;4217744444;4717744444;10240;10228
74;4238711000;4217744444;4717744444;10240;10228
76;4238746000;4217788888;4717788888;10240;10228
79;4279540000;4218122222;4718122222;10240;10228
81;4279564000;4259377777;4759377777;10240;10228
83;4279576000;4259377777;4759377777;10240;10228
85;4279591000;4259377777;4759377777;10240;10228
87;4279596000;4259422222;4759422222;10240;10228
78;4279734000;4218122222;4718122222;10240;10228
80;4279959000;4259377777;4759377777;10240;10228
82;4279970000;4259377777;4759377777;10240;10228
84;4280158000;4259377777;4759377777;10240;10228
86;4280362000;4259377777;4759377777;10240;10228
77;4319829000;4218122222;4718122222;10240;10228
89;4321233000;4259733333;4759733333;10240;10228
91;4321253000;4301044444;4801044444;10240;10228
93;4321258000;4301044444;4801044444;10240;10228
95;4321263000;4301044444;4801044444;10240;10228
97;4321280000;4301044444;4801044444;10240;10228
88;4321400000;4259733333;4759733333;10240;10228
94;4321613000;4301044444;4801044444;10240;10228
96;4321624000;4301044444;4801044444;10240;10228
98;4321767000;4301088888;4801088888;10240;10228
90;4362279000;4259733333;4759733333;10240;10228
92;4362466000;4301044444;4801044444;10240;10228
99;4362881000;4301400000;4801400000;10240;10228
101;4362893000;4301400000;4801400000;10240;10228
103;4362902000;4342755555;4842755555;10240;10228
105;4362907000;4342755555;4842755555;10240;10228
106;4362911000;4342755555;4842755555;10240;10228
107;4362917000;4342755555;4842755555;10240;10228
108;4362928000;4342755555;4842755555;10240;10228
100;4363126000;4301400000;4801400000;10240;10228
102;4363357000;4342755555;4842755555;10240;10228
104;4363394000;4342755555;4842755555;10240;10228
109;4402713000;4342800000;4842800000;10240;10228
111;4404576000;4343077777;4843077777;10240;10228
113;4404592000;4384411111;4884411111;10240;10228
115;4404597000;4384411111;4884411111;10240;10228
117;4404603000;4384411111;4884411111;10240;10228
119;4404607000;4384411111;4884411111;10240;10228
120;4404611000;4384455555;4884455555;10240;10228
110;4404794000;4343077777;4843077777;10240;10228
112;4404980000;4343077777;4843077777;10240;10228
114;4405001000;4384411111;4884411111;10240;10228
116;4405216000;4384411111;4884411111;10240;10228
118;4405412000;4384411111;4884411111;10240;10228
121;4446213000;4384755555;4884755555;10240;10228
123;4446225000;4384755555;4884755555;10240;10228
125;4446237000;4426044444;4926044444;10240;10228
127;4446243000;4426044444;4926044444;10240;10228
129;4446248000;4426044444;4926044444;10240;10228
131;4446252000;4426100000;4926100000;10240;10228
122;4446455000;4384755555;4884755555;10240;10228
124;4446649000;4426044444;4926044444;10240;10228
126;4446677000;4426044444;4926044444;10240;10228
128;4446815000;4426044444;4926044444;10240;10228
130;4447039000;4426044444;4926044444;10240;10228
133;4487907000;4426411111;4926411111;10240;10228
135;4487921000;4467711111;4967711111;10240;10228
137;4487926000;4467711111;4967711111;10240;10228
139;4487931000;4467711111;4967711111;10240;10228
141;4487935000;4467711111;4967711111;10240;10228
132;4488061000;4426411111;4926411111;10240;10228
134;4488283000;4426411111;4926411111;10240;10228
138;4488301000;4467711111;4967711111;10240;10228
140;4488474000;4467711111;4967711111;10240;10228
142;4488494000;4467755555;4967755555;10240;10228
136;4528703000;4467711111;4967711111;10240;10228
143;4529525000;4468044444;4968044444;10240;10228
145;4529538000;4468044444;4968044444;10240;10228
147;4529545000;4509377777;5009377777;10240;10228
149;4529551000;4509377777;5009377777;10240;10228
150;4529559000;4509377777;5009377777;10240;10228
151;4529571000;4509377777;5009377777;10240;10228
152;4529575000;4509377777;5009377777;10240;10228
153;4529582000;4509422222;5009422222;10240;10228
144;4529735000;4468044444;4968044444;10240;10228
146;4529937000;4509377777;5009377777;10240;10228
148;4529966000;4509377777;5009377777;10240;10228
155;4571249000;4509744444;5009744444;10240;10228
157;4571262000;4551077777;5051077777;10240;10228
159;4571266000;4551077777;5051077777;10240;10228
161;4571276000;4551077777;5051077777;10240;10228
162;4571280000;4551077777;5051077777;10240;10228
163;4571286000;4551077777;5051077777;10240;10228
164;4571291000;4551122222;5051122222;10240;10228
154;4571434000;4509744444;5009744444;10240;10228
156;4571634000;4509744444;5009744444;10240;10228
158;4571658000;4551077777;5051077777;10240;10228
160;4571841000;4551077777;5051077777;10240;10228
165;4612846000;4551433333;5051433333;10240;10228
167;4612857000;4551433333;5051433333;10240;10228
169;4612864000;4592711111;5092711111;10240;10228
171;4612875000;4592711111;5092711111;10240;10228
173;4612896000;4592711111;5092711111;10240;10228
174;4612910000;4592711111;5092711111;10240;10228
175;4612913000;4592766666;5092766666;10240;10228
166;4613082000;4551433333;5051433333;10240;10228
168;4613272000;4592711111;5092711111;10240;10228
170;4613301000;4592711111;5092711111;10240;10228
172;4613477000;4592711111;5092711111;10240;10228
177;4654572000;4593055555;5093055555;10240;10228
179;4654587000;4634377777;5134377777;10240;10228
181;4654593000;4634377777;5134377777;10240;10228
183;4654598000;4634377777;5134377777;10240;10228
184;4654603000;4634377777;5134377777;10240;10228
185;4654611000;4634377777;5134377777;10240;10228
186;4654616000;4634422222;5134422222;10240;10228
176;4654737000;4593055555;5093055555;10240;10228
178;4654913000;4593055555;5093055555;10240;10228
180;4655132000;4634377777;5134377777;10240;10228
182;4655153000;4634377777;5134377777;10240;10228
187;4696203000;4634722222;5134722222;10240;10228
189;4696216000;4634722222;5134722222;10240;10228
191;4696233000;4676044444;5176044444;10240;10228
193;4696238000;4676044444;5176044444;10240;10228
195;4696249000;4676044444;5176044444;10240;10228
196;4696253000;4676044444;5176044444;10240;10228
197;4696257000;4676088888;5176088888;10240;10228
188;4696429000;4634722222;5134722222;10240;10228
190;4696605000;4676044444;5176044444;10240;10228
192;4696634000;4676044444;5176044444;10240;10228
194;4696817000;4676044444;5176044444;10240;10228
199;4737917000;4676400000;5176400000;10240;10228
201;4737939000;4717711111;5217711111;10240;10228
203;4737945000;4717711111;5217711111;10240;10228
205;4737949000;4717711111;5217711111;10240;10228
206;4737954000;4717711111;5217711111;10240;10228
207;4737968000;4717711111;5217711111;10240;10228
208;4737972000;4717755555;5217755555;10240;10228
198;4738086000;4676400000;5176400000;10240;10228
200;4738273000;4676400000;5176400000;10240;10228
202;4738300000;4717711111;5217711111;10240;10228
204;4738482000;4717711111;5217711111;10240;10228
209;4779573000;4718044444;5218044444;10240;10228
211;4779584000;4718044444;5218044444;10240;10228
213;4779606000;4759377777;5259377777;10240;10228
215;4779619000;4759377777;5259377777;10240;10228
217;4779633000;4759377777;5259377777;10240;10228
218;4779637000;4759377777;5259377777;10240;10228
219;4779651000;4759422222;5259422222;10240;10228
210;4779745000;4718044444;5218044444;10240;10228
212;4779938000;4759377777;5259377777;10240;10228
214;4779964000;4759377777;5259377777;10240;10228
216;4780147000;4759377777;5259377777;10240;10228
221;4821226000;4759755555;5259755555;10240;10228
223;4821248000;4801044444;5301044444;10240;10228
225;4821254000;4801044444;5301044444;10240;10228
227;4821263000;4801044444;5301044444;10240;10228
228;4821282000;4801044444;5301044444;10240;10228
229;4821286000;4801044444;5301044444;10240;10228
230;4821290000;4801088888;5301088888;10240;10228
220;4821431000;4759755555;5259755555;10240;10228
222;4821652000;4759755555;5259755555;10240;10228
224;4821829000;4801044444;5301044444;10240;10228
226;4821865000;4801044444;5301044444;10240;10228
231;4862879000;4801411111;5301411111;10240;10228
233;4862890000;4801411111;5301411111;10240;10228
