seqnum;now;rtptime;deadline
1;7770961000;7530788888;8030788888
2;7770966000;7530788888;8030788888
3;7801889000;7561866666;8061866666
4;7801898000;7561866666;8061866666
5;7801899000;7561866666;8061866666
6;7801902000;7561866666;8061866666
7;7801903000;7561866666;8061866666
8;7801905000;7561866666;8061866666
9;7801906000;7561866666;8061866666
10;7802161000;7561888888;8061888888
11;7802177000;7562244444;8062244444
12;7802178000;7562244444;8062244444
13;7802180000;7562244444;8062244444
14;7845036000;7603544444;8103544444
15;7845067000;7603544444;8103544444
16;7845069000;7603544444;8103544444
17;7845070000;7603544444;8103544444
18;7845072000;7603544444;8103544444
19;7845073000;7603544444;8103544444
20;7845074000;7603544444;8103544444
21;7845297000;7603555555;8103555555
22;7845313000;7603933333;8103933333
23;7845315000;7603933333;8103933333
24;7881457000;7603933333;8103933333
25;7884970000;7645211111;8145211111
30;7884974000;7645211111;8145211111
31;7884976000;7645211111;8145211111
32;7885219000;7645222222;8145222222
33;7885234000;7645544444;8145544444
34;7885236000;7645544444;8145544444
35;7885237000;7645544444;8145544444
36;7926387000;7686877777;8186877777
37;7926400000;7686877777;8186877777
38;7926402000;7686877777;8186877777
39;7926404000;7686877777;8186877777
40;7926405000;7686877777;8186877777
41;7926407000;7686877777;8186877777
42;7926408000;7686877777;8186877777
43;7926557000;7686888888;8186888888
44;7926560000;7687266666;8187266666
45;7926562000;7687266666;8187266666
46;7926563000;7687266666;8187266666
47;7967520000;7728533333;8228533333
76;8048696000;7811866666;8311866666
98;8121130000;7895211111;8395211111
121;8121136000;7978866666;8478866666
122;8121137000;7978866666;8478866666
123;8121138000;7978866666;8478866666
124;8203244000;8020233333;8520233333
143;8203356000;8062333333;8562333333
144;8203360000;8062333333;8562333333
145;8203361000;8062333333;8562333333
146;8242454000;8103533333;8603533333
156;8242566000;8103900000;8603900000
157;8260248000;8145200000;8645200000
158;8260251000;8145200000;8645200000
159;8260252000;8145200000;8645200000
160;8260253000;8145200000;8645200000
161;8260254000;8145200000;8645200000
162;8260255000;8145200000;8645200000
163;8260256000;8145200000;8645200000
164;8267862000;8145244444;8645244444
165;8267878000;8145544444;8645544444
166;8267879000;8145544444;8645544444
167;8267880000;8145544444;8645544444
168;8297484000;8186866666;8686866666
169;8297487000;8186866666;8686866666
170;8297488000;8186866666;8686866666
171;8297490000;8186866666;8686866666
172;8297491000;8186866666;8686866666
173;8297492000;8186866666;8686866666
174;8297492000;8186866666;8686866666
175;8297690000;8186911111;8686911111
176;8297706000;8187233333;8687233333
177;8297707000;8187233333;8687233333
178;8297708000;8187233333;8687233333
179;8325791000;8228533333;8728533333
180;8325794000;8228533333;8728533333
181;8325795000;8228533333;8728533333
182;8325796000;8228533333;8728533333
183;8325798000;8228533333;8728533333
184;8325798000;8228533333;8728533333
185;8325799000;8228533333;8728533333
186;8328673000;8228577777;8728577777
187;8328688000;8228866666;8728866666
188;8328689000;8228866666;8728866666
189;8328690000;8228866666;8728866666
190;8366051000;8270222222;8770222222
191;8366055000;8270222222;8770222222
192;8366056000;8270222222;8770222222
193;8366057000;8270222222;8770222222
194;8366058000;8270222222;8770222222
195;8366059000;8270222222;8770222222
196;8366060000;8270222222;8770222222
197;8366259000;8270266666;8770266666
198;8366274000;8270544444;8770544444
199;8366275000;8270544444;8770544444
200;8366276000;8270544444;8770544444
201;8403784000;8311866666;8811866666
202;8403787000;8311866666;8811866666
203;8403788000;8311866666;8811866666
204;8403789000;8311866666;8811866666
205;8403790000;8311866666;8811866666
206;8403791000;8311866666;8811866666
207;8403792000;8311866666;8811866666
208;8404396000;8311911111;8811911111
209;8404412000;8312222222;8812222222
210;8404413000;8312222222;8812222222
211;8404414000;8312222222;8812222222
212;8445229000;8353533333;8853533333
213;8445233000;8353533333;8853533333
214;8445234000;8353533333;8853533333
215;8445248000;8353533333;8853533333
216;8445249000;8353533333;8853533333
217;8445249000;8353533333;8853533333
218;8445250000;8353533333;8853533333
219;8445448000;8353577777;8853577777
220;8445463000;8353888888;8853888888
221;8445464000;8353888888;8853888888
222;8445465000;8353888888;8853888888
223;8486175000;8395200000;8895200000
224;8486179000;8395200000;8895200000
225;8486180000;8395200000;8895200000
226;8486181000;8395200000;8895200000
227;8486182000;8395200000;8895200000
228;8486183000;8395200000;8895200000
229;8486184000;8395200000;8895200000
230;8486382000;8395244444;8895244444
231;8486397000;8395533333;8895533333
232;8486398000;8395533333;8895533333
233;8486399000;8395533333;8895533333
234;8527741000;8436866666;8936866666
235;8527744000;8436866666;8936866666
236;8527745000;8436866666;8936866666
237;8527746000;8436866666;8936866666
238;8527747000;8436866666;8936866666
239;8527748000;8436866666;8936866666
240;8527749000;8436866666;8936866666
241;8527948000;8436911111;8936911111
242;8527963000;8437211111;8937211111
243;8527964000;8437211111;8937211111
244;8527965000;8437211111;8937211111
245;8569290000;8478533333;8978533333
246;8569293000;8478533333;8978533333
247;8569294000;8478533333;8978533333
248;8569295000;8478533333;8978533333
249;8569297000;8478533333;8978533333
251;8569298000;8478533333;8978533333
252;8569522000;8478577777;8978577777
253;8569537000;8478888888;8978888888
254;8569538000;8478888888;8978888888
255;8569539000;8478888888;8978888888
256;8610803000;8520233333;9020233333
257;8610806000;8520233333;9020233333
258;8610807000;8520233333;9020233333
259;8610808000;8520233333;9020233333
260;8610809000;8520233333;9020233333
261;8610810000;8520233333;9020233333
262;8610811000;8520233333;9020233333
263;8611008000;8520277777;9020277777
264;8611014000;8520555555;9020555555
265;8611015000;8520555555;9020555555
266;8611016000;8520555555;9020555555
267;8652589000;8561866666;9061866666
268;8652592000;8561866666;9061866666
269;8652593000;8561866666;9061866666
270;8652594000;8561866666;9061866666
271;8652595000;8561866666;9061866666
272;8652596000;8561866666;9061866666
273;8652597000;8561866666;9061866666
274;8652795000;8561911111;9061911111
275;8652810000;8562211111;9062211111
276;8652811000;8562211111;9062211111
277;8652812000;8562211111;9062211111
278;8694237000;8603533333;9103533333
279;8694240000;8603533333;9103533333
280;8694242000;8603533333;9103533333
281;8694243000;8603533333;9103533333
282;8694244000;8603533333;9103533333
283;8694245000;8603533333;9103533333
284;8694245000;8603533333;9103533333
285;8694446000;8603577777;9103577777
286;8694461000;8603877777;9103877777
287;8694462000;8603877777;9103877777
288;8694463000;8603877777;9103877777
289;8895396000;8645211111;9145211111
329;8993912000;8770244444;9270244444
352;8993918000;8853866666;9353866666
353;8993920000;8853866666;9353866666
354;8993921000;8853866666;9353866666
355;9066189000;8895211111;9395211111
375;9078492000;8937188888;9437188888
376;9078496000;8937188888;9437188888
377;9116668000;8978544444;9478544444
386;9116723000;8978888888;9478888888
387;9116725000;8978888888;9478888888
388;9152049000;9020200000;9520200000
398;9152115000;9020522222;9520522222
399;9177416000;9061866666;9561866666
400;9177424000;9061866666;9561866666
401;9177426000;9061866666;9561866666
402;9177428000;9061866666;9561866666
403;9177429000;9061866666;9561866666
404;9177431000;9061866666;9561866666
405;9177432000;9061866666;9561866666
406;9180646000;9061911111;9561911111
407;9180653000;9062211111;9562211111
408;9180655000;9062211111;9562211111
409;9180656000;9062211111;9562211111
410;9212247000;9103533333;9603533333
411;9212256000;9103533333;9603533333
412;9212258000;9103533333;9603533333
413;9212260000;9103533333;9603533333
414;9212261000;9103533333;9603533333
415;9212263000;9103533333;9603533333
416;9212264000;9103533333;9603533333
417;9212404000;9103577777;9603577777
418;9212410000;9103877777;9603877777
419;9212412000;9103877777;9603877777
420;9212413000;9103877777;9603877777
421;9243479000;9145200000;9645200000
422;9243487000;9145200000;9645200000
423;9243489000;9145200000;9645200000
424;9243518000;9145200000;9645200000
425;9243520000;9145200000;9645200000
426;9243521000;9145200000;9645200000
427;9243522000;9145200000;9645200000
428;9246565000;9145255555;9645255555
429;9246572000;9145555555;9645555555
430;9246573000;9145555555;9645555555
431;9246575000;9145555555;9645555555
432;9283465000;9186866666;9686866666
433;9283472000;9186866666;9686866666
434;9283474000;9186866666;9686866666
435;9283476000;9186866666;9686866666
436;9283477000;9186866666;9686866666
437;9283479000;9186866666;9686866666
438;9283481000;9186866666;9686866666
439;9283712000;9186911111;9686911111
440;9283727000;9187244444;9687244444
441;9283729000;9187244444;9687244444
442;9283730000;9187244444;9687244444
443;9325577000;9228533333;9728533333
444;9325586000;9228533333;9728533333
446;9325588000;9228533333;9728533333
447;9325590000;9228533333;9728533333
448;9325592000;9228533333;9728533333
449;9325594000;9228533333;9728533333
450;9325857000;9228577777;9728577777
451;9325864000;9228855555;9728855555
452;9325866000;9228855555;9728855555
453;9325867000;9228855555;9728855555
454;9362117000;9270200000;9770200000
455;9362125000;9270200000;9770200000
456;9362127000;9270200000;9770200000
457;9362128000;9270200000;9770200000
458;9362130000;9270200000;9770200000
459;9362131000;9270200000;9770200000
460;9362133000;9270200000;9770200000
461;9362344000;9270244444;9770244444
462;9362360000;9270511111;9770511111
463;9362362000;9270511111;9770511111
464;9362363000;9270511111;9770511111
465;9402579000;9311866666;9811866666
466;9402586000;9311866666;9811866666
467;9402588000;9311866666;9811866666
468;9402591000;9311866666;9811866666
469;9402593000;9311866666;9811866666
470;9402594000;9311866666;9811866666
471;9402595000;9311866666;9811866666
472;9402959000;9311911111;9811911111
473;9402975000;9312211111;9812211111
474;9402976000;9312211111;9812211111
475;9402977000;9312211111;9812211111
476;9565746000;9353533333;9853533333
505;9641258000;9436911111;9936911111
517;9641274000;9478877777;9978877777
518;9641275000;9478877777;9978877777
519;9641276000;9478877777;9978877777
520;9707435000;9520233333;10020233333
540;9729089000;9562222222;10062222222
550;9756941000;9603888888;10103888888
551;9756944000;9603888888;10103888888
552;9756945000;9603888888;10103888888
553;9803163000;9645211111;10145211111
561;9803275000;9645533333;10145533333
562;9803279000;9645533333;10145533333
563;9803280000;9645533333;10145533333
564;9826968000;9686866666;10186866666
573;9827038000;9687222222;10187222222
574;9827041000;9687222222;10187222222
575;9863295000;9728555555;10228555555
577;9863298000;9728555555;10228555555
578;9863299000;9728555555;10228555555
579;9863300000;9728555555;10228555555
580;9863301000;9728555555;10228555555
581;9863302000;9728555555;10228555555
582;9863502000;9728600000;10228600000
583;9863517000;9728900000;10228900000
584;9863518000;9728900000;10228900000
585;9863519000;9728900000;10228900000
586;9886590000;9770200000;10270200000
