seqnum;now;rtptime;deadline;packet_len;payload_len
1;6416123000;6226177777;6726177777;10240;10228
2;6416213000;6226177777;6726177777;10240;10228
5;6416223000;6257522222;6757522222;10240;10228
6;6416229000;6257522222;6757522222;10240;10228
0;6416240000;6226177777;6726177777;10240;10228
7;6416460000;6257522222;6757522222;10240;10228
8;6496442000;6257522222;6757522222;10240;10228
9;6496456000;6257522222;6757522222;10240;10228
10;6496461000;6257533333;6757533333;10240;10228
12;6496466000;6257866666;6757866666;10240;10228
13;6496487000;6257866666;6757866666;10240;10228
14;6496491000;6299200000;6799200000;10240;10228
15;6496498000;6299200000;6799200000;10240;10228
16;6496722000;6299200000;6799200000;10240;10228
18;6496916000;6299200000;6799200000;10240;10228
19;6576733000;6299200000;6799200000;10240;10228
20;6576766000;6299200000;6799200000;10240;10228
21;6576775000;6299222222;6799222222;10240;10228
22;6576788000;6299611111;6799611111;10240;10228
23;6576804000;6299611111;6799611111;10240;10228
24;6576812000;6299611111;6799611111;10240;10228
25;6576818000;6340855555;6840855555;10240;10228
26;6576827000;6340855555;6840855555;10240;10228
11;6576833000;6257866666;6757866666;10240;10228
3;6577206000;6257522222;6757522222;10240;10228
4;6577217000;6257522222;6757522222;10240;10228
27;6577221000;6340855555;6840855555;10240;10228
28;6577400000;6340855555;6840855555;10240;10228
30;6657002000;6340855555;6840855555;10240;10228
31;6657025000;6340855555;6840855555;10240;10228
32;6657031000;6340877777;6840877777;10240;10228
33;6657036000;6341211111;6841211111;10240;10228
34;6657041000;6341211111;6841211111;10240;10228
36;6657494000;6382522222;6882522222;10240;10228
37;6657515000;6382522222;6882522222;10240;10228
17;6657682000;6299200000;6799200000;10240;10228
35;6657698000;6341211111;6841211111;10240;10228
38;6657904000;6382522222;6882522222;10240;10228
39;6657915000;6382522222;6882522222;10240;10228
40;6737360000;6382522222;6882522222;10240;10228
29;6737383000;6340855555;6840855555;10240;10228
41;6737798000;6382522222;6882522222;10240;10228
42;6737808000;6382522222;6882522222;10240;10228
43;6737822000;6382544444;6882544444;10240;10228
44;6738224000;6382900000;6882900000;10240;10228
45;6738420000;6382900000;6882900000;10240;10228
47;6738438000;6424188888;6924188888;10240;10228
48;6817633000;6424188888;6924188888;10240;10228
49;6817644000;6424188888;6924188888;10240;10228
50;6817648000;6424188888;6924188888;10240;10228
51;6818074000;6424188888;6924188888;10240;10228
52;6818093000;6424188888;6924188888;10240;10228
53;6818098000;6424188888;6924188888;10240;10228
54;6818799000;6424211111;6924211111;10240;10228
55;6819002000;6424522222;6924522222;10240;10228
