seqnum;now;rtptime;deadline
1;16363543000;15401488888;15901488888
2;16363546000;15401488888;15901488888
3;16392958000;15432677777;15932677777
4;16392974000;15432677777;15932677777
5;16392975000;15432677777;15932677777
6;16392977000;15432677777;15932677777
7;16392979000;15432677777;15932677777
8;16392980000;15432677777;15932677777
9;16392981000;15432677777;15932677777
10;16393207000;15432700000;15932700000
11;16393222000;15433022222;15933022222
12;16393223000;15433022222;15933022222
13;16393224000;15433022222;15933022222
14;16434656000;15474333333;15974333333
15;16434660000;15474333333;15974333333
16;16434661000;15474333333;15974333333
17;16434662000;15474333333;15974333333
18;16434663000;15474333333;15974333333
19;16434664000;15474333333;15974333333
20;16434664000;15474333333;15974333333
21;16434904000;15474344444;15974344444
22;16434907000;15474733333;15974733333
23;16434908000;15474733333;15974733333
24;16434909000;15474733333;15974733333
25;16476169000;15516000000;16016000000
26;16476173000;15516000000;16016000000
27;16476174000;15516000000;16016000000
28;16476175000;15516000000;16016000000
29;16476176000;15516000000;16016000000
30;16476177000;15516000000;16016000000
31;16476178000;15516000000;16016000000
32;16476400000;15516011111;16016011111
33;16476405000;15516355555;16016355555
34;16476406000;15516355555;16016355555
35;16476407000;15516355555;16016355555
36;16517462000;15557666666;16057666666
37;16517466000;15557666666;16057666666
38;16517467000;15557666666;16057666666
39;16517468000;15557666666;16057666666
40;16517469000;15557666666;16057666666
41;16517470000;15557666666;16057666666
42;16517470000;15557666666;16057666666
43;16517601000;15557677777;16057677777
44;16517604000;15558033333;16058033333
45;16517605000;15558033333;16058033333
46;16517606000;15558033333;16058033333
47;16558599000;15599300000;16099300000
48;16558603000;15599300000;16099300000
49;16558604000;15599300000;16099300000
50;16558605000;15599300000;16099300000
51;16558606000;15599300000;16099300000
52;16558607000;15599300000;16099300000
53;16558608000;15599300000;16099300000
54;16558823000;15599322222;16099322222
55;16558826000;15599633333;16099633333
56;16558827000;15599633333;16099633333
57;16558828000;15599633333;16099633333
58;16599462000;15641000000;16141000000
59;16599465000;15641000000;16141000000
60;16599466000;15641000000;16141000000
61;16599467000;15641000000;16141000000
62;16599468000;15641000000;16141000000
63;16599469000;15641000000;16141000000
64;16599470000;15641000000;16141000000
65;16599683000;15641022222;16141022222
66;16599686000;15641311111;16141311111
67;16599687000;15641311111;16141311111
68;16599688000;15641311111;16141311111
69;16639863000;15682666666;16182666666
70;16639866000;15682666666;16182666666
71;16639867000;15682666666;16182666666
72;16639868000;15682666666;16182666666
73;16639869000;15682666666;16182666666
74;16639870000;15682666666;16182666666
75;16639871000;15682666666;16182666666
76;16640007000;15682688888;16182688888
77;16640009000;15683011111;16183011111
78;16640010000;15683011111;16183011111
79;16640011000;15683011111;16183011111
80;16679761000;15724344444;16224344444
81;16679764000;15724344444;16224344444
82;16679765000;15724344444;16224344444
83;16679766000;15724344444;16224344444
84;16679767000;15724344444;16224344444
85;16679768000;15724344444;16224344444
86;16679769000;15724344444;16224344444
87;16679969000;15724366666;16224366666
88;16679975000;15724722222;16224722222
89;16679976000;15724722222;16224722222
90;16679977000;15724722222;16224722222
91;16719165000;15766000000;16266000000
92;16719168000;15766000000;16266000000
93;16719170000;15766000000;16266000000
94;16719171000;15766000000;16266000000
95;16719171000;15766000000;16266000000
96;16719172000;15766000000;16266000000
97;16719173000;15766000000;16266000000
98;16719327000;15766022222;16266022222
99;16719333000;15766344444;16266344444
100;16719335000;15766344444;16266344444
101;16719335000;15766344444;16266344444
102;16758492000;15807666666;16307666666
103;16758495000;15807666666;16307666666
104;16758496000;15807666666;16307666666
105;16758497000;15807666666;16307666666
106;16758508000;15807666666;16307666666
107;16758509000;15807666666;16307666666
108;16758510000;15807666666;16307666666
109;16758665000;15807688888;16307688888
110;16758671000;15807966666;16307966666
111;16758672000;15807966666;16307966666
112;16758673000;15807966666;16307966666
113;16797357000;15849333333;16349333333
114;16797360000;15849333333;16349333333
115;16797361000;15849333333;16349333333
116;16797362000;15849333333;16349333333
117;16797363000;15849333333;16349333333
118;16797364000;15849333333;16349333333
119;16797365000;15849333333;16349333333
120;16797495000;15849344444;16349344444
121;16797498000;15849655555;16349655555
122;16797499000;15849655555;16349655555
123;16797500000;15849655555;16349655555
124;16836219000;15891000000;16391000000
125;16836222000;15891000000;16391000000
126;16836223000;15891000000;16391000000
127;16836233000;15891000000;16391000000
128;16836234000;15891000000;16391000000
129;16836235000;15891000000;16391000000
130;16836236000;15891000000;16391000000
131;16836371000;15891011111;16391011111
132;16836374000;15891333333;16391333333
133;16836374000;15891333333;16391333333
134;16836375000;15891333333;16391333333
135;16875180000;15932666666;16432666666
136;16875184000;15932666666;16432666666
137;16875185000;15932666666;16432666666
138;16875186000;15932666666;16432666666
139;16875187000;15932666666;16432666666
140;16875188000;15932666666;16432666666
141;16875189000;15932666666;16432666666
142;16875425000;15932688888;16432688888
143;16875429000;15932955555;16432955555
144;16875430000;15932955555;16432955555
145;16875431000;15932955555;16432955555
146;16913546000;15974333333;16474333333
147;16913549000;15974333333;16474333333
148;16913550000;15974333333;16474333333
149;16913552000;15974333333;16474333333
150;16913552000;15974333333;16474333333
151;16913553000;15974333333;16474333333
152;16913554000;15974333333;16474333333
153;16913728000;15974355555;16474355555
154;16913731000;15974666666;16474666666
155;16913732000;15974666666;16474666666
156;16913733000;15974666666;16474666666
157;16952959000;16015988888;16515988888
158;16952963000;16015988888;16515988888
159;16952964000;16015988888;16515988888
160;16952974000;16015988888;16515988888
161;16952975000;16015988888;16515988888
162;16952976000;16015988888;16515988888
163;16952977000;16015988888;16515988888
164;16953138000;16016011111;16516011111
165;16953154000;16016333333;16516333333
166;16953155000;16016333333;16516333333
167;16953156000;16016333333;16516333333
168;16991387000;16057655555;16557655555
169;16991390000;16057655555;16557655555
170;16991391000;16057655555;16557655555
171;16991393000;16057655555;16557655555
172;16991393000;16057655555;16557655555
173;16991394000;16057655555;16557655555
174;16991395000;16057655555;16557655555
175;16991595000;16057677777;16557677777
176;16991610000;16058000000;16558000000
177;16991611000;16058000000;16558000000
178;16991612000;16058000000;16558000000
179;17031825000;16099333333;16599333333
180;17031828000;16099333333;16599333333
181;17031829000;16099333333;16599333333
182;17031830000;16099333333;16599333333
183;17031831000;16099333333;16599333333
184;17031832000;16099333333;16599333333
185;17031833000;16099333333;16599333333
186;17032033000;16099355555;16599355555
187;17032055000;16099644444;16599644444
188;17032057000;16099644444;16599644444
189;17032058000;16099644444;16599644444
190;17072480000;16141000000;16641000000
191;17072483000;16141000000;16641000000
192;17072484000;16141000000;16641000000
193;17072485000;16141000000;16641000000
194;17072486000;16141000000;16641000000
195;17072487000;16141000000;16641000000
196;17072488000;16141000000;16641000000
197;17072687000;16141011111;16641011111
198;17072702000;16141322222;16641322222
199;17072704000;16141322222;16641322222
200;17072704000;16141322222;16641322222
201;17113330000;16182666666;16682666666
202;17113333000;16182666666;16682666666
203;17113334000;16182666666;16682666666
204;17113335000;16182666666;16682666666
205;17113336000;16182666666;16682666666
206;17113337000;16182666666;16682666666
207;17113338000;16182666666;16682666666
208;17113547000;16182688888;16682688888
209;17113553000;16182955555;16682955555
210;17113554000;16182955555;16682955555
211;17113555000;16182955555;16682955555
212;17154320000;16224333333;16724333333
213;17154324000;16224333333;16724333333
214;17154325000;16224333333;16724333333
215;17154326000;16224333333;16724333333
216;17154326000;16224333333;16724333333
217;17154327000;16224333333;16724333333
218;17154328000;16224333333;16724333333
219;17154439000;16224344444;16724344444
220;17154445000;16224677777;16724677777
221;17154446000;16224677777;16724677777
222;17154447000;16224677777;16724677777
223;17195566000;16265988888;16765988888
224;17195569000;16265988888;16765988888
225;17195571000;16265988888;16765988888
226;17195571000;16265988888;16765988888
227;17195572000;16265988888;16765988888
228;17195573000;16265988888;16765988888
229;17195574000;16265988888;16765988888
230;17195657000;16266011111;16766011111
231;17195659000;16266344444;16766344444
232;17195660000;16266344444;16766344444
233;17195661000;16266344444;16766344444
234;17237116000;16307655555;16807655555
235;17237120000;16307655555;16807655555
236;17237121000;16307655555;16807655555
237;17237122000;16307655555;16807655555
238;17237123000;16307655555;16807655555
239;17237124000;16307655555;16807655555
240;17237125000;16307655555;16807655555
241;17237340000;16307666666;16807666666
242;17237355000;16307977777;16807977777
243;17237356000;16307977777;16807977777
244;17237357000;16307977777;16807977777
245;17278596000;16349322222;16849322222
246;17278600000;16349322222;16849322222
247;17278601000;16349322222;16849322222
248;17278602000;16349322222;16849322222
249;17278603000;16349322222;16849322222
250;17278604000;16349322222;16849322222
251;17278605000;16349322222;16849322222
252;17278822000;16349333333;16849333333
253;17278825000;16349666666;16849666666
254;17278826000;16349666666;16849666666
255;17278827000;16349666666;16849666666
256;17320295000;16391000000;16891000000
257;17320300000;16391000000;16891000000
258;17320302000;16391000000;16891000000
259;17320303000;16391000000;16891000000
260;17320305000;16391000000;16891000000
261;17320306000;16391000000;16891000000
262;17320308000;16391000000;16891000000
263;17320513000;16391022222;16891022222
264;17320516000;16391300000;16891300000
265;17320518000;16391300000;16891300000
266;17320519000;16391300000;16891300000
267;17361879000;16432666666;16932666666
268;17361899000;16432666666;16932666666
269;17361901000;16432666666;16932666666
270;17361902000;16432666666;16932666666
271;17361904000;16432666666;16932666666
272;17361905000;16432666666;16932666666
273;17361907000;16432666666;16932666666
274;17362004000;16432688888;16932688888
275;17362020000;16432933333;16932933333
276;17362021000;16432933333;16932933333
277;17362023000;16432933333;16932933333
278;17403674000;16474333333;16974333333
279;17403682000;16474333333;16974333333
280;17403684000;16474333333;16974333333
281;17403685000;16474333333;16974333333
282;17403687000;16474333333;16974333333
283;17403688000;16474333333;16974333333
284;17403689000;16474333333;16974333333
285;17403930000;16474344444;16974344444
286;17403947000;16474655555;16974655555
287;17403949000;16474655555;16974655555
288;17403950000;16474655555;16974655555
289;17445270000;16516000000;17016000000
290;17445277000;16516000000;17016000000
291;17445279000;16516000000;17016000000
292;17445290000;16516000000;17016000000
293;17445291000;16516000000;17016000000
294;17445293000;16516000000;17016000000
295;17445294000;16516000000;17016000000
296;17445529000;16516011111;17016011111
297;17445534000;16516333333;17016333333
298;17445535000;16516333333;17016333333
299;17445537000;16516333333;17016333333
300;17486956000;16557655555;17057655555
301;17486963000;16557655555;17057655555
302;17486965000;16557655555;17057655555
303;17486967000;16557655555;17057655555
304;17486969000;16557655555;17057655555
305;17486970000;16557655555;17057655555
306;17486972000;16557655555;17057655555
307;17487202000;16557666666;17057666666
308;17487218000;16557966666;17057966666
309;17487220000;16557966666;17057966666
310;17487221000;16557966666;17057966666
311;17528506000;16599322222;17099322222
312;17528511000;16599322222;17099322222
313;17528513000;16599322222;17099322222
314;17528514000;16599322222;17099322222
315;17528516000;16599322222;17099322222
316;17528517000;16599322222;17099322222
317;17528519000;16599322222;17099322222
318;17528769000;16599344444;17099344444
319;17528772000;16599644444;17099644444
320;17528774000;16599644444;17099644444
321;17528775000;16599644444;17099644444
322;17570180000;16641011111;17141011111
323;17570184000;16641011111;17141011111
324;17570185000;16641011111;17141011111
325;17570186000;16641011111;17141011111
326;17570188000;16641011111;17141011111
327;17570189000;16641011111;17141011111
328;17570190000;16641011111;17141011111
329;17570423000;16641022222;17141022222
330;17570436000;16641344444;17141344444
331;17570438000;16641344444;17141344444
332;17570439000;16641344444;17141344444
333;17611804000;16682666666;17182666666
334;17611808000;16682666666;17182666666
335;17611810000;16682666666;17182666666
336;17611811000;16682666666;17182666666
337;17611812000;16682666666;17182666666
338;17611813000;16682666666;17182666666
339;17611815000;16682666666;17182666666
340;17611969000;16682677777;17182677777
341;17611975000;16682955555;17182955555
342;17611977000;16682955555;17182955555
343;17611978000;16682955555;17182955555
344;17653603000;16724333333;17224333333
345;17653607000;16724333333;17224333333
346;17653609000;16724333333;17224333333
347;17653610000;16724333333;17224333333
348;17653611000;16724333333;17224333333
349;17653613000;16724333333;17224333333
350;17653614000;16724333333;17224333333
351;17653769000;16724344444;17224344444
352;17653776000;16724633333;17224633333
353;17653777000;16724633333;17224633333
354;17653779000;16724633333;17224633333
355;17695143000;16765988888;17265988888
356;17695146000;16765988888;17265988888
357;17695148000;16765988888;17265988888
358;17695149000;16765988888;17265988888
359;17695150000;16765988888;17265988888
360;17695152000;16765988888;17265988888
361;17695153000;16765988888;17265988888
362;17695368000;16766000000;17266000000
363;17695371000;16766288888;17266288888
364;17695373000;16766288888;17266288888
365;17695374000;16766288888;17266288888
366;17736972000;16807655555;17307655555
367;17736975000;16807655555;17307655555
368;17736976000;16807655555;17307655555
369;17736978000;16807655555;17307655555
370;17736978000;16807655555;17307655555
371;17736979000;16807655555;17307655555
372;17736980000;16807655555;17307655555
373;17737187000;16807666666;17307666666
374;17737202000;16807944444;17307944444
375;17737204000;16807944444;17307944444
376;17737205000;16807944444;17307944444
377;17778550000;16849333333;17349333333
378;17778553000;16849333333;17349333333
379;17778554000;16849333333;17349333333
380;17778555000;16849333333;17349333333
381;17778556000;16849333333;17349333333
382;17778557000;16849333333;17349333333
383;17778558000;16849333333;17349333333
384;17778730000;16849344444;17349344444
385;17778736000;16849633333;17349633333
386;17778737000;16849633333;17349633333
