seqnum;now;rtptime;deadline;packet_len;payload_len
0;4370178000;4334033333;4834033333;10240;10228
4;4370257000;4365033333;4865033333;10240;10228
6;4370280000;4365033333;4865033333;10240;10228
1;4370356000;4334033333;4834033333;10240;10228
3;4370550000;4365033333;4865033333;10240;10228
5;4370754000;4365033333;4865033333;10240;10228
7;4370768000;4365033333;4865033333;10240;10228
8;4380489000;4365033333;4865033333;10240;10228
9;4380510000;4365033333;4865033333;10240;10228
10;4380514000;4365088888;4865088888;10240;10228
2;4390824000;4334033333;4834033333;10240;10228
12;4411808000;4365533333;4865533333;10240;10228
14;4411846000;4406622222;4906622222;10240;10228
16;4411851000;4406622222;4906622222;10240;10228
18;4411855000;4406622222;4906622222;10240;10228
11;4411982000;4365533333;4865533333;10240;10228
13;4412179000;4365533333;4865533333;10240;10228
15;4412189000;4406622222;4906622222;10240;10228
17;4412390000;4406622222;4906622222;10240;10228
19;4412610000;4406622222;4906622222;10240;10228
20;4422129000;4406622222;4906622222;10240;10228
21;4422147000;4406677777;4906677777;10240;10228
23;4453557000;4407088888;4907088888;10240;10228
25;4453593000;4448333333;4948333333;10240;10228
27;4453614000;4448333333;4948333333;10240;10228
29;4453619000;4448333333;4948333333;10240;10228
22;4453691000;4407088888;4907088888;10240;10228
24;4453870000;4407088888;4907088888;10240;10228
26;4453890000;4448333333;4948333333;10240;10228
28;4454115000;4448333333;4948333333;10240;10228
30;4454293000;4448333333;4948333333;10240;10228
31;4454311000;4448333333;4948333333;10240;10228
32;4463854000;4448377777;4948377777;10240;10228
33;4495155000;4448711111;4948711111;10240;10228
35;4495193000;4448711111;4948711111;10240;10228
37;4495200000;4489955555;4989955555;10240;10228
39;4495206000;4489955555;4989955555;10240;10228
34;4495327000;4448711111;4948711111;10240;10228
36;4495534000;4489955555;4989955555;10240;10228
38;4495721000;4489955555;4989955555;10240;10228
40;4495745000;4489955555;4989955555;10240;10228
41;4495926000;4489955555;4989955555;10240;10228
42;4495938000;4489955555;4989955555;10240;10228
43;4496137000;4490011111;4990011111;10240;10228
45;4536920000;4490400000;4990400000;10240;10228
47;4536945000;4531666666;5031666666;10240;10228
49;4536961000;4531666666;5031666666;10240;10228
51;4536972000;4531666666;5031666666;10240;10228
44;4537040000;4490400000;4990400000;10240;10228
46;4537231000;4490400000;4990400000;10240;10228
48;4537421000;4531666666;5031666666;10240;10228
53;4537445000;4531666666;5031666666;10240;10228
54;4537625000;4531711111;5031711111;10240;10228
55;4578512000;4532044444;5032044444;10240;10228
57;4578543000;4532044444;5032044444;10240;10228
59;4578549000;4573333333;5073333333;10240;10228
61;4578553000;4573333333;5073333333;10240;10228
56;4578669000;4532044444;5032044444;10240;10228
58;4578869000;4573333333;5073333333;10240;10228
60;4578890000;4573333333;5073333333;10240;10228
62;4579106000;4573333333;5073333333;10240;10228
63;4579284000;4573333333;5073333333;10240;10228
64;4579295000;4573333333;5073333333;10240;10228
65;4588756000;4573377777;5073377777;10240;10228
50;4589156000;4531666666;5031666666;10240;10228
67;4620153000;4573677777;5073677777;10240;10228
69;4620168000;4615000000;5115000000;10240;10228
71;4620173000;4615000000;5115000000;10240;10228
73;4620180000;4615000000;5115000000;10240;10228
74;4620184000;4615000000;5115000000;10240;10228
66;4620357000;4573677777;5073677777;10240;10228
68;4620568000;4573677777;5073677777;10240;10228
70;4620591000;4615000000;5115000000;10240;10228
72;4620774000;4615000000;5115000000;10240;10228
75;4630367000;4615000000;5115000000;10240;10228
76;4630376000;4615044444;5115044444;10240;10228
77;4661847000;4615422222;5115422222;10240;10228
79;4661857000;4615422222;5115422222;10240;10228
81;4661862000;4656666666;5156666666;10240;10228
83;4661872000;4656666666;5156666666;10240;10228
85;4661876000;4656666666;5156666666;10240;10228
87;4661880000;4656711111;5156711111;10240;10228
78;4662013000;4615422222;5115422222;10240;10228
80;4662226000;4656666666;5156666666;10240;10228
82;4662246000;4656666666;5156666666;10240;10228
84;4662427000;4656666666;5156666666;10240;10228
86;4662633000;4656666666;5156666666;10240;10228
89;4703496000;4657033333;5157033333;10240;10228
91;4703519000;4698311111;5198311111;10240;10228
93;4703526000;4698311111;5198311111;10240;10228
95;4703534000;4698311111;5198311111;10240;10228
97;4703548000;4698311111;5198311111;10240;10228
98;4703552000;4698366666;5198366666;10240;10228
88;4703650000;4657033333;5157033333;10240;10228
90;4703847000;4657033333;5157033333;10240;10228
92;4703866000;4698311111;5198311111;10240;10228
99;4745113000;4698677777;5198677777;10240;10228
101;4745125000;4698677777;5198677777;10240;10228
103;4745130000;4739988888;5239988888;10240;10228
105;4745134000;4739988888;5239988888;10240;10228
107;4745251000;4739988888;5239988888;10240;10228
108;4745262000;4739988888;5239988888;10240;10228
100;4745349000;4698677777;5198677777;10240;10228
102;4745546000;4739988888;5239988888;10240;10228
104;4745557000;4739988888;5239988888;10240;10228
106;4745752000;4739988888;5239988888;10240;10228
94;4755769000;4698311111;5198311111;10240;10228
96;4755781000;4698311111;5198311111;10240;10228
111;4786812000;4740344444;5240344444;10240;10228
113;4786824000;4781633333;5281633333;10240;10228
115;4786831000;4781633333;5281633333;10240;10228
116;4786835000;4781633333;5281633333;10240;10228
117;4786839000;4781633333;5281633333;10240;10228
118;4786844000;4781633333;5281633333;10240;10228
119;4786850000;4781633333;5281633333;10240;10228
110;4786971000;4740344444;5240344444;10240;10228
112;4787186000;4740344444;5240344444;10240;10228
114;4787196000;4781633333;5281633333;10240;10228
120;4797285000;4781677777;5281677777;10240;10228
109;4797295000;4740033333;5240033333;10240;10228
121;4828506000;4782011111;5282011111;10240;10228
123;4828516000;4782011111;5282011111;10240;10228
125;4828523000;4823322222;5323322222;10240;10228
127;4828528000;4823322222;5323322222;10240;10228
129;4828537000;4823322222;5323322222;10240;10228
124;4828647000;4823322222;5323322222;10240;10228
126;4828894000;4823322222;5323322222;10240;10228
128;4828909000;4823322222;5323322222;10240;10228
130;4838769000;4823322222;5323322222;10240;10228
131;4838789000;4823366666;5323366666;10240;10228
122;4839151000;4782011111;5282011111;10240;10228
133;4870167000;4823655555;5323655555;10240;10228
135;4870178000;4864988888;5364988888;10240;10228
136;4870186000;4864988888;5364988888;10240;10228
137;4870191000;4864988888;5364988888;10240;10228
138;4870196000;4864988888;5364988888;10240;10228
139;4870199000;4864988888;5364988888;10240;10228
132;4870338000;4823655555;5323655555;10240;10228
134;4870544000;4823655555;5323655555;10240;10228
140;4880380000;4864988888;5364988888;10240;10228
141;4880391000;4864988888;5364988888;10240;10228
142;4880396000;4865022222;5365022222;10240;10228
144;4911763000;4865344444;5365344444;10240;10228
146;4911777000;4906622222;5406622222;10240;10228
148;4911781000;4906622222;5406622222;10240;10228
150;4911786000;4906622222;5406622222;10240;10228
151;4911791000;4906622222;5406622222;10240;10228
152;4911878000;4906622222;5406622222;10240;10228
