seqnum;now;rtptime;deadline
1;4887802000;4392700000;4892700000
3;4946135000;4424088888;4924088888
9;4946152000;4424088888;4924088888
10;4946394000;4424144444;4924144444
11;4946409000;4424511111;4924511111
12;4946410000;4424511111;4924511111
13;4946412000;4424511111;4924511111
14;4987694000;4465777777;4965777777
17;4987701000;4465777777;4965777777
18;4987703000;4465777777;4965777777
19;4987704000;4465777777;4965777777
20;4987705000;4465777777;4965777777
21;4987904000;4465833333;4965833333
22;4987919000;4466288888;4966288888
23;4987921000;4466288888;4966288888
24;4987922000;4466288888;4966288888
25;5028934000;4507422222;5007422222
26;5028937000;4507422222;5007422222
27;5028939000;4507422222;5007422222
28;5028940000;4507422222;5007422222
29;5028950000;4507422222;5007422222
30;5028951000;4507422222;5007422222
31;5028952000;4507422222;5007422222
32;5029087000;4507466666;5007466666
33;5029090000;4507800000;5007800000
34;5029091000;4507800000;5007800000
35;5029092000;4507800000;5007800000
36;5070325000;4549055555;5049055555
37;5070328000;4549055555;5049055555
38;5070329000;4549055555;5049055555
39;5070330000;4549055555;5049055555
40;5070341000;4549055555;5049055555
41;5070342000;4549055555;5049055555
42;5070343000;4549055555;5049055555
43;5070505000;4549111111;5049111111
44;5070508000;4549477777;5049477777
45;5070510000;4549477777;5049477777
46;5070511000;4549477777;5049477777
47;5110774000;4590755555;5090755555
48;5110777000;4590755555;5090755555
49;5110778000;4590755555;5090755555
50;5110789000;4590755555;5090755555
51;5110790000;4590755555;5090755555
52;5110792000;4590755555;5090755555
53;5110793000;4590755555;5090755555
54;5111153000;4590800000;5090800000
55;5111156000;4591111111;5091111111
56;5111157000;4591111111;5091111111
57;5111159000;4591111111;5091111111
58;5151599000;4632422222;5132422222
61;5151603000;4632422222;5132422222
62;5151605000;4632422222;5132422222
63;5151606000;4632422222;5132422222
64;5151607000;4632422222;5132422222
65;5151798000;4632466666;5132466666
66;5151804000;4632744444;5132744444
67;5151805000;4632744444;5132744444
68;5151807000;4632744444;5132744444
69;5189798000;4674088888;5174088888
70;5189801000;4674088888;5174088888
71;5189802000;4674088888;5174088888
72;5189804000;4674088888;5174088888
73;5189805000;4674088888;5174088888
74;5189807000;4674088888;5174088888
75;5189808000;4674088888;5174088888
76;5191224000;4674133333;5174133333
77;5191230000;4674500000;5174500000
78;5191232000;4674500000;5174500000
79;5191233000;4674500000;5174500000
80;5229957000;4715755555;5215755555
81;5229960000;4715755555;5215755555
82;5229962000;4715755555;5215755555
83;5229963000;4715755555;5215755555
84;5229964000;4715755555;5215755555
85;5229966000;4715755555;5215755555
86;5229967000;4715755555;5215755555
87;5230162000;4715800000;5215800000
88;5230178000;4716100000;5216100000
89;5230179000;4716100000;5216100000
90;5230180000;4716100000;5216100000
91;5267550000;4757422222;5257422222
93;5267553000;4757422222;5257422222
94;5267555000;4757422222;5257422222
95;5267555000;4757422222;5257422222
96;5267557000;4757422222;5257422222
97;5267558000;4757422222;5257422222
98;5267739000;4757466666;5257466666
99;5267755000;4757766666;5257766666
100;5267756000;4757766666;5257766666
101;5267757000;4757766666;5257766666
102;5307228000;4799088888;5299088888
103;5307232000;4799088888;5299088888
104;5307233000;4799088888;5299088888
105;5307234000;4799088888;5299088888
106;5307235000;4799088888;5299088888
107;5307236000;4799088888;5299088888
108;5307238000;4799088888;5299088888
110;5307781000;4799422222;5299422222
111;5307784000;4799422222;5299422222
112;5307786000;4799422222;5299422222
113;5344887000;4840722222;5340722222
114;5344890000;4840722222;5340722222
116;5346129000;4840722222;5340722222
117;5346131000;4840722222;5340722222
118;5346132000;4840722222;5340722222
119;5346133000;4840722222;5340722222
120;5346333000;4840766666;5340766666
121;5346348000;4841055555;5341055555
122;5346350000;4841055555;5341055555
123;5346351000;4841055555;5341055555
124;5384779000;4882422222;5382422222
