seqnum;now;rtptime;deadline;packet_len;payload_len
0;10240294000;9950388888;10450388888;10240;10228
3;10240407000;9981811111;10481811111;10240;10228
4;10240421000;9981811111;10481811111;10240;10228
7;10240426000;9981811111;10481811111;10240;10228
1;10240440000;9950388888;10450388888;10240;10228
2;10240649000;9950388888;10450388888;10240;10228
5;10240845000;9981811111;10481811111;10240;10228
6;10240850000;9981811111;10481811111;10240;10228
8;10360665000;9981811111;10481811111;10240;10228
9;10360681000;9981811111;10481811111;10240;10228
10;10360692000;9981833333;10481833333;10240;10228
11;10360697000;9982222222;10482222222;10240;10228
12;10360715000;9982222222;10482222222;10240;10228
13;10360718000;9982222222;10482222222;10240;10228
14;10360721000;10023455555;10523455555;10240;10228
15;10360725000;10023455555;10523455555;10240;10228
16;10360894000;10023455555;10523455555;10240;10228
17;10361121000;10023455555;10523455555;10240;10228
18;10361288000;10023455555;10523455555;10240;10228
19;10361308000;10023455555;10523455555;10240;10228
20;10361495000;10023455555;10523455555;10240;10228
21;10361503000;10023466666;10523466666;10240;10228
22;10361689000;10023855555;10523855555;10240;10228
23;10361711000;10023855555;10523855555;10240;10228
24;10477326000;10023855555;10523855555;10240;10228
25;10477346000;10065122222;10565122222;10240;10228
26;10477360000;10065122222;10565122222;10240;10228
27;10477363000;10065122222;10565122222;10240;10228
28;10477366000;10065122222;10565122222;10240;10228
29;10477370000;10065122222;10565122222;10240;10228
36;10481003000;10106788888;10606788888;10240;10228
37;10481014000;10106788888;10606788888;10240;10228
38;10481019000;10106788888;10606788888;10240;10228
39;10481022000;10106788888;10606788888;10240;10228
30;10481189000;10065122222;10565122222;10240;10228
31;10481351000;10065122222;10565122222;10240;10228
32;10481363000;10065133333;10565133333;10240;10228
33;10481562000;10065466666;10565466666;10240;10228
34;10481573000;10065466666;10565466666;10240;10228
35;10481768000;10065466666;10565466666;10240;10228
40;10481967000;10106788888;10606788888;10240;10228
41;10481978000;10106788888;10606788888;10240;10228
42;10482170000;10106788888;10606788888;10240;10228
43;10482190000;10106800000;10606800000;10240;10228
44;10482374000;10107144444;10607144444;10240;10228
45;10482393000;10107144444;10607144444;10240;10228
46;10482586000;10107144444;10607144444;10240;10228
47;10482782000;10148455555;10648455555;10240;10228
48;10482792000;10148455555;10648455555;10240;10228
49;10482952000;10148455555;10648455555;10240;10228
50;10482962000;10148455555;10648455555;10240;10228
51;10483203000;10148455555;10648455555;10240;10228
52;10483212000;10148455555;10648455555;10240;10228
53;10483389000;10148455555;10648455555;10240;10228
54;10483396000;10148466666;10648466666;10240;10228
55;10483594000;10148766666;10648766666;10240;10228
56;10518057000;10148766666;10648766666;10240;10228
57;10597817000;10148766666;10648766666;10240;10228
58;10598020000;10190122222;10690122222;10240;10228
59;10598031000;10190122222;10690122222;10240;10228
60;10598241000;10190122222;10690122222;10240;10228
61;10598439000;10190122222;10690122222;10240;10228
62;10598459000;10190122222;10690122222;10240;10228
