seqnum;now;rtptime;deadline
2;2209623000;2126300000;2626300000
3;2249326000;2157544444;2657544444
4;2249342000;2157544444;2657544444
5;2249344000;2157544444;2657544444
6;2249346000;2157544444;2657544444
7;2249347000;2157544444;2657544444
8;2249349000;2157544444;2657544444
9;2249351000;2157544444;2657544444
10;2249585000;2157577777;2657577777
11;2249601000;2157888888;2657888888
12;2249603000;2157888888;2657888888
13;2249604000;2157888888;2657888888
14;2291031000;2199233333;2699233333
15;2291064000;2199233333;2699233333
16;2291065000;2199233333;2699233333
17;2291067000;2199233333;2699233333
18;2291068000;2199233333;2699233333
19;2291070000;2199233333;2699233333
20;2291071000;2199233333;2699233333
21;2291288000;2199266666;2699266666
22;2291304000;2199644444;2699644444
23;2291305000;2199644444;2699644444
24;2291307000;2199644444;2699644444
25;2332566000;2240866666;2740866666
26;2332586000;2240866666;2740866666
27;2332587000;2240866666;2740866666
28;2332589000;2240866666;2740866666
29;2332591000;2240866666;2740866666
30;2332592000;2240866666;2740866666
31;2332594000;2240866666;2740866666
32;2332827000;2240922222;2740922222
33;2332844000;2241277777;2741277777
34;2332846000;2241277777;2741277777
35;2332847000;2241277777;2741277777
36;2373855000;2282533333;2782533333
37;2373864000;2282533333;2782533333
38;2373866000;2282533333;2782533333
39;2373867000;2282533333;2782533333
40;2373869000;2282533333;2782533333
41;2373871000;2282533333;2782533333
42;2373873000;2282533333;2782533333
43;2374113000;2282588888;2782588888
44;2374130000;2283000000;2783000000
45;2374131000;2283000000;2783000000
46;2374132000;2283000000;2783000000
47;2415000000;2324188888;2824188888
48;2415018000;2324188888;2824188888
49;2415020000;2324188888;2824188888
50;2415022000;2324188888;2824188888
51;2415023000;2324188888;2824188888
52;2415025000;2324188888;2824188888
53;2415026000;2324188888;2824188888
54;2415262000;2324233333;2824233333
55;2415277000;2324566666;2824566666
56;2415279000;2324566666;2824566666
57;2415280000;2324566666;2824566666
58;2455737000;2365844444;2865844444
59;2455741000;2365844444;2865844444
60;2455742000;2365844444;2865844444
61;2455744000;2365844444;2865844444
62;2455745000;2365844444;2865844444
63;2455746000;2365844444;2865844444
64;2455747000;2365844444;2865844444
65;2455945000;2365888888;2865888888
66;2455960000;2366200000;2866200000
67;2455962000;2366200000;2866200000
68;2455962000;2366200000;2866200000
69;2496131000;2407511111;2907511111
70;2496135000;2407511111;2907511111
71;2496137000;2407511111;2907511111
72;2496138000;2407511111;2907511111
73;2496139000;2407511111;2907511111
74;2496140000;2407511111;2907511111
75;2496141000;2407511111;2907511111
76;2496342000;2407555555;2907555555
77;2496358000;2407877777;2907877777
78;2496359000;2407877777;2907877777
79;2496360000;2407877777;2907877777
80;2536022000;2449177777;2949177777
81;2536029000;2449177777;2949177777
82;2536031000;2449177777;2949177777
83;2536033000;2449177777;2949177777
84;2536034000;2449177777;2949177777
85;2536036000;2449177777;2949177777
86;2536037000;2449177777;2949177777
87;2536265000;2449222222;2949222222
88;2536281000;2449533333;2949533333
89;2536282000;2449533333;2949533333
90;2536283000;2449533333;2949533333
91;2575565000;2490866666;2990866666
