seqnum;now;rtptime;deadline;packet_len;payload_len
0;3002989000;2960911111;3460911111;10240;10228
1;3003231000;2960911111;3460911111;10240;10228
2;3003246000;2960911111;3460911111;10240;10228
3;3003251000;2992322222;3492322222;10240;10228
4;3023322000;2992322222;3492322222;10240;10228
5;3023343000;2992322222;3492322222;10240;10228
6;3023351000;2992322222;3492322222;10240;10228
7;3023357000;2992322222;3492322222;10240;10228
8;3023363000;2992322222;3492322222;10240;10228
9;3023368000;2992322222;3492322222;10240;10228
10;3043590000;2992355555;3492355555;10240;10228
11;3044135000;2992700000;3492700000;10240;10228
12;3044165000;2992700000;3492700000;10240;10228
13;3044173000;2992700000;3492700000;10240;10228
14;3044179000;3033988888;3533988888;10240;10228
15;3044185000;3033988888;3533988888;10240;10228
16;3044196000;3033988888;3533988888;10240;10228
17;3044202000;3033988888;3533988888;10240;10228
18;3044209000;3033988888;3533988888;10240;10228
19;3063906000;3033988888;3533988888;10240;10228
20;3064645000;3033988888;3533988888;10240;10228
22;3085822000;3034455555;3534455555;10240;10228
23;3085847000;3034455555;3534455555;10240;10228
24;3085853000;3034455555;3534455555;10240;10228
25;3085859000;3075655555;3575655555;10240;10228
26;3085866000;3075655555;3575655555;10240;10228
27;3085871000;3075655555;3575655555;10240;10228
28;3085875000;3075655555;3575655555;10240;10228
29;3085889000;3075655555;3575655555;10240;10228
21;3106312000;3034033333;3534033333;10240;10228
33;3127498000;3076033333;3576033333;10240;10228
34;3127526000;3076033333;3576033333;10240;10228
35;3127534000;3076033333;3576033333;10240;10228
36;3147822000;3117322222;3617322222;10240;10228
37;3147850000;3117322222;3617322222;10240;10228
30;3147858000;3075655555;3575655555;10240;10228
31;3147883000;3075655555;3575655555;10240;10228
32;3147887000;3075700000;3575700000;10240;10228
38;3147908000;3117322222;3617322222;10240;10228
39;3168215000;3117322222;3617322222;10240;10228
40;3168234000;3117322222;3617322222;10240;10228
41;3168251000;3117322222;3617322222;10240;10228
42;3168256000;3117322222;3617322222;10240;10228
43;3168260000;3117333333;3617333333;10240;10228
44;3169186000;3117677777;3617677777;10240;10228
45;3188513000;3117677777;3617677777;10240;10228
46;3188532000;3117677777;3617677777;10240;10228
47;3188537000;3158977777;3658977777;10240;10228
48;3188552000;3158977777;3658977777;10240;10228
49;3188556000;3158977777;3658977777;10240;10228
51;3208820000;3158977777;3658977777;10240;10228
52;3208857000;3158977777;3658977777;10240;10228
53;3208875000;3158977777;3658977777;10240;10228
54;3208880000;3158988888;3658988888;10240;10228
55;3210765000;3159322222;3659322222;10240;10228
56;3210794000;3159322222;3659322222;10240;10228
57;3229150000;3159322222;3659322222;10240;10228
58;3229164000;3200644444;3700644444;10240;10228
59;3229170000;3200644444;3700644444;10240;10228
50;3229183000;3158977777;3658977777;10240;10228
66;4261696000;3200944444;3700944444;10240;10228
67;4282016000;3200944444;3700944444;10240;10228
68;4282026000;3200944444;3700944444;10240;10228
69;4302280000;3242311111;3742311111;10240;10228
70;4302290000;3242311111;3742311111;10240;10228
71;4302295000;3242311111;3742311111;10240;10228
72;4302308000;3242311111;3742311111;10240;10228
73;4322600000;3242311111;3742311111;10240;10228
74;4322610000;3242311111;3742311111;10240;10228
75;4322615000;3242311111;3742311111;10240;10228
76;4322619000;3242322222;3742322222;10240;10228
77;4322625000;3242700000;3742700000;10240;10228
78;4322638000;3242700000;3742700000;10240;10228
79;4342897000;3242700000;3742700000;10240;10228
80;4342908000;3283966666;3783966666;10240;10228
81;4342917000;3283966666;3783966666;10240;10228
82;4342921000;3283966666;3783966666;10240;10228
83;4342925000;3283966666;3783966666;10240;10228
84;4342932000;3283966666;3783966666;10240;10228
85;4342936000;3283966666;3783966666;10240;10228
86;4363224000;3283966666;3783966666;10240;10228
87;4363236000;3283977777;3783977777;10240;10228
88;4363242000;3284300000;3784300000;10240;10228
89;4363246000;3284300000;3784300000;10240;10228
90;4363250000;3284300000;3784300000;10240;10228
91;4363282000;3325633333;3825633333;10240;10228
92;4363287000;3325633333;3825633333;10240;10228
93;4363291000;3325633333;3825633333;10240;10228
94;4383888000;3325633333;3825633333;10240;10228
95;4383897000;3325633333;3825633333;10240;10228
96;4383903000;3325633333;3825633333;10240;10228
97;4383907000;3325633333;3825633333;10240;10228
98;4383912000;3325644444;3825644444;10240;10228
99;4383916000;3325944444;3825944444;10240;10228
100;4383921000;3325944444;3825944444;10240;10228
101;4383924000;3325944444;3825944444;10240;10228
102;4404562000;3367300000;3867300000;10240;10228
103;4404574000;3367300000;3867300000;10240;10228
104;4404580000;3367300000;3867300000;10240;10228
105;4404585000;3367300000;3867300000;10240;10228
107;4404592000;3367300000;3867300000;10240;10228
108;4404615000;3367300000;3867300000;10240;10228
109;4404620000;3367311111;3867311111;10240;10228
110;4404625000;3367566666;3867566666;10240;10228
111;4404644000;3367566666;3867566666;10240;10228
112;4425256000;3367566666;3867566666;10240;10228
113;4425266000;3408966666;3908966666;10240;10228
114;4425272000;3408966666;3908966666;10240;10228
115;4425278000;3408966666;3908966666;10240;10228
116;4425283000;3408966666;3908966666;10240;10228
117;4425288000;3408966666;3908966666;10240;10228
119;4425293000;3408966666;3908966666;10240;10228
120;4425298000;3408977777;3908977777;10240;10228
121;4425307000;3409288888;3909288888;10240;10228
122;4445916000;3409288888;3909288888;10240;10228
123;4445925000;3409288888;3909288888;10240;10228
124;4445931000;3450633333;3950633333;10240;10228
125;4445935000;3450633333;3950633333;10240;10228
126;4445943000;3450633333;3950633333;10240;10228
127;4445948000;3450633333;3950633333;10240;10228
129;4445957000;3450633333;3950633333;10240;10228
130;4445962000;3450633333;3950633333;10240;10228
131;4445967000;3450644444;3950644444;10240;10228
132;4445987000;3450933333;3950933333;10240;10228
133;4466571000;3450933333;3950933333;10240;10228
134;4466583000;3450933333;3950933333;10240;10228
135;4466593000;3492300000;3992300000;10240;10228
136;4466599000;3492300000;3992300000;10240;10228
137;4466603000;3492300000;3992300000;10240;10228
138;4466611000;3492300000;3992300000;10240;10228
139;4466619000;3492300000;3992300000;10240;10228
140;4466625000;3492300000;3992300000;10240;10228
141;4466629000;3492300000;3992300000;10240;10228
142;4466635000;3492311111;3992311111;10240;10228
143;4466639000;3492600000;3992600000;10240;10228
144;4487240000;3492600000;3992600000;10240;10228
145;4487251000;3492600000;3992600000;10240;10228
146;4487256000;3533966666;4033966666;10240;10228
147;4487261000;3533966666;4033966666;10240;10228
148;4487265000;3533966666;4033966666;10240;10228
149;4487271000;3533966666;4033966666;10240;10228
150;4487278000;3533966666;4033966666;10240;10228
151;4487284000;3533966666;4033966666;10240;10228
152;4487293000;3533966666;4033966666;10240;10228
153;4487298000;3533977777;4033977777;10240;10228
154;4487302000;3534300000;4034300000;10240;10228
155;4507917000;3534300000;4034300000;10240;10228
156;4507928000;3534300000;4034300000;10240;10228
157;4507934000;3575633333;4075633333;10240;10228
158;4507939000;3575633333;4075633333;10240;10228
159;4507943000;3575633333;4075633333;10240;10228
160;4507948000;3575633333;4075633333;10240;10228
161;4507953000;3575633333;4075633333;10240;10228
164;4507957000;3575644444;4075644444;10240;10228
165;4507962000;3575944444;4075944444;10240;10228
166;4528631000;3575944444;4075944444;10240;10228
167;4528647000;3575944444;4075944444;10240;10228
168;4528654000;3617300000;4117300000;10240;10228
169;4528659000;3617300000;4117300000;10240;10228
170;4528664000;3617300000;4117300000;10240;10228
171;4528686000;3617300000;4117300000;10240;10228
173;4528693000;3617300000;4117300000;10240;10228
174;4528699000;3617300000;4117300000;10240;10228
