seqnum;now;rtptime;deadline;packet_len;payload_len
0;3476674000;3386766666;3886766666;10240;10228
1;3476729000;3386766666;3886766666;10240;10228
2;3476739000;3386766666;3886766666;10240;10228
3;3476756000;3418088888;3918088888;10240;10228
4;3517040000;3418088888;3918088888;10240;10228
5;3517069000;3418088888;3918088888;10240;10228
6;3517083000;3418088888;3918088888;10240;10228
7;3517087000;3418088888;3918088888;10240;10228
8;3517090000;3418088888;3918088888;10240;10228
9;3517094000;3418088888;3918088888;10240;10228
10;3542552000;3418100000;3918100000;10240;10228
11;3542571000;3418444444;3918444444;10240;10228
12;3557386000;3418444444;3918444444;10240;10228
13;3557409000;3418444444;3918444444;10240;10228
14;3557416000;3459744444;3959744444;10240;10228
15;3557422000;3459744444;3959744444;10240;10228
16;3557426000;3459744444;3959744444;10240;10228
17;3557430000;3459744444;3959744444;10240;10228
18;3557437000;3459744444;3959744444;10240;10228
19;3557441000;3459744444;3959744444;10240;10228
20;3557445000;3459744444;3959744444;10240;10228
21;3557448000;3459755555;3959755555;10240;10228
22;3557463000;3460133333;3960133333;10240;10228
23;3557467000;3460133333;3960133333;10240;10228
24;3582899000;3460133333;3960133333;10240;10228
25;3582934000;3501411111;4001411111;10240;10228
26;3597748000;3501411111;4001411111;10240;10228
27;3597782000;3501411111;4001411111;10240;10228
28;3597790000;3501411111;4001411111;10240;10228
29;3597808000;3501411111;4001411111;10240;10228
30;3597813000;3501411111;4001411111;10240;10228
31;3597816000;3501411111;4001411111;10240;10228
32;3597820000;3501422222;4001422222;10240;10228
33;3597827000;3501755555;4001755555;10240;10228
34;3597833000;3501755555;4001755555;10240;10228
35;3597837000;3501755555;4001755555;10240;10228
36;3597844000;3543077777;4043077777;10240;10228
37;3597856000;3543077777;4043077777;10240;10228
38;3597875000;3543077777;4043077777;10240;10228
39;3597881000;3543077777;4043077777;10240;10228
40;3597887000;3543077777;4043077777;10240;10228
41;3597893000;3543077777;4043077777;10240;10228
42;3597908000;3543077777;4043077777;10240;10228
43;3597913000;3543100000;4043100000;10240;10228
44;3604945000;3543455555;4043455555;10240;10228
45;3604970000;3543455555;4043455555;10240;10228
46;3604975000;3543455555;4043455555;10240;10228
47;3604979000;3584766666;4084766666;10240;10228
48;3604987000;3584766666;4084766666;10240;10228
49;3623185000;3584766666;4084766666;10240;10228
50;3623205000;3584766666;4084766666;10240;10228
51;3638112000;3584766666;4084766666;10240;10228
52;3638142000;3584766666;4084766666;10240;10228
53;3638149000;3584766666;4084766666;10240;10228
54;3638153000;3584788888;4084788888;10240;10228
55;3646595000;3585100000;4085100000;10240;10228
56;3646616000;3585100000;4085100000;10240;10228
57;3646623000;3585100000;4085100000;10240;10228
58;3646630000;3626433333;4126433333;10240;10228
59;3646636000;3626433333;4126433333;10240;10228
60;3646643000;3626433333;4126433333;10240;10228
61;3646648000;3626433333;4126433333;10240;10228
62;3646654000;3626433333;4126433333;10240;10228
63;3646659000;3626433333;4126433333;10240;10228
64;3646667000;3626433333;4126433333;10240;10228
65;3646672000;3626477777;4126477777;10240;10228
66;3688303000;3626766666;4126766666;10240;10228
67;3688332000;3626766666;4126766666;10240;10228
68;3688338000;3626766666;4126766666;10240;10228
69;3688342000;3668100000;4168100000;10240;10228
70;3688353000;3668100000;4168100000;10240;10228
71;3688357000;3668100000;4168100000;10240;10228
72;3688362000;3668100000;4168100000;10240;10228
73;3688377000;3668100000;4168100000;10240;10228
74;3688381000;3668100000;4168100000;10240;10228
75;3688385000;3668100000;4168100000;10240;10228
76;3688389000;3668166666;4168166666;10240;10228
77;3729935000;3668511111;4168511111;10240;10228
78;3729950000;3668511111;4168511111;10240;10228
79;3729958000;3668511111;4168511111;10240;10228
80;3729962000;3709788888;4209788888;10240;10228
81;3729972000;3709788888;4209788888;10240;10228
82;3729977000;3709788888;4209788888;10240;10228
83;3729982000;3709788888;4209788888;10240;10228
84;3729986000;3709788888;4209788888;10240;10228
85;3730014000;3709788888;4209788888;10240;10228
86;3730018000;3709788888;4209788888;10240;10228
87;3730023000;3709833333;4209833333;10240;10228
88;3771594000;3710233333;4210233333;10240;10228
89;3771610000;3710233333;4210233333;10240;10228
90;3771615000;3710233333;4210233333;10240;10228
91;3771619000;3751411111;4251411111;10240;10228
92;3771630000;3751411111;4251411111;10240;10228
93;3771635000;3751411111;4251411111;10240;10228
94;3771640000;3751411111;4251411111;10240;10228
95;3771643000;3751411111;4251411111;10240;10228
96;3771657000;3751411111;4251411111;10240;10228
97;3771888000;3751411111;4251411111;10240;10228
98;3771909000;3751455555;4251455555;10240;10228
99;3813227000;3751733333;4251733333;10240;10228
100;3813244000;3751733333;4251733333;10240;10228
101;3813248000;3751733333;4251733333;10240;10228
102;3813253000;3793066666;4293066666;10240;10228
106;3813257000;3793066666;4293066666;10240;10228
107;3813277000;3793066666;4293066666;10240;10228
108;3813289000;3793066666;4293066666;10240;10228
109;3813303000;3793111111;4293111111;10240;10228
103;3853575000;3793066666;4293066666;10240;10228
104;3853601000;3793066666;4293066666;10240;10228
105;3853616000;3793066666;4293066666;10240;10228
110;3854932000;3793400000;4293400000;10240;10228
111;3854944000;3793400000;4293400000;10240;10228
112;3854950000;3793400000;4293400000;10240;10228
113;3854955000;3834733333;4334733333;10240;10228
114;3854967000;3834733333;4334733333;10240;10228
115;3854973000;3834733333;4334733333;10240;10228
116;3854977000;3834733333;4334733333;10240;10228
117;3854981000;3834733333;4334733333;10240;10228
118;3854988000;3834733333;4334733333;10240;10228
119;3854992000;3834733333;4334733333;10240;10228
120;3854996000;3834777777;4334777777;10240;10228
121;3896544000;3835077777;4335077777;10240;10228
122;3896556000;3835077777;4335077777;10240;10228
123;3896560000;3835077777;4335077777;10240;10228
124;3896565000;3876400000;4376400000;10240;10228
125;3896569000;3876400000;4376400000;10240;10228
126;3896575000;3876400000;4376400000;10240;10228
127;3896579000;3876400000;4376400000;10240;10228
128;3896588000;3876400000;4376400000;10240;10228
129;3896592000;3876400000;4376400000;10240;10228
131;3896596000;3876455555;4376455555;10240;10228
