seqnum;now;rtptime;deadline
0;22354997000;21914644444;22414644444
1;22355002000;21914644444;22414644444
2;22355004000;21914644444;22414644444
4;22515758000;21945888888;22445888888
5;22515779000;21945888888;22445888888
7;22515783000;21945888888;22445888888
8;22515785000;21945888888;22445888888
9;22515786000;21945888888;22445888888
10;22675567000;21945911111;22445911111
11;22675573000;21946233333;22446233333
12;22675574000;21946233333;22446233333
13;22675575000;21946233333;22446233333
14;22717110000;21987555555;22487555555
15;22717114000;21987555555;22487555555
16;22717115000;21987555555;22487555555
17;22785492000;21987555555;22487555555
21;22835936000;21987566666;22487566666
24;22835953000;21987944444;22487944444
25;22877414000;22029222222;22529222222
26;22877417000;22029222222;22529222222
27;22877418000;22029222222;22529222222
29;22945836000;22029222222;22529222222
30;22945838000;22029222222;22529222222
32;22996292000;22029233333;22529233333
33;22996298000;22029566666;22529566666
34;22996299000;22029566666;22529566666
35;22996300000;22029566666;22529566666
36;23037764000;22070888888;22570888888
38;23037768000;22070888888;22570888888
40;23037769000;22070888888;22570888888
41;23106112000;22070888888;22570888888
46;23156506000;22071233333;22571233333
49;23197738000;22112555555;22612555555
50;23197741000;22112555555;22612555555
51;23197742000;22112555555;22612555555
52;23197743000;22112555555;22612555555
53;23197744000;22112555555;22612555555
54;23197817000;22112566666;22612566666
55;23266449000;22112877777;22612877777
58;23358273000;22154222222;22654222222
59;23358277000;22154222222;22654222222
60;23358278000;22154222222;22654222222
62;23358279000;22154222222;22654222222
63;23358280000;22154222222;22654222222
64;23358281000;22154222222;22654222222
65;23358377000;22154233333;22654233333
66;23358382000;22154522222;22654522222
67;23358384000;22154522222;22654522222
68;23358384000;22154522222;22654522222
69;23399522000;22195888888;22695888888
70;23399525000;22195888888;22695888888
71;23399527000;22195888888;22695888888
72;23399528000;22195888888;22695888888
73;23426751000;22195888888;22695888888
74;23426754000;22195888888;22695888888
78;23477268000;22196233333;22696233333
79;23477271000;22196233333;22696233333
82;23518719000;22237555555;22737555555
83;23518722000;22237555555;22737555555
84;23518723000;22237555555;22737555555
85;23518724000;22237555555;22737555555
86;23518725000;22237555555;22737555555
87;23518797000;22237566666;22737566666
88;23518803000;22237877777;22737877777
89;23518804000;22237877777;22737877777
90;23518805000;22237877777;22737877777
91;23560168000;22279222222;22779222222
92;23560171000;22279222222;22779222222
93;23587008000;22279222222;22779222222
94;23587010000;22279222222;22779222222
95;23587012000;22279222222;22779222222
96;23587031000;22279222222;22779222222
97;23587033000;22279222222;22779222222
98;23637416000;22279233333;22779233333
100;23637422000;22279544444;22779544444
101;23637423000;22279544444;22779544444
105;23679260000;22320900000;22820900000
106;23679263000;22320900000;22820900000
107;23679264000;22320900000;22820900000
108;23679265000;22320900000;22820900000
109;23679338000;22320911111;22820911111
110;23679343000;22321244444;22821244444
111;23679344000;22321244444;22821244444
112;23679345000;22321244444;22821244444
113;23720531000;22362555555;22862555555
114;23720541000;22362555555;22862555555
115;23747400000;22362555555;22862555555
116;23747403000;22362555555;22862555555
117;23747408000;22362555555;22862555555
118;23747416000;22362555555;22862555555
119;23747420000;22362555555;22862555555
120;23799934000;22362566666;22862566666
124;23799945000;22404222222;22904222222
125;23799947000;22404222222;22904222222
126;23799949000;22404222222;22904222222
127;23799950000;22404222222;22904222222
128;23799951000;22404222222;22904222222
129;23799953000;22404222222;22904222222
130;23799954000;22404222222;22904222222
131;23839558000;22404233333;22904233333
133;23839854000;22404522222;22904522222
134;23839856000;22404522222;22904522222
135;23880988000;22445888888;22945888888
136;23881006000;22445888888;22945888888
138;23881032000;22445888888;22945888888
139;23881035000;22445888888;22945888888
140;23881036000;22445888888;22945888888
141;23907917000;22445888888;22945888888
142;23958453000;22445900000;22945900000
152;23958468000;22487555555;22987555555
153;23999983000;22487566666;22987566666
154;23999999000;22487877777;22987877777
155;24000000000;22487877777;22987877777
156;24000001000;22487877777;22987877777
157;24041405000;22529222222;23029222222
158;24041408000;22529222222;23029222222
161;24041410000;22529222222;23029222222
162;24041411000;22529222222;23029222222
163;24041412000;22529222222;23029222222
164;24041629000;22529233333;23029233333
165;24041644000;22529533333;23029533333
166;24041645000;22529533333;23029533333
