seqnum;now;rtptime;deadline
0;7028859000;3887322222;4387322222
1;7028869000;3887322222;4387322222
2;7028872000;3887322222;4387322222
3;7059782000;3918533333;4418533333
4;7059798000;3918533333;4418533333
5;7059800000;3918533333;4418533333
6;7059803000;3918533333;4418533333
7;7059804000;3918533333;4418533333
8;7059809000;3918533333;4418533333
9;7059810000;3918533333;4418533333
10;7060059000;3918555555;4418555555
11;7060402000;3918900000;4418900000
12;7060766000;3918900000;4418900000
13;7060965000;3918900000;4418900000
14;7152247000;3960188888;4460188888
25;7193556000;4001855555;4501855555
51;7275762000;4085188888;4585188888
118;7475266000;4335188888;4835188888
401;7535289000;5418522222;5918522222
509;7573006000;5835188888;6335188888
576;7710368000;6085188888;6585188888
984;7811866000;7626855555;8126855555
993;7852572000;7668555555;8168555555
1011;7892083000;7710466666;8210466666
1037;7892089000;7835200000;8335200000
1038;7892091000;7835200000;8335200000
1039;7892092000;7835200000;8335200000
1040;7892093000;7835200000;8335200000
1041;7892094000;7835200000;8335200000
1042;7892095000;7835200000;8335200000
1043;7892096000;7835200000;8335200000
1044;7995849000;7835244444;8335244444
1050;7995864000;7876866666;8376866666
1051;7995866000;7876866666;8376866666
1052;7995866000;7876866666;8376866666
1053;7995867000;7876866666;8376866666
1054;7995868000;7876866666;8376866666
1055;8027721000;7876944444;8376944444
1059;8027736000;7918522222;8418522222
1060;8027737000;7918522222;8418522222
1061;8027738000;7918522222;8418522222
1062;8027739000;7918522222;8418522222
1063;8027740000;7918522222;8418522222
1064;8027741000;7918522222;8418522222
1065;8027742000;7918522222;8418522222
1066;8055872000;7918544444;8418544444
1069;8134605000;7918811111;8418811111
1070;8134725000;7960188888;8460188888
1071;8134729000;7960188888;8460188888
1072;8134730000;7960188888;8460188888
1073;8134731000;7960188888;8460188888
1074;8134732000;7960188888;8460188888
1075;8134733000;7960188888;8460188888
1076;8134734000;7960188888;8460188888
1077;8134849000;7960200000;8460200000
1078;8134864000;7960544444;8460544444
1079;8134866000;7960544444;8460544444
1080;8134867000;7960544444;8460544444
1081;8206035000;8001855555;8501855555
1083;12947379000;8001855555;8501855555
1084;12947382000;8001855555;8501855555
1085;12947384000;8001855555;8501855555
1086;12947386000;8001855555;8501855555
1087;12947388000;8001855555;8501855555
1088;12947674000;8001866666;8501866666
1090;12947691000;8002200000;8502200000
1091;12947693000;8002200000;8502200000
1093;12947707000;8043522222;8543522222
1094;12947717000;8043522222;8543522222
1095;12947719000;8043522222;8543522222
1096;12947720000;8043522222;8543522222
1097;12947721000;8043522222;8543522222
1098;12947721000;8043522222;8543522222
1099;12975756000;8043533333;8543533333
1100;12975771000;8043800000;8543800000
1101;12975773000;8043800000;8543800000
1102;12975774000;8043800000;8543800000
1103;13017379000;8085211111;8585211111
1104;13017383000;8085211111;8585211111
1105;13017384000;8085211111;8585211111
1106;13017385000;8085211111;8585211111
1107;13017386000;8085211111;8585211111
1108;13017387000;8085211111;8585211111
1109;13017387000;8085211111;8585211111
1110;13017574000;8085233333;8585233333
1111;13017580000;8085522222;8585522222
1112;13017582000;8085522222;8585522222
1113;13017583000;8085522222;8585522222
1114;13058942000;8126855555;8626855555
1115;13058945000;8126855555;8626855555
1116;13058946000;8126855555;8626855555
1117;13058947000;8126855555;8626855555
1118;13058948000;8126855555;8626855555
1119;13058949000;8126855555;8626855555
1120;13058950000;8126855555;8626855555
1121;13059133000;8126866666;8626866666
1122;13068705000;8127166666;8627166666
1123;13068902000;8127166666;8627166666
1124;13069326000;8127166666;8627166666
1125;13160589000;8168522222;8668522222
1126;13160593000;8168522222;8668522222
1127;13160594000;8168522222;8668522222
1128;13160595000;8168522222;8668522222
1129;13160596000;8168522222;8668522222
1130;13160597000;8168522222;8668522222
1131;13160598000;8168522222;8668522222
1132;13160770000;8168533333;8668533333
1133;13160776000;8168822222;8668822222
1134;13160789000;8168822222;8668822222
1135;13160790000;8168822222;8668822222
1136;13201893000;8210211111;8710211111
1137;13201896000;8210211111;8710211111
1138;13201897000;8210211111;8710211111
1139;13201898000;8210211111;8710211111
1140;13201899000;8210211111;8710211111
1141;13201900000;8210211111;8710211111
1142;13201901000;8210211111;8710211111
1143;13202076000;8210233333;8710233333
1144;13202082000;8210522222;8710522222
1145;13202083000;8210522222;8710522222
1146;13202084000;8210522222;8710522222
1147;13243167000;8251855555;8751855555
1148;13243170000;8251855555;8751855555
1149;13243171000;8251855555;8751855555
1150;13243172000;8251855555;8751855555
1151;13243173000;8251855555;8751855555
1152;13243174000;8251855555;8751855555
1153;13243175000;8251855555;8751855555
1154;13243329000;8251877777;8751877777
1155;13243336000;8252177777;8752177777
1156;13243337000;8252177777;8752177777
1157;13243338000;8252177777;8752177777
1158;13284410000;8293533333;8793533333
1159;13284422000;8293533333;8793533333
1160;13284423000;8293533333;8793533333
1161;13284424000;8293533333;8793533333
1162;13284425000;8293533333;8793533333
1163;13284426000;8293533333;8793533333
1164;13284427000;8293533333;8793533333
1165;13284593000;8293555555;8793555555
1166;13284599000;8293800000;8793800000
1167;13284600000;8293800000;8793800000
1168;13284601000;8293800000;8793800000
1169;13325159000;8335188888;8835188888
1170;13325163000;8335188888;8835188888
1171;13325164000;8335188888;8835188888
1172;13325165000;8335188888;8835188888
1173;13325167000;8335188888;8835188888
1174;13325168000;8335188888;8835188888
1175;13325169000;8335188888;8835188888
1176;13325360000;8335200000;8835200000
1177;13325367000;8335500000;8835500000
1178;13325368000;8335500000;8835500000
1179;13325370000;8335500000;8835500000
1180;13365502000;8376855555;8876855555
1187;13365725000;8376866666;8876866666
1188;13365731000;8377166666;8877166666
1189;13365732000;8377166666;8877166666
1190;13365733000;8377166666;8877166666
1191;13405345000;8418522222;8918522222
1202;13444587000;8460188888;8960188888
1217;13482569000;8501855555;9001855555
1235;13553198000;8585188888;9085188888
1263;13612789000;8668522222;9168522222
1290;13683337000;8793522222;9293522222
1323;13741693000;8918522222;9418522222
1356;13796222000;9043522222;9543522222
1379;13830878000;9126855555;9626855555
1400;13865567000;9210188888;9710188888
1411;13883877000;9251855555;9751855555
1422;13902539000;9293522222;9793522222
1433;13921379000;9335188888;9835188888
1444;13940393000;9376855555;9876855555
1456;13966812000;9418522222;9918522222
1468;13986662000;9460188888;9960188888
1481;13999199000;9501855555;10001855555
1494;14017432000;9543522222;10043522222
1505;14036647000;9585222222;10085222222
1513;14056234000;9626855555;10126855555
1523;14075546000;9668522222;10168522222
1532;14094916000;9710188888;10210188888
1543;14114415000;9751855555;10251855555
1554;14133996000;9793522222;10293522222
1565;14153299000;9835188888;10335188888
1576;14172614000;9876855555;10376855555
1587;14191902000;9918522222;10418522222
1599;14211237000;9960188888;10460188888
1614;14230731000;10001855555;10501855555
1626;14234714000;10043522222;10543522222
1627;14234847000;10043533333;10543533333
1628;14234864000;10043833333;10543833333
1629;14234865000;10043833333;10543833333
1630;14234866000;10043833333;10543833333
1631;14252424000;10085188888;10585188888
1642;14271875000;10126855555;10626855555
1653;14313101000;10168522222;10668522222
1675;14394743000;10251855555;10751855555
1729;14551762000;10418833333;10918833333
1832;14910705000;10835188888;11335188888
2078;15571874000;11751866666;12251866666
2925;15579894000;14960222222;15460222222
2926;15579928000;14960577777;15460577777
2927;15579929000;14960577777;15460577777
2928;15579930000;14960577777;15460577777
2929;15579942000;15001888888;15501888888
2930;15579943000;15001888888;15501888888
2931;15579954000;15001888888;15501888888
2932;15579955000;15001888888;15501888888
2933;15579956000;15001888888;15501888888
2934;15579957000;15001888888;15501888888
2935;15579958000;15001888888;15501888888
2936;15580052000;15001900000;15501900000
2938;15580057000;15002177777;15502177777
2939;15580059000;15002177777;15502177777
2940;15580079000;15043522222;15543522222
2941;15580080000;15043522222;15543522222
2942;15580091000;15043522222;15543522222
2943;15580092000;15043522222;15543522222
2944;15580093000;15043522222;15543522222
2945;15580094000;15043522222;15543522222
2946;15580095000;15043522222;15543522222
2947;15580195000;15043544444;15543544444
2948;15580202000;15043788888;15543788888
2950;15580203000;15043788888;15543788888
2951;15580210000;15085188888;15585188888
2952;15580212000;15085188888;15585188888
2953;15580213000;15085188888;15585188888
2954;15580225000;15085188888;15585188888
2955;15580227000;15085188888;15585188888
2956;15580228000;15085188888;15585188888
2957;15580229000;15085188888;15585188888
2958;15580288000;15085211111;15585211111
2959;15580292000;15085566666;15585566666
2960;15580294000;15085566666;15585566666
2961;15580295000;15085566666;15585566666
2962;15580302000;15126877777;15626877777
2963;15580303000;15126877777;15626877777
2964;15580322000;15126877777;15626877777
2965;15580334000;15126877777;15626877777
2966;15580335000;15126877777;15626877777
2967;15580336000;15126877777;15626877777
2968;15580337000;15126877777;15626877777
2969;15580416000;15126888888;15626888888
2971;15580420000;15127200000;15627200000
2972;15580422000;15127200000;15627200000
2973;15580438000;15168511111;15668511111
2974;15580439000;15168511111;15668511111
2975;15580440000;15168511111;15668511111
2976;15580441000;15168511111;15668511111
2977;15580442000;15168511111;15668511111
2978;15580443000;15168511111;15668511111
2979;15580454000;15168511111;15668511111
2980;15580513000;15168533333;15668533333
2981;15580536000;15168855555;15668855555
2982;15580537000;15168855555;15668855555
2983;15580538000;15168855555;15668855555
2984;15607329000;15210177777;15710177777
2985;15607333000;15210177777;15710177777
2986;15607333000;15210177777;15710177777
2987;15607334000;15210177777;15710177777
2988;15607335000;15210177777;15710177777
2989;15607337000;15210177777;15710177777
2990;15620984000;15210177777;15710177777
2991;15671586000;15210200000;15710200000
2992;15671593000;15210488888;15710488888
2993;15671594000;15210488888;15710488888
2994;15671595000;15210488888;15710488888
2995;15734106000;15251844444;15751844444
2997;15828158000;15251844444;15751844444
2999;15828160000;15251844444;15751844444
3000;15828161000;15251844444;15751844444
3001;15828162000;15251844444;15751844444
3002;15828295000;15251866666;15751866666
3003;15828300000;15252133333;15752133333
3004;15828301000;15252133333;15752133333
3005;15828302000;15252133333;15752133333
3006;15835867000;15293522222;15793522222
3007;15835869000;15293522222;15793522222
3008;15835870000;15293522222;15793522222
3009;15835871000;15293522222;15793522222
3010;15835872000;15293522222;15793522222
3011;15835873000;15293522222;15793522222
3012;15835874000;15293522222;15793522222
3013;15835978000;15293544444;15793544444
3014;15835982000;15293777777;15793777777
3015;15835984000;15293777777;15793777777
3016;15835985000;15293777777;15793777777
3017;15877608000;15335188888;15835188888
3019;15931094000;15335188888;15835188888
3020;15931097000;15335188888;15835188888
3021;15931098000;15335188888;15835188888
3022;15931099000;15335188888;15835188888
3023;15931109000;15335188888;15835188888
3024;15931251000;15335211111;15835211111
3025;15931255000;15335477777;15835477777
3026;15931256000;15335477777;15835477777
3027;15931257000;15335477777;15835477777
3028;15931277000;15376855555;15876855555
3029;15931278000;15376855555;15876855555
3030;15931279000;15376855555;15876855555
3031;15931280000;15376855555;15876855555
3032;15931281000;15376855555;15876855555
3033;15931282000;15376855555;15876855555
3034;15931283000;15376855555;15876855555
3035;15931368000;15376877777;15876877777
3036;15931373000;15377144444;15877144444
3037;15931374000;15377144444;15877144444
3038;15931375000;15377144444;15877144444
3039;16021618000;15418522222;15918522222
3041;16032603000;15418522222;15918522222
3042;16032605000;15418522222;15918522222
3043;16032622000;15418522222;15918522222
3044;16032623000;15418522222;15918522222
3045;16032624000;15418522222;15918522222
3046;16032769000;15418533333;15918533333
3048;16032775000;15418800000;15918800000
3049;16032776000;15418800000;15918800000
3050;16062908000;15460200000;15960200000
3053;16062912000;15460200000;15960200000
3054;16062913000;15460200000;15960200000
3055;16062914000;15460200000;15960200000
3057;16063113000;15460211111;15960211111
3058;16063118000;15460511111;15960511111
3059;16063120000;15460511111;15960511111
3060;16063121000;15460511111;15960511111
3061;16104305000;15501855555;16001855555
3069;16104368000;15502155555;16002155555
3070;16104380000;15502155555;16002155555
3071;16104381000;15502155555;16002155555
3072;16145423000;15543522222;16043522222
3083;16186158000;15585188888;16085188888
3095;16226159000;15626855555;16126855555
3105;16264974000;15668522222;16168522222
3116;16302438000;15710177777;16210177777
3127;16335050000;15751855555;16251855555
3137;16335117000;15752155555;16252155555
3138;16370189000;15793522222;16293522222
3147;16370262000;15793788888;16293788888
3148;16370265000;15793788888;16293788888
3149;16404655000;15835177777;16335177777
3160;16439120000;15876855555;16376855555
3161;16439123000;15876855555;16376855555
3162;16439124000;15876855555;16376855555
3163;16439125000;15876855555;16376855555
3164;16439126000;15876855555;16376855555
3165;16439127000;15876855555;16376855555
3166;16439128000;15876855555;16376855555
3167;16439207000;15876877777;16376877777
3168;16439212000;15877166666;16377166666
3169;16439213000;15877166666;16377166666
3170;16439214000;15877166666;16377166666
3171;16472585000;15918522222;16418522222
3172;16472587000;15918522222;16418522222
3173;16472588000;15918522222;16418522222
3174;16472589000;15918522222;16418522222
3175;16472590000;15918522222;16418522222
3176;16472591000;15918522222;16418522222
3177;16472592000;15918522222;16418522222
3178;16472711000;15918533333;16418533333
3179;16472716000;15918811111;16418811111
3180;16472717000;15918811111;16418811111
3181;16472718000;15918811111;16418811111
3182;16502965000;15960188888;16460188888
3184;16502969000;15960188888;16460188888
3185;16502970000;15960188888;16460188888
3186;16502971000;15960188888;16460188888
3187;16502971000;15960188888;16460188888
3188;16502972000;15960188888;16460188888
3189;16503100000;15960200000;16460200000
3190;16503106000;15960511111;16460511111
3191;16503107000;15960511111;16460511111
3192;16503108000;15960511111;16460511111
3193;16538802000;16001933333;16501933333
3194;16538805000;16001933333;16501933333
3195;16538806000;16001933333;16501933333
3196;16538807000;16001933333;16501933333
3197;16538808000;16001933333;16501933333
3198;16538809000;16001933333;16501933333
3199;16538810000;16001933333;16501933333
3200;16538931000;16001944444;16501944444
3201;16538936000;16002266666;16502266666
3202;16538937000;16002266666;16502266666
3203;16538938000;16002266666;16502266666
3204;16575321000;16043544444;16543544444
3205;16575333000;16043544444;16543544444
3206;16575334000;16043544444;16543544444
3207;16575335000;16043544444;16543544444
3208;16575336000;16043544444;16543544444
3209;16575337000;16043544444;16543544444
3210;16575338000;16043544444;16543544444
3211;16575435000;16043555555;16543555555
3212;16575440000;16043822222;16543822222
3213;16575441000;16043822222;16543822222
3214;16575442000;16043822222;16543822222
3215;16612909000;16085200000;16585200000
3216;16612912000;16085200000;16585200000
3217;16612913000;16085200000;16585200000
3218;16612914000;16085200000;16585200000
3219;16612914000;16085200000;16585200000
3220;16612916000;16085200000;16585200000
3221;16612916000;16085200000;16585200000
3222;16613028000;16085300000;16585300000
3223;16613033000;16085588888;16585588888
3224;16613034000;16085588888;16585588888
3225;16613035000;16085588888;16585588888
3226;16651429000;16126855555;16626855555
3227;16651440000;16126855555;16626855555
3228;16651441000;16126855555;16626855555
3229;16651442000;16126855555;16626855555
3230;16651443000;16126855555;16626855555
3231;16651444000;16126855555;16626855555
3232;16651452000;16126855555;16626855555
3233;16651569000;16126866666;16626866666
3234;16651574000;16127166666;16627166666
3235;16651575000;16127166666;16627166666
3236;16651576000;16127166666;16627166666
3237;16690794000;16168522222;16668522222
3238;16690797000;16168522222;16668522222
3239;16690798000;16168522222;16668522222
3240;16690799000;16168522222;16668522222
3241;16690800000;16168522222;16668522222
3242;16690801000;16168522222;16668522222
3243;16690802000;16168522222;16668522222
3244;16690930000;16168533333;16668533333
3245;16690935000;16168822222;16668822222
3246;16690937000;16168822222;16668822222
3247;16690937000;16168822222;16668822222
3248;16729766000;16210222222;16710222222
3249;16729769000;16210222222;16710222222
3250;16729771000;16210222222;16710222222
3251;16729772000;16210222222;16710222222
3252;16729772000;16210222222;16710222222
3253;16729773000;16210222222;16710222222
3254;16729774000;16210222222;16710222222
3255;16801584000;16210233333;16710233333
3256;16801591000;16210522222;16710522222
3257;16801592000;16210522222;16710522222
3258;16801593000;16210522222;16710522222
3259;16842884000;16251855555;16751855555
3260;16842887000;16251855555;16751855555
3261;16842888000;16251855555;16751855555
3262;16842889000;16251855555;16751855555
3263;16842890000;16251855555;16751855555
3264;16842891000;16251855555;16751855555
3268;21369734000;16252155555;16752155555
3269;21369737000;16252155555;16752155555
3270;21410911000;16293522222;16793522222
3271;21410915000;16293522222;16793522222
3272;21410916000;16293522222;16793522222
3273;21410917000;16293522222;16793522222
3274;21410918000;16293522222;16793522222
3275;21410919000;16293522222;16793522222
3276;21410920000;16293522222;16793522222
3277;21411041000;16293533333;16793533333
3278;21411061000;16293777777;16793777777
3279;21411062000;16293777777;16793777777
3280;21421839000;16293777777;16793777777
3281;21452483000;16335211111;16835211111
3282;21452487000;16335211111;16835211111
3283;21452488000;16335211111;16835211111
3284;21452489000;16335211111;16835211111
3285;21452490000;16335211111;16835211111
3286;21452491000;16335211111;16835211111
3287;21462749000;16335211111;16835211111
3288;21513201000;16335233333;16835233333
3289;21513208000;16335511111;16835511111
3290;21513209000;16335511111;16835511111
3291;21513210000;16335511111;16835511111
3292;21554831000;16376855555;16876855555
3293;21554834000;16376855555;16876855555
3294;21554835000;16376855555;16876855555
3295;21554836000;16376855555;16876855555
3296;21554837000;16376855555;16876855555
3297;21554838000;16376855555;16876855555
3298;21554839000;16376855555;16876855555
3299;21554938000;16376866666;16876866666
3300;21554946000;16377166666;16877166666
3301;21554948000;16377166666;16877166666
3302;21554949000;16377166666;16877166666
3303;21596305000;16418522222;16918522222
3304;21596308000;16418522222;16918522222
3305;21596309000;16418522222;16918522222
3306;21596310000;16418522222;16918522222
3307;21596311000;16418522222;16918522222
3308;21596312000;16418522222;16918522222
3309;21596313000;16418522222;16918522222
3311;21596661000;16418811111;16918811111
3312;21596672000;16418811111;16918811111
3313;21596673000;16418811111;16918811111
3314;21637796000;16460222222;16960222222
3315;21637806000;16460222222;16960222222
3316;21637807000;16460222222;16960222222
3317;21637808000;16460222222;16960222222
3318;21637809000;16460222222;16960222222
3319;21637810000;16460222222;16960222222
3320;21637811000;16460222222;16960222222
3321;21637930000;16460244444;16960244444
3322;21637935000;16460544444;16960544444
3323;21637936000;16460544444;16960544444
3324;21637937000;16460544444;16960544444
3325;21679306000;16501855555;17001855555
3326;21679309000;16501855555;17001855555
3327;21679310000;16501855555;17001855555
3328;21679311000;16501855555;17001855555
3329;21679312000;16501855555;17001855555
3330;21679313000;16501855555;17001855555
3331;21679314000;16501855555;17001855555
3332;21679435000;16501866666;17001866666
3333;21679440000;16502188888;17002188888
3334;21679441000;16502188888;17002188888
3335;21679442000;16502188888;17002188888
3336;21720334000;16543522222;17043522222
3337;21720337000;16543522222;17043522222
3338;21720338000;16543522222;17043522222
3339;21720339000;16543522222;17043522222
3340;21720340000;16543522222;17043522222
3341;21720341000;16543522222;17043522222
3342;21720342000;16543522222;17043522222
3343;21720468000;16543533333;17043533333
3344;21720472000;16543822222;17043822222
3345;21720482000;16543822222;17043822222
3346;21720483000;16543822222;17043822222
3347;21761290000;16585188888;17085188888
3348;21761293000;16585188888;17085188888
3349;21761294000;16585188888;17085188888
3350;21761296000;16585188888;17085188888
3351;21761296000;16585188888;17085188888
3352;21761297000;16585188888;17085188888
3353;21761298000;16585188888;17085188888
3354;21761416000;16585200000;17085200000
3355;21761424000;16585488888;17085488888
3356;21761426000;16585488888;17085488888
3357;21761427000;16585488888;17085488888
3358;21802071000;16626855555;17126855555
3364;21802074000;16626855555;17126855555
3365;21802196000;16626866666;17126866666
3366;21802201000;16627155555;17127155555
3367;21802203000;16627155555;17127155555
3368;21802204000;16627155555;17127155555
3373;21841620000;16668511111;17168511111
3380;21880138000;16710177777;17210177777
3392;21918029000;16751855555;17251855555
3413;21987611000;16835188888;17335188888
3437;22049372000;16918522222;17418522222
3458;22102823000;17001855555;17501855555
3487;22145432000;17085522222;17585522222
3503;22190085000;17168522222;17668522222
3523;22230353000;17251866666;17751866666
3545;22278484000;17335188888;17835188888
3561;22299856000;17376855555;17876855555
3571;22319529000;17418522222;17918522222
3583;22338625000;17460188888;17960188888
3595;22357825000;17501855555;18001855555
3600;22377051000;17543522222;18043522222
3611;22396267000;17585188888;18085188888
3622;22415680000;17626855555;18126855555
3633;22442333000;17668522222;18168522222
3645;22469758000;17710222222;18210222222
3655;22491257000;17751855555;18251855555
3667;22511614000;17793522222;18293522222
3677;22531694000;17835188888;18335188888
3689;22551148000;17876855555;18376855555
3699;22571106000;17918522222;18418522222
3710;22591014000;17960188888;18460188888
3721;22610735000;18001855555;18501855555
3728;22610860000;18001877777;18501877777
3729;22610866000;18002133333;18502133333
3730;22610867000;18002133333;18502133333
3731;22610868000;18002133333;18502133333
3732;22630514000;18043522222;18543522222
3740;22630580000;18043800000;18543800000
3741;22630591000;18043800000;18543800000
3742;22630592000;18043800000;18543800000
3743;22650389000;18085188888;18585188888
3754;22670108000;18126855555;18626855555
3762;22670173000;18127155555;18627155555
3763;22670185000;18127155555;18627155555
3764;22670186000;18127155555;18627155555
3765;22689734000;18168522222;18668522222
3776;22709389000;18210200000;18710200000
3787;22729027000;18251855555;18751855555
3798;22748522000;18293511111;18793511111
3809;22768134000;18335177777;18835177777
3820;22809314000;18376844444;18876844444
3845;22891149000;18460177777;18960177777
3897;23085433000;18668522222;19168522222
4015;23440138000;19085500000;19585500000
4260;24123435000;20043522222;20543522222
5236;24134513000;23710544444;24210544444
