seqnum;now;rtptime;deadline
0;4262500000;4122077777;4622077777
1;4262505000;4122077777;4622077777
2;4262506000;4122077777;4622077777
3;4295190000;4153488888;4653488888
4;4295202000;4153488888;4653488888
5;4295204000;4153488888;4653488888
6;4295206000;4153488888;4653488888
7;4295207000;4153488888;4653488888
8;4295209000;4153488888;4653488888
9;4295210000;4153488888;4653488888
10;4295379000;4153511111;4653511111
11;4295384000;4153866666;4653866666
12;4295386000;4153866666;4653866666
13;4295387000;4153866666;4653866666
14;4335417000;4195133333;4695133333
15;4335423000;4195133333;4695133333
16;4335425000;4195133333;4695133333
17;4335426000;4195133333;4695133333
18;4335428000;4195133333;4695133333
19;4335429000;4195133333;4695133333
20;4335430000;4195133333;4695133333
21;4335577000;4195166666;4695166666
22;4335582000;4195566666;4695566666
23;4335583000;4195566666;4695566666
24;4335585000;4195566666;4695566666
25;4381656000;4236800000;4736800000
36;4418110000;4278477777;4778477777
47;4459196000;4320166666;4820166666
58;4498359000;4361811111;4861811111
69;4536305000;4403511111;4903511111
80;4569743000;4445155555;4945155555
91;4602391000;4486822222;4986822222
102;4633854000;4528522222;5028522222
113;4667911000;4570166666;5070166666
114;4667915000;4570166666;5070166666
115;4667916000;4570166666;5070166666
116;4667917000;4570166666;5070166666
117;4667918000;4570166666;5070166666
118;4667920000;4570166666;5070166666
119;4667921000;4570166666;5070166666
120;4668142000;4570288888;5070288888
121;4668158000;4570588888;5070588888
122;4668159000;4570588888;5070588888
123;4668160000;4570588888;5070588888
124;4702519000;4611811111;5111811111
125;4702523000;4611811111;5111811111
126;4702524000;4611811111;5111811111
127;4702525000;4611811111;5111811111
128;4702526000;4611811111;5111811111
129;4702528000;4611811111;5111811111
130;4702529000;4611811111;5111811111
131;4702720000;4611888888;5111888888
132;4702723000;4612200000;5112200000
133;4702724000;4612200000;5112200000
134;4702725000;4612200000;5112200000
135;4738128000;4653488888;5153488888
136;4738132000;4653488888;5153488888
137;4738133000;4653488888;5153488888
138;4738134000;4653488888;5153488888
139;4738135000;4653488888;5153488888
140;4738136000;4653488888;5153488888
141;4738137000;4653488888;5153488888
142;4738326000;4653566666;5153566666
143;4738330000;4653855555;5153855555
144;4738331000;4653855555;5153855555
145;4738332000;4653855555;5153855555
146;4847824000;4695188888;5195188888
168;4928345000;4778500000;5278500000
190;5002220000;4861833333;5361833333
201;5037795000;4903477777;5403477777
212;5072343000;4945200000;5445200000
223;5103593000;4986811111;5486811111
234;5134895000;5028577777;5528577777
245;5168620000;5070166666;5570166666
246;5168634000;5070166666;5570166666
247;5168635000;5070166666;5570166666
248;5168637000;5070166666;5570166666
249;5168638000;5070166666;5570166666
250;5168640000;5070166666;5570166666
251;5168641000;5070166666;5570166666
252;5168789000;5070255555;5570255555
253;5168793000;5070577777;5570577777
254;5168794000;5070577777;5570577777
255;5168796000;5070577777;5570577777
256;5264841000;5111844444;5611844444
272;5304844000;5153511111;5653511111
285;5344180000;5195233333;5695233333
300;5344195000;5278500000;5778500000
301;5344196000;5278500000;5778500000
302;5344197000;5278500000;5778500000
303;5344198000;5278500000;5778500000
304;5344199000;5278500000;5778500000
305;5344200000;5278500000;5778500000
306;5344201000;5278500000;5778500000
307;5417956000;5278544444;5778544444
311;5417972000;5320200000;5820200000
312;5417973000;5320200000;5820200000
313;5417974000;5320200000;5820200000
314;5417975000;5320200000;5820200000
315;5417976000;5320200000;5820200000
316;5417977000;5320200000;5820200000
317;5417978000;5320200000;5820200000
318;5450093000;5320255555;5820255555
319;5450108000;5320544444;5820544444
320;5450109000;5320544444;5820544444
321;5450110000;5320544444;5820544444
322;5485738000;5361833333;5861833333
323;5485741000;5361833333;5861833333
324;5485742000;5361833333;5861833333
325;5485743000;5361833333;5861833333
326;5485744000;5361833333;5861833333
327;5485745000;5361833333;5861833333
328;5485757000;5361833333;5861833333
329;5485978000;5361855555;5861855555
330;5485993000;5362133333;5862133333
331;5485995000;5362133333;5862133333
332;5485995000;5362133333;5862133333
333;5520492000;5403444444;5903444444
334;5520496000;5403444444;5903444444
335;5520497000;5403444444;5903444444
336;5520498000;5403444444;5903444444
337;5520498000;5403444444;5903444444
338;5520499000;5403444444;5903444444
339;5520500000;5403444444;5903444444
340;5520644000;5403455555;5903455555
341;5520646000;5403733333;5903733333
342;5520647000;5403733333;5903733333
343;5520648000;5403733333;5903733333
344;5554818000;5445144444;5945144444
345;5554822000;5445144444;5945144444
346;5554823000;5445144444;5945144444
347;5554824000;5445144444;5945144444
348;5554825000;5445144444;5945144444
349;5554826000;5445144444;5945144444
350;5554827000;5445144444;5945144444
351;5554965000;5445166666;5945166666
352;5574668000;5445455555;5945455555
353;5574675000;5445455555;5945455555
354;5575104000;5445455555;5945455555
355;5668248000;5486811111;5986811111
366;5709248000;5528477777;6028477777
374;5709376000;5528755555;6028755555
375;5709379000;5528755555;6028755555
376;5709380000;5528755555;6028755555
377;5749914000;5570144444;6070144444
388;5794304000;5611811111;6111811111
396;5794447000;5612111111;6112111111
397;5794452000;5612111111;6112111111
398;5794453000;5612111111;6112111111
399;5829092000;5653477777;6153477777
410;5867036000;5695133333;6195133333
421;5904757000;5736800000;6236800000
431;5904909000;5737111111;6237111111
432;5940644000;5778477777;6278477777
443;5977789000;5820133333;6320133333
454;6011840000;5861800000;6361800000
465;6045835000;5903466666;6403466666
476;6073164000;5945133333;6445133333
486;6073276000;5945511111;6445511111
487;6092930000;5986811111;6486811111
488;6092933000;5986811111;6486811111
489;6092934000;5986811111;6486811111
490;6092935000;5986811111;6486811111
491;6092936000;5986811111;6486811111
492;6092937000;5986811111;6486811111
493;6092938000;5986811111;6486811111
494;6151761000;5986833333;6486833333
506;6151777000;6028755555;6528755555
507;6151778000;6028755555;6528755555
508;6151779000;6028755555;6528755555
509;6232497000;6070133333;6570133333
520;6270809000;6111811111;6611811111
534;6308141000;6153466666;6653466666
542;6342510000;6195133333;6695133333
552;6342617000;6195466666;6695466666
553;6377393000;6236811111;6736811111
557;6377397000;6236811111;6736811111
558;6377398000;6236811111;6736811111
559;6377399000;6236811111;6736811111
560;6377561000;6236833333;6736833333
561;6377567000;6237100000;6737100000
562;6377568000;6237100000;6737100000
563;6377570000;6237100000;6737100000
564;6396877000;6278466666;6778466666
565;6396880000;6278466666;6778466666
566;6396881000;6278466666;6778466666
567;6396882000;6278466666;6778466666
568;6396883000;6278466666;6778466666
569;6396884000;6278466666;6778466666
570;6396885000;6278466666;6778466666
571;6404980000;6278477777;6778477777
572;6404985000;6278766666;6778766666
573;6404986000;6278766666;6778766666
574;6404987000;6278766666;6778766666
575;6441445000;6320155555;6820155555
576;6441449000;6320155555;6820155555
577;6441450000;6320155555;6820155555
578;6441451000;6320155555;6820155555
579;6441452000;6320155555;6820155555
580;6441453000;6320155555;6820155555
581;6441454000;6320155555;6820155555
582;6441661000;6320177777;6820177777
583;6441667000;6320488888;6820488888
584;6441669000;6320488888;6820488888
585;6441670000;6320488888;6820488888
586;6465589000;6361811111;6861811111
587;6465593000;6361811111;6861811111
588;6465594000;6361811111;6861811111
589;6465595000;6361811111;6861811111
590;6465596000;6361811111;6861811111
591;6465597000;6361811111;6861811111
592;6465598000;6361811111;6861811111
593;6520813000;6361822222;6861822222
597;6520831000;6403477777;6903477777
598;6520832000;6403477777;6903477777
599;6520834000;6403477777;6903477777
600;6520835000;6403477777;6903477777
601;6520836000;6403477777;6903477777
602;6520838000;6403477777;6903477777
603;6520839000;6403477777;6903477777
604;6562122000;6403488888;6903488888
605;6562127000;6403777777;6903777777
606;6562154000;6403777777;6903777777
607;6562156000;6403777777;6903777777
608;6603106000;6445155555;6945155555
609;6603110000;6445155555;6945155555
610;6603111000;6445155555;6945155555
611;6603112000;6445155555;6945155555
612;6603113000;6445155555;6945155555
613;6603114000;6445155555;6945155555
614;6603115000;6445155555;6945155555
615;6675538000;6445188888;6945188888
626;6715699000;6486822222;6986822222
632;6715716000;6528477777;7028477777
633;6715717000;6528477777;7028477777
634;6715718000;6528477777;7028477777
635;6715719000;6528477777;7028477777
636;6715720000;6528477777;7028477777
637;6755573000;6528500000;7028500000
643;6755588000;6570155555;7070155555
644;6755590000;6570155555;7070155555
645;6755591000;6570155555;7070155555
646;6755591000;6570155555;7070155555
647;6755593000;6570155555;7070155555
648;6792578000;6570200000;7070200000
652;6792594000;6611800000;7111800000
653;6792595000;6611800000;7111800000
654;6792596000;6611800000;7111800000
655;6792597000;6611800000;7111800000
656;6792598000;6611800000;7111800000
657;6792599000;6611800000;7111800000
658;6792600000;6611800000;7111800000
659;6828361000;6611822222;7111822222
663;6828376000;6653477777;7153477777
664;6828377000;6653477777;7153477777
665;6828378000;6653477777;7153477777
666;6828379000;6653477777;7153477777
667;6828380000;6653477777;7153477777
668;6828381000;6653477777;7153477777
669;6828382000;6653477777;7153477777
670;6862251000;6653488888;7153488888
671;6862267000;6653766666;7153766666
672;6862268000;6653766666;7153766666
673;6862269000;6653766666;7153766666
674;6896412000;6695166666;7195166666
676;6896416000;6695166666;7195166666
677;6896417000;6695166666;7195166666
678;6896418000;6695166666;7195166666
679;6896419000;6695166666;7195166666
680;6896420000;6695166666;7195166666
681;6896597000;6695200000;7195200000
682;6896601000;6695555555;7195555555
683;6896602000;6695555555;7195555555
684;6896603000;6695555555;7195555555
685;6930833000;6736811111;7236811111
688;6930837000;6736811111;7236811111
689;6930838000;6736811111;7236811111
690;6930839000;6736811111;7236811111
691;6930840000;6736811111;7236811111
692;6930983000;6736822222;7236822222
693;6930986000;6737133333;7237133333
694;6930987000;6737133333;7237133333
695;6930988000;6737133333;7237133333
696;7081940000;6778477777;7278477777
735;7179621000;6903477777;7403477777
759;7284670000;6987155555;7487155555
795;7417745000;7153477777;7653477777
839;7492451000;7320133333;7820133333
850;7502679000;7361800000;7861800000
851;7502692000;7361800000;7861800000
852;7502693000;7361800000;7861800000
853;7502694000;7361800000;7861800000
854;7502695000;7361800000;7861800000
855;7502696000;7361800000;7861800000
856;7502697000;7361800000;7861800000
857;7502818000;7361822222;7861822222
858;7502833000;7362133333;7862133333
859;7502834000;7362133333;7862133333
860;7502835000;7362133333;7862133333
861;7565773000;7403477777;7903477777
872;7606337000;7445144444;7945144444
873;7606340000;7445144444;7945144444
874;7606341000;7445144444;7945144444
875;7606342000;7445144444;7945144444
876;7606343000;7445144444;7945144444
877;7606344000;7445144444;7945144444
878;7606345000;7445144444;7945144444
879;7606545000;7445166666;7945166666
880;7606560000;7445466666;7945466666
881;7606561000;7445466666;7945466666
882;7606562000;7445466666;7945466666
883;7646891000;7486811111;7986811111
884;7646895000;7486811111;7986811111
885;7646896000;7486811111;7986811111
886;7646897000;7486811111;7986811111
887;7646898000;7486811111;7986811111
888;7646899000;7486811111;7986811111
889;7646899000;7486811111;7986811111
890;7647105000;7486822222;7986822222
891;7754544000;7487122222;7987122222
892;7754546000;7487122222;7987122222
893;7754924000;7487122222;7987122222
894;7808261000;7528466666;8028466666
909;7849294000;7570144444;8070144444
923;7968481000;7611822222;8111822222
927;7968496000;7653477777;8153477777
928;7968497000;7653477777;8153477777
929;7968498000;7653477777;8153477777
930;7968500000;7653477777;8153477777
931;7968500000;7653477777;8153477777
932;7968501000;7653477777;8153477777
933;7968502000;7653477777;8153477777
934;8006379000;7653488888;8153488888
944;8006402000;7695155555;8195155555
945;8044335000;7695188888;8195188888
954;8044350000;7736800000;8236800000
955;8044352000;7736800000;8236800000
956;8068993000;7736822222;8236822222
957;8069009000;7737133333;8237133333
958;8069010000;7737133333;8237133333
959;8069011000;7737133333;8237133333
960;8103935000;7778477777;8278477777
966;8103939000;7778477777;8278477777
967;8104152000;7778488888;8278488888
968;8104168000;7778788888;8278788888
969;8104169000;7778788888;8278788888
970;8104170000;7778788888;8278788888
971;8127676000;7820155555;8320155555
978;8127828000;7820188888;8320188888
979;8127840000;7820488888;8320488888
980;8127841000;7820488888;8320488888
981;8127842000;7820488888;8320488888
982;8147189000;7861811111;8361811111
983;8147191000;7861811111;8361811111
984;8147192000;7861811111;8361811111
985;8147193000;7861811111;8361811111
986;8147194000;7861811111;8361811111
987;8147195000;7861811111;8361811111
988;8147196000;7861811111;8361811111
989;8209536000;7861833333;8361833333
1004;8209551000;7945144444;8445144444
1005;8209552000;7945144444;8445144444
1006;8209553000;7945144444;8445144444
1007;8209554000;7945144444;8445144444
1008;8209555000;7945144444;8445144444
1009;8209556000;7945144444;8445144444
1010;8209557000;7945144444;8445144444
1011;8291500000;7945166666;8445166666
1048;8291515000;8111811111;8611811111
1049;8291516000;8111811111;8611811111
1050;8291517000;8111811111;8611811111
1051;8291518000;8111811111;8611811111
1052;8291519000;8111811111;8611811111
1053;8291520000;8111811111;8611811111
1054;8291521000;8111811111;8611811111
1055;8437251000;8111822222;8611822222
1081;8437266000;8236800000;8736800000
1082;8437268000;8236800000;8736800000
1083;8437269000;8236800000;8736800000
1084;8437270000;8236800000;8736800000
1085;8437270000;8236800000;8736800000
1086;8437272000;8236800000;8736800000
1087;8437273000;8236800000;8736800000
1088;8484542000;8236822222;8736822222
1097;8484559000;8278477777;8778477777
1098;8484560000;8278477777;8778477777
1099;8507270000;8278488888;8778488888
1108;8507286000;8320144444;8820144444
1109;8507288000;8320144444;8820144444
1110;8532274000;8320166666;8820166666
1114;8532289000;8361811111;8861811111
1115;8532290000;8361811111;8861811111
1116;8532291000;8361811111;8861811111
1117;8532292000;8361811111;8861811111
1118;8532293000;8361811111;8861811111
1119;8532294000;8361811111;8861811111
1120;8532295000;8361811111;8861811111
1121;8561510000;8361822222;8861822222
1122;8561525000;8362111111;8862111111
1123;8561527000;8362111111;8862111111
1124;8561528000;8362111111;8862111111
1125;8594038000;8403466666;8903466666
1129;8594049000;8403466666;8903466666
1130;8594050000;8403466666;8903466666
1131;8594051000;8403466666;8903466666
1132;8594250000;8403488888;8903488888
1133;8594265000;8403800000;8903800000
1134;8594266000;8403800000;8903800000
1135;8594267000;8403800000;8903800000
1136;8604559000;8445166666;8945166666
1137;8604562000;8445166666;8945166666
1138;8604563000;8445166666;8945166666
1139;8604564000;8445166666;8945166666
1140;8604565000;8445166666;8945166666
1141;8604566000;8445166666;8945166666
1142;8604567000;8445166666;8945166666
1143;8657204000;8445188888;8945188888
