seqnum;now;rtptime;deadline;packet_len;payload_len
0;6422412000;6332811111;6832811111;10240;10228
1;6422499000;6332811111;6832811111;10240;10228
2;6422525000;6332811111;6832811111;10240;10228
3;6422529000;6363900000;6863900000;10240;10228
0;6422573000;6332811111;6832811111;10240;10228
1;6422754000;6332811111;6832811111;10240;10228
2;6422963000;6332811111;6832811111;10240;10228
3;6422971000;6363900000;6863900000;10240;10228
4;6462703000;6363900000;6863900000;10240;10228
5;6462718000;6363900000;6863900000;10240;10228
6;6462737000;6363900000;6863900000;10240;10228
7;6462740000;6363900000;6863900000;10240;10228
8;6462746000;6363900000;6863900000;10240;10228
9;6462749000;6363900000;6863900000;10240;10228
4;6462984000;6363900000;6863900000;10240;10228
5;6463182000;6363900000;6863900000;10240;10228
6;6463381000;6363900000;6863900000;10240;10228
7;6463392000;6363900000;6863900000;10240;10228
8;6463583000;6363900000;6863900000;10240;10228
9;6463604000;6363900000;6863900000;10240;10228
10;6489676000;6363922222;6863922222;10240;10228
10;6502984000;6363922222;6863922222;10240;10228
11;6503003000;6364300000;6864300000;10240;10228
12;6503012000;6364300000;6864300000;10240;10228
13;6503022000;6364300000;6864300000;10240;10228
14;6503027000;6405555555;6905555555;10240;10228
15;6503031000;6405555555;6905555555;10240;10228
16;6503035000;6405555555;6905555555;10240;10228
17;6503039000;6405555555;6905555555;10240;10228
11;6503167000;6364300000;6864300000;10240;10228
12;6503380000;6364300000;6864300000;10240;10228
13;6503583000;6364300000;6864300000;10240;10228
14;6503777000;6405555555;6905555555;10240;10228
15;6503794000;6405555555;6905555555;10240;10228
16;6503988000;6405555555;6905555555;10240;10228
17;6504003000;6405555555;6905555555;10240;10228
18;6504198000;6405555555;6905555555;10240;10228
19;6504214000;6405555555;6905555555;10240;10228
20;6504400000;6405555555;6905555555;10240;10228
21;6504412000;6405577777;6905577777;10240;10228
22;6504607000;6405966666;6905966666;10240;10228
23;6504798000;6405966666;6905966666;10240;10228
24;6530092000;6405966666;6905966666;10240;10228
18;6543270000;6405555555;6905555555;10240;10228
19;6543290000;6405555555;6905555555;10240;10228
20;6543297000;6405555555;6905555555;10240;10228
21;6543304000;6405577777;6905577777;10240;10228
22;6543311000;6405966666;6905966666;10240;10228
23;6543316000;6405966666;6905966666;10240;10228
24;6543326000;6405966666;6905966666;10240;10228
25;6543331000;6447222222;6947222222;10240;10228
26;6543336000;6447222222;6947222222;10240;10228
27;6543344000;6447222222;6947222222;10240;10228
28;6543349000;6447222222;6947222222;10240;10228
25;6543593000;6447222222;6947222222;10240;10228
26;6543783000;6447222222;6947222222;10240;10228
27;6543989000;6447222222;6947222222;10240;10228
28;6543998000;6447222222;6947222222;10240;10228
29;6544201000;6447222222;6947222222;10240;10228
30;6544215000;6447222222;6947222222;10240;10228
31;6544406000;6447222222;6947222222;10240;10228
32;6544420000;6447244444;6947244444;10240;10228
29;6583635000;6447222222;6947222222;10240;10228
30;6583662000;6447222222;6947222222;10240;10228
31;6583672000;6447222222;6947222222;10240;10228
32;6583677000;6447244444;6947244444;10240;10228
33;6583681000;6447566666;6947566666;10240;10228
34;6583686000;6447566666;6947566666;10240;10228
35;6583690000;6447566666;6947566666;10240;10228
36;6583701000;6488900000;6988900000;10240;10228
37;6583706000;6488900000;6988900000;10240;10228
38;6583710000;6488900000;6988900000;10240;10228
39;6583741000;6488900000;6988900000;10240;10228
40;6583748000;6488900000;6988900000;10240;10228
41;6583753000;6488900000;6988900000;10240;10228
42;6583768000;6488900000;6988900000;10240;10228
43;6583772000;6488922222;6988922222;10240;10228
44;6583777000;6489288888;6989288888;10240;10228
45;6583781000;6489288888;6989288888;10240;10228
46;6583785000;6489288888;6989288888;10240;10228
47;6583793000;6530600000;7030600000;10240;10228
48;6583801000;6530600000;7030600000;10240;10228
33;6583813000;6447566666;6947566666;10240;10228
34;6583981000;6447566666;6947566666;10240;10228
35;6584187000;6447566666;6947566666;10240;10228
36;6584230000;6488900000;6988900000;10240;10228
37;6584382000;6488900000;6988900000;10240;10228
40;6584401000;6488900000;6988900000;10240;10228
41;6584586000;6488900000;6988900000;10240;10228
42;6584606000;6488900000;6988900000;10240;10228
43;6584793000;6488922222;6988922222;10240;10228
44;6584803000;6489288888;6989288888;10240;10228
45;6584976000;6489288888;6989288888;10240;10228
46;6585198000;6489288888;6989288888;10240;10228
47;6585219000;6530600000;7030600000;10240;10228
48;6585405000;6530600000;7030600000;10240;10228
49;6585424000;6530600000;7030600000;10240;10228
50;6585618000;6530600000;7030600000;10240;10228
51;6585815000;6530600000;7030600000;10240;10228
52;6585827000;6530600000;7030600000;10240;10228
53;6586001000;6530600000;7030600000;10240;10228
54;6586013000;6530611111;7030611111;10240;10228
49;6623950000;6530600000;7030600000;10240;10228
50;6623984000;6530600000;7030600000;10240;10228
51;6623991000;6530600000;7030600000;10240;10228
52;6623995000;6530600000;7030600000;10240;10228
53;6624000000;6530600000;7030600000;10240;10228
54;6624004000;6530611111;7030611111;10240;10228
55;6624008000;6530922222;7030922222;10240;10228
56;6624023000;6530922222;7030922222;10240;10228
57;6624029000;6530922222;7030922222;10240;10228
58;6624065000;6572266666;7072266666;10240;10228
59;6624070000;6572266666;7072266666;10240;10228
60;6624078000;6572266666;7072266666;10240;10228
61;6624099000;6572266666;7072266666;10240;10228
62;6624104000;6572266666;7072266666;10240;10228
63;6624108000;6572266666;7072266666;10240;10228
64;6624113000;6572266666;7072266666;10240;10228
65;6624117000;6572288888;7072288888;10240;10228
55;6624121000;6530922222;7030922222;10240;10228
56;6624301000;6530922222;7030922222;10240;10228
57;6624510000;6530922222;7030922222;10240;10228
58;6624520000;6572266666;7072266666;10240;10228
59;6624711000;6572266666;7072266666;10240;10228
60;6624732000;6572266666;7072266666;10240;10228
61;6624917000;6572266666;7072266666;10240;10228
62;6624926000;6572266666;7072266666;10240;10228
63;6625156000;6572266666;7072266666;10240;10228
64;6625331000;6572266666;7072266666;10240;10228
65;6625353000;6572288888;7072288888;10240;10228
38;6625528000;6488900000;6988900000;10240;10228
39;6625550000;6488900000;6988900000;10240;10228
66;6634084000;6572577777;7072577777;10240;10228
67;6634098000;6572577777;7072577777;10240;10228
68;6634112000;6572577777;7072577777;10240;10228
66;6634263000;6572577777;7072577777;10240;10228
67;6634475000;6572577777;7072577777;10240;10228
69;6664370000;6613955555;7113955555;10240;10228
70;6664381000;6613955555;7113955555;10240;10228
71;6664388000;6613955555;7113955555;10240;10228
72;6664404000;6613955555;7113955555;10240;10228
73;6664408000;6613955555;7113955555;10240;10228
74;6664413000;6613955555;7113955555;10240;10228
75;6664425000;6613955555;7113955555;10240;10228
76;6664430000;6613977777;7113977777;10240;10228
68;6664572000;6572577777;7072577777;10240;10228
69;6664784000;6613955555;7113955555;10240;10228
70;6664982000;6613955555;7113955555;10240;10228
71;6665194000;6613955555;7113955555;10240;10228
72;6665205000;6613955555;7113955555;10240;10228
73;6665398000;6613955555;7113955555;10240;10228
74;6665418000;6613955555;7113955555;10240;10228
75;6665596000;6613955555;7113955555;10240;10228
76;6665617000;6613977777;7113977777;10240;10228
77;6675744000;6614344444;7114344444;10240;10228
78;6675756000;6614344444;7114344444;10240;10228
79;6675760000;6614344444;7114344444;10240;10228
80;6675764000;6655633333;7155633333;10240;10228
81;6675770000;6655633333;7155633333;10240;10228
82;6675775000;6655633333;7155633333;10240;10228
83;6675788000;6655633333;7155633333;10240;10228
77;6675943000;6614344444;7114344444;10240;10228
78;6676155000;6614344444;7114344444;10240;10228
79;6676164000;6614344444;7114344444;10240;10228
80;6676360000;6655633333;7155633333;10240;10228
81;6676564000;6655633333;7155633333;10240;10228
82;6676585000;6655633333;7155633333;10240;10228
84;6704828000;6655633333;7155633333;10240;10228
85;6704840000;6655633333;7155633333;10240;10228
86;6704844000;6655633333;7155633333;10240;10228
87;6704848000;6655688888;7155688888;10240;10228
83;6705041000;6655633333;7155633333;10240;10228
84;6705244000;6655633333;7155633333;10240;10228
85;6705255000;6655633333;7155633333;10240;10228
86;6705454000;6655633333;7155633333;10240;10228
87;6705662000;6655688888;7155688888;10240;10228
88;6717434000;6655977777;7155977777;10240;10228
89;6717445000;6655977777;7155977777;10240;10228
90;6717454000;6655977777;7155977777;10240;10228
91;6717461000;6697300000;7197300000;10240;10228
92;6717466000;6697300000;7197300000;10240;10228
93;6717474000;6697300000;7197300000;10240;10228
94;6717478000;6697300000;7197300000;10240;10228
95;6717482000;6697300000;7197300000;10240;10228
96;6717486000;6697300000;7197300000;10240;10228
97;6717496000;6697300000;7197300000;10240;10228
88;6717649000;6655977777;7155977777;10240;10228
98;6717668000;6697377777;7197377777;10240;10228
89;6717827000;6655977777;7155977777;10240;10228
90;6717846000;6655977777;7155977777;10240;10228
91;6718031000;6697300000;7197300000;10240;10228
92;6718235000;6697300000;7197300000;10240;10228
93;6718246000;6697300000;7197300000;10240;10228
94;6718449000;6697300000;7197300000;10240;10228
95;6718459000;6697300000;7197300000;10240;10228
96;6718657000;6697300000;7197300000;10240;10228
97;6718848000;6697300000;7197300000;10240;10228
98;6718859000;6697377777;7197377777;10240;10228
99;6759146000;6697666666;7197666666;10240;10228
100;6759171000;6697666666;7197666666;10240;10228
101;6759176000;6697666666;7197666666;10240;10228
102;6759180000;6739044444;7239044444;10240;10228
103;6759186000;6739044444;7239044444;10240;10228
104;6759195000;6739044444;7239044444;10240;10228
105;6759199000;6739044444;7239044444;10240;10228
106;6759205000;6739044444;7239044444;10240;10228
107;6759209000;6739044444;7239044444;10240;10228
108;6759213000;6739044444;7239044444;10240;10228
109;6759327000;6739133333;7239133333;10240;10228
99;6759338000;6697666666;7197666666;10240;10228
100;6759503000;6697666666;7197666666;10240;10228
101;6759513000;6697666666;7197666666;10240;10228
102;6759709000;6739044444;7239044444;10240;10228
104;6759901000;6739044444;7239044444;10240;10228
105;6759912000;6739044444;7239044444;10240;10228
106;6760078000;6739044444;7239044444;10240;10228
107;6760326000;6739044444;7239044444;10240;10228
108;6760335000;6739044444;7239044444;10240;10228
109;6760340000;6739133333;7239133333;10240;10228
103;6800592000;6739044444;7239044444;10240;10228
110;6800786000;6739433333;7239433333;10240;10228
111;6800798000;6739433333;7239433333;10240;10228
112;6800816000;6739433333;7239433333;10240;10228
113;6800821000;6780611111;7280611111;10240;10228
114;6800825000;6780611111;7280611111;10240;10228
115;6800835000;6780611111;7280611111;10240;10228
116;6800841000;6780611111;7280611111;10240;10228
117;6800851000;6780611111;7280611111;10240;10228
110;6800938000;6739433333;7239433333;10240;10228
111;6801151000;6739433333;7239433333;10240;10228
112;6801158000;6739433333;7239433333;10240;10228
113;6801343000;6780611111;7280611111;10240;10228
114;6801547000;6780611111;7280611111;10240;10228
115;6801552000;6780611111;7280611111;10240;10228
116;6801770000;6780611111;7280611111;10240;10228
118;6841099000;6780611111;7280611111;10240;10228
119;6841110000;6780611111;7280611111;10240;10228
120;6841114000;6780677777;7280677777;10240;10228
117;6841119000;6780611111;7280611111;10240;10228
118;6841276000;6780611111;7280611111;10240;10228
119;6841491000;6780611111;7280611111;10240;10228
120;6841692000;6780677777;7280677777;10240;10228
121;6842645000;6781011111;7281011111;10240;10228
122;6842654000;6781011111;7281011111;10240;10228
123;6842659000;6781011111;7281011111;10240;10228
124;6842663000;6822300000;7322300000;10240;10228
125;6842668000;6822300000;7322300000;10240;10228
126;6842672000;6822300000;7322300000;10240;10228
121;6842678000;6781011111;7281011111;10240;10228
122;6842830000;6781011111;7281011111;10240;10228
123;6842839000;6781011111;7281011111;10240;10228
124;6842995000;6822300000;7322300000;10240;10228
125;6843233000;6822300000;7322300000;10240;10228
127;6881415000;6822300000;7322300000;10240;10228
128;6881425000;6822300000;7322300000;10240;10228
129;6881458000;6822300000;7322300000;10240;10228
130;6881462000;6822300000;7322300000;10240;10228
131;6881466000;6822344444;7322344444;10240;10228
126;6881557000;6822300000;7322300000;10240;10228
127;6881799000;6822300000;7322300000;10240;10228
128;6881999000;6822300000;7322300000;10240;10228
129;6882009000;6822300000;7322300000;10240;10228
130;6882206000;6822300000;7322300000;10240;10228
131;6883084000;6822344444;7322344444;10240;10228
132;6884129000;6822622222;7322622222;10240;10228
133;6884138000;6822622222;7322622222;10240;10228
134;6884144000;6822622222;7322622222;10240;10228
135;6884148000;6863955555;7363955555;10240;10228
136;6884152000;6863955555;7363955555;10240;10228
132;6884284000;6822622222;7322622222;10240;10228
133;6884496000;6822622222;7322622222;10240;10228
134;6884507000;6822622222;7322622222;10240;10228
135;6884702000;6863955555;7363955555;10240;10228
137;6921819000;6863955555;7363955555;10240;10228
138;6921829000;6863955555;7363955555;10240;10228
139;6921835000;6863955555;7363955555;10240;10228
140;6921840000;6863955555;7363955555;10240;10228
141;6921844000;6863955555;7363955555;10240;10228
142;6921848000;6864000000;7364000000;10240;10228
136;6922064000;6863955555;7363955555;10240;10228
137;6922245000;6863955555;7363955555;10240;10228
138;6922462000;6863955555;7363955555;10240;10228
139;6922654000;6863955555;7363955555;10240;10228
