seqnum;now;rtptime;deadline;packet_len;payload_len
0;7859034000;7669133333;8169133333;10240;10228
1;7859117000;7669133333;8169133333;10240;10228
2;7859126000;7669133333;8169133333;10240;10228
3;7859129000;7700455555;8200455555;10240;10228
0;7859156000;7669133333;8169133333;10240;10228
1;7859346000;7669133333;8169133333;10240;10228
2;7859551000;7669133333;8169133333;10240;10228
3;7859558000;7700455555;8200455555;10240;10228
4;7939358000;7700455555;8200455555;10240;10228
5;7939374000;7700455555;8200455555;10240;10228
6;7939395000;7700455555;8200455555;10240;10228
7;7939399000;7700455555;8200455555;10240;10228
8;7939402000;7700455555;8200455555;10240;10228
9;7939406000;7700455555;8200455555;10240;10228
4;7939679000;7700455555;8200455555;10240;10228
5;7939878000;7700455555;8200455555;10240;10228
6;7939891000;7700455555;8200455555;10240;10228
7;7940067000;7700455555;8200455555;10240;10228
8;7940298000;7700455555;8200455555;10240;10228
9;7940316000;7700455555;8200455555;10240;10228
10;7965715000;7700477777;8200477777;10240;10228
11;8019704000;7700800000;8200800000;10240;10228
12;8019742000;7700800000;8200800000;10240;10228
13;8019747000;7700800000;8200800000;10240;10228
15;8019751000;7742100000;8242100000;10240;10228
16;8019759000;7742100000;8242100000;10240;10228
17;8019782000;7742100000;8242100000;10240;10228
11;8019905000;7700800000;8200800000;10240;10228
13;8020183000;7700800000;8200800000;10240;10228
14;8020334000;7742100000;8242100000;10240;10228
15;8020524000;7742100000;8242100000;10240;10228
16;8020547000;7742100000;8242100000;10240;10228
17;8020744000;7742100000;8242100000;10240;10228
18;8020936000;7742100000;8242100000;10240;10228
19;8020946000;7742100000;8242100000;10240;10228
20;8021103000;7742100000;8242100000;10240;10228
21;8021125000;7742122222;8242122222;10240;10228
22;8021357000;7742533333;8242533333;10240;10228
23;8021367000;7742533333;8242533333;10240;10228
24;8046135000;7742533333;8242533333;10240;10228
18;8099979000;7742100000;8242100000;10240;10228
19;8099990000;7742100000;8242100000;10240;10228
10;8099995000;7700477777;8200477777;10240;10228
14;8099999000;7742100000;8242100000;10240;10228
25;8100283000;7783777777;8283777777;10240;10228
26;8100569000;7783777777;8283777777;10240;10228
27;8100779000;7783777777;8283777777;10240;10228
12;8100969000;7700800000;8200800000;10240;10228
28;8101180000;7783777777;8283777777;10240;10228
29;8101187000;7783777777;8283777777;10240;10228
30;8101398000;7783777777;8283777777;10240;10228
31;8101591000;7783777777;8283777777;10240;10228
32;8101610000;7783788888;8283788888;10240;10228
33;8101795000;7784133333;8284133333;10240;10228
34;8101815000;7784133333;8284133333;10240;10228
35;8101999000;7784133333;8284133333;10240;10228
36;8102213000;7825433333;8325433333;10240;10228
37;8126553000;7825433333;8325433333;10240;10228
20;8180336000;7742100000;8242100000;10240;10228
21;8180363000;7742122222;8242122222;10240;10228
22;8180368000;7742533333;8242533333;10240;10228
38;8180930000;7825433333;8325433333;10240;10228
39;8181176000;7825433333;8325433333;10240;10228
40;8181347000;7825433333;8325433333;10240;10228
41;8181547000;7825433333;8325433333;10240;10228
42;8181567000;7825433333;8325433333;10240;10228
43;8181748000;7825455555;8325455555;10240;10228
44;8181768000;7825811111;8325811111;10240;10228
45;8181946000;7825811111;8325811111;10240;10228
46;8182185000;7825811111;8325811111;10240;10228
47;8182194000;7867100000;8367100000;10240;10228
48;8182360000;7867100000;8367100000;10240;10228
49;8182379000;7867100000;8367100000;10240;10228
50;8182578000;7867100000;8367100000;10240;10228
26;8260596000;7783777777;8283777777;10240;10228
27;8260608000;7783777777;8283777777;10240;10228
53;8261375000;7867100000;8367100000;10240;10228
54;8261568000;7867122222;8367122222;10240;10228
56;8261961000;7867444444;8367444444;10240;10228
57;8262160000;7867444444;8367444444;10240;10228
58;8262365000;7908788888;8408788888;10240;10228
59;8262380000;7908788888;8408788888;10240;10228
60;8262563000;7908788888;8408788888;10240;10228
61;8262568000;7908788888;8408788888;10240;10228
62;8262768000;7908788888;8408788888;10240;10228
64;8262804000;7908788888;8408788888;10240;10228
65;8262970000;7908811111;8408811111;10240;10228
29;8340908000;7783777777;8283777777;10240;10228
30;8340919000;7783777777;8283777777;10240;10228
31;8340923000;7783777777;8283777777;10240;10228
32;8340935000;7783788888;8283788888;10240;10228
66;8341898000;7909155555;8409155555;10240;10228
67;8342086000;7909155555;8409155555;10240;10228
51;8342412000;7867100000;8367100000;10240;10228
52;8342621000;7867100000;8367100000;10240;10228
55;8342835000;7867444444;8367444444;10240;10228
68;8343679000;7909155555;8409155555;10240;10228
69;8343854000;7950444444;8450444444;10240;10228
51;8422013000;7867100000;8367100000;10240;10228
52;8422024000;7867100000;8367100000;10240;10228
54;8422028000;7867122222;8367122222;10240;10228
55;8422036000;7867444444;8367444444;10240;10228
56;8422040000;7867444444;8367444444;10240;10228
57;8422052000;7867444444;8367444444;10240;10228
70;8422209000;7950444444;8450444444;10240;10228
67;8422315000;7909155555;8409155555;10240;10228
68;8422344000;7909155555;8409155555;10240;10228
69;8422432000;7950444444;8450444444;10240;10228
71;8422444000;7950444444;8450444444;10240;10228
72;8422448000;7950444444;8450444444;10240;10228
73;8422635000;7950444444;8450444444;10240;10228
