seqnum;now;rtptime;deadline
2;8560205000;8407200000;8907200000
3;8640848000;8438533333;8938533333
6;8640915000;8438533333;8938533333
7;8640918000;8438533333;8938533333
8;8640920000;8438533333;8938533333
9;8640933000;8438533333;8938533333
10;8641166000;8438555555;8938555555
11;8641199000;8438866666;8938866666
12;8641205000;8438866666;8938866666
13;8641208000;8438866666;8938866666
14;8682306000;8480177777;8980177777
21;8682581000;8480188888;8980188888
22;8682586000;8480577777;8980577777
23;8682607000;8480577777;8980577777
24;8682609000;8480577777;8980577777
25;8723756000;8521844444;9021844444
33;8723911000;8522200000;9022200000
34;8723941000;8522200000;9022200000
35;8723943000;8522200000;9022200000
36;8764951000;8563477777;9063477777
44;8765153000;8563822222;9063822222
45;8765182000;8563822222;9063822222
46;8765185000;8563822222;9063822222
47;8805707000;8605177777;9105177777
55;8805869000;8605500000;9105500000
56;8805900000;8605500000;9105500000
57;8805902000;8605500000;9105500000
58;8845916000;8646811111;9146811111
66;8846129000;8647111111;9147111111
67;8846160000;8647111111;9147111111
68;8846162000;8647111111;9147111111
69;8885465000;8688511111;9188511111
74;8885494000;8688511111;9188511111
75;8885497000;8688511111;9188511111
76;8885708000;8688533333;9188533333
77;8885737000;8688955555;9188955555
78;8885743000;8688955555;9188955555
79;8885744000;8688955555;9188955555
80;8923498000;8730188888;9230188888
88;8923625000;8730555555;9230555555
89;8923629000;8730555555;9230555555
90;8923631000;8730555555;9230555555
91;8961911000;8771811111;9271811111
96;8961959000;8771811111;9271811111
97;8961961000;8771811111;9271811111
98;8962217000;8771833333;9271833333
99;8962257000;8772155555;9272155555
100;8962263000;8772155555;9272155555
101;8962264000;8772155555;9272155555
102;8999154000;8813511111;9313511111
110;8999240000;8813800000;9313800000
111;8999260000;8813800000;9313800000
112;8999262000;8813800000;9313800000
113;9037634000;8855155555;9355155555
121;9037827000;8855466666;9355466666
122;9037857000;8855466666;9355466666
123;9037858000;8855466666;9355466666
124;9076258000;8896844444;9396844444
128;9076287000;8896844444;9396844444
129;9076289000;8896844444;9396844444
130;9076290000;8896844444;9396844444
131;9076504000;8896855555;9396855555
132;9076545000;8897144444;9397144444
133;9076547000;8897144444;9397144444
134;9076562000;8897144444;9397144444
135;9114981000;8938511111;9438511111
143;9115087000;8938788888;9438788888
144;9115106000;8938788888;9438788888
145;9115107000;8938788888;9438788888
146;9154656000;8980155555;9480155555
154;9154818000;8980477777;9480477777
155;9154843000;8980477777;9480477777
156;9154845000;8980477777;9480477777
157;9194898000;9021844444;9521844444
165;9195062000;9022166666;9522166666
166;9195066000;9022166666;9522166666
167;9195067000;9022166666;9522166666
168;9235537000;9063477777;9563477777
171;9235566000;9063477777;9563477777
172;9235567000;9063477777;9563477777
173;9235569000;9063477777;9563477777
174;9235576000;9063477777;9563477777
175;9235801000;9063500000;9563500000
176;9235830000;9063811111;9563811111
177;9235835000;9063811111;9563811111
178;9235837000;9063811111;9563811111
179;9276415000;9105155555;9605155555
187;9276564000;9105477777;9605477777
188;9276589000;9105477777;9605477777
189;9276591000;9105477777;9605477777
190;9317846000;9146844444;9646844444
198;9317996000;9147122222;9647122222
199;9318021000;9147122222;9647122222
200;9318022000;9147122222;9647122222
201;9359342000;9188477777;9688477777
209;9359506000;9188755555;9688755555
210;9359530000;9188755555;9688755555
211;9359532000;9188755555;9688755555
212;9400907000;9230155555;9730155555
219;9401091000;9230166666;9730166666
220;9401096000;9230488888;9730488888
221;9401118000;9230488888;9730488888
222;9401119000;9230488888;9730488888
223;9442676000;9271844444;9771844444
231;9442846000;9272155555;9772155555
232;9442873000;9272155555;9772155555
233;9442874000;9272155555;9772155555
234;9484249000;9313477777;9813477777
