seqnum;now;rtptime;deadline;packet_len;payload_len
0;3858788000;3787733333;4287733333;1398;1386
1;3858824000;3787733333;4287733333;1400;1388
0;3858874000;3787733333;4287733333;1398;1386
2;3858891000;3787733333;4287733333;1398;1386
3;3858910000;3818455555;4318455555;1400;1388
4;3858920000;3818455555;4318455555;1400;1388
5;3858926000;3818455555;4318455555;1398;1386
6;3858935000;3818455555;4318455555;1400;1388
7;3858941000;3818455555;4318455555;1398;1386
8;3858956000;3818455555;4318455555;1400;1388
9;3858965000;3818455555;4318455555;1400;1388
10;3858970000;3818477777;4318477777;982;970
1;3858986000;3787733333;4287733333;1400;1388
2;3859207000;3787733333;4287733333;1398;1386
3;3859215000;3818455555;4318455555;1400;1388
4;3859420000;3818455555;4318455555;1400;1388
5;3859430000;3818455555;4318455555;1398;1386
6;3859601000;3818455555;4318455555;1400;1388
7;3859610000;3818455555;4318455555;1398;1386
8;3859800000;3818455555;4318455555;1400;1388
9;3860009000;3818455555;4318455555;1400;1388
10;3860019000;3818477777;4318477777;982;970
11;3900494000;3818811111;4318811111;1398;1386
11;3900545000;3818811111;4318811111;1398;1386
12;3900563000;3818811111;4318811111;1400;1388
13;3900592000;3818811111;4318811111;1398;1386
14;3900624000;3860088888;4360088888;1400;1388
15;3900631000;3860088888;4360088888;1400;1388
12;3900646000;3818811111;4318811111;1400;1388
16;3900661000;3860088888;4360088888;1398;1386
17;3900672000;3860088888;4360088888;1400;1388
13;3900684000;3818811111;4318811111;1398;1386
18;3900695000;3860088888;4360088888;1398;1386
19;3900715000;3860088888;4360088888;1400;1388
20;3900720000;3860088888;4360088888;1400;1388
21;3900726000;3860111111;4360111111;982;970
14;3900833000;3860088888;4360088888;1400;1388
15;3901035000;3860088888;4360088888;1400;1388
16;3901060000;3860088888;4360088888;1398;1386
17;3901240000;3860088888;4360088888;1400;1388
18;3901249000;3860088888;4360088888;1398;1386
19;3901432000;3860088888;4360088888;1400;1388
20;3901636000;3860088888;4360088888;1400;1388
21;3901642000;3860111111;4360111111;982;970
22;3941984000;3860511111;4360511111;1398;1386
23;3942007000;3860511111;4360511111;1400;1388
24;3942015000;3860511111;4360511111;1398;1386
25;3942033000;3901755555;4401755555;1400;1388
26;3942040000;3901755555;4401755555;1400;1388
27;3942073000;3901755555;4401755555;1398;1386
28;3942085000;3901755555;4401755555;1400;1388
29;3942089000;3901755555;4401755555;1398;1386
30;3942093000;3901755555;4401755555;1400;1388
22;3942105000;3860511111;4360511111;1398;1386
31;3942206000;3901755555;4401755555;1400;1388
32;3942219000;3901777777;4401777777;982;970
23;3942308000;3860511111;4360511111;1400;1388
24;3942317000;3860511111;4360511111;1398;1386
25;3942494000;3901755555;4401755555;1400;1388
26;3942700000;3901755555;4401755555;1400;1388
27;3942710000;3901755555;4401755555;1398;1386
28;3942906000;3901755555;4401755555;1400;1388
29;3942914000;3901755555;4401755555;1398;1386
