seqnum;now;rtptime;deadline
1;6050614000;5937133333;6437133333
4;6091794000;5968400000;6468400000
11;6095192000;5968766666;6468766666
12;6095234000;5968766666;6468766666
13;6095237000;5968766666;6468766666
14;6132089000;6010044444;6510044444
15;6132100000;6010044444;6510044444
16;6132102000;6010044444;6510044444
17;6132109000;6010044444;6510044444
18;6132112000;6010044444;6510044444
19;6132113000;6010044444;6510044444
20;6132115000;6010044444;6510044444
21;6132325000;6010055555;6510055555
22;6132372000;6010455555;6510455555
23;6132396000;6010455555;6510455555
24;6132404000;6010455555;6510455555
25;6173470000;6051677777;6551677777
33;6173625000;6052011111;6552011111
34;6173654000;6052011111;6552011111
35;6173658000;6052011111;6552011111
36;6214745000;6093377777;6593377777
44;6214879000;6093711111;6593711111
45;6214902000;6093711111;6593711111
46;6214914000;6093711111;6593711111
47;6255437000;6135033333;6635033333
55;6255585000;6135377777;6635377777
56;6255617000;6135377777;6635377777
57;6255621000;6135377777;6635377777
58;6295791000;6176677777;6676677777
66;6295959000;6176988888;6676988888
67;6295985000;6176988888;6676988888
68;6295987000;6176988888;6676988888
69;6335332000;6218344444;6718344444
77;6335481000;6218688888;6718688888
78;6335506000;6218688888;6718688888
79;6335508000;6218688888;6718688888
80;6374144000;6260033333;6760033333
88;6374296000;6260377777;6760377777
89;6374336000;6260377777;6760377777
90;6374339000;6260377777;6760377777
91;6412465000;6301677777;6801677777
99;6412639000;6301977777;6801977777
100;6412643000;6301977777;6801977777
101;6412671000;6301977777;6801977777
102;6450499000;6343388888;6843388888
105;6450527000;6343388888;6843388888
106;6450529000;6343388888;6843388888
107;6450531000;6343388888;6843388888
108;6450533000;6343388888;6843388888
109;6450767000;6343411111;6843411111
110;6450808000;6343688888;6843688888
111;6450810000;6343688888;6843688888
112;6450820000;6343688888;6843688888
113;6488067000;6385011111;6885011111
121;6488232000;6385344444;6885344444
122;6488260000;6385344444;6885344444
123;6488262000;6385344444;6885344444
124;6526565000;6426700000;6926700000
132;6526725000;6427011111;6927011111
133;6526750000;6427011111;6927011111
134;6526751000;6427011111;6927011111
135;6565478000;6468344444;6968344444
143;6565627000;6468644444;6968644444
144;6565652000;6468644444;6968644444
145;6565653000;6468644444;6968644444
146;6604944000;6510011111;7010011111
154;6605103000;6510344444;7010344444
155;6605131000;6510344444;7010344444
156;6605133000;6510344444;7010344444
157;6644967000;6551677777;7051677777
165;6645130000;6551988888;7051988888
166;6645155000;6551988888;7051988888
167;6645157000;6551988888;7051988888
168;6685556000;6593377777;7093377777
176;6685705000;6593677777;7093677777
177;6685729000;6593677777;7093677777
178;6685731000;6593677777;7093677777
179;6726534000;6635044444;7135044444
187;6726682000;6635355555;7135355555
188;6726707000;6635355555;7135355555
189;6726708000;6635355555;7135355555
190;6767750000;6676677777;7176677777
198;6767913000;6676955555;7176955555
199;6767938000;6676955555;7176955555
200;6767940000;6676955555;7176955555
201;6809278000;6718377777;7218377777
209;6809410000;6718666666;7218666666
210;6809429000;6718666666;7218666666
211;6809441000;6718666666;7218666666
212;6850780000;6760011111;7260011111
220;6850911000;6760355555;7260355555
