seqnum;now;rtptime;deadline;packet_len;payload_len
0;5655268000;5563000000;6063000000;1398;1386
0;5655388000;5563000000;6063000000;1398;1386
1;5655415000;5563000000;6063000000;1400;1388
1;5655432000;5563000000;6063000000;1400;1388
2;5655470000;5563000000;6063000000;1398;1386
3;5655476000;5594266666;6094266666;1400;1388
4;5655481000;5594266666;6094266666;1400;1388
5;5655485000;5594266666;6094266666;1398;1386
6;5655489000;5594266666;6094266666;1400;1388
2;5655502000;5563000000;6063000000;1398;1386
3;5655522000;5594266666;6094266666;1400;1388
7;5655561000;5594266666;6094266666;1398;1386
8;5655574000;5594266666;6094266666;1400;1388
9;5655578000;5594266666;6094266666;1400;1388
10;5655584000;5594288888;6094288888;982;970
4;5655684000;5594266666;6094266666;1400;1388
5;5655693000;5594266666;6094266666;1398;1386
6;5655918000;5594266666;6094266666;1400;1388
7;5655928000;5594266666;6094266666;1398;1386
8;5656111000;5594266666;6094266666;1400;1388
9;5656276000;5594266666;6094266666;1400;1388
10;5656297000;5594288888;6094288888;982;970
11;5696794000;5594600000;6094600000;1398;1386
11;5696858000;5594600000;6094600000;1398;1386
12;5696872000;5594600000;6094600000;1400;1388
13;5696877000;5594600000;6094600000;1398;1386
14;5696881000;5635955555;6135955555;1400;1388
15;5696885000;5635955555;6135955555;1400;1388
16;5696898000;5635955555;6135955555;1398;1386
17;5696902000;5635955555;6135955555;1400;1388
18;5696907000;5635955555;6135955555;1398;1386
19;5696910000;5635955555;6135955555;1400;1388
20;5696916000;5635955555;6135955555;1400;1388
21;5696919000;5635977777;6135977777;982;970
12;5696965000;5594600000;6094600000;1400;1388
13;5697176000;5594600000;6094600000;1398;1386
14;5697186000;5635955555;6135955555;1400;1388
15;5697391000;5635955555;6135955555;1400;1388
16;5697400000;5635955555;6135955555;1398;1386
17;5697572000;5635955555;6135955555;1400;1388
18;5697577000;5635955555;6135955555;1398;1386
19;5697790000;5635955555;6135955555;1400;1388
20;5697987000;5635955555;6135955555;1400;1388
21;5697992000;5635977777;6135977777;982;970
22;5738470000;5636366666;6136366666;1398;1386
22;5738502000;5636366666;6136366666;1398;1386
23;5738524000;5636366666;6136366666;1400;1388
24;5738529000;5636366666;6136366666;1398;1386
25;5738533000;5677622222;6177622222;1400;1388
26;5738537000;5677622222;6177622222;1400;1388
27;5738541000;5677622222;6177622222;1398;1386
28;5738544000;5677622222;6177622222;1400;1388
29;5738548000;5677622222;6177622222;1398;1386
30;5738551000;5677622222;6177622222;1400;1388
31;5738555000;5677622222;6177622222;1400;1388
32;5738559000;5677644444;6177644444;982;970
23;5738684000;5636366666;6136366666;1400;1388
24;5738706000;5636366666;6136366666;1398;1386
25;5738843000;5677622222;6177622222;1400;1388
26;5739058000;5677622222;6177622222;1400;1388
27;5739068000;5677622222;6177622222;1398;1386
28;5739252000;5677622222;6177622222;1400;1388
29;5739260000;5677622222;6177622222;1398;1386
30;5739456000;5677622222;6177622222;1400;1388
31;5739661000;5677622222;6177622222;1400;1388
32;5739670000;5677644444;6177644444;982;970
33;5780146000;5677966666;6177966666;1398;1386
33;5780228000;5677966666;6177966666;1398;1386
34;5780242000;5677966666;6177966666;1400;1388
35;5780247000;5677966666;6177966666;1398;1386
36;5780251000;5719288888;6219288888;1400;1388
37;5780254000;5719288888;6219288888;1400;1388
38;5780260000;5719288888;6219288888;1398;1386
39;5780263000;5719288888;6219288888;1400;1388
40;5780268000;5719288888;6219288888;1398;1386
41;5780271000;5719288888;6219288888;1400;1388
42;5780274000;5719288888;6219288888;1400;1388
43;5780291000;5719311111;6219311111;982;970
34;5780331000;5677966666;6177966666;1400;1388
35;5780540000;5677966666;6177966666;1398;1386
36;5780549000;5719288888;6219288888;1400;1388
37;5780745000;5719288888;6219288888;1400;1388
38;5780754000;5719288888;6219288888;1398;1386
39;5780946000;5719288888;6219288888;1400;1388
40;5780955000;5719288888;6219288888;1398;1386
41;5781156000;5719288888;6219288888;1400;1388
42;5781164000;5719288888;6219288888;1400;1388
43;5781346000;5719311111;6219311111;982;970
44;5821798000;5719633333;6219633333;1398;1386
44;5821879000;5719633333;6219633333;1398;1386
45;5821894000;5719633333;6219633333;1400;1388
46;5821899000;5719633333;6219633333;1398;1386
47;5821903000;5760977777;6260977777;1400;1388
48;5821907000;5760977777;6260977777;1400;1388
49;5821911000;5760977777;6260977777;1398;1386
50;5821914000;5760977777;6260977777;1400;1388
51;5821918000;5760977777;6260977777;1398;1386
52;5821921000;5760977777;6260977777;1400;1388
53;5821925000;5760977777;6260977777;1400;1388
54;5821928000;5761000000;6261000000;982;970
45;5821981000;5719633333;6219633333;1400;1388
46;5822172000;5719633333;6219633333;1398;1386
47;5822181000;5760977777;6260977777;1400;1388
48;5822377000;5760977777;6260977777;1400;1388
49;5822386000;5760977777;6260977777;1398;1386
50;5822592000;5760977777;6260977777;1400;1388
51;5822602000;5760977777;6260977777;1398;1386
52;5822804000;5760977777;6260977777;1400;1388
53;5822812000;5760977777;6260977777;1400;1388
54;5822990000;5761000000;6261000000;982;970
55;5863510000;5761366666;6261366666;1398;1386
55;5863589000;5761366666;6261366666;1398;1386
56;5863603000;5761366666;6261366666;1400;1388
57;5863608000;5761366666;6261366666;1398;1386
58;5863612000;5802644444;6302644444;1400;1388
59;5863616000;5802644444;6302644444;1400;1388
60;5863619000;5802644444;6302644444;1398;1386
61;5863623000;5802644444;6302644444;1400;1388
62;5863637000;5802644444;6302644444;1398;1386
63;5863641000;5802644444;6302644444;1400;1388
64;5863644000;5802644444;6302644444;1400;1388
65;5863648000;5802666666;6302666666;982;970
56;5863676000;5761366666;6261366666;1400;1388
57;5863884000;5761366666;6261366666;1398;1386
58;5863893000;5802644444;6302644444;1400;1388
59;5864089000;5802644444;6302644444;1400;1388
60;5864098000;5802644444;6302644444;1398;1386
61;5864286000;5802644444;6302644444;1400;1388
62;5864295000;5802644444;6302644444;1398;1386
63;5864498000;5802644444;6302644444;1400;1388
64;5864507000;5802644444;6302644444;1400;1388
65;5864701000;5802666666;6302666666;982;970
66;5905148000;5802977777;6302977777;1398;1386
67;5905178000;5802977777;6302977777;1400;1388
66;5905192000;5802977777;6302977777;1398;1386
68;5905255000;5802977777;6302977777;1398;1386
69;5905269000;5844288888;6344288888;1400;1388
70;5905274000;5844288888;6344288888;1400;1388
71;5905278000;5844288888;6344288888;1398;1386
72;5905292000;5844288888;6344288888;1400;1388
73;5905296000;5844288888;6344288888;1398;1386
74;5905299000;5844288888;6344288888;1400;1388
75;5905303000;5844288888;6344288888;1400;1388
76;5905307000;5844311111;6344311111;982;970
67;5905334000;5802977777;6302977777;1400;1388
68;5905522000;5802977777;6302977777;1398;1386
69;5905532000;5844288888;6344288888;1400;1388
70;5905726000;5844288888;6344288888;1400;1388
71;5905735000;5844288888;6344288888;1398;1386
73;5905931000;5844288888;6344288888;1398;1386
74;5905940000;5844288888;6344288888;1400;1388
75;5906135000;5844288888;6344288888;1400;1388
76;5906144000;5844311111;6344311111;982;970
77;5946820000;5844644444;6344644444;1398;1386
77;5946840000;5844644444;6344644444;1398;1386
78;5946860000;5844644444;6344644444;1400;1388
79;5946865000;5844644444;6344644444;1398;1386
80;5946869000;5885955555;6385955555;1400;1388
81;5946873000;5885955555;6385955555;1400;1388
82;5946876000;5885955555;6385955555;1398;1386
83;5946882000;5885955555;6385955555;1400;1388
84;5946886000;5885955555;6385955555;1398;1386
85;5946889000;5885955555;6385955555;1400;1388
86;5946892000;5885955555;6385955555;1400;1388
87;5946895000;5885977777;6385977777;982;970
78;5947008000;5844644444;6344644444;1400;1388
79;5947017000;5844644444;6344644444;1398;1386
80;5947207000;5885955555;6385955555;1400;1388
81;5947413000;5885955555;6385955555;1400;1388
82;5947422000;5885955555;6385955555;1398;1386
83;5947614000;5885955555;6385955555;1400;1388
84;5947622000;5885955555;6385955555;1398;1386
85;5947822000;5885955555;6385955555;1400;1388
86;5947831000;5885955555;6385955555;1400;1388
87;5948015000;5885977777;6385977777;982;970
88;5988470000;5886288888;6386288888;1398;1386
88;5988502000;5886288888;6386288888;1398;1386
89;5988513000;5886288888;6386288888;1400;1388
90;5988518000;5886288888;6386288888;1398;1386
91;5988540000;5927622222;6427622222;1400;1388
92;5988544000;5927622222;6427622222;1400;1388
93;5988547000;5927622222;6427622222;1398;1386
94;5988550000;5927622222;6427622222;1400;1388
95;5988554000;5927622222;6427622222;1398;1386
96;5988557000;5927622222;6427622222;1400;1388
97;5988561000;5927622222;6427622222;1400;1388
98;5988564000;5927644444;6427644444;982;970
89;5988674000;5886288888;6386288888;1400;1388
90;5988683000;5886288888;6386288888;1398;1386
91;5988873000;5927622222;6427622222;1400;1388
92;5989081000;5927622222;6427622222;1400;1388
93;5989090000;5927622222;6427622222;1398;1386
94;5989278000;5927622222;6427622222;1400;1388
95;5989286000;5927622222;6427622222;1398;1386
96;5989489000;5927622222;6427622222;1400;1388
97;5989497000;5927622222;6427622222;1400;1388
98;5989693000;5927644444;6427644444;982;970
99;6030209000;5927955555;6427955555;1398;1386
99;6030273000;5927955555;6427955555;1398;1386
100;6030298000;5927955555;6427955555;1400;1388
101;6030303000;5927955555;6427955555;1398;1386
102;6030307000;5969288888;6469288888;1400;1388
103;6030311000;5969288888;6469288888;1400;1388
104;6030315000;5969288888;6469288888;1398;1386
105;6030319000;5969288888;6469288888;1400;1388
100;6030329000;5927955555;6427955555;1400;1388
106;6030404000;5969288888;6469288888;1398;1386
107;6030417000;5969288888;6469288888;1400;1388
108;6030421000;5969288888;6469288888;1400;1388
109;6030425000;5969311111;6469311111;982;970
101;6030548000;5927955555;6427955555;1398;1386
102;6030559000;5969288888;6469288888;1400;1388
103;6030748000;5969288888;6469288888;1400;1388
104;6030757000;5969288888;6469288888;1398;1386
105;6030950000;5969288888;6469288888;1400;1388
106;6030958000;5969288888;6469288888;1398;1386
107;6031161000;5969288888;6469288888;1400;1388
108;6031169000;5969288888;6469288888;1400;1388
109;6031362000;5969311111;6469311111;982;970
110;6071835000;5969577777;6469577777;1398;1386
110;6071906000;5969577777;6469577777;1398;1386
111;6071921000;5969577777;6469577777;1400;1388
112;6071927000;5969577777;6469577777;1398;1386
113;6071931000;6010955555;6510955555;1400;1388
114;6071935000;6010955555;6510955555;1400;1388
115;6071938000;6010955555;6510955555;1398;1386
116;6071942000;6010955555;6510955555;1400;1388
117;6071946000;6010955555;6510955555;1398;1386
118;6071949000;6010955555;6510955555;1400;1388
119;6071953000;6010955555;6510955555;1400;1388
120;6071966000;6010977777;6510977777;982;970
111;6072007000;5969577777;6469577777;1400;1388
112;6072197000;5969577777;6469577777;1398;1386
113;6072207000;6010955555;6510955555;1400;1388
114;6072402000;6010955555;6510955555;1400;1388
115;6072411000;6010955555;6510955555;1398;1386
116;6072606000;6010955555;6510955555;1400;1388
117;6072615000;6010955555;6510955555;1398;1386
118;6072810000;6010955555;6510955555;1400;1388
119;6073005000;6010955555;6510955555;1400;1388
120;6073011000;6010977777;6510977777;982;970
121;6113468000;6011277777;6511277777;1398;1386
121;6113484000;6011277777;6511277777;1398;1386
122;6113504000;6011277777;6511277777;1400;1388
123;6113508000;6011277777;6511277777;1398;1386
124;6113512000;6052622222;6552622222;1400;1388
125;6113516000;6052622222;6552622222;1400;1388
126;6113519000;6052622222;6552622222;1398;1386
127;6113523000;6052622222;6552622222;1400;1388
128;6113526000;6052622222;6552622222;1398;1386
129;6113530000;6052622222;6552622222;1400;1388
130;6113533000;6052622222;6552622222;1400;1388
131;6113536000;6052644444;6552644444;982;970
122;6113682000;6011277777;6511277777;1400;1388
123;6113691000;6011277777;6511277777;1398;1386
124;6113880000;6052622222;6552622222;1400;1388
125;6114087000;6052622222;6552622222;1400;1388
126;6114096000;6052622222;6552622222;1398;1386
127;6114285000;6052622222;6552622222;1400;1388
128;6114293000;6052622222;6552622222;1398;1386
129;6114499000;6052622222;6552622222;1400;1388
130;6114507000;6052622222;6552622222;1400;1388
131;6114700000;6052644444;6552644444;982;970
132;6155148000;6052933333;6552933333;1398;1386
132;6155182000;6052933333;6552933333;1398;1386
133;6155193000;6052933333;6552933333;1400;1388
134;6155198000;6052933333;6552933333;1398;1386
135;6155220000;6094288888;6594288888;1400;1388
136;6155225000;6094288888;6594288888;1400;1388
137;6155228000;6094288888;6594288888;1398;1386
138;6155231000;6094288888;6594288888;1400;1388
139;6155235000;6094288888;6594288888;1398;1386
140;6155238000;6094288888;6594288888;1400;1388
141;6155242000;6094288888;6594288888;1400;1388
142;6155245000;6094311111;6594311111;982;970
133;6155331000;6052933333;6552933333;1400;1388
134;6155533000;6052933333;6552933333;1398;1386
135;6155542000;6094288888;6594288888;1400;1388
136;6155737000;6094288888;6594288888;1400;1388
137;6155746000;6094288888;6594288888;1398;1386
138;6155942000;6094288888;6594288888;1400;1388
139;6155951000;6094288888;6594288888;1398;1386
140;6156147000;6094288888;6594288888;1400;1388
141;6156351000;6094288888;6594288888;1400;1388
142;6156360000;6094311111;6594311111;982;970
143;6196793000;6094577777;6594577777;1398;1386
144;6196817000;6094577777;6594577777;1400;1388
145;6196837000;6094577777;6594577777;1398;1386
146;6196841000;6135955555;6635955555;1400;1388
147;6196846000;6135955555;6635955555;1400;1388
148;6196850000;6135955555;6635955555;1398;1386
149;6196853000;6135955555;6635955555;1400;1388
150;6196858000;6135955555;6635955555;1398;1386
151;6196861000;6135955555;6635955555;1400;1388
152;6196864000;6135955555;6635955555;1400;1388
153;6196868000;6135977777;6635977777;982;970
144;6196980000;6094577777;6594577777;1400;1388
145;6197182000;6094577777;6594577777;1398;1386
146;6197191000;6135955555;6635955555;1400;1388
147;6197386000;6135955555;6635955555;1400;1388
148;6197395000;6135955555;6635955555;1398;1386
149;6197592000;6135955555;6635955555;1400;1388
150;6197601000;6135955555;6635955555;1398;1386
151;6197795000;6135955555;6635955555;1400;1388
152;6198000000;6135955555;6635955555;1400;1388
153;6198009000;6135977777;6635977777;982;970
154;6238455000;6136300000;6636300000;1398;1386
154;6238489000;6136300000;6636300000;1398;1386
155;6238501000;6136300000;6636300000;1400;1388
156;6238505000;6136300000;6636300000;1398;1386
157;6238509000;6177633333;6677633333;1400;1388
158;6238513000;6177633333;6677633333;1400;1388
159;6238517000;6177633333;6677633333;1398;1386
160;6238520000;6177633333;6677633333;1400;1388
161;6238523000;6177633333;6677633333;1398;1386
162;6238527000;6177633333;6677633333;1400;1388
163;6238530000;6177633333;6677633333;1400;1388
164;6238534000;6177655555;6677655555;982;970
155;6238641000;6136300000;6636300000;1400;1388
156;6238842000;6136300000;6636300000;1398;1386
157;6238851000;6177633333;6677633333;1400;1388
158;6239060000;6177633333;6677633333;1400;1388
159;6239070000;6177633333;6677633333;1398;1386
160;6239252000;6177633333;6677633333;1400;1388
161;6239261000;6177633333;6677633333;1398;1386
162;6239456000;6177633333;6677633333;1400;1388
163;6239663000;6177633333;6677633333;1400;1388
164;6239671000;6177655555;6677655555;982;970
165;6280101000;6177966666;6677966666;1398;1386
165;6280135000;6177966666;6677966666;1398;1386
166;6280147000;6177966666;6677966666;1400;1388
167;6280151000;6177966666;6677966666;1398;1386
