seqnum;now;rtptime;deadline
2;9364658000;9140888888;9640888888
3;9406579000;9172222222;9672222222
10;9406864000;9172233333;9672233333
11;9406872000;9172544444;9672544444
12;9406874000;9172544444;9672544444
15;9446375000;9213888888;9713888888
16;9446387000;9213888888;9713888888
17;9446389000;9213888888;9713888888
18;9446391000;9213888888;9713888888
19;9446393000;9213888888;9713888888
20;9446395000;9213888888;9713888888
21;9446531000;9213900000;9713900000
22;9446548000;9214344444;9714344444
23;9446550000;9214344444;9714344444
24;9446552000;9214344444;9714344444
25;9487731000;9255544444;9755544444
26;9487741000;9255544444;9755544444
27;9487742000;9255544444;9755544444
28;9487744000;9255544444;9755544444
29;9487745000;9255544444;9755544444
30;9487747000;9255544444;9755544444
32;9487929000;9255555555;9755555555
33;9487934000;9255877777;9755877777
34;9487935000;9255877777;9755877777
35;9487937000;9255877777;9755877777
36;9529070000;9297211111;9797211111
37;9529079000;9297211111;9797211111
38;9529082000;9297211111;9797211111
40;9529084000;9297211111;9797211111
41;9529086000;9297211111;9797211111
42;9529088000;9297211111;9797211111
43;9529306000;9297222222;9797222222
44;9529322000;9297544444;9797544444
45;9529325000;9297544444;9797544444
46;9529327000;9297544444;9797544444
47;9570161000;9338877777;9838877777
48;9570168000;9338877777;9838877777
49;9570170000;9338877777;9838877777
50;9570171000;9338877777;9838877777
51;9570173000;9338877777;9838877777
52;9570175000;9338877777;9838877777
53;9570176000;9338877777;9838877777
54;9570327000;9338888888;9838888888
55;9570330000;9339200000;9839200000
56;9570331000;9339200000;9839200000
57;9570333000;9339200000;9839200000
58;9610948000;9380544444;9880544444
59;9610956000;9380544444;9880544444
60;9610957000;9380544444;9880544444
61;9610959000;9380544444;9880544444
62;9610961000;9380544444;9880544444
63;9610962000;9380544444;9880544444
64;9610964000;9380544444;9880544444
65;9611129000;9380555555;9880555555
66;9611132000;9380833333;9880833333
67;9611134000;9380833333;9880833333
68;9611135000;9380833333;9880833333
70;9651482000;9422211111;9922211111
71;9651484000;9422211111;9922211111
73;9651486000;9422211111;9922211111
74;9651487000;9422211111;9922211111
75;9651488000;9422211111;9922211111
76;9651586000;9422222222;9922222222
77;9651589000;9422544444;9922544444
78;9651590000;9422544444;9922544444
79;9651591000;9422544444;9922544444
80;9691207000;9463877777;9963877777
81;9691211000;9463877777;9963877777
82;9691212000;9463877777;9963877777
83;9691214000;9463877777;9963877777
84;9691215000;9463877777;9963877777
85;9691216000;9463877777;9963877777
86;9691217000;9463877777;9963877777
87;9691418000;9463888888;9963888888
88;9691434000;9464200000;9964200000
89;9691436000;9464200000;9964200000
90;9691437000;9464200000;9964200000
91;9730811000;9505544444;10005544444
92;9730830000;9505544444;10005544444
93;9730832000;9505544444;10005544444
94;9730834000;9505544444;10005544444
95;9730836000;9505544444;10005544444
96;9730838000;9505544444;10005544444
97;9730839000;9505544444;10005544444
98;9731073000;9505555555;10005555555
99;9731080000;9505855555;10005855555
100;9731082000;9505855555;10005855555
101;9731084000;9505855555;10005855555
102;9769873000;9547211111;10047211111
103;9769876000;9547211111;10047211111
104;9769878000;9547211111;10047211111
107;9769976000;9547211111;10047211111
108;9769978000;9547211111;10047211111
109;9770117000;9547222222;10047222222
110;9770133000;9547488888;10047488888
111;9770135000;9547488888;10047488888
112;9770136000;9547488888;10047488888
113;9808854000;9588877777;10088877777
114;9808857000;9588877777;10088877777
115;9808858000;9588877777;10088877777
116;9808859000;9588877777;10088877777
117;9808860000;9588877777;10088877777
118;9808862000;9588877777;10088877777
119;9808872000;9588877777;10088877777
120;9809006000;9588888888;10088888888
121;9809009000;9589188888;10089188888
122;9809010000;9589188888;10089188888
123;9809011000;9589188888;10089188888
124;9847709000;9630544444;10130544444
125;9847711000;9630544444;10130544444
126;9847712000;9630544444;10130544444
127;9847714000;9630544444;10130544444
128;9847744000;9630544444;10130544444
129;9847745000;9630544444;10130544444
130;9847746000;9630544444;10130544444
131;9847880000;9630555555;10130555555
132;9847883000;9630833333;10130833333
133;9847884000;9630833333;10130833333
134;9847885000;9630833333;10130833333
137;9886772000;9672211111;10172211111
138;9886776000;9672211111;10172211111
139;9886777000;9672211111;10172211111
140;9886778000;9672211111;10172211111
141;9886779000;9672211111;10172211111
143;9886793000;9672477777;10172477777
145;9886805000;9672477777;10172477777
146;9926398000;9713877777;10213877777
147;9926402000;9713877777;10213877777
148;9926403000;9713877777;10213877777
149;9926404000;9713877777;10213877777
150;9926405000;9713877777;10213877777
151;9926407000;9713877777;10213877777
