seqnum;now;rtptime;deadline;packet_len;payload_len
0;13808015000;13624588888;14124588888;1398;1386
1;13808037000;13624588888;14124588888;1400;1388
2;13808107000;13624588888;14124588888;1398;1386
3;13808113000;13655888888;14155888888;1400;1388
4;13808118000;13655888888;14155888888;1400;1388
5;13808121000;13655888888;14155888888;1398;1386
6;13808130000;13655888888;14155888888;1400;1388
7;13808134000;13655888888;14155888888;1398;1386
8;13808138000;13655888888;14155888888;1400;1388
9;13808142000;13655888888;14155888888;1400;1388
11;13849564000;13656222222;14156222222;1398;1386
12;13849590000;13656222222;14156222222;1400;1388
13;13849598000;13656222222;14156222222;1398;1386
14;13849602000;13697533333;14197533333;1400;1388
15;13849606000;13697533333;14197533333;1400;1388
16;13849615000;13697533333;14197533333;1398;1386
17;13849627000;13697533333;14197533333;1400;1388
18;13849637000;13697533333;14197533333;1398;1386
19;13849642000;13697533333;14197533333;1400;1388
20;13849649000;13697533333;14197533333;1400;1388
21;13849657000;13697544444;14197544444;982;970
22;13891269000;13697922222;14197922222;1398;1386
23;13891306000;13697922222;14197922222;1400;1388
24;13891313000;13697922222;14197922222;1398;1386
25;13891327000;13739211111;14239211111;1400;1388
26;13891335000;13739211111;14239211111;1400;1388
27;13891345000;13739211111;14239211111;1398;1386
28;13891352000;13739211111;14239211111;1400;1388
29;13891365000;13739211111;14239211111;1398;1386
30;13891381000;13739211111;14239211111;1400;1388
31;13891391000;13739211111;14239211111;1400;1388
32;13891398000;13739222222;14239222222;982;970
33;13932920000;13739544444;14239544444;1398;1386
34;13932935000;13739544444;14239544444;1400;1388
35;13932939000;13739544444;14239544444;1398;1386
36;13932946000;13780866666;14280866666;1400;1388
37;13932950000;13780866666;14280866666;1400;1388
38;13932954000;13780866666;14280866666;1398;1386
41;13932963000;13780866666;14280866666;1400;1388
42;13932971000;13780866666;14280866666;1400;1388
43;13932985000;13780877777;14280877777;982;970
44;13974611000;13781211111;14281211111;1398;1386
45;13974630000;13781211111;14281211111;1400;1388
46;13974635000;13781211111;14281211111;1398;1386
47;13974645000;13822544444;14322544444;1400;1388
48;13974649000;13822544444;14322544444;1400;1388
49;13974654000;13822544444;14322544444;1398;1386
50;13974658000;13822544444;14322544444;1400;1388
51;13974662000;13822544444;14322544444;1398;1386
52;13974666000;13822544444;14322544444;1400;1388
53;13974671000;13822544444;14322544444;1400;1388
54;13974674000;13822555555;14322555555;982;970
55;14016294000;13822855555;14322855555;1398;1386
56;14016310000;13822855555;14322855555;1400;1388
57;14016315000;13822855555;14322855555;1398;1386
58;14016319000;13864222222;14364222222;1400;1388
59;14016323000;13864222222;14364222222;1400;1388
60;14016327000;13864222222;14364222222;1398;1386
61;14016331000;13864222222;14364222222;1400;1388
62;14016334000;13864222222;14364222222;1398;1386
63;14016338000;13864222222;14364222222;1400;1388
64;14016341000;13864222222;14364222222;1400;1388
65;14016344000;13864244444;14364244444;982;970
66;14057966000;13864566666;14364566666;1398;1386
67;14057989000;13864566666;14364566666;1400;1388
70;14057993000;13905844444;14405844444;1400;1388
71;14058015000;13905844444;14405844444;1398;1386
74;14058024000;13905844444;14405844444;1400;1388
75;14058031000;13905844444;14405844444;1400;1388
76;14058036000;13905855555;14405855555;982;970
77;14099659000;13906200000;14406200000;1398;1386
78;14099673000;13906200000;14406200000;1400;1388
79;14099677000;13906200000;14406200000;1398;1386
80;14099681000;13947544444;14447544444;1400;1388
81;14099684000;13947544444;14447544444;1400;1388
82;14099688000;13947544444;14447544444;1398;1386
83;14099691000;13947544444;14447544444;1400;1388
85;14099694000;13947544444;14447544444;1400;1388
86;14099699000;13947544444;14447544444;1400;1388
87;14099702000;13947555555;14447555555;982;970
88;14141259000;13947866666;14447866666;1398;1386
89;14141268000;13947866666;14447866666;1400;1388
90;14141272000;13947866666;14447866666;1398;1386
91;14141275000;13989177777;14489177777;1400;1388
92;14141304000;13989177777;14489177777;1400;1388
93;14141308000;13989177777;14489177777;1398;1386
94;14141312000;13989177777;14489177777;1400;1388
95;14141315000;13989177777;14489177777;1398;1386
98;14141319000;13989200000;14489200000;982;970
99;14183005000;13989511111;14489511111;1398;1386
100;14183013000;13989511111;14489511111;1400;1388
101;14183017000;13989511111;14489511111;1398;1386
102;14183021000;14030877777;14530877777;1400;1388
103;14183024000;14030877777;14530877777;1400;1388
104;14183028000;14030877777;14530877777;1398;1386
105;14183031000;14030877777;14530877777;1400;1388
106;14183034000;14030877777;14530877777;1398;1386
107;14183038000;14030877777;14530877777;1400;1388
108;14183041000;14030877777;14530877777;1400;1388
110;14224675000;14031166666;14531166666;1398;1386
111;14224701000;14031166666;14531166666;1400;1388
112;14224711000;14031166666;14531166666;1398;1386
113;14224715000;14072511111;14572511111;1400;1388
114;14224719000;14072511111;14572511111;1400;1388
115;14224732000;14072511111;14572511111;1398;1386
116;14224735000;14072511111;14572511111;1400;1388
117;14224739000;14072511111;14572511111;1398;1386
120;14224742000;14072522222;14572522222;982;970
121;14266311000;14072811111;14572811111;1398;1386
122;14266320000;14072811111;14572811111;1400;1388
123;14266324000;14072811111;14572811111;1398;1386
124;14266327000;14114177777;14614177777;1400;1388
125;14266331000;14114177777;14614177777;1400;1388
126;14266334000;14114177777;14614177777;1398;1386
127;14266338000;14114177777;14614177777;1400;1388
128;14266341000;14114177777;14614177777;1398;1386
129;14266344000;14114177777;14614177777;1400;1388
130;14266347000;14114177777;14614177777;1400;1388
131;14266350000;14114188888;14614188888;982;970
132;14308003000;14114477777;14614477777;1398;1386
133;14308011000;14114477777;14614477777;1400;1388
134;14308015000;14114477777;14614477777;1398;1386
135;14308019000;14155844444;14655844444;1400;1388
136;14308022000;14155844444;14655844444;1400;1388
137;14308026000;14155844444;14655844444;1398;1386
138;14308029000;14155844444;14655844444;1400;1388
139;14308032000;14155844444;14655844444;1398;1386
140;14308035000;14155844444;14655844444;1400;1388
141;14308038000;14155844444;14655844444;1400;1388
142;14308042000;14155855555;14655855555;982;970
143;14349686000;14156111111;14656111111;1398;1386
144;14349694000;14156111111;14656111111;1400;1388
145;14349698000;14156111111;14656111111;1398;1386
146;14349701000;14197511111;14697511111;1400;1388
147;14349705000;14197511111;14697511111;1400;1388
148;14349708000;14197511111;14697511111;1398;1386
149;14349712000;14197511111;14697511111;1400;1388
150;14349715000;14197511111;14697511111;1398;1386
151;14349719000;14197511111;14697511111;1400;1388
152;14349722000;14197511111;14697511111;1400;1388
153;14349725000;14197522222;14697522222;982;970
154;14391399000;14197833333;14697833333;1398;1386
155;14391407000;14197833333;14697833333;1400;1388
156;14391411000;14197833333;14697833333;1398;1386
157;14391414000;14239211111;14739211111;1400;1388
158;14391418000;14239211111;14739211111;1400;1388
159;14391421000;14239211111;14739211111;1398;1386
160;14391424000;14239211111;14739211111;1400;1388
161;14391428000;14239211111;14739211111;1398;1386
162;14391431000;14239211111;14739211111;1400;1388
163;14391434000;14239211111;14739211111;1400;1388
164;14391437000;14239233333;14739233333;982;970
165;14433078000;14239544444;14739544444;1398;1386
166;14433086000;14239544444;14739544444;1400;1388
167;14433090000;14239544444;14739544444;1398;1386
169;14433093000;14280877777;14780877777;1400;1388
170;14433099000;14280877777;14780877777;1398;1386
171;14433112000;14280877777;14780877777;1400;1388
172;14433121000;14280877777;14780877777;1398;1386
173;14433124000;14280877777;14780877777;1400;1388
175;14433128000;14280888888;14780888888;982;970
176;14474727000;14281211111;14781211111;1398;1386
177;14474736000;14281211111;14781211111;1400;1388
178;14474740000;14281211111;14781211111;1398;1386
179;14474743000;14322511111;14822511111;1400;1388
180;14474746000;14322511111;14822511111;1400;1388
181;14474759000;14322511111;14822511111;1398;1386
182;14474762000;14322511111;14822511111;1400;1388
183;14474766000;14322511111;14822511111;1398;1386
184;14474769000;14322511111;14822511111;1400;1388
185;14474772000;14322511111;14822511111;1400;1388
186;14474775000;14322522222;14822522222;982;970
187;14516443000;14322800000;14822800000;1398;1386
188;14516451000;14322800000;14822800000;1400;1388
189;14516455000;14322800000;14822800000;1398;1386
190;14516458000;14364211111;14864211111;1400;1388
191;14516462000;14364211111;14864211111;1400;1388
192;14516465000;14364211111;14864211111;1398;1386
195;14516468000;14364211111;14864211111;1400;1388
196;14516473000;14364211111;14864211111;1400;1388
197;14516487000;14364222222;14864222222;982;970
198;14558131000;14364488888;14864488888;1398;1386
199;14558139000;14364488888;14864488888;1400;1388
200;14558143000;14364488888;14864488888;1398;1386
201;14558146000;14405877777;14905877777;1400;1388
202;14558150000;14405877777;14905877777;1400;1388
203;14558153000;14405877777;14905877777;1398;1386
205;14558156000;14405877777;14905877777;1398;1386
206;14558160000;14405877777;14905877777;1400;1388
207;14558163000;14405877777;14905877777;1400;1388
208;14558166000;14405888888;14905888888;982;970
