seqnum;now;rtptime;deadline;packet_len;payload_len
0;3089273000;3052300000;3552300000;1398;1386
1;3089297000;3052300000;3552300000;1400;1388
2;3089401000;3052300000;3552300000;1398;1386
3;3089408000;3083688888;3583688888;1400;1388
4;3089413000;3083688888;3583688888;1400;1388
5;3089416000;3083688888;3583688888;1398;1386
6;3089421000;3083688888;3583688888;1400;1388
7;3089425000;3083688888;3583688888;1398;1386
8;3089430000;3083688888;3583688888;1400;1388
9;3089433000;3083688888;3583688888;1400;1388
10;3089437000;3083700000;3583700000;982;970
11;3130800000;3084022222;3584022222;1398;1386
12;3130834000;3084022222;3584022222;1400;1388
13;3130839000;3084022222;3584022222;1398;1386
14;3130843000;3125333333;3625333333;1400;1388
15;3130849000;3125333333;3625333333;1400;1388
16;3130859000;3125333333;3625333333;1398;1386
17;3130871000;3125333333;3625333333;1400;1388
18;3130875000;3125333333;3625333333;1398;1386
19;3130879000;3125333333;3625333333;1400;1388
20;3130884000;3125333333;3625333333;1400;1388
21;3130888000;3125344444;3625344444;982;970
22;3172465000;3125722222;3625722222;1398;1386
23;3172480000;3125722222;3625722222;1400;1388
24;3172484000;3125722222;3625722222;1398;1386
25;3172488000;3167000000;3667000000;1400;1388
26;3172491000;3167000000;3667000000;1400;1388
27;3172495000;3167000000;3667000000;1398;1386
28;3172498000;3167000000;3667000000;1400;1388
29;3172501000;3167000000;3667000000;1398;1386
30;3172506000;3167000000;3667000000;1400;1388
31;3172509000;3167000000;3667000000;1400;1388
32;3172513000;3167011111;3667011111;982;970
33;3214245000;3167344444;3667344444;1398;1386
34;3214278000;3167344444;3667344444;1400;1388
35;3214282000;3167344444;3667344444;1398;1386
36;3214292000;3208666666;3708666666;1400;1388
37;3214295000;3208666666;3708666666;1400;1388
38;3214301000;3208666666;3708666666;1398;1386
39;3214305000;3208666666;3708666666;1400;1388
40;3214309000;3208666666;3708666666;1398;1386
41;3214314000;3208666666;3708666666;1400;1388
42;3214317000;3208666666;3708666666;1400;1388
43;3214321000;3208677777;3708677777;982;970
44;3255800000;3209011111;3709011111;1398;1386
45;3255814000;3209011111;3709011111;1400;1388
46;3255818000;3209011111;3709011111;1398;1386
47;3255821000;3250333333;3750333333;1400;1388
48;3255825000;3250333333;3750333333;1400;1388
49;3255828000;3250333333;3750333333;1398;1386
50;3255831000;3250333333;3750333333;1400;1388
51;3255834000;3250333333;3750333333;1398;1386
52;3255838000;3250333333;3750333333;1400;1388
53;3255841000;3250333333;3750333333;1400;1388
54;3255844000;3250344444;3750344444;982;970
55;3297493000;3250655555;3750655555;1398;1386
56;3297516000;3250655555;3750655555;1400;1388
57;3297521000;3250655555;3750655555;1398;1386
58;3297525000;3292000000;3792000000;1400;1388
59;3297536000;3292000000;3792000000;1400;1388
60;3297542000;3292000000;3792000000;1398;1386
61;3297547000;3292000000;3792000000;1400;1388
62;3297551000;3292000000;3792000000;1398;1386
63;3297555000;3292000000;3792000000;1400;1388
64;3297559000;3292000000;3792000000;1400;1388
65;3297562000;3292011111;3792011111;982;970
66;3339136000;3292300000;3792300000;1398;1386
67;3339151000;3292300000;3792300000;1400;1388
68;3339155000;3292300000;3792300000;1398;1386
69;3339159000;3333666666;3833666666;1400;1388
70;3339162000;3333666666;3833666666;1400;1388
71;3339166000;3333666666;3833666666;1398;1386
72;3339169000;3333666666;3833666666;1400;1388
73;3339172000;3333666666;3833666666;1398;1386
74;3339175000;3333666666;3833666666;1400;1388
75;3339179000;3333666666;3833666666;1400;1388
76;3339182000;3333677777;3833677777;982;970
77;3380827000;3334000000;3834000000;1398;1386
78;3380841000;3334000000;3834000000;1400;1388
79;3380845000;3334000000;3834000000;1398;1386
80;3380849000;3375344444;3875344444;1400;1388
81;3380852000;3375344444;3875344444;1400;1388
82;3380856000;3375344444;3875344444;1398;1386
83;3380859000;3375344444;3875344444;1400;1388
84;3380862000;3375344444;3875344444;1398;1386
85;3380865000;3375344444;3875344444;1400;1388
86;3380869000;3375344444;3875344444;1400;1388
87;3380872000;3375355555;3875355555;982;970
88;3422454000;3375700000;3875700000;1398;1386
89;3422485000;3375700000;3875700000;1400;1388
90;3422489000;3375700000;3875700000;1398;1386
91;3422493000;3417011111;3917011111;1400;1388
92;3422496000;3417011111;3917011111;1400;1388
93;3422500000;3417011111;3917011111;1398;1386
94;3422503000;3417011111;3917011111;1400;1388
95;3422507000;3417011111;3917011111;1398;1386
96;3422511000;3417011111;3917011111;1400;1388
97;3422514000;3417011111;3917011111;1400;1388
98;3422518000;3417022222;3917022222;982;970
99;3464144000;3417377777;3917377777;1398;1386
100;3464166000;3417377777;3917377777;1400;1388
101;3464170000;3417377777;3917377777;1398;1386
102;3464174000;3458666666;3958666666;1400;1388
103;3464178000;3458666666;3958666666;1400;1388
104;3464181000;3458666666;3958666666;1398;1386
105;3464185000;3458666666;3958666666;1400;1388
106;3464189000;3458666666;3958666666;1398;1386
107;3464193000;3458666666;3958666666;1400;1388
108;3464196000;3458666666;3958666666;1400;1388
109;3464201000;3458677777;3958677777;982;970
110;3505787000;3458944444;3958944444;1398;1386
111;3505800000;3458944444;3958944444;1400;1388
112;3505804000;3458944444;3958944444;1398;1386
113;3505808000;3500333333;4000333333;1400;1388
114;3505811000;3500333333;4000333333;1400;1388
115;3505814000;3500333333;4000333333;1398;1386
116;3505817000;3500333333;4000333333;1400;1388
117;3505821000;3500333333;4000333333;1398;1386
118;3505824000;3500333333;4000333333;1400;1388
119;3505827000;3500333333;4000333333;1400;1388
120;3505831000;3500344444;4000344444;982;970
121;3547471000;3500633333;4000633333;1398;1386
122;3547480000;3500633333;4000633333;1400;1388
123;3547484000;3500633333;4000633333;1398;1386
124;3547488000;3542000000;4042000000;1400;1388
125;3547491000;3542000000;4042000000;1400;1388
126;3547495000;3542000000;4042000000;1398;1386
127;3547498000;3542000000;4042000000;1400;1388
128;3547502000;3542000000;4042000000;1398;1386
129;3547505000;3542000000;4042000000;1400;1388
130;3547508000;3542000000;4042000000;1400;1388
131;3547511000;3542011111;4042011111;982;970
132;3589111000;3542311111;4042311111;1398;1386
133;3589120000;3542311111;4042311111;1400;1388
134;3589124000;3542311111;4042311111;1398;1386
135;3589127000;3583666666;4083666666;1400;1388
136;3589130000;3583666666;4083666666;1400;1388
137;3589134000;3583666666;4083666666;1398;1386
138;3589137000;3583666666;4083666666;1400;1388
139;3589140000;3583666666;4083666666;1398;1386
140;3589143000;3583666666;4083666666;1400;1388
141;3589146000;3583666666;4083666666;1400;1388
142;3589150000;3583688888;4083688888;982;970
143;3630781000;3583944444;4083944444;1398;1386
144;3630790000;3583944444;4083944444;1400;1388
145;3630793000;3583944444;4083944444;1398;1386
146;3630797000;3625333333;4125333333;1400;1388
147;3630800000;3625333333;4125333333;1400;1388
148;3630803000;3625333333;4125333333;1398;1386
149;3630807000;3625333333;4125333333;1400;1388
150;3630810000;3625333333;4125333333;1398;1386
151;3630813000;3625333333;4125333333;1400;1388
152;3630816000;3625333333;4125333333;1400;1388
153;3630819000;3625344444;4125344444;982;970
154;3672473000;3625655555;4125655555;1398;1386
155;3672488000;3625655555;4125655555;1400;1388
156;3672492000;3625655555;4125655555;1398;1386
157;3672496000;3667011111;4167011111;1400;1388
158;3672499000;3667011111;4167011111;1400;1388
159;3672502000;3667011111;4167011111;1398;1386
160;3672506000;3667011111;4167011111;1400;1388
161;3672510000;3667011111;4167011111;1398;1386
162;3672513000;3667011111;4167011111;1400;1388
163;3672516000;3667011111;4167011111;1400;1388
164;3672519000;3667022222;4167022222;982;970
165;3714108000;3667322222;4167322222;1398;1386
166;3714117000;3667322222;4167322222;1400;1388
167;3714120000;3667322222;4167322222;1398;1386
168;3714124000;3708666666;4208666666;1400;1388
169;3714127000;3708666666;4208666666;1400;1388
170;3714130000;3708666666;4208666666;1398;1386
171;3714133000;3708666666;4208666666;1400;1388
172;3714136000;3708666666;4208666666;1398;1386
173;3714139000;3708666666;4208666666;1400;1388
174;3714142000;3708666666;4208666666;1400;1388
175;3714146000;3708677777;4208677777;982;970
176;3755793000;3708988888;4208988888;1398;1386
177;3755821000;3708988888;4208988888;1400;1388
178;3755825000;3708988888;4208988888;1398;1386
179;3755828000;3750333333;4250333333;1400;1388
180;3755832000;3750333333;4250333333;1400;1388
181;3755835000;3750333333;4250333333;1398;1386
182;3755838000;3750333333;4250333333;1400;1388
183;3755841000;3750333333;4250333333;1398;1386
184;3755845000;3750333333;4250333333;1400;1388
185;3755848000;3750333333;4250333333;1400;1388
186;3755851000;3750355555;4250355555;982;970
187;3797427000;3750633333;4250633333;1398;1386
188;3797436000;3750633333;4250633333;1400;1388
189;3797440000;3750633333;4250633333;1398;1386
190;3797443000;3792011111;4292011111;1400;1388
191;3797446000;3792011111;4292011111;1400;1388
192;3797450000;3792011111;4292011111;1398;1386
193;3797453000;3792011111;4292011111;1400;1388
194;3797456000;3792011111;4292011111;1398;1386
195;3797460000;3792011111;4292011111;1400;1388
196;3797463000;3792011111;4292011111;1400;1388
197;3797466000;3792022222;4292022222;982;970
198;3839122000;3792311111;4292311111;1398;1386
199;3839131000;3792311111;4292311111;1400;1388
200;3839134000;3792311111;4292311111;1398;1386
201;3839137000;3833677777;4333677777;1400;1388
202;3839141000;3833677777;4333677777;1400;1388
203;3839144000;3833677777;4333677777;1398;1386
204;3839147000;3833677777;4333677777;1400;1388
205;3839151000;3833677777;4333677777;1398;1386
206;3839154000;3833677777;4333677777;1400;1388
207;3839157000;3833677777;4333677777;1400;1388
208;3839160000;3833688888;4333688888;982;970
209;3880780000;3833944444;4333944444;1398;1386
210;3880789000;3833944444;4333944444;1400;1388
211;3880793000;3833944444;4333944444;1398;1386
212;3880797000;3875333333;4375333333;1400;1388
213;3880800000;3875333333;4375333333;1400;1388
214;3880804000;3875333333;4375333333;1398;1386
215;3880807000;3875333333;4375333333;1400;1388
216;3880810000;3875333333;4375333333;1398;1386
217;3880813000;3875333333;4375333333;1400;1388
218;3880816000;3875333333;4375333333;1400;1388
219;3880819000;3875344444;4375344444;982;970
220;3922447000;3875666666;4375666666;1398;1386
221;3922456000;3875666666;4375666666;1400;1388
222;3922459000;3875666666;4375666666;1398;1386
223;3922463000;3917000000;4417000000;1400;1388
224;3922466000;3917000000;4417000000;1400;1388
225;3922469000;3917000000;4417000000;1398;1386
226;3922472000;3917000000;4417000000;1400;1388
227;3922476000;3917000000;4417000000;1398;1386
228;3922479000;3917000000;4417000000;1400;1388
229;3922483000;3917000000;4417000000;1400;1388
230;3922486000;3917022222;4417022222;982;970
231;3964113000;3917311111;4417311111;1398;1386
232;3964122000;3917311111;4417311111;1400;1388
233;3964126000;3917311111;4417311111;1398;1386
234;3964129000;3958666666;4458666666;1400;1388
235;3964132000;3958666666;4458666666;1400;1388
236;3964136000;3958666666;4458666666;1398;1386
237;3964139000;3958666666;4458666666;1400;1388
238;3964142000;3958666666;4458666666;1398;1386
239;3964145000;3958666666;4458666666;1400;1388
240;3964148000;3958666666;4458666666;1400;1388
241;3964151000;3958677777;4458677777;982;970
242;4005781000;3958966666;4458966666;1398;1386
243;4005790000;3958966666;4458966666;1400;1388
244;4005793000;3958966666;4458966666;1398;1386
245;4005797000;4000333333;4500333333;1400;1388
246;4005800000;4000333333;4500333333;1400;1388
247;4005804000;4000333333;4500333333;1398;1386
248;4005807000;4000333333;4500333333;1400;1388
249;4005810000;4000333333;4500333333;1398;1386
250;4005814000;4000333333;4500333333;1400;1388
251;4005817000;4000333333;4500333333;1400;1388
252;4005820000;4000355555;4500355555;982;970
253;4047444000;4000655555;4500655555;1398;1386
254;4047453000;4000655555;4500655555;1400;1388
255;4047457000;4000655555;4500655555;1398;1386
256;4047461000;4042000000;4542000000;1400;1388
257;4047464000;4042000000;4542000000;1400;1388
260;4047467000;4042000000;4542000000;1398;1386
261;4047476000;4042000000;4542000000;1400;1388
